Link: ;https://www.instagram.com/p/CTr7QHoMexO/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Gegen die Regierung ankämpfen so gut es geht!!;2021-09-15T11:23:17.000Z;0;-
2;mario_aus_hamburg;"Wen ein Regime seine „Feinde“ behandelt, als wären sie Arbeitstiere und diese dann noch schlechter behandelt, ist ganz deutlich zu sehen, dass sie raffgierig und verachtend sind!
Wie geht’s da weiter? Alle müssen aufhören und sich gegen Hitler stellen!";2021-09-12T07:38:13.000Z;2 likes;-
3;netratz;🔥❤️;2021-09-12T06:44:53.000Z;0;-
4;a.m.linhard;🙌;2021-09-12T06:26:21.000Z;0;-
5;sebfischer2;In Flugblättern an die Menschlichkeit appellieren. Und ihnen, auch unter Lebensgefahr!, Essen zustecken.;2021-09-12T05:16:43.000Z;1 like;-
6;onyebuchionyekwelu;😍;2021-09-12T04:36:43.000Z;0;-
7;fafreider13te;Einfach ordentlich deadlifts machen dann hält der Rücken das aus;2021-09-11T21:16:24.000Z;0;-
8;dirk_mm;Heimlich ihnen was geben;2021-09-11T21:08:50.000Z;1 like;-
9;sandradenkfelder;Sophie hat genau diese Frauen unterstützt. Zwar nicht genau an der Frau, aber die Arbeit im Widerstand hat alle unterstützt und genau zum Zusammenbruch dieses Systems geführt. Schade dass Sophie Hans und alle anderen ihren Erfolg nicht mehr erleben durften. RiP und Danke dass es euch gab. Ihr seid unvergessrn;2021-09-11T20:47:55.000Z;1 like;-
9-1;karinamelone3484;@sandradenkfelder Aber Sophie Scholl bzw. die Weiße Rose hatte doch gar nichts mit dem Zusammenbrauch des 3. Reiches zu tun..(auch wenn natürlich trotzdem wichtig ist, was sie gemacht haben). Der kam doch weil die Alliierten den Krieg gewannen und wir die bedingungslose Kapitulation erklärten...(und das leider erst sehr, sehr spät, dafür dass schon ewig vorher feststand, dass der Krieg nur verloren werden kann ...);2021-09-12T10:58:13.000Z;1 like;9
10;misses_gloss;Eine Kleinigkeit wie Gebäck, ist eine tolle Geste und sie können es essen😍;2021-09-11T20:35:39.000Z;1 like;-
11;ginger_ale54;Rückenschmerz, ja den kenn ich. Nach 13 Jahren in der Pflege sind wir alte Bekannte. Bezahlung mies, aber immerhin weiß ich warum ich den Job mache. Unser Motto: egal wie hart der Tag ist, er geht vorbei.;2021-09-11T20:20:42.000Z;1 like;-
12;frau_w.niemand;Bring ihnen Kekse mit;2021-09-11T18:01:12.000Z;1 like;-
13;thomassalomo;Meine Großmutter hat erzählt, sie hat Arbeitsdienst in den Göhlewerken in Dresden geleistet. Sie hat auch mit Ostarbeiterinnen zusammen gearbeitet. Einmal hat wurde sie erwischt wie sie einer Ostsrbeiterinnen Brot zugesteckt hatte. Zum Glück ohne Konsequenzen.;2021-09-11T17:35:50.000Z;1 like;-
14;ulrikemunner;Gebe Brot ab;2021-09-11T17:24:22.000Z;1 like;-
15;_runningcat_;Keine junge Frau wie du sollte so schuften müssen, dass ihr der Rücken weh tut! Du solltest tanzen und dein Leben genießen! Was für eine furchtbare Zeit.;2021-09-11T17:02:36.000Z;2 likes;-
16;csackenheim16;Auch länger machen;2021-09-11T16:46:34.000Z;0;-
17;ava.santimea;du kannst die Frauen unterstützen, indem du weiter im Widerstand kämpfst. nun kennst du ja leider eine weitere unzumutbare Sache, die dieser Krieg verantwortet... und jeden Tag für Ort den Frauen zeigen, dass nicht alle Deutschen den Krieg freiwillig unterstützen. ich glaube, deine Hilfsbereitschaft und dass du dein Essen teilst, bewirkt schon sehr viel!;2021-09-11T16:35:49.000Z;28 likes;-
17-1;ichbinsophiescholl;@ava.santimea Natürlich werde ich in unserer Gruppe weiter aktiv sein! Das gibt mir auch das Gefühl, etwas bewegen zu können. Klar ist das Teilen meines Brotes und das Zeigen von Menschlichkeit ein Schritt. Aber eben ein sehr kleiner. Ich will machen!;2021-09-11T16:45:33.000Z;68 likes;17
18;annikabluhm;Du tust /'tatest' alles, was du konntest. Und du lässt uns daran teilhaben. Du bist ein wundervoller Mensch. Danke für deine Taten. Danke, dass wir es nahezu miterleben dürfen!;2021-09-11T16:29:10.000Z;4 likes;-
19;jeanlucpiriou9122;Sophie die beste ❤️;2021-09-11T16:24:17.000Z;1 like;-
20;fritziandme;Ihnen etwas essen zustecken?;2021-09-11T16:14:06.000Z;1 like;-
21;gabyd166;Das frage ich mich auch, wie konnten kranke und geschwächte Menschen diese Tortur aushalten....;2021-09-11T16:11:49.000Z;2 likes;-
