Link: ;https://www.instagram.com/p/CWVNv56DBlv/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sonjasun87;Hat Alex eigentlich überlebt?;2021-11-18T08:50:41.000Z;1 like;-
1-1;ichbinsophiescholl;@sonjasun87 #TeamSoffer Alexander Schmorell wurde am 19. April 1943 im zweiten Prozess gegen die Weiße Rose vom Volksgerichtshof zum Tode verurteilt. Im Alter von 25 Jahren wurde er am 13. Juli 1943 zusammen mit Kurt Huber im Gefängnis München-Stadelheim durch das Fallbeil hingerichtet.;2021-11-18T12:04:57.000Z;10 likes;1
1-2;sonjasun87;@ichbinsophiescholl wie schrecklich 😢;2021-11-18T17:48:27.000Z;2 likes;1
2;michaela_hanauer;Ihr seid junge Studenten - der Krieg und die politische Lage stiehlt euch schon so vieles, da dürft ihr auch mal einen Abend euer Wiedersehen feiern, ohne gleich ein schlechtes Gewissen zu haben.;2021-11-17T06:59:46.000Z;1 like;-
3;wasabisch;Die Frage, die ich mir die ganze Zeit stelle: Wieso hat Fritz Sophies Schwester geheiratet? (Passt jetzt nicht so ganz in den Kontext, würde mich aber über eine Antwort freuen😄);2021-11-16T22:10:10.000Z;8 likes;-
3-1;riso5400;Nach der Hinrichtung von Sophie haben die beiden sich gestärkt und sich quasi s darüber;2021-11-17T06:54:55.000Z;0;3
3-2;ichbinsophiescholl;@wasabisch #TeamSoffer Fritz und Elisabeth sind sich durch den Schmerz um Hans und Sophie näher gekommen, wie Fritz in einem Brief an seine zukünftigen Schwiegereltern 1944 erklärt. (Hermann Vinke: Hoffentlich schreibst Du recht bald - Sophie Scholl und Fritz Hartnagel).;2021-11-17T09:00:37.000Z;16 likes;3
4;sira_lovely;Ist diese Schwärmerei für Alex erfunden und hat sie echt so gefühlt?;2021-11-16T16:06:59.000Z;2 likes;-
4-1;ichbinsophiescholl;@sira_lovely #TeamSoffer Sophie schreibt beispielweise im August 1942 in ihr Tagebuch, dass sie zuvor eine Seite herausgerissen habe, weil sie von Alex handelte. Anschließend fragt sie jedoch rhetorisch, warum sie ihn aus ihrem Herzen reißen solle. Nachzulesen in Hans Scholl und Sophie Scholl - Briefe und Aufzeichnungen aus dem Fischer-Verlag auf Seite 263. Sophies Gefühlslage gegenüber Alex war demnach wechselhaft, aber durchaus von Schwärmereien geprägt.;2021-11-16T18:11:30.000Z;33 likes;4
5;thisisulle;Ach man, gerade in diesen schweren Zeiten darf Party auch mal sein. Man kann doch nicht 24/7 nur vernünftig sein und diese Last und permanente Angst muss auch mal « raus getanzt » werden.;2021-11-16T15:31:13.000Z;3 likes;-
6;mylifehasmillioncolours;Liebe Sophie, als ich im Ausland studierte hab ich jedesmal einen halben Herzinfarkt bekommen, wenn ich mit einem Jungen zu lange getanzt oder zu frech gewesen war, weil mein Freund zuhause in der Heimat war. Der Mensch sucht eben nach Zuneigung. Damit stellst du die Liebe zu Fritz nicht in Frage. Die ist auf einem anderen Level. Feiere deine Rückkehr nach München ❤️;2021-11-16T12:17:21.000Z;4 likes;-
7;ines_s_2;❤️;2021-11-16T12:09:21.000Z;0;-
8;die_moehre;Eine Frage: galt Alkohol damals als Luxus? Ich frage, weil sie so viel davon getrunken haben, dass Sophie einen Kater hat 😅;2021-11-16T10:35:14.000Z;1 like;-
8-1;green_brown_eyes;Auch der war rationiert worden. Zum Teil richtig abstrus;2021-11-16T12:16:14.000Z;1 like;8
8-2;ichbinsophiescholl;@die_moehre #TeamSoffer Insgesamt war Alkohol während der Kriegsjahre nicht immer und überall zu erlangen. Wenn überhaupt griffen die Menschen auf Eingelagertes und Selbstgebranntes zurück. Wie genau die Mitglieder der Weißen Rose kamen ist nicht bekannt. Sophie und Hans tranken öfter bei den Zusammenkünften Wein und es ist davon auszugehen, dass sie durch gute Kontakte an Wein herankamen. In einer Erzählung von Elisabeth Scholl besorgt Sophie im Auftrag von Hans beim Hausmeister eine Flasche Wein, da er noch etwas Geld in seiner Tasche gefunden habe. Nachzulesen u.a. in Gottschalk: Wie schwer ein Menschenleben wiegt, S. 271.;2021-11-16T12:25:35.000Z;27 likes;8
8-3;die_moehre;@ichbinsophiescholl merci!;2021-11-16T14:30:17.000Z;0;8
9;heikegumz;"Tagebucheintrag von Sophie Scholl, 10. Okt. 42
""Heute morgen war ich bei Schmorells, in Schuriks [=Alex'] Zimmer, Bücher zu suchen. In welchen Trug wünscht man sich oft hinein! Ich hatte vor Monaten noch gedacht, meine Zuneigung zu Schurik sei größer als zu manchem anderen. Aber wie verlogen war dieser Wahn von Anfang an. Bloß meine Eitelkeit wünschte es, einen Menschen zu besitzen, der in den Augen anderer etwas wert war. O es ekelt mir vor mir selbst! Wie lächerlich verzerre ich mein Bild, und - nein, ich wünsche mir Möglichkeit herbei, um mich anders bewähren zu können.""
(aus: Hans & Sophie Scholl (1985). Briefe und Aufzeichnungen, S. 221)";2021-11-16T10:07:42.000Z;32 likes;-
10;missjanehh;Manchmal hilft Tanzen um für ein paar Minuten den Schmerz, Kummer und Leid zu vergessen. Auch in diesen unvorstellbaren schweren Zeit. ❤️;2021-11-16T10:07:12.000Z;7 likes;-
11;gwen_gloeckchen;Es ist schön, euch so glücklich zu sehen, liebe Sophie! 😍💞👍🏾;2021-11-16T09:55:08.000Z;10 likes;-
11-1;ichbinsophiescholl;@gwen_gloeckchen Wir sind alle froh, dass wir gesund in München angekommen sind und das es nun weitergeht mit der Weißen Rose!;2021-11-16T10:13:10.000Z;10 likes;11
11-2;gwen_gloeckchen;@ichbinsophiescholl Ich wünsche euch viel Spaß und vor allem Erfolg und Glück dabei! 🙌❤️;2021-11-16T10:18:39.000Z;0;11
12;giusy79_;Gefühle lassen sich nicht lenken, hör auf dein Herz liebe Sophie ❤️;2021-11-16T09:40:04.000Z;7 likes;-
12-1;ichbinsophiescholl;@giusy79_ Alle Menschen um mich herum haben einen besonderen Platz in meinem Herzen und Alex gehört dazu.;2021-11-16T10:09:30.000Z;12 likes;12
