Link: ;https://www.instagram.com/p/CWGQbkqs3V8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;tobiz94;Bin gerade auf den Kanal gestoßen. Ich finde das Format an sich keine schlechte Idee. Es wird an die Zeit des Nationalsozialismus erinnert. Gerade junge Leute werden so mit dem Thema konfrontiert und können selbst durch Kommentare mitwirken. und erhalten Hintergrundinfos. Gleichzeitig frage ich mich ob so ein Format geeignet ist um sich mit solch ernsten Themen zu beschäftigen. Ist Instagram nich viel zu oberflächlich? Wird dieses ernste Thema dadurch nicht ein stück weit verharmlost und instrumentalisiert?;2021-11-15T09:49:46.000Z;0;-
1-1;ichbinsophiescholl;"#TeamSoffer Lieber @tobiz94,
darüber lässt sich gerne diskutieren und so eine Diskussion begrüßen wir sogar. Wir wollten mit @ichbinsophiescholl einen anderen Weg gehen: Geschichte erlebbar und emotional machen, eine junge Widerstandskämpferin von einer Seite zeigen, die den wenigsten aus dem Geschichtsunterricht bekannt ist. Natürlich ist die Sophie Scholl des Kanals eine fiktive Figur. Historische Lücken und Unklarheiten haben wir kreativ und in Abstimmung mit den Expert:innen geschlossen. Dieses Konzept kann man gerne kritisieren – für uns ist es einzigartiger Weg, Nutzer:innen an Geschichte teilhaben zu lassen. Wir glauben, dass dieses Projekt die Grundlage bereiten kann für eine tiefere Auseinandersetzung mit unserer Geschichte.";2021-11-15T10:37:30.000Z;19 likes;1
1-2;tobiz94;@ichbinsophiescholl natürlich bietet sich Instagram an, um Geschichte erlebbar zu machen und so Jugendliche für dieses wichtige Thema zu erreichen. Gerade der Punkt mit den historischen Lücken ist aber aus meiner Sicht ein weiteres Problem. Vielen Abonent:innen scheint das Spannungsfeld zwischen Fiktion und historischer Orientierung nicht klar zu sein. Insbesondere da es in Geschichte nicht die eine Wahrheit gibt und jede Darstellung eine bestimmte Version von Geschichte ist.;2021-11-25T06:27:03.000Z;0;1
2;sophiann.a;Ich wäre meinem Bruder oft gerne näher, allerdings bringt der Alltag seine Streitigkeiten mit sich, vor allem weil er noch so klein ist...;2021-11-12T16:29:48.000Z;0;-
2-1;sophiann.a;@sophia.bonitz Trotzdem muss man die Zeit mit den lieben Menschen schätzen! Es ist nicht selbstverständlich.;2021-11-12T16:30:50.000Z;0;2
3;cora.sndr;Wie ich Hans in deinen Stories und Beitragen vermisst habe!;2021-11-12T13:32:51.000Z;0;-
4;tinakrepela;Oh ja. Meine Schwester ist meine beste Freundin 😊;2021-11-12T12:06:28.000Z;0;-
5;b_und_o;Aber gib dem Jungen bloß keine Hauptmannsuniform. Dann dreht der völlig durch… ☝️;2021-11-12T08:00:48.000Z;0;-
6;cocovp;Ja meine Zwillingsschwester.. wir wohnen weit entfernt (Austin, Texas und Seattle, Washington) aber wir reden fast jeden Tag und SMSen den ganzen Tag!;2021-11-12T04:14:21.000Z;0;-
7;valeskasophie;Mein Bruder und ich könnten verschiedener nicht sein und sind uns doch in einigen Dingen so ähnlich. Als wir kleiner waren, haben wir uns jeden Tag gestritten, aber jetzt liebe ich ihn über alles, auch wenn er mit seinen 14 Jahren gerade in einem schwierigen Alter ist. Egal was ist, wir sind immer für einander da ❤️;2021-11-11T22:28:04.000Z;2 likes;-
