Link: ;https://www.instagram.com/p/CQDwp0_IeCD/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;schoolsven;❤️😍;2021-07-25T13:16:26.000Z;0;-
2;isihlr;So stark!😊;2021-06-19T09:05:14.000Z;0;-
3;plasa_gemeinschaft;OH mein Gott...das ist emotional so toll aufgebaut...richtiges gänsehaut feeling, da wäre ich selbst gern wieder 16 <3 danke euch;2021-06-17T13:59:14.000Z;3 likes;-
4;katinkerin;Wie heißt das Spiel mit den Händen?;2021-06-17T07:52:42.000Z;0;-
5;tobias_ebert_pankow;Hallo, wie heißt dieses Fingerspiel? 👏;2021-06-16T03:10:50.000Z;3 likes;-
5-1;ichbinsophiescholl;"#teamsoffer @tobias.ebert.80 Lieber Tobias, es handelt sich hierbei um ein altes Kinderspiel und ein universell gebräuchlicher Name dafür ist uns nicht bekannt. Im Englischen wird es jedoch häufig ""Chopstick Game"" genannt. Liebe Grüße!";2021-06-16T07:36:56.000Z;2 likes;5
5-2;tobias_ebert_pankow;@ichbinsophiescholl danke;2021-06-16T13:21:53.000Z;0;5
6;instajulia228;Ich hätte gerne eine Anleitung für das Fingerspiel 😍;2021-06-15T18:06:55.000Z;2 likes;-
6-1;ichbinsophiescholl;"#teamsoffer Hallo @instajulia228 das Spiel funktioniert folgendermaßen:
Beide Spieler:innen fangen mit jeweils einem Finger pro Hand an. Immer nacheinander dürfen sie einmal auf eine Hand der anderen Person tippen. Wenn Hans z.B. mit einem Finger auf Alex Hand mit einem Finger tippt, hat Alex an der Hand dann zwei Finger, wenn Alex mit den zwei Fingern Hans Hand mit einem Finger antippt, hat Hans dann drei und Hans kann Alex Hand mit zwei Fingern antippen, woraufhin die Hand ausgeschieden ist. Wenn Alex auf der anderen Hand dann zwei Finger hat, kann er diese auf zwei Hände verteilen, damit er wieder auf beiden Händen einen Finger hat und keine Hand ausscheidet.
Verloren hat die Person, die als erste keine Hand mehr hat.
Es handelt sich hierbei um ein altes Kinderspiel und im Laufe der Zeit können diverse neue Regeln hinzugezogen werden. Ein allgemein gebräuchlicher Name für dieses Spiel ist uns nicht bekannt, im englischen wird es jedoch häufig „Chopstick Game“ genannt.
Liebe Grüße!";2021-06-15T18:47:10.000Z;8 likes;6
7;wrohrbeck1;Das ist das beste was ich je gesehen habe!!bleibt stark und macht weiter!!❤️🙌🙌🔥😢saustarke Darstellung;2021-06-15T12:04:10.000Z;1 like;-
