Link: ;https://www.instagram.com/p/COw4ibVKm2i/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;monikamarchlewski;Ich sehe diesen Abschnitt erst jetzt. Toller Tipp von dir!!! So nach und nach entdecken wir die Hausmittel wieder. Und diese sind wesentlich umweltverträglicher.;2022-01-15T12:13:49.000Z;1 like;-
2;maxxime.millions;Geht es auch mit Nike Air Force?;2022-01-12T23:21:09.000Z;0;-
3;tisu_aus_dingenskirchen;Wie macht man Essigwasser?;2021-08-10T18:16:52.000Z;1 like;-
3-1;regenbogenkartoffel;@tisu_aus_dingenskirchen Du musst einen ganz kleinen Tropfen Essigkonzentrat in einen Eimer mit Wasser geben.;2022-02-25T18:32:57.000Z;2 likes;3
3-2;tisu_aus_dingenskirchen;@regenbogenkartoffel ah, danke!;2022-02-25T18:38:28.000Z;1 like;3
4;ich.liebekochen;😍;2021-06-20T15:35:37.000Z;0;-
5;my.kind.of.pics;Meine Mama hat weiße Sachen mit Schlemmkreide wieder weiß bekommen. 💆Kannst Du ja mal pro ieren;2021-06-08T21:31:06.000Z;2 likes;-
6;humm.el;Danke für die Tipps, werde ich bei Zeiten ausprobieren! 😮 Möchte dir empfehlen, immer nach dem Tragen Schuhspanner zu benutzen. Dadurch glätten sich die Falten im Leder und deine Schuhe halten 3 Mal so lange.👞...Love my shoes...❤️ Mache ich seit Jahren! Übrigens funktioniert es auch, sie mit Zeitungspapier auszustopfen. 😊;2021-05-26T18:24:34.000Z;6 likes;-
6-1;eljosefine;@humm.el geht das auch bei Kunstleder?;2021-08-13T14:42:04.000Z;2 likes;6
6-2;humm.el;@eljosefine die Falten bleiben immer, werden durch den Schuhspanner aber nicht so ausgeprägt und der Schuh bleibt in seiner schönen Form und bekommt nicht diese Buckel. Auch einem Kunstlederschuh tut die Spannung gut! 😊 Liebe Grüße! 🌸;2021-08-16T22:46:47.000Z;3 likes;6
7;boxxes_inc;That is normal- not a trick;2021-05-21T23:01:25.000Z;1 like;-
8;f_12_sehic;Echt Toll, dass die Beiträge so echt und authentisch wirken. Es ist so, als wenn Sophie Scholl heute noch lebt und ihr Leben hier auf Instagram teilt. Bravo wirklich;2021-05-17T20:27:09.000Z;9 likes;-
9;prdxedge;Das hab ich schon gelernt, als ich klein war... Was ich nicht ausführlich genug gelernt habe und weshalb ich eigentlich hier bin, ist, wie die Widerstände, oder zumindest der der Scholls, aussahen und mein Hintergrundwissen zu erweitern. Für DIY Shoe Cleaning Life Hacks oder so könnte ich mir auch Tik Tok runterladen... :);2021-05-16T00:53:46.000Z;0;-
9-1;paaaulacz;@prdxedge omg;2021-05-17T19:12:15.000Z;0;9
10;philicious_philici;"Neue kaufen bei Zalando ;-)";2021-05-15T23:05:39.000Z;2 likes;-
11;ro_sa_gods_princess;Genial. 😁;2021-05-14T21:01:12.000Z;0;-
12;ro_sa_gods_princess;S;2021-05-14T21:01:05.000Z;0;-
13;karen.hansenhh;❤️;2021-05-14T19:39:32.000Z;0;-
14;familie_hess;Danke für den tollen Tipp 👏;2021-05-14T19:01:23.000Z;0;-
15;antiquarianbooks;Ich kenne das Hausmittel Schuhcreme. Gab es auch schon 1942.;2021-05-14T16:16:57.000Z;0;-
16;vallikonich;geniale Gschicht, die Anleitung und die Zeitreise;2021-05-14T14:06:55.000Z;0;-
17;lsn.frx;@therealdonderm;2021-05-14T14:04:20.000Z;0;-
18;eluma813;Was ein fake scheiss hier;2021-05-14T13:21:29.000Z;0;-
19;kleinegartenhexe;Schweineschmalz;2021-05-14T12:41:34.000Z;0;-
20;mimiweissewolke;"Nebenbei bemerkt:
Hübsche Schuh!
✨";2021-05-14T11:34:08.000Z;0;-
21;timo_the_sailorman;Und wenn die Sohlen zu glatt sind einfach mit feinen sandpaper anschleifen und mit kerzenwach einreiben, hilft auf rutschigen nassen Schiffsplankrn und im Winter bei Eis und Schnee.;2021-05-14T10:55:55.000Z;0;-
22;guvenguevara;???? Wenn Sophie scholl Instagram hätte würde sie sich sicher nicht wie so eine Bloggerin verhalten...fast 1mio Vollidioten die folgen und nicht merken was für eine Respektlose Degradierung du für den riesen Geist Sophie Scholl's darstellst !!!!;2021-05-14T09:07:25.000Z;0;-
23;frauschnabelstedt_liebtbuecher;@se.pollma @frau_heldin es ist so gut;2021-05-14T07:51:33.000Z;1 like;-
23-1;se.pollma;@frauschnabelstedt_liebtbuecher ja, echt klasse 😊;2021-05-14T14:10:14.000Z;0;23
24;wene_beinhart;Schuhwixe 😂;2021-05-14T03:00:48.000Z;0;-
25;michel__________;Finde das ehrlich gesagt absolut schrecklich;2021-05-14T00:31:36.000Z;0;-
26;louiskatorse;Worum ging es nochmal? War da nicht was? Naziherrschaft?!?;2021-05-13T22:02:00.000Z;0;-
27;zaraschaaf;Hab die Woche was von Bananenscheiben (mit dem Inneren abreiben) gelesen - aber noch nicht getestet 😅;2021-05-13T20:35:43.000Z;1 like;-
28;fdp_heilbronn;#Hausmittel #ftw 👏👏;2021-05-13T20:21:20.000Z;0;-
29;whatsyourm.ission;Haha meine Uroma hat die selbe Bürste. Und das Projekt ist so eine schöne Idee und voll gut umgesetzt:);2021-05-13T17:29:12.000Z;0;-
30;nathalie__0305;Wie cool, meine Oma hat das früher manchmal mit der Allzweckcreme aus dem großen blauen Topf gemacht (weiß nicht ob ich den Markennamen nennen darf, Werbung und so 😊 Fängt mit N an und hört mit A auf😉).;2021-05-13T15:48:27.000Z;0;-
31;janela92;Geht das auch mit dem Ledersofa?;2021-05-13T13:58:37.000Z;0;-
32;steffidehne;Wie witzig! Gerade eben hab ich 👞 geputzt und nun sehe ich Dein Video. Ich hab allerdings normale Schuhcreme benutzt 😇;2021-05-13T13:43:08.000Z;0;-
33;blazquez987;Toller Tipp, danke!;2021-05-13T12:29:47.000Z;0;-
34;smalltalk201;Schuhe putzen...hat heute für mich auch was mit Nachhaltigkeit zu tun. Und was Haushaltstips angeht: Backpulver auf frische Fettflecken streuen. Hilft immer 👍;2021-05-13T11:00:44.000Z;0;-
35;michael_schluetter;🤯;2021-05-13T10:31:25.000Z;0;-
36;thomas_strube_niedersachsen;Klappt im übrigen gut bei Lackschuhen. Da allerdings die Creme weglassen und mit einem Tuch polieren.;2021-05-13T09:38:04.000Z;0;-
37;moyblick;In 78 jahren 13.5.2020 findet das DFB finale zwischen Dortmund-Rb Leipzig statt;2021-05-13T07:16:18.000Z;1 like;-
38;100_gram_insta;❤️;2021-05-13T06:44:14.000Z;0;-
39;claudia_schiffer09;Zahnpasta;2021-05-12T23:41:53.000Z;0;-
40;markisita;Oder mit 🍌 Bananenschale.;2021-05-12T22:58:50.000Z;0;-
41;der.rallo;Ich empfehle Bürsten von @buerstennickles Bamberg. 😊;2021-05-12T22:53:55.000Z;0;-
42;daritzki;...zum Polieren nehm ich alte Nylonstrümpfe... det glänzt vielleicht!;2021-05-12T22:32:18.000Z;2 likes;-
43;enibasreiam;Schmiere an Fingern löst sich super mit einem kleinen Sück Butter;2021-05-12T21:57:24.000Z;0;-
44;tina.r.0265;Wusstest du, dass Tomaten(auch - Soße)flecken von ganz alleine verschwinden, wenn man das verschmutzte Teil in die Sonne legt? Ich lege meine Schnittbretter aufs Fenstersims in die Sonne und schwupps, sind sie wieder weiß 😃;2021-05-12T21:00:22.000Z;1 like;-
45;mum.s__;Vielen Dank, Sophie ☺️ Abflussreiniger aus Essigreiniger und Natron! Vorsicht chemische Reaktion 🙋🏻‍♀️;2021-05-12T20:57:50.000Z;0;-
46;frostkoeddel;Ich benutze immer Natron zum Backofen reinigen, wenn auf den Blechen angebranntes sitzt. Und Backpulver plus Essig gegen verstopfte Abflüsse. Essig und Zitrone als Weichspüler.;2021-05-12T20:18:49.000Z;1 like;-
47;frostkoeddel;Essigwasser funktioniert aber sicher nur bei Echtleder?;2021-05-12T20:16:13.000Z;0;-
48;nadinhe84;Natron- oder Backpulver und Essig oder Zitronensaft. Damit bekommt man jede Waschschüssel, jeden Krug und jedes Becken wieder glänzend sauber! Erst das Natron verstreuen, dann den Essig drauf träufeln, verteilen, einwirken lassen, ausscheuern und sauber spülen! #hausmittel #wieneu;2021-05-12T19:25:41.000Z;0;-
49;mme.necke;Öl und Zeitungspapier. Die Druckerschwärze bringt's;2021-05-12T19:09:07.000Z;0;-
49-1;mme.necke;@mme.necke natürlich vorher gut trocken abbürsten. Nicht vor oder auf dem Ofen trocknen. Das macht das Leder spröde.;2021-05-12T19:11:35.000Z;0;49
50;miosfima;Toller Tipp! Werde ich auch ausprobieren! 👍😊;2021-05-12T19:09:07.000Z;0;-
51;micha_hartan;Silber mit Backpulver putzen und Speckränder an dunklen Mänteln und Jackets mit schwarzem Kaffee abreiben;2021-05-12T19:07:20.000Z;0;-
52;bellini453;😮;2021-05-12T18:47:44.000Z;0;-
53;darko_pavicic;Mein Vater, hat vom Opa gelernt das altes Bienenwachs die Schuhe 👞 weich und sauber macht. Aber : weniger ist mehr. Mit alten Stoffresten polieren! Gutes Gelingen.;2021-05-12T18:43:16.000Z;1 like;-
54;simbohl;Was für eine geniale Idee (jungen) Menschen Historie nahe zu bringen. 👏👏👏 Ich habe Geschichte studiert und hatte nie ein Interessen-Problem. Ich kenne es aber aus Gesprächen mit Kindern u. Jugendlichen meiner Freunde. Bin immer wieder entsetzt, wie altbacken und langweilig der Unterricht ist. Hallo, wir sind im 21. Jahrhundert! Es gibt so viele Möglichkeiten historische Zeiten spannend zu erzählen, siehe u.a. hier. Bleibt nur noch zu sagen: Liebe Sophie, seit ich vor Jahrzehnten von Deinem und Deiner Mitstreiter Schicksal gehört hatte, bin ich jedesmal von Neuem geschockt über euren sinnlosen Tod. 😢;2021-05-12T18:26:34.000Z;0;-
55;imschotten;einen Liter Essig in heißes Wasser, einen Spritzer Spülmittel dazu- macht den Abfluss frei👍🏻😎;2021-05-12T18:18:56.000Z;0;-
56;auch_schuhmachermeister;Perfekt!;2021-05-12T18:18:50.000Z;1 like;-
57;jim_w22;Thx.....das kenne ich noch nicht❤️;2021-05-12T17:58:59.000Z;1 like;-
58;jule_achtzehnnulldrei;@snkrcrps Sophie Scholl war auch „Sneaker“-Cleaner. 😍;2021-05-12T17:56:46.000Z;1 like;-
59;abnehmcoach.oliver;Vielen Dank für die tollen Tipps! Ich bin leider meistens zu faul zum Saubermachen der Schuhe😞 Der nächste Regen wischt es ab 😜;2021-05-12T17:51:32.000Z;2 likes;-
60;zsuzsa_geht_jagen;Das mit der Handcreme mache ich auch... wird echt prima 👏👏👏;2021-05-12T17:46:23.000Z;1 like;-
61;huerm05;❤️;2021-05-12T17:13:00.000Z;1 like;-
62;valfariaa;Diese Schuhe 🥰;2021-05-12T16:43:27.000Z;1 like;-
63;mellybackt;Funktioniert hervorragend 😊 👏👏👏;2021-05-12T16:36:10.000Z;1 like;-
64;caro_lado;Soda und Essig für verstopfte Abflüsse - einwirken lassen und mit kochend heißem Wasser nachspülen;2021-05-12T16:35:59.000Z;1 like;-
65;beeo_fresh;Super Projekt! Und dann noch Nachhaltigkeit integrieren👏👍;2021-05-12T16:30:43.000Z;2 likes;-
66;px3752;"Mir ist ""Essigwasser"" jetzt ein wenig unkonkret 🤔 Hab Essig Essenz im Schrank. Das einfach druff oder lieber verdünnen?";2021-05-12T16:27:58.000Z;0;-
67;glinzerkram;Cool, das mach ich jetzt auch so. 😍;2021-05-12T16:23:49.000Z;1 like;-
68;markusirgang;Eigebrannte Pfannen bekommt man mit Natron und Wasser wieder sauber.;2021-05-12T16:21:36.000Z;1 like;-
69;anettehaas.offiziell;Ihr macht das großartig 👏;2021-05-12T16:16:04.000Z;2 likes;-
69-1;ichbinsophiescholl;@anettehaas.offiziell #teamsoffer Vielen Dank! schön,dass es dir gefällt!;2021-05-12T17:44:51.000Z;1 like;69
70;frank.schapp;Zeitungspapier und Spucke! Reicht völlig 🙃;2021-05-12T16:15:46.000Z;1 like;-
71;mirandavdhop;@jet_nelissen;2021-05-12T16:10:24.000Z;0;-
72;chri.st697;Danke;2021-05-12T16:07:28.000Z;1 like;-
73;catdweezil;Tolle Idee mit dem Essigwasser, danke für den Tipp Sophie 👍🥰;2021-05-12T16:02:02.000Z;1 like;-
