Link: ;https://www.instagram.com/p/COqYF8OKIYE/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kayser.anna;Wie heißt das Lied das dort gespielt wird? Habe das Video wieder entdeckt und würde auch gerne dazu tanzen😍;2021-07-08T12:54:16.000Z;2 likes;-
2;plasa_gemeinschaft;Hans Dampf der olle DÄNZER!!! <3;2021-05-26T16:34:13.000Z;2 likes;-
3;kev_in_93er;Hatten die Damals schon die Zigaretten mit Filter?!🤔 Kann mich nicht dran erinnern 😅;2021-05-24T08:52:02.000Z;2 likes;-
4;sel.bkr;@_.k.a.r_m.a._ @shqipeeez das erinnert mich an euch beide 👌🏽😍;2021-05-22T14:30:53.000Z;2 likes;-
4-1;karmamentoring;@sel.bkr yeahhh🔥;2021-05-22T14:32:15.000Z;1 like;4
4-2;shqipeeez;@sel.bkr let’s boogie woogie 💃🏻😍;2021-05-22T14:33:32.000Z;0;4
5;ayla.janning;💃🏼;2021-05-21T19:18:33.000Z;0;-
6;superheldenausbildung;👏;2021-05-19T09:48:25.000Z;2 likes;-
7;feelinglikedaisy;Ach wie schön es ist zu tanzen und dein Profil, dass interessanteste über das ich je drüber gestolpert bin❤️;2021-05-17T19:09:26.000Z;2 likes;-
8;hotshot_toxicwaste;Ich bin heute durch Zufall auf das Profil gestoßen. Interessanter Blick in die Geschichte und eine gute Antwort auf die Frage, was wäre, wenn es damals schon soziale Internet Netzwerke gegeben hätte. Und gleichzeitig erschreckend die aktuelle Verbindung zu heute.....in den 30er/40er Jahren war es die NSDAP, heute ist es die AfD....;2021-05-16T16:15:08.000Z;5 likes;-
9;hannes.040;Coronapartys sind #uncool;2021-05-16T14:04:00.000Z;2 likes;-
10;charleen.fadel;Bitte bitte startet mehr solcher Projekte ❤️❤️❤️ einfach grandios .;2021-05-16T13:50:39.000Z;0;-
11;jule_nck;Ich dachte gerade das wäre @dimakoslowski 😂;2021-05-16T09:16:26.000Z;0;-
12;cuubaan;Sophie ich glaube das mit den Flugblättern an der Universität solltest du die nochmal überlegen;2021-05-15T17:14:50.000Z;0;-
13;alexanderwengelewski;Herzlichen Glückwunsch nachträglich alles Liebe und Gute liebe Sophie ❤️;2021-05-15T12:40:25.000Z;0;-
14;xenia.weller;@pia.weller;2021-05-14T20:21:34.000Z;0;-
15;milanezilarissa;I loved this one!! @dascha_bl;2021-05-13T16:27:35.000Z;1 like;-
16;revicible;Aus welcher Zeit stammt diese Musik?;2021-05-13T13:26:30.000Z;0;-
16-1;paddy_wilson1;30er/40er;2021-05-14T08:36:03.000Z;1 like;16
16-2;paddy_wilson1;"In den hashtags steht das ""Genre"", also die Musik-Art #swing";2021-05-14T08:37:14.000Z;1 like;16
17;_mx.br_;Top gelungene und sehr authentische Atmosphäre in diesem Reel🙌👏🔥;2021-05-13T10:38:10.000Z;0;-
18;der.henning88;... schön, dass Du deinen Geburtstag so teilst! Alles Gute und viel Kraft für die nächsten Monate...;2021-05-13T10:18:08.000Z;0;-
19;holunderwirbel;Wie heißt das Lied 🙊;2021-05-13T10:15:47.000Z;0;-
20;gwen_gloeckchen;Yippii!💃🕺;2021-05-13T08:32:18.000Z;0;-
21;mery_em661905;@mehmetertekin93 @egitimcianne_tugba @ahmet.rtkn @princeogy alles gute nachträglich 💐🥳🌸;2021-05-12T14:35:47.000Z;0;-
22;barbara_w_bleuciel;Ich auch- tanzen macht mich sehr glücklich, egal wie schlecht die Zeit ist @ichbinsophiescholl - tanzen macht das Leben lebenswert ❤️;2021-05-12T05:13:58.000Z;1 like;-
23;nadinekleinen84;Cool;2021-05-11T20:55:06.000Z;0;-
24;frollein_cu;Happy belated birthday dear Sophie! 😘;2021-05-11T20:11:51.000Z;0;-
25;doreen_blask;Alles Liebe! 🌹;2021-05-11T19:52:49.000Z;0;-
26;aaliyah.lds;Alles gute Sophie 🤍🌹;2021-05-11T17:24:18.000Z;0;-
27;sinafhmr;@franzi.iska89;2021-05-11T17:04:46.000Z;0;-
28;batalla_cl;🙌🏽✨;2021-05-11T15:26:36.000Z;1 like;-
29;purple__haze__;Wie krass realistisch das alles aussieht.. der Hammer ❤;2021-05-11T15:22:48.000Z;1 like;-
30;der_philanthrop_1961;Da tanzt die Sofferl vom Forchtenberg in Hohenlohe;2021-05-11T13:50:45.000Z;0;-
31;chocolatefudgestudios;😍😍😍😍;2021-05-11T13:49:16.000Z;0;-
32;jakob_fcbm;Wenn sie heute Leben würde, in welcher Partei wäre sie? Die Linke? Die Grünen oder doch Union?;2021-05-11T09:09:00.000Z;0;-
33;ak_fotostyle;sehr cool! I like it!;2021-05-11T08:33:10.000Z;0;-
34;yngridrose;Swing Kids❤️;2021-05-11T08:08:59.000Z;0;-
35;heidi.fritsch.9;👏❤️;2021-05-11T06:56:56.000Z;0;-
36;sabinevonpiecho;Alles Liebe für dich zum GT .... Was sagt den euer Blockwart zu deiner Feier .... hat der nicht geklingelt und gefragt was bei euch los ist? Unsere Nachbarn hätten sofort rumgemeckert: „Unsere Jungs an der Front und der Überlebenskampf des deutschen Volks usw usw ...“ als wenn wir eine Schlacht gewinnen, bloß wenn wir nicht feiern ....;2021-05-11T06:27:56.000Z;0;-
37;sabinevonpiecho;Haben sich deine Kameradinnen vom BDM aus zum GT gemeldet ....;2021-05-11T06:27:08.000Z;0;-
38;sabinevonpiecho;Haben sich deine Kameradinnen vom BDM aus zum GT gemeldet ....;2021-05-11T06:26:43.000Z;0;-
39;sabinevonpiecho;Alles Liebe für dich zum GT .... Was sagt den euer Blockwart zu deiner Feier .... hat der nicht geklingelt und gefragt was bei euch los ist? Unsere Nachbarn hätten sofort rumgemeckert: „Unsere Jungs an der Front und der Überlebenskampf des deutschen Volks usw usw ...“ als wenn wir eine Schlacht gewinnen, bloß wenn wir nicht feiern ....;2021-05-11T06:25:22.000Z;1 like;-
40;matiphotography;Ich wäre gerne dabei gewesen und hätte mitgetanzt! Alles, alles Liebe zum Geburtstag! 🖤;2021-05-11T04:27:59.000Z;0;-
41;vanessa.mze;❤;2021-05-11T01:25:15.000Z;0;-
42;finca.casimira;Ich liebe tanzen auch so sehr! Es tut meiner Seele immer so gut! Ein bisschen beneide ich dich. Bei uns ist Tanzen verboten. Zumindest in der Öffentlichkeit und auf der Straße und in Tanzlokalen geht das alles nicht. Zu Hause, allein bzw mit der Familie, geht es. Das ist auch schön. Aber nicht dasselbe. Mir fehlt es sehr!;2021-05-10T23:06:16.000Z;0;-
42-1;rosalia_1312;"@finca.casimira ein bisschen kranke Logik, so ein Neid auf die Zeit im Nationalsozialismus. 😬 und die beiden tanzen ja auch innen. das kannst du auch;)";2021-05-10T23:35:55.000Z;0;42
43;niki.pan;Alles Liebe Sophie ❤️❤️❤️ Ich wünschte du wärst noch heute bei uns 😢;2021-05-10T22:42:07.000Z;0;-
44;monaemami61;❤️❤️;2021-05-10T22:23:40.000Z;0;-
45;chiara.sphx;Alles Gute zu diesem besonderen Tag Sophie <3;2021-05-10T21:40:32.000Z;0;-
46;vinc_deville;"In ein paar Jahren kommt eine Musik die heißt ""Rock n Roll"", hätte dir sicher auch gefallen. 🙂";2021-05-10T21:00:19.000Z;1 like;-
47;kate4sunrise;Liebe Sophie! Alles Gute zum Geburtstag nachträglich! Es ist schön, dich so ausgelassen zu sehen! Mir gefällt deine Lebensfreude! Hab Spaß solange es geht!!!!;2021-05-10T20:52:40.000Z;0;-
48;yorkssonne;Swing zu hören ist ja nicht ungefährlich... aber eben toller sound :-);2021-05-10T20:44:56.000Z;0;-
49;nachricht.von.dir;@ichbinsophiescholl auch wir hatten gestern einen unvergesslichen 12. Geburtstag meiner Tochter am 9. Mai ❤️ und den meiner geliebten Oma, ihrer Ur-Oma, die leider vor 10 Jahren gestorben ist... sie wäre 97 Jahre alt geworden... 1924 geboren ❤ sie ist meine Seelenverwandte gewesen. 🙌❤️🙌;2021-05-10T20:21:14.000Z;0;-
50;decembergirl_eri;Und ich liebe liebe liebe diesen Beitrag und was ihr damit bezwecken wollt 💪🏽❤️👏🏽😍;2021-05-10T19:31:32.000Z;0;-
