Link: ;https://www.instagram.com/p/CWLdz-ispLs/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;irene.garbe3;Gott und Freunde/Familie;2021-11-14T09:44:31.000Z;0;-
2;piensaenmate;❤️❤️❤️;2021-11-14T08:54:06.000Z;0;-
3;lupuscolonia;🙌👏👏;2021-11-14T08:48:59.000Z;0;-
4;vallichen;In guten wie in schweren Zeiten gibt mir mein Gott halt, der nämlich immer ein fester Anker war, ist und für immer sein wird, weil er nämlich nicht wie alles auf dieser Welt vergehen wird 😊 Jesus ist mein bester Freund, dem ich alles erzählen kann & bei dem ich meine ganze Last loslassen kann in dem Wissen, dass er alles für mich regelt 🤗☺️🙈;2021-11-13T23:39:09.000Z;0;-
5;fraushohreh;Genau dass alle zusammen sind -das ist das Schönste;2021-11-13T21:17:12.000Z;0;-
6;christine.keskin.5;🙌👏👏😍;2021-11-13T19:19:36.000Z;0;-
7;helgadancke;Meine Eltern, die leider nicht mehr leben, mein Bruder und meine Freunde- sie alle haben mir immer geholfen, schwere Zeiten durch zu stehen. Ohne sie hätte ich manches nicht geschafft. Ich kann dich gut verstehen liebe Sophie.;2021-11-13T08:24:48.000Z;0;-
7-1;ichbinsophiescholl;@helgadancke Mein Beileid zu deinem Verlust. Wie schön, dass du deine Eltern so gut in Erinnerung hältst und daraus Kraft schöpfen kannst. Familie und Freunde sind einfach unersetzlich!;2021-11-13T08:44:25.000Z;0;7
8;frida.hlg;Wo ist Elisabeth zu den Zeitpunkt gewesen?;2021-11-13T07:13:38.000Z;1 like;-
8-1;ichbinsophiescholl;@frida.hlg #TeamSoffer Über Elisabeth Scholl ist nur sehr wenig dokumentiert. Sie machte 1939 ihr Staatsexamen am Ulmer Fröbelseminar und begann daraufhin eine Fortbildung als Säuglingsschwester in der Kinderklinik der Universität Tübingen. Von dort an wechselte sie häufig ihren Standort und arbeitete in diversen Familien und Kindergärten.;2021-11-13T08:49:27.000Z;3 likes;8
8-2;frida.hlg;@ichbinsophiescholl Vieleb Dank für die Antwort, ist ein toller, lehrreicher Kanal!;2021-11-13T18:50:45.000Z;1 like;8
9;faeriedust_3108;So ist es auch bei uns. Die Familie ist immer da ❤️;2021-11-13T06:25:00.000Z;0;-
10;wene_beinhart;yolo;2021-11-12T23:05:55.000Z;0;-
11;lena.aurnhammer2020;Elisabeth fehlt um komplett zu sein!;2021-11-12T22:06:47.000Z;1 like;-
11-1;ichbinsophiescholl;@lena.aurnhammer2020 Da hast du Recht. Sie ist zur Zeit leider nicht hier bei uns in Ulm, aber ihr geht es gut! Hoffentlich sehe ich sie auch bald wieder.;2021-11-13T08:55:10.000Z;2 likes;11
12;katja_d_brauer;Ich musste früh lernen mir selbst Halt zu geben. Mein Leben liegt in meinen Händen. Doch falls meine Hand mal zittern sollte ist da jetzt meine Wahlfamilie.❤️;2021-11-12T21:59:35.000Z;1 like;-
12-1;ichbinsophiescholl;@katja_d_brauer Wie schön, dass du dir eine Familie gesucht hast, die dir Halt gibt. Otl und ich sind auch nicht verwandt, dennoch gehört er für mich zur Familie. Unser Verhältnis ist beinahe so vertraut wie das zwischen meinen Geschwistern und mir.;2021-11-13T09:01:51.000Z;1 like;12
13;paticosorio;Wer fehlt noch?;2021-11-12T20:47:48.000Z;1 like;-
13-1;ichbinsophiescholl;@paticosorio Elisabeth ist leider nicht hier bei uns in Ulm. Ich hoffe, wir sehen sie ganz bald wieder!;2021-11-13T09:03:42.000Z;6 likes;13
14;otyliahrouda55;Wieso fast komplett?;2021-11-12T20:01:08.000Z;2 likes;-
14-1;nichtsophiescholl;@otyliahrouda55 weil Elisabeth Scholl, die Schwester von Inge, Hans, Sophie und Werner fehlt.;2021-11-12T20:32:20.000Z;6 likes;14
15;dogs.agathe.skipp;Meine Freunde und meine Hunde helfen mir sehr;2021-11-12T18:45:39.000Z;1 like;-
16;sebastian_aus_bielefeld;Meine Freunde.;2021-11-12T18:24:20.000Z;1 like;-
17;italiadree;Familie kann eine Stütze sein, ist es aber beileibe nicht automatisch. Mir hilft schreiben - nicht nur Tagebuch - und Musik sehr. Freundinnen und Freunde natürlich auch;2021-11-12T18:10:37.000Z;2 likes;-
18;gwen_gloeckchen;Liebe Sophie! Bravo zu Deinem Familienmotto und Deiner zauberhaften Familie. Auch mir gibt meine Familie den nötigen Halt im Leben und unser Motto ist: Wer andere glücklich macht, wird selbst glücklich! Grüße an dich und deine Familie!;2021-11-12T18:09:03.000Z;3 likes;-
18-1;ichbinsophiescholl;@gwen_gloeckchen Das ist ein wunderbares Motto!;2021-11-12T18:17:45.000Z;8 likes;18
19;birboblue;ja die Familie ist wichtig! Und gibt Sicherheit und Geborgenheit. Außerdem gibt mir Halt, mir immer wieder zu sagen, dass kein Zustand, wie schlimm er auch ist, von Dauer ist.;2021-11-12T17:50:53.000Z;1 like;-
20;lxnx_xngx;Ich finde ja Familie so wichtig und der Zusammenhalt kann so unterstützend wirken und so viel Kraft geben ❤️ ich freu mich richtig für euch das Hanns und Werner wieder da sind;2021-11-12T17:36:12.000Z;1 like;-
21;magnoliagirl_;Meine Familie;2021-11-12T17:28:35.000Z;2 likes;-
22;ulli_bac;Wo ist Elisabeth?;2021-11-12T17:25:12.000Z;0;-
22-1;heikegumz;@ulli_bac Elisabeth hatte zunächst eine Ausbildung zur Kindergärtnerin in Ulm, dann eine Fortbildung zur Kinderkrankenschwester in Tübingen absolviert und arbeitete seitdem als Familienhelferin in kinderreichen Familien. Anfang Oktober 42 half sie gemeinsam mit Sophie für 10 Tage in München Prof. Muth bei Aufräumarbeiten in seiner durch Luftangriffe beschädigten Villa. Von dort kehrte Elisabeth dann wieder zu der Familie zurück, in der sie als Familienhilfe tätig war.;2021-11-12T22:17:19.000Z;3 likes;22
22-2;heikegumz;@heikegumz Quelle: Scholl, S.,& Hartnagel, F. (2005). Damit wir uns nicht verlieren. S. 411;2021-11-12T22:19:39.000Z;2 likes;22
23;karinamelone3484;"Oh! Das ist so schön! Aber wirklich schade, dass Elisabeth es nie her schafft.. Was bedeutet das genau? Dieses Familienmotto?
Und wer spielt denn den Werner, falls ich fragen darf ☺️?";2021-11-12T17:20:18.000Z;1 like;-
23-1;ichbinsophiescholl;"@karinamelone3484 #TeamSoffer Schon früh, musste die Familie zusammenrücken und sich gegen andere auflehnen. Nach der Abwahl als Bürgermeister von Forchtenberg 1929, lehnte sich Robert Scholl gegen seinen Kritiker auf, sodass die Familie eng zusammenrückte, aber dennoch die Stadt verlassen musste. ""Wir Scholls halten zusammen, stolz und unbeugsam!"" Auch wenn dies für die Familie bedeutete, anders als die andern zu sein. Auch Sophie übernahm die Haltung und schrieb ihrem Vater als er im Sommer 1942 im Gefängnis saß: ""Du spürst doch, dass du nicht allein bist, denn unsere Gedanken, die reißen die Schranken und Mauern entzwei: die Gedanken! ""
Nachzulesen u.a. in Gottschalk: Wie schwer ein Menschenleben wiegt. S. 44 und S. 241)";2021-11-12T18:14:52.000Z;16 likes;23
23-2;karinamelone3484;@ichbinsophiescholl oah, danke, dass ihr geantwortet habt 😊. Aber gg was wollten sie sich auflehnen, wenn er abgewählt wurde? Das kommt halt vor, oder? Oder hat bei der Wahl was nicht gestimmt 😳?;2021-11-12T20:44:02.000Z;0;23
