Link: ;https://www.instagram.com/p/CYOvFIDMtSA/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Ja wenn man einer Person richtig vertrauen kann dann macht selbst ein Aufstand gegen eine schreckliche Regierung mehr Freude als alleine!;2022-01-12T06:04:57.000Z;0;-
2;michaelas_lab_life;Ich bin in Krauchenwies aufgewachsen. Verrückt zu lesen dass du hier warst 🙂;2022-01-03T22:49:03.000Z;0;-
3;burghardtuffmann;Ja ja Krau chenwies;2022-01-03T21:32:28.000Z;0;-
4;germanboy180;Ich habe auch Freunde die sehr weit weg wohnen mit denen ich immer wieder schreibe. Umso schöner ist es dann wenn man sich dann nach einer sehr langen Zeit wieder sieht und man super viel zu erzählen hat.;2022-01-02T19:43:10.000Z;0;-
5;anjamuller565;Was wären wir ohne gute Freundinnen? Schön dass Du Dich so gut mit Gisela verstehst. ❤️;2022-01-02T19:02:32.000Z;1 like;-
6;katharina.helling;"Sophie schrieb in einem Brief an Inge aus Krauchenwies am 23.06.1941: „Gestern abend saßen Gisela, Trude und ich noch rauchenderweise hinter einem Heuhaufen, aus kindischem Oppositionsgefühl und diese Tat gibt einem doch, so lächerlich sie auch ist (aber eine Tat ist es) ein Gefühl des Götz von Berlichingen. Wenn nicht vorne, dann eben hintenherum.“

Auch wenn sich Sophie äußerlich mit der Situation arrangiert hatte, sah es in ihrem Inneren anders aus. Ihrem Tagebuch sind ihre Nöte und Zweifel zu entnehmen. Sie reflektierte ihr Verhalten und ging dabei hart mit sich ins Gericht: «[…] ich erwische mich immer wieder bei kleinen Prahlereien. Es ist ekelhaft, diesen Geltungstrieb zu haben. Schon jetzt, wenn ich schreibe, ist nebenher der Gedanke, wie sich das Geschriebene ausnimmt. Es zerstört jede Harmonie.“

Zitiert nach:
Wie schwer ein Menschenleben wiegt
Gottschalk, Maren";2022-01-02T18:39:08.000Z;7 likes;-
7;suble301;Wie lange war Sophie in Krauchenwies, und was hat sie da gemacht? Ist irgendwie an mir vorbei gegangen 🙈;2022-01-02T18:26:16.000Z;5 likes;-
8;simonetews;Ja, das ist normal.;2022-01-02T18:13:43.000Z;0;-
9;spahlerbettina;Durch @ichbinsophiescholl...habe ich erfahren, daß Sophie ganz in der Nähe von meinem Wohnort (Krauchenwies)auch war...Dankeschön für diesen klasse gemachten Account 🥰;2022-01-02T17:50:42.000Z;0;-
10;madchen.vivi;@juliasobreira_ deu saudades da minha amiga 🚬👄;2022-01-02T16:50:42.000Z;0;-
11;katharina.helling;"Tagebucheinträge zum Jahreswechsel (Quelle am Schluss):
„München, Silvester 1942
Das alte Jahr neigt sich dem Ende zu. Im Geiste zieht es noch einmal an mir vorüber. Harte Kämpfe, an deren Ende der Sieg stand, stete Einsatzbereitschaft von Front u. Heimat hatte es gefordert. Zum ersten Male standen wir Mädel der 7. Oberklassen im Einsatz, beim Bauern, im Büro oder KLV-Lager standen wir an einem Platz, an dem wir einen Soldaten ersetzten oder eine Helferin, die nun an die Front konnte. Im nächsten Jahr wird noch mehr von uns gefordert werden, doch wird es uns immer Befriedigung geben, wenn wir daran denken, es ist für Deutschland. Zum vierten Male reift in uns der Wunsch, möge der Frieden kommen. Daß er kommt, dafür müssen wir unermüdlich tätig sein.
Neujahrswunsch!

Mit freiem, weiten Blick,
mit mutigem Herzen u. freudiger Seele
wollen wir im Leben stehen,
schaffend u. feiernd zugleich,
als stünden wir erhaben auf hohem Berg.
i. Res. Laz. Freudental 1942 Hermine Stolz

1943
Unser Kriegsziel heisst: Die Freiheit unseres Volkes,
Die Größe unseres Reiches und die Sicherheit unserer
Zukunft: Mit einem Wort: Deutschland!
Hermann Göring

München, 1.Januar 1943
Das neue Jahr hat nun begonnen, was wird es uns bringen! Hart wird es werden, vielleicht die Entscheidung herbeiführen; vielleicht wird es von uns immer mehr Opfer verlangen. Aber Heimat und Front stehen zusammen, was auch kommen mag. Der Führer kennt nur Kampf, Arbeit und Sorge. Wir wollen ihm den Teil abnehmen, den wir ihm abnehmen können.“

Quelle: „Kriegstagebuch einer jungen
Nationalsozialistin - Die Aufzeichnungen Wolfhilde von Königs 1939–1946.“ Herausgegeben von Sven Keller.
(Schriftenreihe der Vierteljahrshefte für Zeitgeschichte - Band 111. Im Auftrag des Instituts für Zeitgeschichte München - Berlin
Im OpenAccess über de Gruyter verfügbar - mit ausführlichem wissenschaftlichem Kommentar/Einordnungen.
⤵️";2022-01-02T15:58:21.000Z;5 likes;-
12;michaela_mathy;Ja, manchmal findet man eine Seelenschwester. Das tut so gut😍;2022-01-02T15:19:30.000Z;1 like;-
13;rpiakatharina;"Bei mir selbst ist das Briefe Schreiben ( wohl auch durch die modernen Kommunitätsmöglichkeiten ) ganz abhanden gekommen 😟.
Dabei war das eine schöne Art sich mitzuteilen. Ich fand immer das man in Briefen viel mehr seine Gefühle ausdrücken konnte, als man den Mut gehabt hätte es auszusprechen.";2022-01-02T14:50:32.000Z;1 like;-
14;jasminmadita;Sehr schön!;2022-01-02T14:43:24.000Z;0;-
15;katrinpruchniewski;Ja auch. Wir schenken uns auch jedes Jahr etwas zu Weihnachten.😌;2022-01-02T14:41:36.000Z;0;-
16;katrinpruchniewski;"Das geht. Ich habe eine Freundin auch seit Jahren nicht mehr gesehen.
Wir halten aber Kontakt.";2022-01-02T14:36:14.000Z;4 likes;-
17;laura_phyllis;Ja, das ist normal - leider wird sie dich irgendwann ghosten, ist heutzutage auch normal. 🤗;2022-01-02T14:12:07.000Z;14 likes;-
18;tisu_aus_dingenskirchen;War Rauchen damals Luxus? Galten Zigaretten zu der Zeit schon als wertvolles Tauschmittel oder kam das erst später?;2022-01-02T14:04:02.000Z;10 likes;-
19;changed.by.popular.demand;Interessant wie viele Zigaretten Sophie so raucht, obwohl sie als 21-jährige Frau keinerlei Bezugskarten dafür bekam.;2022-01-02T14:00:54.000Z;8 likes;-
20;ichbinsophiescholl;#TeamSoffer Gisela Schertling und Sophie Scholl freundeten sich im Reichsarbeitsdienst an. Beide interessierten sich für Religion und Musik, rauchten heimlich hinterm Heuhaufen oder spielten in der Kirche vierhändig Stücke von Bach und Händel auf der Orgel.;2022-01-02T14:00:13.000Z;145 likes;-
