Link: ;https://www.instagram.com/p/CYgG-C5MfV8/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;netterholger;Jenachdem, wie du dich fühlst Sophie, wenn du dich nicht so fit fühlst, schlaf dich aus;2022-01-10T08:41:02.000Z;0;-
2;cynthia_kurth;Boah!!! So einen Wecker hatte ich früher auch. Die Ziffern leuchten grün im Dunklen. Und er macht einen Riesenkrach. Bleib;2022-01-09T20:56:15.000Z;0;-
3;hamburger_krawall_deern_666;Tee trinken schlafen und ausruhen und morgen neu starten;2022-01-09T18:44:17.000Z;2 likes;-
4;dergeiger1967;Habt ihr eigentlich ein von Traute Lafrenz eine Reaktion auf euer Projekt bekommen?;2022-01-09T16:56:55.000Z;1 like;-
5;sonni_side;Es ist sicherlich ziemlich gefährlich. Ich habe mir schon oft darüber Gedanken gemacht. Aber Abwarten und nichts tun ist für mich auch keine Option. Ich wünsche einen erholsamen Sonntag.;2022-01-09T13:43:28.000Z;0;-
6;doju123456;Schlaf dich gesund...wenn du richtig krank wirst fällst du länger aus.;2022-01-09T13:31:08.000Z;0;-
7;rpiakatharina;Gute Besserung ❣️am besten den ganzen Tag warm halten;2022-01-09T12:11:28.000Z;0;-
8;chadhwa_bouslimi;Gute Besserung !;2022-01-09T12:04:11.000Z;0;-
9;timue_picnik;Ich fände es schön, wenn du etwas mehr über die Inhalte eures Widerstands erzählen könntest. Wozu ruft ihr auf den Flugblättern auf? Welche Dinge stören euch am meisten? Was wollt ihr erreichen?;2022-01-09T11:40:12.000Z;6 likes;-
10;morekhodovaa;ich würde an deiner Stelle noch ne Runde schlafen 😴 und mein Miez ist dabei die beste Unterstützung 😸;2022-01-09T11:34:54.000Z;0;-
11;jennx007;Sophie Scholl- mit Abstand eine der mutigsten Frauen aller Zeiten! Man sollte in jeder Stadt Deutschlands eine Statue von ihr Bauen. .👏👏👏;2022-01-09T11:24:12.000Z;4 likes;-
12;wareter1509;Du zahlst den Preis für dein Engagement. Dein Körper schreit nach Ruhe und Erholung. Höre auf ihn. Tritt kürzer. Unter enormer Belastung begehst du schneller Fehler. Und bei dir würde es bedeuten, das die Gestapo (schreibe das Wort zum ersten Mal in meinem Leben) euch eher entdeckt;2022-01-09T11:09:48.000Z;0;-
13;mamasaurussince2010;"Meine Mutter sagte immer,, Der Körper holt sich das was er braucht!"" Ruhe dich aus💐";2022-01-09T10:31:15.000Z;1 like;-
14;eisbdld;Bugs Bunny…😁;2022-01-09T10:21:39.000Z;0;-
15;lyrikerin_dieseelenmuse;Gute Besserung und ganz viel Kraft. 😍;2022-01-09T10:05:06.000Z;0;-
16;elakuehn72;Gönn dir noch etwas Schlaf und wenn du dann ins Atelier möchtest, dann geht es dir vllt schon etwas besser ... achte auf dich ... vllt tut ein Tag Pause auch mal gut.❤️;2022-01-09T10:04:38.000Z;0;-
17;lookatberlin;❤️;2022-01-09T10:03:17.000Z;0;-
18;katrinpruchniewski;"Ich brauche manchmal einen Kaffee, wenn ich Kopfschmerzen habe.
Hoffentlich wirst du nicht krank.🌹";2022-01-09T10:00:04.000Z;0;-
19;paulacorduba;🙏;2022-01-09T09:58:10.000Z;0;-
20;ankegopfert;Gönne deinen Körper Ruhe er braucht es;2022-01-09T09:56:03.000Z;0;-
