Link: ;https://www.instagram.com/p/CWbStR1jhvE/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;emsworld_____;😍Von wem wird Traute eigentlich gespielt?;2021-11-19T13:55:05.000Z;0;-
1-1;ichbinsophiescholl;@emsworld_____ #TeamSoffer Traute wird von @caroline_hartig gespielt!;2021-11-19T14:53:54.000Z;3 likes;1
2;ines_s_2;❤️;2021-11-19T10:48:41.000Z;1 like;-
3;piensaenmate;❤️;2021-11-19T08:26:27.000Z;1 like;-
4;team_wedemann_holz;Wie schön, genießt die Zeit ❤️;2021-11-19T08:00:39.000Z;3 likes;-
5;wene_beinhart;Christophs Geburtstag hattet ihr wohl vergessen;2021-11-19T03:07:34.000Z;1 like;-
6;bettine1960;Wann tritt Wili Graf in Erscheinung?;2021-11-18T21:48:31.000Z;2 likes;-
6-1;annika_scl;@bettine1960 in dem Video ist er zu sehen.;2021-11-18T22:12:14.000Z;1 like;6
6-2;bettine1960;@annika_scl In welchem Video?;2021-11-20T18:10:08.000Z;1 like;6
6-3;annika_scl;@bettine1960 in diesem. Steht zumindest unten in der Videobeschreibung. Ich nehme an das @timur_bartels ihn spielt;2021-11-20T19:17:52.000Z;1 like;6
6-4;bettine1960;@annika_scl Stimmt. Da steht es. Danke für den Hinweis!;2021-11-20T20:42:56.000Z;1 like;6
6-5;timur_bartels;@bettine1960 this is me 🙌❤️;2021-11-20T23:24:54.000Z;0;6
7;angie_w63;👏👏👏👏👏👏;2021-11-18T21:40:02.000Z;1 like;-
8;jawiesodasdenn;Wann haben die Scholls und traute drnn das letzte Mal gesehen? War Traute nicht schon in Hamburg?;2021-11-18T20:44:00.000Z;1 like;-
8-1;ichbinsophiescholl;"@jana_nie1 #TeamSoffer Traute war Ende 1942 zwischenzeitlich in Hamburg, um das dritte Flugblatt dorthin zu bringen.
Sie sah Hans und Sophie aber sogar noch am 18. Februar 1943 kurz vor der Flugblatt-Aktion in der Universität bei der die Geschwister dann festgenommen wurden. Nachzulesen ist dies in Gottschalk: Wie schwer ein Menschenleben wiegt, S. 281.";2021-11-22T12:00:15.000Z;1 like;8
8-2;jawiesodasdenn;@ichbinsophiescholl danke schön!;2021-11-22T13:07:02.000Z;0;8
9;rilect92;Man sollte jeden Anlass für eine gesellige Runde nutzen... Solche glücklichen Stunden zeigen uns doch erst auf, was es heißt den Augenblick zu genießen. Und mit so einem süßen Paar in der Mitte, da wird es mir ganz warm ums Herz.... Es gibt Momente da sieht man ein Paar und du freust dich für sie einfach, da man sieht dass diese Liebe wahrhaftig ist, dieses Glück haben nunmal nicht alle von uns, man sollte egal in welcher Lebenslage eine Beziehung stets als was Besonderes ansehen. Sorry, nur ein bisschen abgeschweift 😊;2021-11-18T20:44:00.000Z;10 likes;-
10;matneupa;"„Ich bin Gott noch so ferne, dass ich ihn nicht einmal beim Gebet spüre. Ja, manchmal, wenn ich den Namen Gottes ausspreche, will ich in ein Nichts versinken. Das ist nicht etwa schrecklich, oder schwindelerregend, es ist gar nichts – und das ist noch viel entsetzlicher. Doch hiflt dagegen nur das Gebet, und wenn in mir noch so viele Teufel rasen, ich will mich an das Seil klammern, das mir Gott in Jesus Christus zugeworfen hat, und wenn ich es nicht mehr in meinen erstarrten Händen fühle.“

Sophie Scholl, 18. November 1942";2021-11-18T20:22:32.000Z;15 likes;-
11;mayasiiri;"Solche Kommentare wie die eurer Vermieterin gibt es sogar im Jahr 2021 noch.. meine Tante, die aus Sachsen stammt und dort wohnt sagte zu mir nach der Geburt unserer Tochter:"" ihr habt ein echt hübsches Kind, sie ist so richtig schön arisch. "" Ich war in dem Moment so erschrocken, dass mir die Worte fehlten 😳😥";2021-11-18T19:55:05.000Z;34 likes;-
11-1;loeckchenzauberr;@holz_kind und der Kommentar deiner Tante hängt jetzt automatisch damit zusammen woher sie ist- Sachsen? 🤔;2021-11-18T21:03:09.000Z;6 likes;11
