Link: ;https://www.instagram.com/p/CacCvDCMWhq/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;happyvoyage;Wir brauchen solche Flugblätter auch in Russland.;2022-03-07T14:24:24.000Z;1 like;-
2;ekieh_61;👏;2022-03-01T07:41:54.000Z;0;-
3;holger_schnelsen;❤️;2022-02-28T22:01:46.000Z;0;-
4;enzi.keramik;❤️😢❤️;2022-02-28T18:47:47.000Z;0;-
5;jenniferfeargus;👏👏👏👏;2022-02-28T16:39:37.000Z;0;-
6;dernewfarmer;Traurig, dass diese mutigen Menschen erst sterben mussten. Mehrere Millionen Kopien hätten die Alliierten auch vorher abwerfen können 😢;2022-02-28T09:30:52.000Z;2 likes;-
7;lelfaere;„Zugleich mit ihren Bomben“…kann man mir erzählen, was man will, diese Aktion war genauso Propaganda, wie alles, was Deutschland sich so zusammengesponnen hat.🙈 Es ist schön, dass wir uns an die Geschwister Scholl erinnern, aber im Endeffekt sind sie auch nur Werkezeuge der anderen Seite geworden.;2022-02-28T08:13:34.000Z;0;-
8;elkeannedore;Ähnliches passiert gerade in Russland! Menschen die gegen Putin und seinen Krieg demonstrieren werden verhaftet und misshandelt . Wer weiß ,was mit ihnen passiert ...;2022-02-28T06:26:37.000Z;0;-
9;firehorsetaurus;🕯🙏🏻🕯🙏🏻🕯🙏🏻🕯;2022-02-27T23:18:37.000Z;0;-
10;matzescm;❤️;2022-02-27T22:03:31.000Z;0;-
11;joe_porsch23;"Eines, der wichtigsten Personen Deutschlands! Jeder, der aus der Geschichte viel erkannt hat, muss draus lernen:
Lernt Quellen abzugeben! Wer glaubt Maren Gottschalk sei eine seriöse Historikerin, liegt falsch! Die Welt funktioniert nur mit Quellen!";2022-02-27T20:21:54.000Z;0;-
12;kris.krebs;Beeindruckend, wie gute Geister über ihren Tod hinaus wirksam sind;2022-02-27T18:02:24.000Z;0;-
13;quintessenzartists;200 Schulen und Straßen? Längst überfällig, dass der Münchner Flughafen Sophie Scholl heißt, oder Geschwister Scholl.;2022-02-27T14:04:19.000Z;0;-
14;anoulastern;Mein engster Freund und mein Bruder waren auf dem Willi-Graf-Gymnasium. Ich finde es einfach schön das hin und wieder auch die anderen Mitglieder der weißen Rose bedacht wurden💚. Aber jedes denkmal ist wunderbar, egal welchen Namen es trägt.;2022-02-27T13:24:20.000Z;1 like;-
15;marie.chen_x;"Ich glaube nicht an ein Leben nachdem tot aber in solchen Momenten hoffe ich das es existiert und dass Sophie Scholl und alle Beteiligten sehen konnten, was ihr Opfer in der Welt bewirkt hat!
Sie haben etwas großes erschaffen und die Leute zum nachdenken angeregt - so wie es immer ihr Traum und Ziel war!";2022-02-27T11:32:40.000Z;2 likes;-
16;maeva.rst;Es gibt in meiner Heimat ein Geschwister-Scholl-Haus, welches ein Jugendzentrum ist. Dies wurde ebenfalls für politische Arbeit von Jugendlichen benutzt, welche gegen Rechts und den Klimawandel sind. Leider wurde es aber von bestimmten Parteien verboten, dass in diesem Gebäude noch weiter Politik betrieben wird,;2022-02-27T11:25:38.000Z;0;-
17;evamarie_straeten;❤️❤️❤️;2022-02-27T10:08:59.000Z;0;-
18;wednesday0710;Meine Hochachtung für dieses Projekt an euch❤️❤️❤️👏👏👏.;2022-02-27T09:54:31.000Z;0;-
19;houseofchars;Gibt es unter den Biografien eine, die besonders lesenswert ist, könnt ihr eine empfehlen?;2022-02-27T09:46:43.000Z;1 like;-
20;schenkelchristoph;❤️👏👏❤️;2022-02-27T09:38:06.000Z;0;-
21;elkekaufmann;❤️;2022-02-27T09:08:54.000Z;0;-
22;bepa7175;Ich bin in der Ausbildung zur Familienpflege und mache gerade ein Praktikum an der Geschwister Scholl Schule in Weingarten BW.;2022-02-27T07:38:58.000Z;0;-
23;danyspitzer;👏;2022-02-27T07:26:21.000Z;0;-
24;chrisrabe_fotografie;❤️;2022-02-27T06:39:19.000Z;0;-
25;thomeschristian;❤️;2022-02-27T06:23:26.000Z;0;-
26;chiangelus;Ich frage mich, was würde Sophie Scholl zu all den sagen? Schulen die ihren Namen tragen. Bücher, etc. Das die Welt ihre Geschichte kennt;2022-02-27T05:04:29.000Z;0;-
27;liisaley;Weis man wieso Sophie und Hans so schnell nach der Verurteilung hingerichtet wurden? Lg;2022-02-27T00:57:57.000Z;3 likes;-
28;clarissaschulte;Vielen, vielen Dank für das Lebendigmachen der Geschichte. Es ist ein famoser Erfolg, dass diese Art der Erzählung sooo viele Leserinnen und Leser gefunden hat. Großartiger Beitrag gegen das Vergessen!;2022-02-27T00:09:04.000Z;1 like;-
29;lililandgraf;Aktueller denn je!!!! Erschreckende Parallelen😮 könnte leicht überarbeitet direkt auch an Herrn Putin zu richten sein… Warum aber lernen Menschen nicht aus Geschichte? Zum Verzweifeln!;2022-02-26T22:43:53.000Z;2 likes;-
30;hannicharly;Christoph Probst wurde erst 2019 an der Universität Innsbruck rehabilitiert, nachdem er in der Nazizeit vom Studium ausgeschlossen worden war. Es gibt inzwischen auch einen Platz mit seinem Namen . Späte Ehre .;2022-02-26T22:43:51.000Z;0;-
31;keksbaby;Wie kommt es, dass das Bildmaterial im Hessischen Staatsarchiv Marburg liegt?;2022-02-26T22:34:48.000Z;0;-
32;poschiholzi89;Respekt an eure Arbeit. Selten so was gutes gesehen🙌;2022-02-26T22:15:30.000Z;1 like;-
33;5a3eth;Mir wird gerade klar wie offen und klar die Texte der Weißen Rose in ihrer Kritik sind (wieviel Mut, Überzeugung und Entschlossenheit dahinter steckt) so viel Respekt und Dankbarkeit für alle die mitgewirkt haben, und so viel Fassungslosigkeit über die Grausamkeit und Sinnlosigkeit ihres Todes, nur um Machtgier zu befriedigen… so krank, heute wie damals;2022-02-26T21:24:53.000Z;1 like;-
34;laura_hlg_;Wie hat Fritz reagiert, als er davon erfahren hat?;2022-02-26T20:46:48.000Z;0;-
35;rautenknebi;"Herzlichen Dank für die authentische, moderne und lebhafte Darstellung der Helden um Sophie Scholl. Gerade heute sehe ich täglich Videos von Helden unserer Freunde in der Ukraine.🇺🇦🇺🇦🇺🇦. Sie nehmen, wie Sophie, keine Rücksicht auf eigene Unversehrtheit. Ich verneige mich vor Ihnen.
Danke an Alle, die zu dieser unfassbaren Dokumentation beigetragen haben. 🙏🏻👍🏻♥️";2022-02-26T20:28:16.000Z;1 like;-
