Link: ;https://www.instagram.com/p/CYrbvuMs85O/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;adriiixx;Das regt mich so auf, als sei es gerade an meiner eigenen Uni passiert;2022-01-14T14:26:13.000Z;1 like;-
2;magic_cloud2013;Liebe @ichbinsophiescholl, ich kann verstehen, dass ihr euch aufgrund der Studententumulte jetzt bestärkt fühlt und eure Kommilitonen erreichen wollt. Aber bitte passt auf und verteilt keine Flugblätter öffentlich. Der Campus ist so unübersichtlich. Bleibt vorsichtig und verschickt die Flugblätter per Post. Die Stimmung ist zu aufgeheizt gerade..;2022-01-14T13:13:10.000Z;8 likes;-
3;mm_kartendesign;Einfach nur Gänsehaut bei jedem Post mittlerweile!;2022-01-14T09:45:19.000Z;1 like;-
4;strandperle1207;Unvorstellbar!! Wie gut das wir Frauen in der heutigen Zeit überwiegend emanzipiert sind. Das war und ist immer noch ein Prozess.Solche Aktionen und der Mut dazu sich darüber zu empören und aufzulehnen, Waren der Anfang der Veränderung.❤️;2022-01-14T07:51:07.000Z;0;-
5;marukosadoro;Spannendes Detail, was gut zu wissen ist. Danke dafür ! Sie haben sich damals auch öffentlich nicht alles gefallen lassen.;2022-01-13T23:22:22.000Z;2 likes;-
6;die_muellerin_77;"Warum wart ihr nicht bei der Veranstaltung? Macht ihr euch damit nicht verdächtigt? Eben, weil ihr vielleicht beobachtet werdet?
Und, Hans hat Recht, nutzt die Zeit! Es scheint unruhig zu werden, ich wünsche euch viele Flugblätter und Leser! Aber, passt bitte auf euch auf!!!";2022-01-13T22:53:46.000Z;3 likes;-
7;wakki01;Wer solche Reden hält hat keine Achtung vor dem Menschen, aber auch er wird noch seine gerechte Strafe bekommen. Ich befürchte Viele haben nicht eueren Mut Etwas zu tun.;2022-01-13T22:02:40.000Z;0;-
8;jeanbecci;Nicht jede Frau will zwangsläufig Mutter werden, nicht wahr @lara_s_gerlach?!;2022-01-13T21:30:02.000Z;2 likes;-
9;adnomama;Liebes Team @ichbinsophiescholl , ihr macht eine großartige Arbeit. Bisher konnte ich mir alles noch einigermaßen ansehen, aber seitdem die Befürchtung des Verrats an die Gestapo gezeigt wurde und auch der 22.Februar näher rückt, wird es für mich immer bedrückender. Mich nimmt es so mit, dass ich sogar schon davon geträumt habe. (Und ich bin nicht mehr ganz jung und auch nicht so alt, dass ich da einen konkreten Bezug hätte). Ich weiß ehrlich gesagt nicht, ob ich euch bis zum Schluss folgen und mir alles ansehen kann. Es ist so gruselig. Aber als aufklärende Arbeit an allen Generationen habt ihr ein einzigartiges Werk geschaffen, was hoffentlich das Denken vieler Menschen in die richtige Richtung lenkt. Danke dafür. 💚;2022-01-13T21:17:11.000Z;8 likes;-
10;anjamuller565;Das ist echt unglaublich was sich der Typ da geleistet hat. Nicht zu fassen. Ihr seid so mutig und ich bewundere Euch sehr dafür. ❤️👏;2022-01-13T20:47:53.000Z;1 like;-
