Link: ;https://www.instagram.com/p/CZw01AkshtT/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;deniise.k;Hieß seine Tochter nicht Katja? 🧐;2022-02-10T23:51:27.000Z;0;-
2;seras.vega;Tja, inzwischen, fast 100 Jahre später, gibt es kein Krieg mehr und auch keine Diktatur, aber es marschieren immer noch (oder wieder) Nazis durch die Städte 😢;2022-02-10T12:51:39.000Z;1 like;-
3;they_kill_kennyy;Max 😍;2022-02-10T12:06:50.000Z;0;-
4;sophie.eva.marie;Passt vielleicht nicht ganz so hier her, aber hättest du den Christl geheiratet hätten wir exat den gleichen Namen 🤣;2022-02-10T10:00:38.000Z;1 like;-
5;ines_s_2;❤️;2022-02-10T09:52:37.000Z;0;-
6;helgadancke;Liebe Sophie , ich bin sicher, ihr hättet Deutschland 🇩🇪 geliebt. Ein Land, in dem jeder seine Meinung sagen kann, in demman auch die Regierung kritisieren darf, ohne dass man Angst haben muss . Du würdest vermutlich wenig Verständnis haben, wenn Leute heute in der Pandemie behaupten, der Staat sei totalitär. Ich kann es immer noch nicht fassen, dass Eurem Leben bald auf brutalste Art ein Ende gesetzt wird 😢;2022-02-10T08:07:31.000Z;4 likes;-
7;inessaprincessa_of_bavaria;Es ist erschreckend, dass noch in diesem Monat Sophies Leben (nd das der anderen) vorbei sein wird. Gefühlt könnte ich diesem Profil hier noch Jahre folgen. Man hat das Gefühl, als ginge es gerade erst los mit der weißen Rose. Dass das Wirken gefühlt nur so kurz war ist mir erst durch diese Aktion bewusst geworden.;2022-02-10T07:49:04.000Z;2 likes;-
8;munichlinda1980;Christoph Probsts Tochter ist relativ jung verstorben. Sie ist nicht weit von Ihrem Vater begraben. Ich geh öfters mal auf diesen Friedhof. Auch zu dem Ehrenhain, wo u. a. Hans Leipeilt begraben (oder könnte man hier eher verscharrt sagen) liegt, ebenso wie wohl mehrere tausend KZ Opfer. Ich find es irgendwie schade, dass das Scholl- Grab manchmal so voller Blumen ist, aber der Ehrenhain so leer ist. Hab vor ein paar Monaten die Gedenkplatte dort sauber gemacht, weil sie dermaßen verdreckt war, weil die dort Begrabenen genausoviel Gedenken und Respekt verdienen wie die Scholls. Wenn man bei Google Maps Friedhof am Perlacher Forst eingibt und dann auf der dann erscheinenden Karte auf das Ehrwnhain Symbol klickt, kann man Bilder davon sehen.;2022-02-10T05:36:55.000Z;44 likes;-
9;mirja_kunstkerze.de;Ist es heutzutage nicht fast wie ein Vorbote, auf eine Zeit, die Sophie vor langer Zeit erlebt hat? Sind nicht auch jetzt die Zeiten ähnlich dem, was vor 100 Jahren passiert ist, als die politische Unruhe nach dem 1. Weltkrieg und der Spanischen Grippe mit radikal konservativen Werten beantwortet wurde, die dann zur Unmenschlichkeit schlechthin führte?;2022-02-10T01:34:03.000Z;1 like;-
10;netterholger;Schön dass ihr mal feiert, leider sehe ich dein Lächeln nicht.;2022-02-09T23:10:37.000Z;0;-
