Link: ;https://www.instagram.com/p/CaAZ72tM_v_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;deraliauswien;"Wo sind die Quellen? Wieso werden Fakten erfunden? Deutschland braucht
dringend Nachhilfe in Sachen Erinnerungskultur. Das Instagramprojekt""ichbinsophieschol""soll auf das Thema aufmerksam machen, hat aber einige Probleme bei der Umsetzung. Historische Quellen und die ungeschönte Wahrheit klicken halt leider nicht so gut. #zdfmagazin";2022-02-23T10:03:54.000Z;4 likes;-
2;sarah.comma;Ich sitze hier mit einem beklommenen Gefühl...lese eure Kommentare & bin den Tränen nahe, weil ich weiß wie es enden wird.;2022-02-18T09:09:58.000Z;34 likes;-
3;nelahoehling;"Ich mag gar nicht daran denken, was morgen passiert. Wir wissen alle, wie es endet.
Die Uni ist nur einen Steinwurf von meiner Arbeitsstelle entfernt.
Jedes Mal, wenn ich dort vorbei komme, denke ich daran, welchen Mut die Weiße Rose hatte.

„Geschichte zum Miterleben“ war dies das vergangene Jahr.
Vielen Dank dafür!!!!
Danke, dass wir Teil eures Lebens sein durften, so viele Jahre später!";2022-02-17T10:18:19.000Z;1 like;-
4;macsebbl;Irgendwie pietätlos dieses Profil.;2022-02-17T08:45:25.000Z;1 like;-
5;eemasoko;Liebe Sophie, das schlimmste an der ganzen Sache ist, dass jetzt im Moment das gleiche wieder passiert. Die Welt guckt wieder weg. Anstatt Juden die in KZ gefoltert werden macht China es jetzt bei Muslimen. #uyghur #freeuyghur;2022-02-17T07:21:05.000Z;0;-
6;geliebtes_kleines_krupphaus;Ich bin ganz traurig und mag fast nicht weiterschauen , da man weiß was pasdiert…😢 Soohie ist mir richtig ans Herz gewachsen…❤️ über diese lange Zeit;2022-02-17T06:35:21.000Z;0;-
7;mitzkey;Kaum zu glauben dass sie morgen verhaftet wird. Man möchte zurück reisen, ihr ins Gesicht schreien, dass sie abhauen soll! Sie warnen! Und dann merkt man wie toll eure Arbeit ist. Man ist involviert. Man fiebert mit obwohl man weiß wie es ausgeht. Man möchte helfen und spürt eine unendliche Ohnmacht.;2022-02-17T00:47:11.000Z;0;-
8;lights_outx3;Lösch dich;2022-02-17T00:01:20.000Z;0;-
9;thomas__schloegl;Dieses Projekt ist einfach unglaublich bewegend 😔 und einfach RICHTIG gut, dass es das gibt. 👏🏻;2022-02-16T23:45:56.000Z;0;-
10;famiglietti.teezy;Was man alles aus nem fake Buch aufziehen kann 😂😂😂;2022-02-16T22:19:19.000Z;0;-
11;soundstudiomax;Irgendwie ist da langsam die Luft raus.;2022-02-16T20:39:47.000Z;0;-
12;lisamarie_ge;Liebe @ichbinsophiescholl , danke dass du uns an deinem großen Mut teilhaben lässt. Über diesen nahbaren Weg die Geschichte nicht in Vergessenheit geraten zu lassen finde ich sehr nachhaltig. Es führt mir sehr vor Augen wie dankbar wir sein dürfen in einer Demokratie ohne Krieg zu leben! #neverforget;2022-02-16T20:19:32.000Z;1 like;-
13;emsworld_____;Gönn dir doch eine Nacht Schlaf, schön lang. Danach sieht die Welt sicher wieder ein bisschen besser aus - oder du kannst sie wenigstens wieder euphorischer sehen und mit doppelter Geschwindigkeit arbeiten 💪🏼;2022-02-16T20:16:49.000Z;0;-
14;claraelmi;Liebe Sophie, was würdest du tun, wenn du wüsstest, dass in einem anderen Land zu späterer Zeit ganz ähnliche Konzentrationslager existieren würden? Wenn es nicht dein eigenes Land betrifft, du es also im Alltag schnell vergessen kannst, aber es in deinem Herzen trotzdem brennt, weil es nicht richtig ist, weil du nicht so viel Leid zulassen möchtest. Woher nimmst du den Mut? Woher die Kraft, woher den Antrieb? Woher die Gewissheit, dass es etwas bewirkt? Ich habe das Gefühl, dass es nichts bringt, dass alle Bemühungen im Sand verlaufen.;2022-02-16T20:13:36.000Z;0;-
