Link: ;https://www.instagram.com/p/CVkXO0HsAU2/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;evie_lu;@timproese;2021-11-04T16:41:41.000Z;0;-
2;big_binder_ines_grit;❤️;2021-10-29T19:01:51.000Z;0;-
3;a_buecherwurm;Viel Erfolg und gute Reise Sophie. Bleib aber vorsichtig. Lieber ein Unterstützer weniger als das du dich und folglich auch die anderen in Gefahr begibst.;2021-10-29T07:54:47.000Z;0;-
4;reesoreesolini;Marco hinderlich;2021-10-29T06:09:15.000Z;0;-
5;sui_los_gatos;War Otl später auch bei der Weißen Rose?;2021-10-29T05:57:32.000Z;1 like;-
6;sume555;Was ist Dein Ziel in Stuttgart? Uns kannst Du es verraten, das ist ungefährlich;2021-10-28T18:30:25.000Z;2 likes;-
7;rpiakatharina;Gute Reise und sei auf der Hut;2021-10-28T17:56:09.000Z;0;-
8;gwen_gloeckchen;Du schaffst das! Viel Glück und Erfolg bei deiner Suche nach neuen Verbündeten/ Freunden!!🙌❤️❤️;2021-10-28T15:16:10.000Z;0;-
9;palandtine;Ich finde dieses Projekt wichtig, denn hinter der Heldin und Widerstandskämpferin stand letztendlich auch eine junge Frau mit Träumen und Plänen für ihr Leben. Umso bedauerlicher finde ich es daher, dass die eingebauten fiktiven Elemente nicht mit den tatsächlichen Vorkommnissen zusammenpassen. So etwa, dass Otl bereits an der Ostfront war, als Sophie ihre fiktive Reise beginnt. Für das Projekt wäre es m. E. hilfreicher, wenn diese fiktiven Elemente komplett fiktiv wären und nicht zeitlich und historisch belegte Abfolgen verändert werden würden.;2021-10-28T12:58:01.000Z;10 likes;-
10;matneupa;"Im Römerbrief heißt es: ... Denn das Gesetz des Geistes, der da lebendig macht in Christo Jesu, hat mich frei gemacht von dem Gesetz der Sünde und des Todes. – Sind jene nicht arm, entsetzlich arm, die dies nicht wissen und glauben? Diese ihre Armut müsste uns immer wieder geduldig machen ihnen gegenüber (und das Bewusstsein unserer eigenen Schwachheit, denn was wären wir, allein gelassen), selbst wenn ihr dummer Hochmut uns zornig machen möchte.

(Sophie Scholl, 28. Oktober 1942)";2021-10-28T12:42:14.000Z;3 likes;-
11;josewhitetower;Viel Erfolg!;2021-10-28T12:40:59.000Z;2 likes;-
12;ines_s_2;❤️;2021-10-28T12:19:50.000Z;1 like;-
13;katrinpruchniewski;"Mutige Sophie.
Meine Sympathie hast du.❤️";2021-10-28T11:30:04.000Z;2 likes;-
14;markusvahlbrock;Liebe Sophie, Ich habe letztens in der #walhalla deine Statue gesehen. Ich hätte Dir sehr gerne persönlich gegenübergestanden um Dir meinen Respekt zu zollen.;2021-10-28T11:28:06.000Z;6 likes;-
15;anja_065;Pass gut auf Dich auf ❤️;2021-10-28T11:23:36.000Z;3 likes;-
16;peter_kronshagen;Gute Reise und bleibe vorsichtig, viel Erfolg! 😘;2021-10-28T11:16:19.000Z;2 likes;-
17;lariquita;Was ist mit Inge passiert? Hat sie herausgefunden wofür du deine Reise machst? Wünsche dir viel Erfolg;2021-10-28T11:09:28.000Z;0;-
18;nika_luna;Fängt nächste Woche nicht schon das Wintersemester in München an?;2021-10-28T11:06:13.000Z;1 like;-
19;janssenoverath;... viel Erfolg, mutige Sophie. Ich werde gleich besonders an Dich denken, weil ich heute auch nach Stuttgart mit dem Zug fahre! 😍;2021-10-28T10:54:55.000Z;8 likes;-
20;tisu_aus_dingenskirchen;Was bedeutet Team soffer?;2021-10-28T10:51:05.000Z;3 likes;-
21;spackerle;inmitten der #stuttgart21 baustelle sicherlich nicht 😬;2021-10-28T10:40:49.000Z;1 like;-
22;fenster.nach.israel;Viel Erfolg! Wissen die Leute, dass du kommst?;2021-10-28T10:37:52.000Z;2 likes;-
23;ein_echter_bochumer_junge;Dein Engagement und dein Einsatz für den Frieden wird niemals vergessen werden! Auf der ganzen Welt nicht! Danke! ❤️;2021-10-28T10:37:48.000Z;10 likes;-
24;hankleven;Hat Sophie Scholl diese Reise damals tatsächlich unternommen?;2021-10-28T10:23:09.000Z;4 likes;-
25;redtrevis;Sehen sich Inge und Sophie nochmal wieder?;2021-10-28T10:21:32.000Z;2 likes;-
26;heike_lingli;Viel Glück, sei vorsichtig.;2021-10-28T10:15:44.000Z;5 likes;-
27;mehmed.koenig;Ganz viel Erfolg, liebe Sophie. Pass auf Dich auf! ❤️✊🏽;2021-10-28T10:01:30.000Z;11 likes;-
