Link: ;https://www.instagram.com/p/CZXXvYQvZ4e/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;judithavd;Are the English week videos no longer uploaded? 😢;2022-02-02T03:43:26.000Z;0;-
2;auf_neuen_pfaden_unterwegs;❤️;2022-01-31T06:18:49.000Z;0;-
3;haflinger_stuermer;Wer hat genauso Angst vor dem 22. Februar, obwohl man einfach weiß, dass es so passiert ist😢;2022-01-31T05:11:53.000Z;28 likes;-
4;vera_leni90;Kann man irgendwo das live-Video sehen oder kann jemand erzählen was passiert ist?;2022-01-31T04:51:36.000Z;0;-
5;dasgrossegeschenk;Der letzte Monat ist gekommen - was wird hier danach passieren?;2022-01-31T03:43:12.000Z;0;-
6;jakob_schmid_86;*wischt den Boden in der Universität*;2022-01-31T02:37:31.000Z;2 likes;-
7;christine.binggeli;🔥;2022-01-30T22:58:14.000Z;0;-
8;heikegumz;Sorry, aber da sitzen zwei Medizin-Studierende im 8. (?) Semester, also mit Chemie-Grundkenntnissen. Plus Erfahrungen aus der Wehrmacht. Und keiner weiß, wie gefährlich ein Brand von Zelluloid-Filmen ist?;2022-01-30T22:14:57.000Z;14 likes;-
9;changed.by.popular.demand;"Zur Story von heute, keine gute Idee, dass sie den Film verbrennen wollen, denn:
„Nitrozellulosefilm ist bereits im unzerstörten Zustand höchst feuergefährlich. Grund ist, dass der Schichtträger des Filmmaterials auf Zellulosenitratbasis aufgebaut ist. Dieses ist aufgrund seiner chemischen Zusammensetzung eine zersetzliche Substanz – einmal in Brand geraten, sind die umgangsprachlich Nitrofilme genannten Filme nicht mehr löschbar. Aber der Reihe nach.
Die Zersetzung
Der Zersetzungsprozess von Zellulosenitrat, dem Schichtträger des Filmmaterials, wird durch Temperatur und Luftfeuchtigkeit entscheidend beeinflusst. Unter günstigen Lagerbedingungen lässt sich der Prozess verzögern – aufgehalten werden kann er jedoch nicht.
Bei der Zersetzung entwickeln sich in einem ersten Stadium sogenannte nitrose Gase. Sie sind schwerer als Luft und sinken zu Boden; zudem weisen sie einen beißenden, stechenden Geruch auf und sind außerordentlich giftig. Das Silberbild verblasst und die Emulsion verfärbt sich bräunlich.
In einem zweiten Stadium beginnt die Emulsion zu kleben. Sie weicht teilweise auf und wird blasig. Dabei entsteht ein strenger Geruch.
In einem dritten Stadium backt der Film zu einer Masse zusammen; der Schichtträger beginnt zu einem bräunlichen Pulver mit beißendem Geruch zu verfallen.
Die Feuer- und Explosionsgefahr
Die für Nitrofilm verwendete Zellulosenitratbasis ähnelt dem Grundstoff des rauchschwachen Schießpulvers, der Schießbaumwolle. Das macht das Filmmaterial von vorneherein höchst feuergefährlich.
Frischer Nitrofilm entzündet sich bei ca. 130 Grad; im letzten Stadium der Zersetzung kann sich der Film schon unterhalb von 40 Grad entzünden. Da sich bei der Zersetzung fast ausschließlich gasförmige Stoffe bilden, besteht Explosionsgefahr.
Sollten Nitrofilme in Brand geraten, sind sie nicht mehr löschbar, denn beim Verbrennungsvorgang wird Sauerstoff freigesetzt. Er lässt das Feuer selbst dann weiterbrennen, wenn ihm der Luftsauerstoff durch Wasser, Schaum oder Sand entzogen wird.“

Ich hoffe, die Wohnung steht noch…

https://www.bundesarchiv.de/DE/Content/Artikel/Ueber-uns/Aus-unserer-Arbeit/nitrozellulosefilm.html";2022-01-30T21:51:11.000Z;9 likes;-
10;ildi_coco;"Liebes #teamsoffer es fehlt die letzte Story in der gesagt wird, dass wegen einem Anruf für Sophie geklopft wurde. Bin sehr gespannt, was das für ein Anruf ist!
@ichbinsophiescholl";2022-01-30T20:29:53.000Z;7 likes;-
