Link: ;https://www.instagram.com/p/CXdmQB9Mr0p/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;chiangelus;Danke für dies tolle Projekt. Ich lerne immer noch neues dazu;2021-12-15T13:24:38.000Z;0;-
2;sarah.fuel;"Liebes Team,
könnt ihr mir verraten, welche Auflage ihr bei der Lektüre ""Hans Scholl und Sophie Scholl - Briefe und Aufzeichnungen"" verwendet? Lieben Dank";2021-12-15T12:45:53.000Z;0;-
3;muench.tobias;❤️;2021-12-15T07:16:16.000Z;0;-
4;laraa.wlr;Ist es eigentlich wirklich so, wie in dem einen ZDF Film über Sophie Scholl, dass sie mit ihrem Bruder wieder einmal Flugblätter in München (glaube ich) an der Universität verteilt hat und sie dann die Blätter von der Fensterbank gestoßen hat ?;2021-12-14T16:49:27.000Z;4 likes;-
5;grothersen;Wie furchtbar es für euch gewesen sein muss, lässt sich nur erahnen! Furchtbar ist es heutzutage auch, wenn man diese ganze Schwurblerbande sieht, die mit Nazis zusammen auf die Straße gehen! Ätzend und geschichtsvergessen!!! Ich schäme mich fremd! Halte durch liebe Sophie;2021-12-14T16:35:19.000Z;3 likes;-
6;verwirrrte;Weiß man ab wann die Gestapo der Weißen Rose auf den Spur war? Also fühlt sich Hans zurecht verfolgt?;2021-12-14T15:37:52.000Z;23 likes;-
7;augustaschacht;Für die Eheleute Grimminger war es sehr sehr gefährlich, denn seit einem Jahr rollen die Züge mit der jüdischen Bevölkerung in den Osten und den Tod. Gestern war der 80. Jahrestag der ersten Deportationen aus Münster, Osnabrück und Bielefeld ins Ghetto Riga. Wir haben in der Story eine kurze Erinnerung einer deutschen (!) Osnabrückerin, die später (1943) ihre Freundin bis zum Zug am Hauptbahnhof gebracht hatte.;2021-12-14T13:17:50.000Z;10 likes;-
8;na._.fun;Wie haben Studenten damals eigentlich alles finanziert? Mussten die eltern für miete, essen etc aufkommen?;2021-12-14T13:07:03.000Z;10 likes;-
9;fraulein_romanova;"@ichbinsophiescholl Russland? Es soll wohl ""Sowjetunion"" heißen!";2021-12-14T12:38:43.000Z;2 likes;-
10;subsi_diaritaet;Ich fände cool, wenn ihr immer das damalige Datum dazu schreibt. Sodass man die Chronologie besser verfolgen kann.;2021-12-14T12:34:47.000Z;8 likes;-
11;cinto.rn;Warum glaubt Hans, dass ihr bald kein Geld mehr braucht?;2021-12-14T12:33:18.000Z;2 likes;-
12;birdy_2508;@ichbinsophiescholl weiß man eigentlich, ob Hans Scholl Angstzustände oder Verfolgungsängste wegen der weißen Rose hatte?;2021-12-14T12:29:06.000Z;3 likes;-
13;frau_julia___;Eugen Grimminger wurde in meiner Heimatstadt crailsheim geboren. Wir haben viel über ihn und die Scholl Geschwister in der Schule geredet. Es gibt auch Schulen in crailsheim die nach ihnen benannt wurden. Jedes Mal wenn wir es über den Widerstand im Geschichtsunterricht geredet haben war ich sehr ergriffen, und ich bin mir sicher wäre ich in dieser Zeit geboren, wär ich Teil des Widerstands gewesen! Vielen Dank für dieses wundervolle Projekt!❤️;2021-12-14T12:22:47.000Z;30 likes;-
14;andmrs.b;Will you be introducing Lilo Ramdohr?;2021-12-14T12:17:03.000Z;2 likes;-
15;katrinpruchniewski;Hoffentlich bekommt ihr noch weitere Unterstützter.❤️;2021-12-14T12:15:51.000Z;4 likes;-
16;heikegumz;"Ich finde super gut, dass Ihr Eugen Grimminger erwähnt sowie dass die Festnahmen im Zusammenhang mit der Weißen Rose auch Jenny Grimmingers Leben gekostet haben.
Die Aussage in der Caption, dass Grimminger durch seine Frau Informationen hatte, die den Scholls sonst niemand geben konnte, ist jedoch mindestens missverständlich: Die Deportationen der jüdischen Bevölkerung wurden öffentlich durchgeführt. Da wussten Grimmingers nicht mehr als Familie Scholl, sie waren nur - anders als die Scholls - selbst betroffen.";2021-12-14T12:11:57.000Z;31 likes;-
17;katharina.helling;".
🗓 14.12.1942

◾️ Niederlande/Auschwitz

Ankunft eines Deportationszugs aus den Niederlanden mit 757 jüdischen Menschen in Auschwitz. 121 Männer werden als Häftlinge übernommen, die anderen 636 Menschen in den Gaskammern getötet.

◾️ Aus dem Ghetto in Nowy Dwór Mazowiecki werden etwa 1.500 Menschen nach Auschwitz eingeliefert. Nach der ""Selektion"" werden 580 Männer als Häftlinge registriert, 920 Menschen werden in die Gaskammern geschickt. (Czech, S. 359)

◾️ In Preußen dürfen Frauen, die mit einem Juden verheiratet sind oder waren, wegen mangelnder Zuverlässigkeit keine Erlaubnis zur Ausübung des Gaststättengewerbes erhalten, außer in Sonderfällen mit Genehmigung des Reichsinnenministers. (Walk, S. 393)

◾️ Unter Hinweis auf kriegswichtige Gründe ordnet Himmler an, bis spätestens Ende Januar 1943 mindestens 35.000 arbeitsfähige Gefängnisinsassen in Konzentrationslager zu überführen. (IMT, L-041)

◾️ Goebbels Tagebuch:

""Die Juden machen die ganze Welt rebellisch wegen der angeblichen Greueltaten in Polen. Nun wollen sie die USA und England als Schutzmächte anrufen. Die Engländer zeigen sich diesen jüdischen Bestrebungen gegenüber etwas hartleibig. Sie wollen offenbar die Judenfrage im eigenen Lande nicht allzu stark andrehen, weil auch in England der Antisemitismus, wie ich auch verschiedenen Berichten entnehmen kann, ständig im Wachsen ist. Jedenfalls lassen die Juden alle Minen springen, um in der Weltöffentlichkeit eine Panikstimmung hervorzurufen."" (...)
""Aber es nützt den Juden alles nichts. Die jüdische Rasse hat diesen Krieg vorbereitet, sie ist der geistige Urheber des ganzen Unglücks, das über die Welt hereingebrochen ist. Das Judentum muß für sein Verbrechen bezahlen, so wie der Führer es damals in seiner Reichstagsrede prophezeit hat: mit der Auslöschung der jüdischen Rasse in Europa und vielleicht in der ganzen Welt."" (Fröhlich, II.6, S. 445-446)
⤵️";2021-12-14T12:11:35.000Z;29 likes;-
18;mehmed.koenig;"Liebe Sophie,
ich mache mir sehr Sorgen um Euch! Die Situation in der ihr steckt, in der Du steckst, macht mich sehr nachdenklich. Sie erinnert mich auch an die Kriegserlebnisse die ich mit meiner Familie selbst erlebt habe. Es gab sogar mal eine Situation, an die ich mich besonders erinnere. Meine Mama, meine Schwester und ich waren auf der Flucht. Als wir eine Brücke überqueren mussten um an einen Ort zu gelangen, der uns weiterhelfen sollte, waren auf der gegenüberliegenden Seite, Soldaten, die uns jederzeit hätten stoppen und verhaften können. Meine Mama musste das Risiko aber eingehen und mit uns über diese Brücke gehen. Wir nahmen also unseren ganzen Mut auf und meine Schwester fragte meine Mama, ob sie uns eine Schokolade kauft, wenn wir es schaffen sollten auf der anderen Seite anzukommen, ohne verhaftet zu werden. Meine Mama sah in ihre Tasche und fand dort noch einige Münzen, ihre letzten Münzen die sie hatte. Sie bejahte diese Frage, wir gingen los und meine Mama drückte meine Hand so fest, sodass ich zwischendurch Schmerzen hatte in der Hand. Sie war nervös, ängstlich, aber irgendwie auch mutig.
Am anderen Ende der Brücke kamen wir an und die Soldaten sahen uns an. Meine Mama begrüßte die Soldaten freundlich, aber mit einer zittrigen Stimme. Als die Soldaten sie mit einem Lächeln begrüßten, lies sie meine Hand etwas locker und versuchte ihre Freudentränen zu verbergen. Die Soldaten hielten uns nicht auf!
In der Stadt angekommen, erhielten meine Schwester und ich, von ihrem letzten Geld, noch eine Schokolade. Das war die leckerste Schokolade die ich je gegessen habe.
Liebe Sophie, passt bitte so gut es geht auf Euch auf! In Gedanken bin ich bei Euch! ❤️";2021-12-14T12:10:01.000Z;232 likes;-
19;giusy79_;Wie war das damals habt ihr ne Spende bekommen um die weiße Rose zu finanzieren?;2021-12-14T12:06:12.000Z;4 likes;-
20;ichbinsophiescholl;"#TeamSoffer Eugen Grimminger war ein Freund der Familie Scholl. Er war seit den 20er Jahren mit einer Jüdin verheiratet, die Ehe war kinderlos. Eine sogenannte “Mischehe” mit einem Deutschen oder einer Deutschen bot zeitweise einen brüchigen Schutz vor Deportation, rechtliche Diskriminierung und Zwangsarbeit galten dennoch. Eine Scheidung oder ein Tod der Ehefrau oder des Ehemanns kamen so Todesurteilen gleich.
Eugen Grimminger unterstützte die Weiße Rose mit Geldspenden, nach deren Festnahme wurde er ebenfalls verhaftet und zu 10 Jahren Haft verurteilt. Während er im Gefängnis saß, wurde seine Frau Jenny Grimminger (geb. Stern) nach Auschwitz deportiert und am 2. Dezember 1943 ermordet.
Sophie und Hans haben Eugen Grimminger am 3. Dezember 1942 besucht. Er sicherte den beiden 500 RM zu. Mehr dazu in Gottschalk, Maren: Wie schwer ein Menschenleben wiegt, S. 631 - 633 (ePub).";2021-12-14T12:00:31.000Z;319 likes;-
