Link: ;https://www.instagram.com/p/CXWTP5oMHqJ/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;reading_nelone;Ich trainiere Kung Fu und das Training ist ein absolut toller Ort verbunden mit den lieben Menschen. Geht das grade nicht, ist einfach raus gehen an den See oder ähnliches recht entdpannend:);2021-12-13T22:24:14.000Z;0;-
2;nico___org;Ja, aber sicher nicht ( mehr) in der Kirche!!!!;2021-12-12T20:54:05.000Z;0;-
3;annaisabel_r;Ja, ich versuche, regelmäßig zu meditieren. Tut mir absolut gut. Und wir leben am Meer, das ist auch im trubeligen Alltag immer beruhigend. Es hilft mir auch, Corona-Ängste zu vergessen bzw. in einem anderen Licht zu betrachten.;2021-12-12T14:51:05.000Z;0;-
4;annaisabel_r;Ja, ich versuche regelmäßig zu Meditieren.;2021-12-12T14:48:36.000Z;0;-
5;m_vikend;🤍🕊🤍;2021-12-12T11:43:22.000Z;0;-
6;fanny.altenburger;@laurenz_lindtner ur schön irgendwie;2021-12-12T10:50:58.000Z;1 like;-
7;helmutstgt;Ja, für mich gehört Gebet 🙏und Gottesdienst✝️ zu meinem Leben wie die Luft zum Atmen. Und eine Kirche ist ein besonders schöner Ort, in der Hetze des Alltags zur Ruhe zu kommen.🙏;2021-12-11T22:55:02.000Z;0;-
8;sandra.st._;Mir geht es in der Kirche auch immer so... Nur leider hat CORONA die Gewohnheiten der Gottesdienstbesuche auch völlig durcheinander gebracht... 😞🎄;2021-12-11T22:35:28.000Z;0;-
9;20melone07;Toll🙌;2021-12-11T22:28:50.000Z;0;-
10;christophergreverode;Liebe Sophie, ich wohne ebenfalls fünf Minuten von St. Ursula entfernt, und gerade diese Kirche mit ihrer engagierten Gemeinde und der Ruhe, die sie ausstrahlt, immer viel Kraft und Zuversicht. Schön zu wissen, daß Du aich dort warst...;2021-12-11T22:18:46.000Z;0;-
11;christine.binggeli;❤️;2021-12-11T21:45:23.000Z;0;-
12;christine.binggeli;❤️;2021-12-11T21:37:08.000Z;0;-
13;larsvommars82;Meine Auszeit ist das Schreiben. Gedichte und Geschichten. Manchmal sitze ich einfach mit ner Tasse Kaffee in der Küche und philosophiere mit mir selbst in Gedanken.;2021-12-11T21:35:03.000Z;1 like;-
