Link: ;https://www.instagram.com/p/CYQ_hKXFoPF/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Du hast dich richtig verändert von der unsicheren Dame zu der ernsten Studentin mit richtigen Argumenten gegen das falsche Regime der Nazis!;2022-01-12T06:06:54.000Z;3 likes;-
2;manuel.def;Ich wohne bei dir in München um die Ecke. Vielleicht sehen wir und ja mal! Ich würde mich gerne mal mit dir unterhalten.;2022-01-07T23:33:54.000Z;3 likes;-
3;lea_von_leng;"✊ du solltest vielleicht nach Frankreich gehen liebe Sophie; dort treiben sich paar Desperados herum #Inglourious Basterds; die machen ganz viele Nazis ins Jenseits, ganz krass 🤷‍♀️ ganz ami-like. Pass auf dich auf, gute Sophie! Cave canem. Es hat Bestien da draußen";2022-01-04T22:27:44.000Z;0;-
4;bianca_birdsong;🙌;2022-01-04T21:25:56.000Z;0;-
5;nikeflury;😂;2022-01-04T20:12:04.000Z;0;-
6;nikeflury;Du bust niche Sophie scholl;2022-01-04T20:12:01.000Z;0;-
7;s_o_f_i_c_i_t_a;👏👏👏;2022-01-04T20:07:45.000Z;0;-
8;annaisabel_r;Also ich habe diese Abnabelung in der Studentenzeit sehr genossen - zum Glück war ich aber nicht in der Position, dass ich mein Leben riskieren musste. Ich habe eher die Freiheit genossen und viel gefeiert und Theater gespielt.;2022-01-04T19:31:19.000Z;0;-
9;weltgebetstag_hessen;Ja, ich kenne das total!! Und jetzt sehe ich es bei meinen Kindern, die junge Erwachsene sind. Soo stark, die Rollen muster... Ich wollte das nie so, meine Ma auch nicht. Trotzdem. 🤷🏼‍♀️;2022-01-04T17:25:42.000Z;0;-
10;caroklatschmohn;War es das letzte Mal dass Sophie von ulm nach München fuhr?;2022-01-04T14:04:53.000Z;0;-
11;magdalena_kryspin;❤️;2022-01-03T21:49:14.000Z;0;-
12;stephiee.friseurmeisterin;Je mehr sich der Februar nähert, desto mulmiger wird es mir. So ein tolles Projekt , es bringt einen der ganzen Situation ein Fünkchen näher.;2022-01-03T20:45:57.000Z;6 likes;-
13;ulrikemunner;Ich erlebe das Kindsein immer,wenn ich meine Freundin vom Zug abhole.Deren Mutter macht dann ein Mittagessen u wir erzählen oft,aus der Vergangenheit. So schön alles noch mit 60Jahren zu erleben.;2022-01-03T18:48:04.000Z;0;-
14;mandy.schlundt;👏 Und ist es nicht faszinierend, was die Umgebung mit der Persönlichkeit anstellt?;2022-01-03T18:29:21.000Z;5 likes;-
15;ooochristl;Ist es das letzte Mal, dass du in Ulm bei deiner Familie sein wirst?;2022-01-03T18:24:47.000Z;0;-
16;mtex.pert;Bloß den Kopf nicht verlieren 🙌;2022-01-03T18:07:15.000Z;0;-
17;ecmentink;Warum gibt IG kleine Uebersetzung ?;2022-01-03T16:44:57.000Z;0;-
18;karo1_9_7_3;Wenn man sich überlegt, nächsten Monat ist alles vorbei, wirklich schrecklich.. 😔😔😔😔😔😔;2022-01-03T16:28:25.000Z;1 like;-
