Link: ;https://www.instagram.com/p/CUFhTVMs4TN/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;we.love.saarland;❤️❤️❤️;2021-09-30T04:57:06.000Z;0;-
2;ansgarwfl;Schreib ihnen Briefe;2021-09-27T04:52:34.000Z;0;-
3;erfolg_mit_mike;Bei dem Thema sind wir heute leider wieder angelangt! Ich hoffe sehr, dass wir wieder alle gleiches Recht bekommen!;2021-09-23T21:39:05.000Z;2 likes;-
3-1;herrdriesen;"@erfolg_mit_mike Genau. Man hört aktuell so oft von Menschen in Deutschland, die bei Nacht und Nebel abgeholt werden und in Gefängnissen zu Tode gefoltert oder einfach erschossen werden, nur weil sie ihre Meinung sagen.
Ach nee, das war Afghanistan. In Deutschland können sie auf die Straße gehen und ihre Meinung sogar im Fernsehen äußern, ohne dass ihnen was passiert.";2021-09-24T14:17:49.000Z;23 likes;3
3-2;ichbinsophiescholl;@erfolg_mit_mike #TeamSoffer Die heutige Situation mit der Hitler-Diktatur zu vergleichen ist unangebracht. Solche Aussagen widersprechen nicht nur jeglichen Fakten, sondern sind auch respektlos den damaligen Opfern gegenüber.;2021-09-24T18:03:42.000Z;43 likes;3
3-3;natalie.hanke.14;@ichbinsophiescholl Es begann mit der Ausgrenzung und Stigmatisierung einer bestimmten Menschengruppe. Und genau das passiert gerade.;2021-10-16T17:42:14.000Z;1 like;3
3-4;erfolg_mit_mike;@natalie.hanke.14 so ist es!;2021-10-16T18:51:27.000Z;1 like;3
4;netratz;🔥❤️;2021-09-22T21:51:31.000Z;0;-
5;just_say_carlotta;Meine Oma hat im Arbeitsdienst auf einem Hof gearbeitet wo es auch einen Zwangsarbeiter gab. Meine Oma wurde dann von der Familie gefragt ob es für sie in Ordnung wäre wenn er am selben Tisch sitzt. Für sie war es keine Frage und sie haben sie zusammen gesessen.;2021-09-22T17:25:23.000Z;4 likes;-
6;annie_henning_bayern;Es gibt keine Herrenrasse. Kein Volk, keine Rasse ist besser als die andere. Nicht die beste;2021-09-22T09:40:59.000Z;0;-
7;annie_henning_bayern;Genau blöde Blicke und alles nachplappern, mehr können die Leute nicht;2021-09-22T09:37:55.000Z;0;-
8;jg_photographica_;Mein Opa ist als Zwangsarbeiter aus Polen gekommen und hat auf einem Bauernhof gearbeitet. Dort wurde er aber anscheinend gut behandelt, denn nach dem Krieg ist er noch regelmäßig dorthin gefahren zu Besuch. Und irgendwie hat er dann unterwegs meine Oma kennengelernt ☺️ Leider ist er gestorben, da war ich noch sehr jung. Heute hätte ich sooo viele Fragen zu früher;2021-09-22T04:49:27.000Z;3 likes;-
9;jg_photographica_;Mein Opa ist als Zwangsarbeiter aus Polen gekommen und hat auf einem Bauernhof gearbeitet. Dort wurde er aber anscheinend gut behandelt, denn nach dem Krieg ist er noch regelmäßig dorthin gefahren zu Besuch. Und irgendwie hat er dann unterwegs meine Oma kennengelernt ☺️ Leider ist er gestorben, da war ich noch sehr jung. Heute hätte ich sooo viele Fragen zu früher;2021-09-22T04:45:17.000Z;16 likes;-
9-1;ichbinsophiescholl;@jg_photographica_ #TeamSoffer Vielen lieben Dank für deine persönliche Geschichte, das berührt uns sehr! Wir freuen uns, dass dieses Projekt zum Denken anregt und du deinen eigenen Bezug dazu findest! Viele Grüße!;2021-09-22T06:32:16.000Z;6 likes;9
10;katisommer63;Meine Großeltern hatten einen kleinen Bauernhof. Mein Opa wurde eingezogen und war irgendwo im Baltikum. Meine Oma mit drei kleinen Kindern allein mit dem Hof. Dann wurde ihr ein polnischer Zwangsarbeiter zugeteilt - Petr. Er war von Anfang an Mitglied der Familie. Meine Oma war dankbar, obwohl allen klar war, dass hier große Ungerechtigkeit herrschte und jeder sich nach Hause sehnte. Petr und auch mein Opa. Glücklicherweise haben beide es nach Hause geschafft.;2021-09-21T21:22:56.000Z;12 likes;-
11;adri.s.autorin;Ist meinem Grossvater und seiner Schwester passiert. Die einzigen Kinder wurden nach Sibirien geholt. Aber aus Rumänien, weil sie Deutsch waren, nach dem Krieg. Waren auch ca. 17. Und mein Grossvater hat einige Finger und Zehen verloren. Dannach kamen, viele Jahre später, Fresspackete an, an dennen wir uns alle erfreut haben! Seltsame Zeit.;2021-09-21T20:25:00.000Z;1 like;-
12;kom_atelier_kotikova;Meine Oma( sie war damals 17 Jahe alt) musste als Zwangsarbeiterin in Fürt in einer Dynamitfabrik arbeiten. Sie hat erzählt, dass sie nicht überlebt hätte, wenn eine deutsche Frau sie nacht nach Hause als Putzfrau genommen hätte. Diese Frau hat meiner Oma das Leben gerettet, sie verarztet und um sie als ob sie ihre eigene Tochter wäre gekümmert ❤️ 🕊;2021-09-21T17:56:22.000Z;61 likes;-
12-1;ulrikemunner;@kom_atelier_kotikova Eine wunderbare Oma.❤️;2021-09-21T17:59:45.000Z;5 likes;12
12-2;ichbinsophiescholl;@kom_atelier_kotikova #TeamSoffer Vielen Dank, dass du diese persönliche Geschichte mit uns teilst! Was für großartige Frauen!;2021-09-22T07:04:41.000Z;11 likes;12
12-3;kathafuer;@kom_atelier_kotikova Respekt vor dieser Frau, die offenbar ein Leben gerettet hat.;2021-09-22T18:46:02.000Z;2 likes;12
13;chezginette85;❤️;2021-09-21T17:33:29.000Z;1 like;-
14;team_wedemann_holz;Pass trotzdem auf dich auf!;2021-09-21T16:53:56.000Z;2 likes;-
15;susanne_k_aeferchen;👍 👍 👍;2021-09-21T16:21:58.000Z;1 like;-
16;hi_its.me.steffi;Einfach schrecklich, danke für deine Aufklärung über diese Zwangsarbeiter/-innen!;2021-09-21T16:13:46.000Z;3 likes;-
