Link: ;https://www.instagram.com/p/CZ7GST4Nmza/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ameliechile;👏👏👏;2022-02-17T18:35:12.000Z;0;-
2;rlanweh;Was wird Goebbels verkünden? Ihr seid so mutig. Ich bin mir nicht sicher, ob ich das wäre…;2022-02-14T21:15:01.000Z;0;-
3;musik.begabt_2005;😢;2022-02-14T08:57:56.000Z;0;-
4;dominiquep69;Es einfach wahnsinnig wie nah mir diese Dokumentation geht. Da danke ich immer wieder dem Herrn oder wem auch immer dass ich in einer anderen Zeit und auch in der sicheren Schweiz geboren bin.;2022-02-13T21:10:56.000Z;10 likes;-
5;jacquelinenolting;Ich möchte Sophie am liebsten daran hindern. An den Gedanken was die nächsten Tage hier folgen wird. Gott ist gut. ❤️;2022-02-13T20:30:27.000Z;11 likes;-
6;annaisabel_r;Mir tut es so leid, dass Ihr nicht diese unbeschwerte Studentenzeit hattet, wie ich! Und natürlich nicht älter werden durftet...Schrecklich alles, man kann es sich nicht vorstellen. Allerdings bringt Ihr das Unvorstellbare ein bisschen näher. Vielen Dank!;2022-02-13T19:51:43.000Z;4 likes;-
7;madame_easy;5 Tage... 😢;2022-02-13T19:03:37.000Z;3 likes;-
8;katharina.helling;"Tätigkeitsbericht der Jüdischen Sozialen Selbsthilfe vom 13. Februar 1942 für den Zeitraum vom 1. November 1941 bis 31. Januar 1942

[…] Zufolge der Androhung der Todesstrafe für das unbefugte Verlassen der jüdischen Wohnbezirke geriet die jüdische Bevölkerung allerorten in eine geradezu katastrophale Lage. Viele Einwohner der jüdischen Wohnbezirke, hauptsächlich aber Handwerker und Arbeiter, die früher ihren Unterhalt aus dem wirtschaftlichen Verkehr mit dem flachen Lande, bezw. mit den in der Umgebung gelegenen Städten und Städtchen bezogen haben, büßten alle Erwerbsmöglichkeiten ein, wodurch die Zahl der Hilfs- und Unterstützungsbedürftigen ins Unermeßliche anwuchs. In vielen Ortschaften ist die jüdische Bevölkerung außerstande, die allernotwendigsten Arzneimittel in den außerhalb der jüdischen Wohnbezirke gelegenen Apotheken anzuschaffen, was die Seuchenbekämpfung beträchtlich erschwert.

Aus manchen Ortschaften wurde über Fälle berichtet, daß Juden – trotzdem die Dritte Verordnung eine Aburteilung durch die Sondergerichte vorsieht – ohne Gerichtsverfahren erschossen werden.

Jüdische Wohnbezirke.

Hand in Hand mit den Beschränkungen der Bewegungsfreiheit der Juden ging die Errichtung jüdischer Wohnbezirke, wo es solche noch nicht gab. Dadurch wurde die Wohnungsnot unter den Juden bedeutend vergrößert. Schon früher hatten die Juden in den kleineren Ortschaften recht häufig keine Wohnungen, sie übernachteten in Scheunen und Kammern, und als sie mit Anbruch der kalten Jahreszeit dieselben nicht länger benutzen konnten, mußten sie Häuser beziehen, die vollständig leer waren und nicht einmal [einen] Küchenherd hatten. Nicht selten mußten sie jedoch noch in provisorischen Bretterbuden hausen und auf Dachböden nisten, da es nicht mehr gelang, sie in andere Wohnräume hineinzupferchen. Auch wo sie Wohnungen haben, sind sehr oft 2–3 Familien in einem Zimmer zusammengedrängt. […]
⤵️";2022-02-13T18:53:44.000Z;5 likes;-
9;katharina.helling;".
🗓 13.02.1943

◼️ Griechenland

Den Juden wird die Benutzung von Telefonen und öffentlichen Verkehrsmitteln verboten. Nach Einbruch der Dunkelheit ist ihnen das Betreten der Straßen untersagt. Bei unerlaubtem Verlassen ihres ständigen Wohnsitzes droht ihnen sofortige Erschießung.

◼️ Frankreich/Auschwitz

Mit einem Transport aus dem Lager Drancy kommen 998 jüdische Menschen in Auschwitz an. 143 Männer und 53 Frauen werden in das Lager eingewiesen; 802 Menschen werden in den Gaskammern getötet. (Czech, S. 414)

◼️ Nordafrika

Die jüdische Gemeinde in Djerba, Tunesien, wird von den deutschen Besatzungsbehörden zur Zahlung von 10 Millionen Francs gezwungen.

◼️ Bulgarien

Das Auswärtige Amt an die deutsche Gesandtschaft in Sofia.

Dem bulgarischen Ministerpräsidenten soll mitgeteilt werden, daß man dringend abrate, auf den britischen Vorschlag zur Auswanderung jüdischer Kinder nach Palästina (s. 4.2.43) einzugehen. Es sei sonst zu befürchten, daß die Kinder ""zu 5.000 Propagandisten gegen unsere antisemitischen Maßnahmen erzogen würden"".
Ein Entgegenkommen würde von den Gegnern als Schwächezeichen ausgelegt und propagandistisch verwertet werden. ""Auch vertrüge sich eine derartige Maßnahme nicht mit unserer Politik gegenüber den arabischen Völkern."" (ADAP, Serie E, Bd. V, Nr. 98, Fußnote)
〰️
http://www.holocaust-chronologie.de/chronologie/1943/februar.html";2022-02-13T18:51:37.000Z;5 likes;-
10;m.g.7369;😢;2022-02-13T17:34:48.000Z;2 likes;-
