Link: ;https://www.instagram.com/p/CYoYpB7MZMp/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sommeregen666;Nein. Blut ist dicker als Wasser;2022-01-17T09:42:46.000Z;0;-
2;purrfect.drug;Nein, erzählt ihr nichts.;2022-01-13T19:24:14.000Z;0;-
3;__marisa.____;Ich sehe es auch so,dass du Gisela weiterhin vertrauen kannst, aber ihr euch über andere Dinge unterhalten und so;2022-01-13T17:26:53.000Z;0;-
4;suziswift62;Besser nicht...😢;2022-01-13T14:54:53.000Z;0;-
5;automationsjonas;Ich sag dirs, die wird dich den kopf kosten!;2022-01-13T10:52:15.000Z;0;-
6;by.matt.harder;kurz mal off topic, zur Schauspielerin die Gisela spielt: einfach überragende Leistung was sie hier zeigt, sehr sehr authentisch und gefühlvoll. Respekt;2022-01-13T08:25:38.000Z;1 like;-
7;ajwilson79;Da wäre ich vorsichtig…;2022-01-13T07:40:42.000Z;0;-
8;cubbigammy;Ich glaube vorsichtig sein ist nie verkehrt wenn nicht absichtlich kann auch ausversrhen was beim Abendessen rausrutscgen was euch in Gefahr bringen könnte;2022-01-13T07:28:51.000Z;0;-
9;xneonblack;"@ichbinsophiescholl bzw #TeamSoffer ihr seid großartig.
Natürlich war diese Zeit ein riesiger Bestandteil meiner Schulzeit und natürlich fand ich die bloße Vorstellung damals schon grausam und beängstigend.
Durch diesen Account lerne ich aber immer wieder aufs Neue dazu. 🥰";2022-01-13T07:08:57.000Z;0;-
10;zamhoidnla;Damals wie heute gibt es viele Naive, die auf Rechtsextreme Propaganda hereinfallen und sie verharmlosen.;2022-01-13T06:38:17.000Z;0;-
11;max.hundelshausen;#donttrustgisela;2022-01-12T22:33:42.000Z;1 like;-
12;kelja_tanzt;Ich wäre sehr vorsichtig und würde ihr lieber nichts über die Widerstandsarbeit anvertrauen. Zu groß ist die Gefahr, dass sie etwas verrät und ihr mit eurem Leben dafür zahlen müsst. Schließlich ist ihre eigene Familie für Hitler. Blut ist dicker als Wasser. Und sie käme vielleicht auch in einen Gewissenskonflikt.;2022-01-12T22:02:08.000Z;0;-
13;katharina.helling;"Sophie Scholl an Fritz Hartnagel am 07.11.1942
„Mein lieber Fritz!
Heute abend kommt Hans aus Rußland zurück. Nun sollte ich mich wohl freuen, daß er wieder bei uns ist, und ich tue es auch und male mir schon die Tage aus, die wir gemeinsam in München verbringen werden, in unserer kleinen Wohnung, und die wohl fruchtbar sein könnten.
Und doch kann ich mich nicht ungetrübt freuen. Die Unsicherheit, in der wir heute dauernd leben, die uns ein fröhliches Planen für den morgigen Tag verbietet und auf alle die nächsten kommenden Tage ihren Schatten wirft, bedrückt mich Tag und Nacht und verläßt mich eigentlich keine Minute. Wann endlich wird die Zeit kommen, wo man nicht seine Kräfte und all seine Aufmerksamkeit immer nur angespannt halten muß für Dinge, die es nicht wert sind, daß man den kleinen Finger ihretwegen krümmt. Jedes Wort wird, bevor es gesprochen wird, von allen Seiten betrachtet, ob kein Schimmer der Zweideutigkeit an ihm haftet. Das Vertrauen zu anderen Menschen muß dem Mißtrauen und der Vorsicht weichen. O es ist ermüdend und manchmal entmutigend, Doch nein, ich will mir meinen Mut durch nichts nehmen lassen, diese Nichtigkeiten werden doch nicht Herr über mich werden können, wo ich ganz andere unantastbare Freuden besitze. Wenn ich daran denke, fließt mir Kraft zu, und ich möchte allen, die ähnlich niedergedrückt sind, ein aufrichtendes Wort zurufen.
Von Dir ist nun schon so lange keine Post mehr gekommen, daß ich mir allerlei Gedanken mache. [….]
Ich möchte einmal wieder mit Dir durch den Wald laufen, oder egal wo; doch das steht noch in der Ferne, wenn auch nicht in der unerreichbaren.
Einstweilen muß mir ein Briefbogen genügen, der Dir viele
herzliche Grüße zuträgt
von Deiner Sophie“
Quelle: Hans Scholl/Sophie Scholl Briefe und Aufzeichnungen, S. 278f";2022-01-12T21:08:21.000Z;8 likes;-
14;changed.by.popular.demand;Hallo Sophie, warum hast du bei deinem Gespräch heute eigentlich nicht erzählt, was du in der englischen Zeitung vor Weihnachten gelesen hast? Du weißt doch, dass die meisten Jüd:innen nicht nach Amerika emigrieren. Das hättest du Gisela doch erzählen können oder vertraust du deiner neuen besten Freundin doch nicht so?;2022-01-12T21:01:12.000Z;9 likes;-
15;reading_nelone;Ja, ich denke, die Leute sind damals so aufgewachsen. Ich finde es stark von Gisela, dass sie dem ganzen dennoch nicht zu 100% traut, dir Uhr nicht trägt und Zweifel an den Aussagen der Nazis Zweifel erhebt.;2022-01-12T20:47:29.000Z;0;-
16;christinenichts;Liebe Sophie, leider lassen es deine Aktivitäten im Wiederstand und die Umstände in denen du lebst nicht zu, dass du mit deinen Freunden offen über das Reden kannst was du denkst. Leider kannst du bereits für deine Worte den Kopf verlieren;2022-01-12T20:29:41.000Z;0;-
17;frauenvondamals;"Schauspielern auch im engsten Kreis gehörte für Widerständler:innen dazu - zum eigenen Schutz wie auch zum Schutz von Mitstreiter:innen und nicht zuletzt der betreffenden Personen, die durch Mitwissen in Gefahr gebracht werden konnten. In ihrer jüngst erschienenen Biografie zu Mildred Harnack beschreibt Rebecca Donner beispielsweise, wie lange Harnack sich Zeit nahm, um zu sondieren, und wie bedacht sie rekrutierte. Nach außen spielte sie die unpolitische oder gar nazi-sympathisierende amerikanische Ehefrau. (Rebecca Donner: ""All The Frequent Troubles of our Days"" New Yor, u.a. 2021, z. B. S. 86)";2022-01-12T19:33:28.000Z;20 likes;-
18;natuerlichloui;Eigentlich so schlimm, dass man selbst mit einer guten Freundin nicht über alles reden kann. Das passt für mich irgendwie nicht ganz zusammen. Aber auch mein Rat: sei lieber vorsichtig ❤️;2022-01-12T19:10:37.000Z;7 likes;-
