Link: ;https://www.instagram.com/p/CVNTJU9safI/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;we.love.saarland;❤️;2021-10-20T11:12:47.000Z;0;-
2;milena.7879;@izz_lou;2021-10-20T09:54:40.000Z;0;-
3;klara.kllt;Die Familie Scholl, Alexander Schmorell, Christoph Probst der Vater dreier Kinder jeder einzelne von ihnen ist eine Inspiration und ein Hinweis darauf das so eine nationalsozialistische Regierung nie wieder aufkommen und überwiegen darf;2021-10-20T09:04:49.000Z;0;-
4;klara.kllt;Du musst nur aufpassen das du jetzt nichts an dich heran lässt vertraue nur Eingeweihten und deiner Familie das sind die Menschen die du immer haben wirst.;2021-10-20T09:02:07.000Z;0;-
5;andrea_eliane;@ichbinsophiescholl wo bist du? Geht es dir gut?;2021-10-20T08:29:01.000Z;0;-
6;muddis.welt;Egal wie deine Entscheidung ausgeht, du bist so mutig, trotzallem. Pass auf dich auf. 🍀;2021-10-20T05:18:28.000Z;0;-
6-1;ichbinsophiescholl;@muddis.welt Dabei bin ich gerade nichts als furchtsam!;2021-10-20T10:28:51.000Z;0;6
7;sunny_aley_1888;Ich bange mit dir, Sophie! Ich wünschte ich könnte dir helfen und Unterschlupf bieten 💛;2021-10-19T21:12:23.000Z;2 likes;-
8;sarahschlumpf;Meine Oma (90J.) schreckt heute noch nachts aus dem Bett hoch weil sie geträumt hat, dass der Schatten des Feindes an ihrem Bett steht. Ein richtiges Trauma aufgrund genau dieses Plakats! Endlich sehe ich Mal den üblen Ursprung dieses Alptraums.;2021-10-19T20:17:39.000Z;20 likes;-
8-1;ichbinsophiescholl;@sarahschlumpf #TeamSoffer Auch wenn dies ein eher bedrückender Anlass ist – vielen Dank für das Teilen deiner persönlichen Geschichte!;2021-10-20T10:18:04.000Z;6 likes;8
9;miss_g111;😢;2021-10-19T20:06:11.000Z;0;-
10;silverfox.cu69;Deine weibliche Intuition sagt dir was sich hinter den ganzen Zeichen versteckt und führt dich schon auf den richtigen Weg, doch ein Versteckirgendwo im nirgendwo wird dich garantiert an kein Ziel geleiten du musst schon weiter gehen um dich in Sicherheit wiegen zu können ... Mit Mut fangen die schönsten Geschichten an, sei mutig und lass alles zurück, schenk der Vergangenheit keinen einzigen Blick mehr und geh, geh weiter, geh weit weit weiter weg, dahin wo dich keiner kennt. Ab diesem Moment wird es sicher nicht mehr leichter, drum wünsche ich dir alles alles gute liebe Sophie auf diesem Pfad ins ungewisse;2021-10-19T19:28:29.000Z;1 like;-
11;carin_0203;Wenn ich das lese, kommt mir der Gedanke, dass Ihr doch etwas und unorganisiert da ran gegangen seid? Kein Plan B, keine Unterschlupfmöglichkeiten, kein ausreichendes Netzwerk?;2021-10-19T19:11:36.000Z;2 likes;-
12;markussukram0815;"""Feind hört mit"" hing, wenn auch mit anderer Illustration, noch in den 90er Jahren in unseren Kasernen.";2021-10-19T19:01:07.000Z;2 likes;-
13;wene_beinhart;Wer Freunde hat braucht keine Feinde mehr. 😝;2021-10-19T18:55:18.000Z;0;-
14;wene_beinhart;TKA. Traue Keinem Anderen;2021-10-19T18:53:28.000Z;0;-
15;wene_beinhart;google und NSA lesen mit!;2021-10-19T18:52:14.000Z;0;-
16;tam1805;Ich hab schon Angst um dich...;2021-10-19T18:34:18.000Z;1 like;-
17;ichbinwilligraf;🤍;2021-10-19T18:22:55.000Z;0;-
18;anjamuller565;Das tut mir so leid dass Du solche Sorgen hast. Hat nicht einer Deiner Freund*innen die Unterlagen? Wie sollten die an die Gestapo gelangen?;2021-10-19T18:15:41.000Z;1 like;-
19;sabriina.nsk;Ich gehe auf die Sophie Scholl Schule;2021-10-19T18:01:05.000Z;3 likes;-
19-1;xo_marylou_xo;@sabriina.nsk Geschwister Scholl 😊;2021-10-19T20:30:29.000Z;1 like;19
20;samson2781;@ichbinsophiescholl kennst du dich mit Pilzen aus? Die müssten jetzt im Wald wachsen.;2021-10-19T17:45:36.000Z;0;-
21;linn.brinkmann;Wir verstecken dich. Melde dich bei uns.;2021-10-19T17:35:49.000Z;4 likes;-
22;ava.santimea;kannst du zu Hansi? er kann die Angst sicher am besten verstehen, und ist zumindest auch in der Nähe...;2021-10-19T16:43:30.000Z;1 like;-
23;gwen_gloeckchen;Liebe Sophie... Ich weiß, du hast unsägliche Angst, aber bitte bitte geh wie ganz normal nach Hause, tu als ob nichts wäre, denn wenn du jetzt einfach verschwunden bist, machst du dich vielleicht noch verdächtiger... 🤨 Und wahnsinnig werden tu bitte nicht, wir brauchen dich noch!!:😉 Du kannst doch deine Familie und die weiße Rose nicht alleine lassen... Ich denke an dich und bin in Gedanken bei dir... Liebe Grüße Gwen Glöckchen 🍁;2021-10-19T16:30:18.000Z;6 likes;-
23-1;ichbinsophiescholl;@gwen_gloeckchen Fürwahr: Beim Gedanken an die Gestapo bei der ahnungslosen Inge und Mutter wird mir ganz anders!;2021-10-20T10:21:08.000Z;2 likes;23
23-2;gwen_gloeckchen;@ichbinsophiescholl Ich drücke dir die Daumen und hoffe dass euch die Knallfratzen in Ruhe lassen. Haben die denn nix Besseres zu tun, als ihre Mitmenschen zu terrorisieren?! Liebe Grüße an dich und deine Familie, Gwen Glöckchen 🍂;2021-10-20T15:27:03.000Z;0;23
24;kasktb;Wäre es nicht sehr auffällig zu verschwinden? Statt wie gehabt ein normales Leben vorzuspielen?;2021-10-19T15:43:49.000Z;21 likes;-
24-1;ichbinsophiescholl;@chonk.maja Sollte die Gestapo meine Unterlagen bereits in den Händen halten, würde sie ein normal gespieltes Leben wohl nicht überzeugen. Vielleicht ist es das letzte Mal, dass ich die Möglichkeit habe zu fliehen!;2021-10-19T15:48:02.000Z;72 likes;24
24-2;kasktb;@ichbinsophiescholl Wenn flüchten mal so einfach wäre. 🤞🏻;2021-10-19T16:37:23.000Z;3 likes;24
25;finkwiedervogel;Aber wenn jemand Fremdes in deinem Zimmer war, müsste das deine Familie doch mitbekommen haben. Bestimmt ist es Inge gewesen, um dich zu schützen. Hast du Mal mit ihr darüber geredet?;2021-10-19T15:20:29.000Z;2 likes;-
26;simone_treburg;😢😢😢;2021-10-19T14:56:35.000Z;1 like;-
27;smithwicks07;Nüsse, Brombeeren, Nesseln wachsen jetzt noch im Wald. Am Feldrand findest du vielleicht noch Kartoffeln (falls du Feuer machen kannst), Äpfel, Birnen, Kürbis.;2021-10-19T14:23:06.000Z;4 likes;-
28;lyalldavey;Ich wünsche jemand wurde dir helfen. Tut mir leid fur mein schreckliches Deutsch ❤️🔥;2021-10-19T13:54:10.000Z;3 likes;-
28-1;ivi_wehpunkt;@lyalldavey Das ist gar nicht so schlimm 😉 (wünschTe und würde (ü) sonst alles richtig 😉);2021-10-19T14:56:51.000Z;1 like;28
29;imke_z;@ichbinsophiescholl, auch wenn diese konkrete Erzählung, wie in einigen Kommentaren von dir erwähnt, fiktiv ist: In welcher Zeit befinden wir uns jetzt in deiner Geschichte?;2021-10-19T13:47:22.000Z;0;-
29-1;ivi_wehpunkt;Also auf den Fahrkarten stand Oktober 1942... ✌🏻;2021-10-19T15:10:28.000Z;3 likes;29
30;dr_schroedinger;Pilze und Nüsse, mehr dürfte wohl nicht zu finden sein. Ist aber weglaufen jetzt das richtige?;2021-10-19T13:11:33.000Z;2 likes;-
31;littlebird.ceramics;Welche wahnsinnige brutale Angst das Leben beherrschte ich fühle so mit und wüsste nicht wie ich selbst in dieser Situation klarkommen könnte. Ängste in alle Richtungen und Ängste um die Liebsten und das eigene Leben.;2021-10-19T12:42:24.000Z;20 likes;-
32;carissima8918;Ja, es wachsen Pilze. Wenn du dich damit nicht auskennst, es gibt derzeit auch noch Esskastanien;2021-10-19T12:38:15.000Z;2 likes;-
33;curlyjooles;Es ist so schrecklich das Ende schon zu kennen. Ach Sophie. 😢 So eine mutige junge Frau bist du.;2021-10-19T12:37:55.000Z;19 likes;-
34;can_d79;Pilze wachsen doch jetzt sicher en masse;2021-10-19T12:33:22.000Z;2 likes;-
35;ein_echter_bochumer_junge;Wenn doch nur Zeitreisen möglich wären..... 😢😢;2021-10-19T12:30:10.000Z;5 likes;-
36;autorin_ameliealbrecht;Ohje Sophie! Sei vorsichtig!;2021-10-19T12:26:29.000Z;2 likes;-
