Link: ;https://www.instagram.com/p/CVVjEPsDP9x/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lina_greeen;"Instagram der Darstellerin ""Inge""? Könnt ihr sie für mich verlinken?";2021-10-29T08:35:32.000Z;0;-
2;minh._.grn;😍🕺🔥;2021-10-28T07:44:39.000Z;0;-
3;kartoffelvodka;"Der polnische Untergrund hat schon früh angefangen zu wissen und zu berichten; wie kann man da auf die Idee kommen der deutsche Untergrund würde es nicht wissen?";2021-10-25T08:41:56.000Z;1 like;-
4;kartoffelvodka;Wieso behauptet ihr dass Sophie nicht gewusst hätte von den Transporten in die Lager? Die Aussage dass deutsche nichts gewusst hätten von der Vernichtung, ist längst widerlegt und schlichtweg falsch.;2021-10-25T08:41:08.000Z;3 likes;-
5;dzejnic;❤️❤️❤️;2021-10-23T07:04:34.000Z;1 like;-
6;sinajolo;Und wo ist Werner Scholl?! Warum wird das alles tot geschwiegen?;2021-10-23T00:50:42.000Z;0;-
7;sinajolo;Wo ist denn die Schwester die Sophies Freund am Ende geheiratet hat?!!!;2021-10-23T00:44:53.000Z;1 like;-
8;misses_gloss;Eine Frage die Geschichte wie diese Szene wird im Tagebuch auch so geschrieben? Wo liegt eigentlich dieses Tagebuch genau?;2021-10-22T23:40:05.000Z;1 like;-
9;misses_gloss;Es wirkt extrem real, so als ob die Schauspielerin echt das durchleben würde. Finde es gerade deshalb so realistisch wegen dieser Plattform. So wie ein Video Tagebuch halt.;2021-10-22T23:32:52.000Z;1 like;-
10;naddy1113;Liebe Sophie, sie es mal aus einem anderen Blickwinkel, stell dir vor du wärst Inge...! Ich glaube du wärst sehr enttäuscht und traurig,wenn du es im Nachhinein erfährst. Sag es ihr!!!! Die Wahrheit ist immer besser. Alles liebe 😘;2021-10-22T20:49:41.000Z;0;-
11;reginadippold;"Wenn ich so sehe, wie ausgelassen die ""heutige Sophie"" so tanzt und offensichtlich glücklich ist, tut es mir weh, wenn ich weiß, das es Sophie Scholl einfach genommen wurde, tanzen und ausgelassen zu feiern...und nicht nur das. Alles, das ganze Leben....Das macht mich traurig....😢";2021-10-22T20:20:17.000Z;8 likes;-
12;reading_nelone;Ich liebe dieses Lied! Wie heißt es eigentlich?;2021-10-22T20:12:00.000Z;2 likes;-
13;gabielpunkt;Wie heißt denn dieses tolle Lied? 🎶💃;2021-10-22T17:57:55.000Z;4 likes;-
14;ava.santimea;ich würde es auch für mich behalten, auch wenn es doof ist, die Schwester anzulügen. immerhin würdest du sie sonst noch zum mitwissenden machen, und das kann gefährlich sein! sie hat doch so schöne Pläne mit Otl...;2021-10-22T17:55:30.000Z;2 likes;-
15;annettebusch;Danke an den SWR für dieses einzigartige, wundervolle Geschichtsprojekt auf Instagram! 👏👏👏;2021-10-22T17:54:14.000Z;29 likes;-
16;annettebusch;Mir kommen die Tränen, wenn ich daran denke, wie diese Geschichte ausgeht. Durch dieses wunderbare Insta-Projekt sind die beiden einem sooo nah! Ich fühle so sehr mit und denke an Inge, die das schreckliche Ende von Sophie und Hans miterleben musste 😢;2021-10-22T17:52:24.000Z;20 likes;-
17;tessa.dreher;Ja das ist schwer. Doch wahrscheinlich ist es besser nix zu sagen 😔.;2021-10-22T17:43:41.000Z;1 like;-
18;fraeulein_doro_loves_life;Ich würde es weiterhin für mich behalten, auch, um deine Familie zu schützen.... Glaubst du, Otl wúrde irgendwann Inge gegenüber was ausplaudern?;2021-10-22T17:40:35.000Z;3 likes;-
19;joe_ricb;Ihr tanzt einfach so schön 😊;2021-10-22T17:40:25.000Z;1 like;-
20;mr.merten;Ich hätte mal eine Frage: Warum wurde Otl eigentlich nicht eingezogen?;2021-10-22T17:30:30.000Z;0;-
21;gordon19800608;Wie heißt der Song? Würde den gerne streamen! ☺️☺️☺️👍👍👍;2021-10-22T17:19:00.000Z;2 likes;-
22;heikerahls;Es ist schön Euch so glücklich tanzen zu sehen ❤️🌈🎶;2021-10-22T17:05:00.000Z;1 like;-
23;mlle.cecilia.ann;Wie heißt das Stück? ☺️;2021-10-22T16:52:37.000Z;2 likes;-
24;arisk.prvt;Als;2021-10-22T16:16:34.000Z;0;-
25;arisk.prvt;Das tanzende Inge-Video kam schon Mal aus Foto;2021-10-22T16:16:32.000Z;0;-
26;jeanlucpiriou9122;So lustig;2021-10-22T16:13:49.000Z;2 likes;-
27;giusy79_;Ich finde du solltest es ihr erzählen liebe Sophie. Wenn sie es im Nachhinein erfährt, wird sie noch enttäuschter sein. Die Wahrheit kommt früher oder später immer raus! ❤️;2021-10-22T16:06:42.000Z;17 likes;-
28;llieschen_mueller;"Ihr zwei bringt so viel Lebensfreude rüber! 🥰
Ich bin mir sehr unsicher, ob du jetzt davon erzählen solltest. 🤔";2021-10-22T16:06:39.000Z;8 likes;-
29;katrinpruchniewski;"Ich denk du sagst es Inge nicht, weil du sie schützen willst.
Das finde ich richtig.
Aber vielleicht ahnt Inge es ja auch.";2021-10-22T16:05:32.000Z;6 likes;-
30;kathafuer;@ichbinsophiescholl Wusste Inge wirklich nichts von den Aktivitäten ihrer Geschwister? Bzw hat Sophie Otl echt „angeworben“? Wäre es meine Schwester fände ich eine derartige Aktion hinter meinem Rücken total daneben…;2021-10-22T16:05:03.000Z;5 likes;-
31;heleneschmid;Super Musik Wie heißt das;2021-10-22T16:02:02.000Z;4 likes;-
