Link: ;https://www.instagram.com/p/CX0VlQ6M2ld/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;benjaminkerber.art;❤️;2021-12-25T08:14:22.000Z;0;-
2;benker_bns;❤️;2021-12-24T23:45:29.000Z;0;-
3;juliah0708;Natürlich mit der Familie. Auch Deiner Familie und Dir frohe Weihnachten!;2021-12-24T13:47:58.000Z;0;-
4;hartlkoenig;Frohe Weihnachten liebe Sophie;2021-12-24T13:07:15.000Z;0;-
5;hartlkoenig;Frohe Weihnachten liebe Sophie;2021-12-24T12:59:51.000Z;0;-
6;noemi.thi;Wo sind eigentlich die anderen Geschwister?;2021-12-24T10:58:28.000Z;0;-
7;livi.2828;Du siehst da so glücklich aus☺️😍;2021-12-24T10:15:29.000Z;1 like;-
8;burghardtuffmann;Happy New Christmas;2021-12-24T07:59:38.000Z;0;-
9;vervain1;🙌❤️❤️❤️😍;2021-12-23T23:31:54.000Z;0;-
10;stefaniesp1989;Eigentlich mit meiner Mama, meinem Bruder, seinem Freund und meinem Sohn. Aber meine Mama hat sich heute noch das Schienbein gebrochen und liegt jetzt im Krankenhaus und muss eventuell komplett über Weihnachten im Krankenhaus bleiben;2021-12-23T22:54:03.000Z;0;-
11;xnnikx_klemxnn;Mit meiner Familie, wie immer❤️;2021-12-23T21:08:10.000Z;0;-
12;matthias.oertel.79;Großartig, genießt die Zeit. Es könnten die letzten Weihnachten sein. Im Krieg weiß man nie.;2021-12-23T20:58:09.000Z;0;-
13;rikus2153;Sind gerade im ICE unterwegs von Berlin nach Tübingen. Weihnachten in Familie. Allen ein frohes Fest und ein gutes, gesundes und friedliches 2022.;2021-12-23T20:43:49.000Z;0;-
14;anikam9989;Wieso sprecht ihr nie über Elisabeth? Sie müsste doch auch noch zu Hause bei den Eltern wohnen?;2021-12-23T20:28:28.000Z;0;-
15;anjamuller565;Das ist super!! Genießt die Zeit und vergesst die blöden Nazis während der Feiertage auch mal. Hoffe ihr habt Schnee und Zeit für Spaziergänge und gemeinsames Teetrinken und viele Unterhaltungen. ❤️;2021-12-23T20:18:10.000Z;0;-
16;christophmoeck;Ich feier mit meiner Familie;2021-12-23T20:11:43.000Z;0;-
17;christophmoeck;Schön, ich wünsche dir und deiner Familie Frohe Weihnachten;2021-12-23T20:11:24.000Z;0;-
18;trebor0404;Ich freue mich für euch! Ich muss noch Arbeiten und dann feiern wir mit der ganzen Familie in Recklinghausen. Frohes Fest und genießt die Zeit.;2021-12-23T19:16:11.000Z;0;-
19;alice.pawlik.7;Ich freue mich für euch! Ja es ist wertvoll, Zeit zu teilen!!!!;2021-12-23T19:10:16.000Z;0;-
20;theonlygirlinthishome;Genießt die Zeit Sophie❤️;2021-12-23T19:01:29.000Z;0;-
21;annettemayer3303;Gesegnete Weihnachten - eine Tochter kommt aus Ulm zur Familie 😍;2021-12-23T18:54:04.000Z;0;-
22;csennfeld;Wünsche euch frohe Weihnachten;2021-12-23T18:41:14.000Z;0;-
23;yvonne.gren;Das freut mich für euch. Drücke euch die Daumen, dass nichts dazwischenkommt! 🙂;2021-12-23T17:23:17.000Z;1 like;-
24;heikeha64;Wie schön, das freut mich sehr.. Frohe Weihnachten 🎄 🎄;2021-12-23T17:16:11.000Z;0;-
25;crowncrafts.kreativerleben;Für mich ist Heimat eher an Menschen geknüpft, bei denen ich mich angenommen und wertgeschätzt fühle... Orte sind mir nicht so wichtig!;2021-12-23T16:30:04.000Z;2 likes;-
26;rot5555555;Frohe Weihnachten, 🌲🌟 schön, dass es geklappt hat. Ich hoffe, du kannst auch mal an etwas ganz anderes und schönes denken. In diesem Jahr feiern wir nicht mit der gesamten Verwandtschaft, sondern nur mit dem harten Kern.;2021-12-23T16:05:45.000Z;0;-
27;tinalisa.bt;Mit der Familie ❤️ein frohes Weihnachtsfest ❤️ 🎄🔔🎄💖;2021-12-23T16:02:30.000Z;0;-
28;nicschnap;Hurahhhh enjoy. Weihnachten 1993 war ich das letzte mal in ulm für Weihnachten. Es war das letzte Weihnachten meiner mutter. Das zweit letzte mal dass Ich deine schwester Inge gesehen habe. Ich mochte Inge gerne.;2021-12-23T15:55:10.000Z;1 like;-
29;hakanmacar1923;Mary Christmas Sophie ❤️❤️❤️;2021-12-23T15:33:07.000Z;0;-
30;busenfreundin;Mit @valerio__annabell;2021-12-23T15:22:48.000Z;1 like;-
31;ianahlers;Ein schönes und glückliches Weihnachtsfest für dich und deine Familie 🙌🏼🎄✨;2021-12-23T15:05:45.000Z;2 likes;-
32;franzi_kathi2000;Ich feiere auch mit meiner Familie❤ Ein gesegnetes Weihnachtsfest und schöne Feiertage für Euch🎄;2021-12-23T15:05:04.000Z;0;-
33;lilli_flaig_;Wünsche euch viel Glück und schöne Weihnachten. ❤️;2021-12-23T13:45:05.000Z;0;-
34;bella__bodensee;@ichbinsophiescholl das freut mich sehr für Euch. Habe gehofft, dass es noch klappt. Wünsche Euch frohe und erholsame Weihnachten und ganz viel Spaß mit Eurer Familie. Genießt die gemeinsame Zeit 😘;2021-12-23T13:16:04.000Z;4 likes;-
35;konstanntin16;👏👏👏👏;2021-12-23T13:09:08.000Z;0;-
36;tobiasmod;Welche Hürden gibt es um an Fahrkarten zu kommen?;2021-12-23T12:54:17.000Z;0;-
37;fjordalta;😮;2021-12-23T12:53:25.000Z;0;-
38;tanz_aus_der_reihe;Wie teuer ist eine Karte?;2021-12-23T12:49:27.000Z;0;-
39;xxblackl;Wir fahren wie jedes Jahr zur Oma und Groß Onkel Tante auch;2021-12-23T12:41:05.000Z;0;-
40;sawyerscott;Mich würde interessieren wie teuer damals eine Fahrkarte war, so im Vergleich zu heute. Habt ihr dazu eine Information? ☺️;2021-12-23T12:40:24.000Z;0;-
41;rpiakatharina;Liebe Sophie, das freut mich für Euch beiden.🎄❣️🎄 Ich wünsche Euch schöne Feiertage mit der Familie.❣️ Ich selbst habe nur noch meinen Ehemann . Uns ist Weihnachten , so ohne Familie ,nicht mehr wichtig. An die Zeit 🎄im Kreis aller denke ich gerne zurück. Heute verbringen wir die Tage (schon wegen der wehen Knochen 🥴) in wärmeren Gebieten. Eine gute Fahrt 🚂 nach Ulm;2021-12-23T12:36:03.000Z;4 likes;-
42;monja.plg;Sind Sophies andere Geschwister auch in Ulm oder haben die keine Tickets bekommen?;2021-12-23T12:24:35.000Z;0;-
43;macphisto_75;🙌🙌🙌🙌❤️❤️❤️❤️;2021-12-23T11:59:17.000Z;0;-
44;finnsn93;Sehr schöner Blog ❤️ gibts das auch mit Anne Frank oder ist das auch in Planung?;2021-12-23T11:51:19.000Z;4 likes;-
45;nishantzokia;Wurden damals Tickets, die aufgrund von höherer Gewalt wie bspw Bombenalarm nicht genutzt werden konnten, wieder erstattet, o;2021-12-23T11:19:38.000Z;1 like;-
46;can_d79;Ich feiere eigentlich gar kein Weihnachten. Erstens bin ich nicht religiös, zweitens hab ich's nicht so mit Familie, und drittens geht mir dieser Konsumterror auf die Nerven. Wie letztes Jahr begehe ich statt dessen die Rauhnächte. Bin aber auch immer noch unschlüssig, ob das wirklich was für mich ist, ich bin glaub ich nicht spirituell genug.;2021-12-23T11:10:24.000Z;0;-
47;netztier;Schade, dass ihr nur so kurz dort bleibt - Bern ist so schön! Bleibt doch dort. :') Frohe Weihnachten!;2021-12-23T11:09:59.000Z;0;-
48;nicki_w1008;Mit meiner Mutter, meiner Schwester und unserem lieben Hund 🐕. Ich wünsche euch schöne Weihnachten, so friedlich wie irgendwie möglich 🎄💛;2021-12-23T11:00:23.000Z;0;-
49;johannes84racing;Was befürchtest du, was erhoffst und erwartest du dir von dieser Reise?🙂🎄;2021-12-23T10:44:19.000Z;2 likes;-
50;willemelis;"Steht da auf der linken Fahrkarte oben ""DB München""?";2021-12-23T10:39:52.000Z;0;-
51;wonder_alice23;Wie schön!!!!;2021-12-23T10:38:08.000Z;0;-
52;ines_s_2;Ich feiere auch im engsten Familienkreis. Schöne Weihnachtstage für euch. 🎄;2021-12-23T10:37:09.000Z;0;-
53;auxfluencer;Gute Fahrt! Ich winke euch in Augsburg zu. 😊🎄;2021-12-23T10:23:40.000Z;3 likes;-
54;crasiemaisie.thephotobug;Kommt Elisabeth nach Hause?;2021-12-23T10:23:35.000Z;0;-
55;fraeulein_doro_loves_life;Bin auch auf dem Heimweg 😍;2021-12-23T10:20:01.000Z;2 likes;-
56;katrinpruchniewski;Gute Fahrt. ❤️ Ich feiere mit meinem Partner.🌟;2021-12-23T10:10:15.000Z;1 like;-
57;ela_beh127;Weihnachten wie jedes Jahr in Familie zu Viert bei schönem Essen, besinnlich, kuschelig, lustig unterm geschmückten Baum. Liebe @ichbinsophiescholl ich wünsche dir eine wunderschöne Zeit mit deiner Familie. 🤗🎄;2021-12-23T10:00:51.000Z;1 like;-
58;drejo76;Wir feiern im kleinen Kreis, mein Sohn mein Mann und ich.... am 1. Feiertag fahren wir zu Schwiegermama und Oma.... der Rest der Familie ist leider zu weit weg.... meine Schwester ist in USA meine kleine Schwester und Mama in Rothenburg.. . Aber wir denken aneinander.. Ich wünsche euch allen frohe Weihnachten eine schöne Zeit und genießt es mit euren lieben ❤️;2021-12-23T09:59:05.000Z;1 like;-
59;teachers4future9;Wie cool ist das denn! Ich freue mich sehr für euch! Genießt das Weihnachtsfest - wir feiern ebenfalls mit Familie ❤️;2021-12-23T09:51:44.000Z;2 likes;-
60;danni._69;Das freut mich sehr für Euch, genießt die gemeinsame Zeit ❤️ ich feiere auch mit meiner Familie. Vor allem meine Nichten freuen sich wie bolle, da wir letztes Jahr nicht alle zusammen feiern durften. Das wird schön😍🤗;2021-12-23T09:50:09.000Z;1 like;-
61;irene.garbe3;Mit meinen Eltern ❤️;2021-12-23T09:42:53.000Z;1 like;-
62;tischlerin.smk02;Wünsche dir und deiner Familie schöne Weihnachten liebe Sophie 🙏🏼. Ich Feier mit meinen Papa, Mama, meinen 5 Geschwistern,meinem Freund Oma und Opa und Onkel.😍 Freut mich das ihr auch zur Familie fahren dürft drück euch die Daumen das alles klappt.👍🏼;2021-12-23T09:42:18.000Z;1 like;-
63;mce_ms;Kommen die anderen Geschwister Weihnachten auch nach Hause?;2021-12-23T09:40:50.000Z;1 like;-
64;catrinesser;"Liebe Sophie, genießt die Zeit mit euren Lieben und speichert jeden Glücksmoment in euren ❤ Ihr wisst zu diesem Zeitpunkt noch nicht, dass es euer letztes, gemeinsames Weihnachtsfest sein wird. Ich bewundere euch so sehr für euren Mut und die Kraft, diesem widerlichen Regime die Stirn zu bieten. Es lässt sich nur erahnen, was euch der Widerstand abverlangt hat. Ich mag gar nicht an das Ende dieser Story denken und möchte euch oft zurufen ""Passt auf euch auf!!!"". Aber am Ende war es nicht umsonst. Ihr werdet nicht vergessen und seid ein Mahnmal für den Widerstand. Meine Bewunderung und Dankbarkeit ist euch bis heute sicher.💕 Vielen herzlichen Dank allen Mitwirkenden dieses großartigen Projektes. Es ist so wichtig nicht zu vergessen. Heute mehr denn je. Es geht unter die Haut. Danke! 💕";2021-12-23T09:39:15.000Z;11 likes;-
65;xkatjaffm;Ich fahr jetzt auch nach Ulm - schöne Feiertage 🌲;2021-12-23T09:30:48.000Z;10 likes;-
66;gartenfamilie;Mit meinem Mann, meinen Kindern, meiner Mutter und meinem Bruder. Bin so froh, dass alles geklappt hat. Ich freu mich für euch, gute Reise;2021-12-23T09:30:43.000Z;2 likes;-
67;eickmanndagmar;Ich freue mich für dich, dass du Weihnachten nun mit deiner Familie feiern kannst. Nach meiner Heirat bin ich 500km weit weg von meiner Heimat und meiner Familie. Aber Weihnachten sind wir immer zusammen.;2021-12-23T09:28:50.000Z;0;-
