Link: ;https://www.instagram.com/p/CWvr-Y4s_rV/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mimifutzi;"Oooh Sophie, ich fühle mit dir! Ich zähle hier gerade 4 Paar Socken, und die sind nur von meinem Mann. Die ""sind ja immer noch gut""... aber wenn es mir reicht, sammel ich sie einfach ein und werf sie in die Wäsche. Es nützt ja alles Mahnen nichts 😂 dennoch: es ist deine Wohnung und du hast sehr wohl das Recht, Ordnung einzufordern! Viele Grüße";2021-11-28T12:23:52.000Z;0;-
2;rot5555555;Das ist eine Aufforderung an die einzige Frau im Haushalt, durch konkludentes Handeln darin einzuwilligen, die Putzfrauenrolle anzunehmen.;2021-11-28T10:51:10.000Z;1 like;-
2-1;ichbinsophiescholl;@rot5555555 Das ich mich für das Aufräumen zuständig fühle, liegt allein in meiner Erziehung, aber kommentarlos hinnehmen werde ich das nicht!;2021-11-28T11:05:34.000Z;1 like;2
3;annie_henning_bayern;In ihrem Zimmer ja, in meinem und gemeinsamen Zimmer nein;2021-11-28T08:39:11.000Z;0;-
4;krugermailin;Wo kann man eigentlich die Klamotten kaufen? Ich liebe sie;2021-11-27T14:45:09.000Z;1 like;-
5;veryinsignificantperson;👏👏;2021-11-27T11:38:08.000Z;0;-
6;patrick.sigler;Unordnung ist doch eine der wenigen Freiheiten, welche uns in unserem Leben bleibt. In eure Situation vielleicht die einzige. Sei nicht so streng mit den Jungs;2021-11-27T10:56:40.000Z;0;-
7;nichtsophiescholl;"28.11.1942
„An jedem Abend ziehe ich ein wenig um, schleppe Bücher in mein Zimmer, langsam wird es wohnlich. So vergeht viel Zeit. Adalbert hilft mir getreulich. Oft denke ich an die Tage der vergangenen Wochen, Bonn liegt erst 8 Tage zurück. Ich lese ein wenig. Wieder gehe ich früh zu Bett.“
Aufzeichnung von Willi Graf, aus: Willi Graf, Briefe und Aufzeichnungen, S. 83";2021-11-27T10:05:44.000Z;4 likes;-
8;conna_bn;Hahaha! Immer nur den eigenen Kram aufräumen, Thema erledigt.;2021-11-27T09:25:43.000Z;0;-
9;christinebernardwrites;Nein, das stört mich auch zutiefst;2021-11-27T09:02:09.000Z;0;-
10;wrohrbeck1;Ich ja,aber meine Frau nicht!!😍😂;2021-11-27T08:46:10.000Z;0;-
11;mil_178;Ich habe zwei kleine Männer die bei mir leben (Kinder)😂 Die lassen immer alles rumliegen. Ich komme mir vor wie eine Sklavin;2021-11-27T08:15:11.000Z;0;-
12;alexesawatzkiplasticienne;Frauen müssen sich Männer schon richtig erziehen. Das ist anstrengend, aber anscheinend immer wieder notwendig.;2021-11-27T08:06:09.000Z;0;-
13;jochengebauer;Leg ihm das Zeug doch einfach konsequent auf sein Bett.;2021-11-27T07:09:41.000Z;1 like;-
14;caliamelie;Ich habe gestern mal wieder den Film „Der Untergang“ geschaut. Mir war nicht bewusst, dass du und die Sekretärin Traudl Junge im selben Jahr geboren wurdet, doch so verschieden waren Eure Wege im dritten Reich. Die Vergangenheit bringt mich immer wieder zum Nachdenken und so langsam sterben die letzten Zeitzeugen aus. Eure Arbeit ist so wichtig für uns Nachfahren!!! Sowas darf nie wieder passieren!! Vielen Dank dafür!!!;2021-11-27T06:50:40.000Z;2 likes;-
15;marrylehn;Lege ihm alles was von ihm oder seinem Freund rumliegt einfach auf sein Bett. ☺️ Er wird das Zeug schon wegräumen wenn er schlafen möchte. Hier funktioniert es langsam. 😉;2021-11-27T04:50:12.000Z;2 likes;-
16;michaela_hanauer;Definitiv: nein! Schmutzige Socken muss wirklich jeder selbst entsorgen. Und du bist viel zu klug und mutig, um nur die Putzfrau der Herren zu spielen!;2021-11-26T23:37:47.000Z;2 likes;-
17;wildcoco1874;😮;2021-11-26T21:50:14.000Z;0;-
18;anjamuller565;Ich kann Dich so gut verstehen!!!;2021-11-26T21:22:21.000Z;0;-
19;changed.by.popular.demand;Mich würde mal interessieren, was gerade so bei dir in der Zeitung steht? Hört man schon was aus Stalingrad? Und wann verteilt ihr das nächste Flugblatt und worum geht‘s dadrin? Schreibst du dieses Mal auch mit?;2021-11-26T19:53:20.000Z;1 like;-
19-1;ichbinsophiescholl;@most.boring.facts Die erste Frage dürfte ich gerade beantwortet haben. Das nächste Flugblatt wird auf jeden Fall kommen! Aber das wird sicher noch etwas dauern...;2021-11-27T10:07:46.000Z;0;19
