Link: ;https://www.instagram.com/p/CQvb607sC8F/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;neanova;"Als wir flüchteten, hatten wir keine Gelegenheit unsere photos mitzunehmen oder andere persönliche Gegenstände. Einer der berührendsten Momente meiner Kindheit als flüchtling war, als uns über Konvois einige Bilder unserer Kindheit zukommen gelassen wurden. Es war als ob dieses Leben vor dem Krieg, vor der Flucht, vor dem Schrecken, das Leben das man anfing wie einen Traum anzuzweifeln, wieder Wirklichkeit wurde. Diese photos waren mehr als nur Erinnerungen; sie haben mir Halt weil ich wusste dass ich eine andere Realität hatte, eine als Mensch und nicht als Zahl; sie gaben mir Hoffnung eine solche Realität eines Tages wieder mein nennen zu können.";2021-07-04T12:56:50.000Z;0;-
2;5a3eth;Warum kommt mir das grad so vertraut vor?;2021-07-01T19:01:03.000Z;0;-
3;alina_wanda;❤️❤️;2021-07-01T18:28:41.000Z;1 like;-
4;pat.go.gu;Hallo liebes @ichbinsophiescholl -Team, zu allererst ein großes Lob und Respekt für Euer inovatives und unblaublich erfolgreiches Projekt. Dieses medialexperimentelle Projekt ist eines der weitreichendsten Aufklärungsprojekte der kontemporären Zeit. Der Erfolg ist einflussreich und mittlerweile im kollektiv-gesellschaftlichen Kanon angekommen. Umso wichtiger ist die Frage danach, was nach Beendigung des Projektes mit dem ganzen Material geschehen wird. Ich halte es für zwingend, dass dieses in cineastischer oder dokumentarischer Form aufgearbeitet und, gewissermaßen als Nacharbeit zum Projekt, konserviert und der Allgemeinheit zugänglich gemacht wird. All die Stories und Clips dürfen als chronologische und chronistische Darstellung nicht verloren gehen. Gibt es solche Pläne? Besten Dank im Voraus. Liebe Grüße Patrick;2021-07-01T17:57:00.000Z;0;-
5;pro49301;Nicht aufgeben und stark bleiben.;2021-07-01T08:06:45.000Z;1 like;-
6;hotel_nedonesien;Ich als Fotograf weiß es sehr zu schätzen und wissen, wie wichtig Bilder als Zeitzeugen dienen können. Sie dienen für so vieles ... als Kunst, Veranschaulichungen, Emotionen, Erinnerungen, zur Aufklörung und so vieles mehr.;2021-06-30T22:35:22.000Z;2 likes;-
7;micou1990;🌹;2021-06-30T19:04:31.000Z;2 likes;-
8;rikus2153;Immer wieder danke!!!;2021-06-30T19:03:20.000Z;0;-
9;gwencohrs;#gegendasvergessen;2021-06-30T18:41:29.000Z;0;-
10;mel_marple;"Danke für diese sehr gelungene und sehr eindringliche Darstellung der Historie von Sophie Scholl und der ""Weißen Rose"". Diese Form lässt die Geschichte greifbarer werden, es wirkt lebensnaher und weniger ""wie eine Geschichte von früher"", ich kann es schlecht in Worte fassen. Meine Tochter kommt jetzt in die 7. Klasse, und wird dort das erste Mal in der Schule mit der NS-Zeit konfrontiert. Zu Hause ist das - natürlich altersgerecht verpackt - schon seit langen Jahren immer mal wieder ein Thema, sie hatte und hat viele Fragen, bekommt viel mit alleine aus den Nachrichten. Sie und auch wir haben das Glück, dass wir ihre Oma (Jahrgang 1937) befragen können, zumindest über das, was sie als, Kind erlebt hat. Die Deportationen von Freunden, die Bochumer Bombennächte, die vielen Tage im Bunker, etc. Aber es ist schwierig altersgerechte filmische Aufbereitungen zu bekommen. Lange Rede, kurzer Sinn: gibt es Überlegungen oder Pläne, das Projekt ""Ich bin Sophie Scholl"" Schulen als Lernprojekt für den Geschichtsunterricht verfügbar zu machen? Eigentlich wäre es noch nicht einmal ""nur"" auf Geschichtsunterricht beschränkt, ich sehe auch Möglichkeiten bei ""Praktische Philosophie / Ethik"", ""Deutsch"",... Lieben Gruß, und nochmals Danke für dieses Projekt 🙏😃";2021-06-30T17:23:24.000Z;2 likes;-
11;katharina.helling;"Was mir seit dem Post von gestern durch den Kopf gegangen ist bzw wieder in Erinnerung gerufen wurde (vor allem als ich gesehen habe, dass sich auch eine Gedenkstätte zur Zwangsarbeit beteiligt hat, auf die Lage der Zwangsarbeiter:innen hinzuweisen..), ist die Repräsentanz/‚Ausgewogenheit‘ in unserer Erinnerungskultur zw. Tätern ~ Opfern und Schaden der ‚deutschen‘ Bevölkerung ~ Schaden der Verfolgten.
Mir ist dazu ein Artikel eingefallen, den ich vor einiger Zeit mal über die Finanzierung der ‚Dokumentation Obersalzberg’ und der KZ Gedenkstätte Dachau gelesen habe…
Und was in diesem Artikel auch steht, das ich nicht mehr in Erinnerung hatte ist folgende Geschichte: Ein Grundbesitzer, Herr Brandner, der sich weigerte ein Grundstück am Obersalzberg herzugeben, wurde in der Folge - einen Tag später (!) - von der Gestapo in das KZ Dachau deportiert.
Brandner war für zwei Jahre im KZ. Die Haft überlebte er nur knapp. Bei seinem Fronteinsatz in der Sowjetunion, den er anschließend antreten musste, ist er gefallen.
…
KZ, Lager, Zwangsarbeit waren nicht fern. Zwangsarbeit/KZ konnte grds jeden/jede treffen, auch wenn man nicht zu den grundsätzlich verfolgten Gruppen gehörte, der/die den reibungslosen Ablauf des Regimes störte..

Und ich denke das wusste die meisten auch, weil sich solche Geschichten rumsprechen (wahrschl auch rumsprechen sollten).
Und dann kann man von den Lagern doch kaum nichts gewusst haben. Vor allem den Lagern hier in Deutschland.

https://www.sueddeutsche.de/muenchen/dachau/budget-fuer-erinnerungsorte-kostenexplosion-mit-kollateralschaden-1.4327657";2021-06-30T17:04:19.000Z;1 like;-
11-1;augustaschacht;@zuagroastebayrischeschwaebin das stimmt. Im Prinzip konnte Zwangsarbeit jeden und jede treffen, die/ der gegen die von den Nationalsozialisten aufgestellten Regeln verstieß. Die Gestapo (Geheime Staatspolizei) war im Inland neben der SS (die eher nach außen agierte) ein gefürchtetes Terrorinstrument.;2021-06-30T20:33:33.000Z;1 like;11
11-2;katharina.helling;@augustaschacht vielen Dank für die Rückmeldung! Euch hatte ich auch gemeint, mit dem Hinweis auf die Gedenkstätte, die sich hier beteiligt hat. Und als ich dann den Artikel nochmal raussuchen wollte, weil ich auch wissen wollte, ob die Finanzierung im Fall Dachau/Obersalzberg mittlerweile ausgewogener ist (Spoiler: ist sie nicht) und dann ja auch die kurze Schilderung der Geschichte dieses Mannes wieder gelesen habe… das sind so ‚Regeln‘, die man vom heute aus gar nicht greifen kann (auch wenn der Zusammenhang mit‘m Obersalzberg vielleicht besonders pikant/gefährlich war). Es sollte definitiv mehr über solche Geschichten gesprochen werden. Von denen die rein wg einer Fremdzuschreibung/Stigmatisierung verfolgt/gemordet wurden. Und die Banalität/Grausamkeit im Alltag aller. Danke für Eure Arbeit!;2021-06-30T20:47:27.000Z;1 like;11
11-3;katharina.helling;@augustaschacht oh und wichtige Ergänzung, weil das ja auch mein Ursprungsgedanke über den Tag war: Für diese Erinnerungsarbeit und das ‚drüber reden‘, muss auch die Finanzierung entsprechend gesichert und ausgewogen sein.;2021-06-30T21:03:26.000Z;1 like;11
12;sjoerdhart;"Hoei blinder famke! Tink er om !
Wees verstandig ❤️";2021-06-30T16:19:26.000Z;0;-
13;ava.santimea;mir wird schlecht bei dem Gedanken, meine Sicherheit zu verlieren... alles zu verlieren! wenn man bloß noch das blanke Leben hat... und dann gibt es privilegierte Menschen in modernen Demokratien, die kleine temporäre Einschränkungen wie das Tragen einer medizinischen Maske zum Schutz vor der Ausbreitung einer Pandemie mit dem Leid Kriegsgefangener und Juden vergleichen. und dass sie das auch noch laut aussprechen dürfen, ohne dafür um ihr Leben fürchten zu müssen, wiederspricht deren Aussage bereits so sehr!;2021-06-30T16:19:06.000Z;3 likes;-
13-1;wolke.1973;@aeternitas_art 👏👏👏👏;2021-07-01T11:37:30.000Z;0;13
14;hauptstadtlady50;Leider werden ihr nur wenig erreichen liebe Sophie, aber jede noch so kleine Aktion bleibt unvergessen 👏. 🙋‍♀️ 🌞 😍.;2021-06-30T15:34:55.000Z;2 likes;-
15;carmenborkes;Liebe Sophie, erst einmal vielen Dank, dass Du uns teilhaben lässt an Deiner Geschichte- ich hoffe, dass gerade auch viele junge Menschen hier teilhaben und Deine Geschichte verfolgen. Darf man fragen, woher die Fotos auf diesem Bild kommen? Ein Foto sieht exakt aus wie meine Oma in jungen Jahren…… 😍;2021-06-30T14:13:47.000Z;8 likes;-
15-1;ichbinsophiescholl;@carmenborkes #teamsoffer Die Fotos sollen Familie und Verwandte von Irma darstellen. Bei Irma handelt es sich um eine fiktive Person, welche es so niemals in Sophies Leben gab. Wir haben uns entschieden, sie aus dramaturgischen Gründen als Rolle einzuführen, um auf diese Weise bestimmte zusätzliche historische Hintergründe zu liefern, welche aus Sophies rein subjektiver Sicht nicht hätten vermittelt werden können. Viele Grüße!;2021-06-30T16:25:44.000Z;92 likes;15
15-2;carmenborkes;@ichbinsophiescholl aber die Fotos sind ja nicht fiktiv, richtig?!;2021-06-30T20:47:59.000Z;11 likes;15
16;_rragdolll_;Die Familie meines Vaters bzw seine Mutter und die 2 älteren Schwestern waren in dieser Zeit im Elsass wo er auch in September 43 zur Welt kam. Ein Antrag auf Umsiedlung in die USA hatten sie gestellt, als das Visum dann Anfang 44 kam sind sie doch geblieben und zum Kriegsende zurück nach Köln gegangen. Wo mein Opa zu dieser Zeit war weiß ich nicht und wurde auch nie kommuniziert. Meine Oma lebte bis zu ihrem Tod Ende der 90er noch in Riehl.;2021-06-30T13:57:01.000Z;2 likes;-
17;elke817;Liebe Sophie, durch deine Beiträge, werden soviel Erzählungen von meiner Omi wieder lebendig. Sie wohnte in der Nähe von der Uni in München, hatte eine jüdische Freundin die von heute auf morgen verschwunden war. Ihre Ängste, die Liebe zu meinem Opa der an der Ostfront war. Ihre Zweifel an der Politik. Danke für diese Erinnerungen 👏❤️;2021-06-30T13:08:50.000Z;2 likes;-
18;bowon7;Nicht lebend und nicht tot. Da läuft mir ein Schauer über den Rücken;2021-06-30T13:07:29.000Z;0;-
19;michaoninsta;Was wusste Sophie damals über die Lager?;2021-06-30T13:03:29.000Z;12 likes;-
19-1;ichbinsophiescholl;"#teamsoffer Liebe @michaoninsta, das können wir nicht mit Sicherheit beantworten, weil sie diese weder in ihren Briefen noch in ihrem Tagebuch konkret thematisierte. Allgemein ist es schwer einzuschätzen, wie viel die Menschen zu welchem Zeitpunkt über die Konzentrationslager wussten, doch spätestens nach der Reichsprogromnacht im November 1938 sollte vielen Menschen bewusst geworden sein, wie mit der jüdischen Bevölkerung umgegangen wurde und auch die späteren Deportationen können nicht unbemerkt geblieben sein. So lässt sich nur vermuten, dass auch Sophie von den Lagern wusste und sich zumindest ausmalen konnte, was darin vor sich ging. Auch in den Flugblättern der Weißen Rose wurde der ""Massenmord an den Juden"" mehrmals thematisiert. Liebe Grüße!";2021-06-30T13:42:01.000Z;107 likes;19
19-2;k_lschb_ch;@ichbinsophiescholl @michaoninsta Mein Vater wurde 1922 geboren. Aus seinen Erzählungen weiß ich, dass er, auch wenn er zur „Hochzeit“ des Holocausts Soldat war und dort die Informationslage sicherlich anders lag als bei Zivilisten, sehr wohl von Konzentrationslagern und Transporten wusste. Dass es keine Rückkehr gab, auch. Das war seiner Aussage nach „allgemein bekannt, es hat uns nur nicht interessiert“.;2021-06-30T15:10:11.000Z;17 likes;19
19-3;carolintuesday;@k_lschb_ch Die letzte Aussage ist ernüchternd ehrlich. Oft hört man ja, dass die Leute es nicht gewusst haben wollen, oder es wurde verdrängt oder so. Das hier ist mal ein klares Statement, das ja auch heute noch Gültigkeit hat: Man weiß oft von Ungerechtigkeiten, sie interessieren einen nur nicht (genug). Nur zugeben tut man es selten...;2021-06-30T15:48:54.000Z;16 likes;19
19-4;eileen_a_tieno;"@k_lschb_ch Mein Urgroßvater war bei der SS. Meine Urgroßmutter wusste, was er da getan hat. Sie hat das immer ""nett"" umschrieben mit ""er hat im Osten gearbeitet""... Ob die Menschen in Köln wussten, was in Ravensbrück passiert, kann man heute schwer sagen, aber unwahrscheinlich ist es nicht, dass nicht alle unwissend waren und zumindest die Menschen, die in der Nähe der KZs gelebt haben, wussten was da passiert.";2021-06-30T15:51:23.000Z;7 likes;19
19-5;k_lschb_ch;@carolintuesday Das stimmt, alle Du sagst. Ich hatte in dieser Beziehung großes Glück mit meinem Vater. Vielleicht auch, weil er sehr spät Vater geworden ist und mit Abstand offener reden konnte. Er hat immer sehr offen mit mir über die Zeit zwischen 33 und 45 gesprochen. Tatsächlich kommt das Zitat oben aus einem Gespräch, in dem auch er zunächst sagte, dass er gar nicht so richtig gewusst habe, was mit „den Juden“ passiert. Auf meine Erwiderung, dass ich das so nicht geben könne, folgte erst eine lange Stille und dann der Satz „Du hast recht, ich muss es anders sagen. Eigentlich war es allgemein bekannt, es hat uns nur nicht interessiert“.;2021-06-30T16:00:25.000Z;12 likes;19
19-6;k_lschb_ch;@k_lschb_ch Was für eine blöde Autokorrektur! …alles, was Du sagst… und …so nicht glauben könne…;2021-06-30T16:05:16.000Z;2 likes;19
19-7;k_lschb_ch;@eileen_a_tieno Nachbarn sind über Nacht verschwunden, es gab Auktionen mit dem Hausstand der Deportierten (ich persönlich gebe davon aus, dass sehr vieles, was bei z. B. bei Bares für Rares angeboten wird, bei dem es heißt, dass es von den Großeltern komme, aber woher die das hätten, wüsste man auch nicht, genau diese Provinienz hat), die zu Deportierenden haben sich z. T. versteckt oder umgebracht. Da kann mir niemand sagen, dass die Nachbarn das nicht wussten. Vielleicht kannte man keine Namen wie Auschwitz, Sobibor oder Maidanek und auch kein Zyklon B, das gestehe ich zu, aber dass etwas lebensbeendendes drohte, war klar. Sonst hätte ja niemand Angst gehabt vor der Deportation. Ich selbst weiß nicht, wie ich damals gehandelt hätte. Aber ich habe von meinem Vater Ehrlichkeit erwartet und auch bekommen. Von meinem Onkel und meinen Tanten leider nicht.;2021-06-30T16:14:33.000Z;16 likes;19
19-8;fibrile;@k_lschb_ch 🫂;2021-06-30T16:29:23.000Z;0;19
19-9;eileen_a_tieno;"@k_lschb_ch Was Bares für Rares angeht, gebe ich dir Recht. Wie gesagt mein Urgroßvater war bei der SS. Der Verlobungsring meiner Mutter wurde aus einzelnen Schmuckstücken meiner Urgroßmutter gemacht. Da wurde Gold zusammen geschmolzen und einzelne Rubine eingesetzt. Einen einzelnen Rubin hab ich noch. Der Ring existiert natürlich auch noch. Meine Eltern haben nie hinterfragt, dass meine Urgroßmutter einzelne Ohrringe etc. und einzelne Steine für einen Verlobungsring übrig hatte. Sie ist leider zu früh gestorben als das ich hätte fragen können, aber ich habe mal in einem Buch von einem Überlebenden gelesen, dass sich SS Wachleute in KZs manchmal mit Schmuckstücken haben bestechen lassen. Meine Urgroßeltern sind ins Ruhrgebiet ""geflüchtet"" - als meine Mutter meine Urgroßmutter in den 1980ern kennengelernt hat, hatte meine Urgroßmutter noch ganze Schmucksets und diverse Pelzmäntel aus den 30ern und 40ern. Sie war richtig stolz drauf und hat alles penibel gepflegt und zusammen gehalten. Es ist eher untypisch für sie, dass sie Schmuckstücke verloren haben soll. Die Wahrheit darüber werde ich wohl nie herausfinden. Meine Oma redet nicht darüber. Ich hab auch vor 2-3 Jahren erst erfahren, dass mein Großvater Brüder hatte. Die waren auch bei der SS. Sind im Krieg gefallen. Du hast übrigens einen Punkt erwähnt, den ich nie bedacht habe. In der jüdischen Bevölkerung gab es Wissen über die KZs. Warum hätten alle anderen nichts davon wissen sollen?";2021-06-30T16:56:24.000Z;16 likes;19
19-10;k_lschb_ch;@eileen_a_tieno Danke Dir, dass Du so offen sprichst. Da gibt es in der Tat vieles, das auch von unserer Generation bewahrt und weiter gegeben werden muss. Gerade die Alltagsgeschichten geben so wichtige Einblicke.;2021-06-30T17:02:17.000Z;7 likes;19
19-11;katharina.helling;"@k_lschb_ch @eileen_a_tieno

Vielen Dank, für das was ihr hier teilt! Meine Großeltern, Jahrgang *11 und *21, sind leider verstorben, bevor ich mit Ihnen über diese Zeit gesprochen habe. Und evtl wäre es auch so nicht dazu gekommen, weil es so soweit ich es wahrgenommen habe, ein TabuThema war.
Wenn man die ganzen großen und kleinen Vorzeichen bedenkt, die vielen Lager/KZ (wenn auch idR keine Vernichtungslager), die innerhalb der heutigen Grenzen Deutschlands liegen und wie viele Soldaten (mein Großvater zB war wohl in Frankreich und an der Ostfront - da bekam er sicher auch etwas mit) eingesetzt waren und diese wiederum ihren Familien was erzählt haben könnten… ist schwer vorstellbar, dass man nichts wusste… und zB die massenhaften Deportationen, die in Deutschland Ende 1941 begonnen haben (vor denen sich Betroffene aus Angst vorher auch nicht selten das Leben genommen haben), müssten, wenn man es sehen wollte, zumindest Fragen aufgeworfen haben…
Natürlich wünscht man sich die eigene Familie wäre ‚anders‘ gewesen. Aber da man - in meinem Fall - nie darüber gesprochen hat, kann ich das wohl ausschließen. Erfahren werde ich es leider nicht mehr.";2021-06-30T17:13:33.000Z;8 likes;19
19-12;eileen_a_tieno;@k_lschb_ch Ich wüsste aber auch keinen Grund nicht offen darüber zu reden. Mein Urgroßvater hat zeitlebens nicht von seiner NS Ideologie abgelassen. Er hat Nazi Propaganda Bücher mitgenommen als er mit seiner Familie vor den Konsequenzen seiner Ideologie nach Westen geflohen ist. Nicht alle sind bis heute erhalten geblieben, aber die Tatsache allein, dass er diese Bücher beim Packen des Notwendigsten mitgenommen hat, sagt viel. Es sagt auch viel über meine Urgroßmutter, dass sie Schmuck und Pelze mitgenommen hat. Es heißt die Familie hätte ein Fuhrunternehmen gehabt und es wäre ihnen im Krieg gut gegangen. Nachprüfen kann ich das nicht, weil ich zum einen nicht mal den Ort kenne, wo meine Familie gelebt hat, noch kenne ich die Geburtsdaten meiner Urgroßeltern. Ich weiß tatsächlich fast gar nichts, weil meine Oma beharrlich schweigt. Was ich mit Sicherheit weiß, ist dass mein Urgroßvater nicht einfach nur ein Soldat war, der Befehle befolgt hat. Er hat ein Fernglas aufgehoben, das Teil seiner Ausrüstung war. Dieses Fernglas war (meiner Recherche nach) Bestandteil der Zusatzausrüstung für Gruppenführer, Zugführer und Kompaniechefs. Kompaniechefs hatten den untersten Offiziersgrad, wenn ich das grad richtig im Kopf habe. Jedenfalls hatten einfache Soldaten diese Ferngläser nicht. Dazu gibt es eine Ledertasche mit seinem Namen drin. Das Fernglas funktioniert bis heute übrigens einwandfrei. Von der Familie mütterlicherseits weiß ich fast nichts, aber der Großvater auf der Seite war bei der HJ. Meine Oma auf der Seite hat den Krieg als Kind erlebt. Ich denke nicht, dass sie sich an viel erinnern kann, aber wenn sie erzählt, dann mit Vorliebe davon wie ihre Mutter flüchten musste. An eine Beteiligung ihrer Familie kann sie sich nicht erinnern. Ich denke in vielen Familien ist es ähnlich wie in meiner. Es ist als gäbe es vor 1945 nicht. Darüber wird nicht gesprochen.;2021-06-30T19:33:47.000Z;10 likes;19
19-13;eileen_a_tieno;@zuagroastebayrischeschwaebin :) Wenn man sich die Aussagen von Zeitzeugen durchliest oder anschaut, dann wird einem klar, dass diese Deportationen nicht still und leise vonstatten gingen. Die Menschen können nicht nichts gewusst haben. Die Menschen haben es ignoriert. Und ja, natürlich wünscht man sich die eigene Familie hätte auf der richtigen Seite gestanden, aber hätten alle Familien auf der richtigen Seite gestanden, hätte es den Holocaust nicht gegeben. Ich kann mir Dokumentationen und Filme wie Schindler's Liste nicht mehr ansehen und Bücher von Überlebenden nicht lesen, ohne mich zu fragen, ob mein Urgroßvater dabei war. Was auch immer er getan hat rückgängig machen kann ich es nicht. Manchmal bin ich etwas schadenfroh, wenn ich mir überlege, dass der einzige männliche Nachfahre meines Urgroßvaters im KZ ein rosa Dreieck getragen hätte. Mein Urgroßvater würde wahrscheinlich im Grab rotieren. Wüsste er das.;2021-06-30T19:43:14.000Z;8 likes;19
19-14;katharina.helling;@k_lschb_ch lieben Dank die Antwort und Deine Erfahrungen! Die Gründe, die für dieses Schweigen stehen, vermag ich nicht zu beurteilen und will‘s auch gar nicht, weil zum Beispiel bei einem Opa nach der Fronterfahrung eine Kriegsgefangenschaft folgte und ich mir mit Sicherheit nicht im Geringsten vorstellen kann, was er da durchgemacht hat (allein die Vorstellung, dass er beide Weltkriege erlebt hat, ist für mich heute ja in nichts nachvollziehbar). Aber in meiner Familie haben solche (traumatisierenden) Ereignisse dazu geführt, dass über nahezu alles geschwiegen wird und nicht offen gesprochen wird. Das trage ich tatsächlich ein Stück weit weiter und versuche es (und muss es in gewisser Weise auch wegen mir) aufzuarbeiten.;2021-07-01T08:29:58.000Z;2 likes;19
19-15;hypathia.shmypathia;@k_lschb_ch Danke für das Teilen! Es ist wichtig, gerade die Geschichten der Täter*innen zu erzählen, damit sich so ein deutsches Opfernarrativ nicht durchsetzt;2021-07-01T20:46:31.000Z;1 like;19
20;stefanesser8315;Meine Familie war zu dem Zeitpunkt zum Teil nach Schlesien geflohen, haben in Köln ausgeharrt, oder mussten zur Wehrmacht.;2021-06-30T13:02:28.000Z;1 like;-
21;qeldelar;Wird es neben der Insta-Story eine wissenschaftliche Arbeit geben?;2021-06-30T13:01:04.000Z;0;-
22;minikatti_;"Liebe Sophie,
hast du eine Theorie dazu, warum du so viel berühmter geworden bist als die anderen Mitglieder der weißen Rose? Nimm‘s mir nicht übel, aber es kommt mir so vor, als ob die entscheidenden Impulse und Texte von den anderen kamen. Bist du einfach aufgefallen, weil Frauen zu deiner Zeit unpolitischer waren? Oder weil du noch so jung warst? Eignet sich eine junge, hübsche Frau einfach besser als Identifikationsfigur? Es gibt soviele Sophie-Scholl und Geschwister-Scholl-Schulen. Aber Alexander-Schmorell-Schulen hab ich zum Beispiel nur zwei gefunden.";2021-06-30T12:13:35.000Z;6 likes;-
22-1;gull.weig;"@minikatti_ Sehr interessanter Gedanke. Vielleicht würden die Geschwister Scholl so ""berühmt"" weil es zwei Personen aus einer Familie waren. Schade, dass es auf diese Frage nie eine wirkliche Antwort geben wird.";2021-06-30T15:54:39.000Z;2 likes;22
22-2;katharina.helling;@minikatti_ soweit ich weiß, gibt es dafür verschiedene Erklärungsansätze - auch warum die Gruppe ‚Die Weiße Rose‘ so bekannt ist und kaum andere Widerstandsgruppierungen/Kämpfer:innen. Aber ich würde auch sagen, abschließend beantworten kann man diese Frage wahrscheinlich nie, auch weil wohl sehr viele verschiedene Faktoren eine Rolle gespielt haben (und nach wie vor zu spielen scheinen, weil ja weiterhin die Geschwister Scholl und Sophie eine so herausragende Rolle in der Erzählung spielen).;2021-06-30T17:54:39.000Z;2 likes;22
22-3;heikegumz;"@minikatti_ Die Geschwister Scholl hatten mit der überlebenden Schwester Inge jemanden, der sich sehr um ihr Andenken bemüht hat. Alexander Schmorell nicht.
Und es waren damals nicht alle Frauen unpolitisch - es gab viele weitere Frauen im Widerstand, allerdings oft Widerstand, der von jüdischen Gruppen, Arbeiterbewegung oder kommunistischen Gruppierungen ausging (z. B. in der Roten Kapelle, der Gruppe Baum.. - z. B. bei @frauenvondamals gibts Infos dazu) Dass dieser Widerstand vergleichsweise fast keine Ehrungen und Berichterstattung erfährt, liegt wahrscheinlich daran, dass er aus einem Teil der Gesellschaft kam, der nach dem Krieg weit weniger die Macht hatte, den gesamtgesellschaftlichen Diskurs mitzubestimmen als die sog. ""bürgerliche Mitte"", der die Scholls/die Weiße Rose zugeordnet werden.";2021-06-30T20:29:31.000Z;7 likes;22
22-4;buecherjunge_dd;@heikegumz bzw, der im östlichen Teil Deutschlands hauptsächlich hochgehalten wurde. Damit meine ich den kommunistischen Widerstand.;2021-07-01T10:54:37.000Z;2 likes;22
22-5;heikegumz;@buecherjunge_dd Ja, genau - Danke für die Ergänzung!;2021-07-01T11:39:59.000Z;0;22
22-6;hypathia.shmypathia;@buecherjunge_dd jop und den roten Widerstand wollte man in der alten BRD und dann in dessen Folge auch heute nicht so gern thematisieren.;2021-07-01T20:38:39.000Z;0;22
23;silvianehonegger;Superbeiträge auch die fingierten. Sophie Scholl wäre von dieser Art der Faktentranspotation einverstanden gewesen.;2021-06-30T11:58:39.000Z;0;-
24;ines_s_2;❤️‍🔥;2021-06-30T11:36:32.000Z;2 likes;-
25;fenster.nach.israel;Seit 1940 wurde England bombadiert. In der Nacht vom 30. auf 31. Mai 1942 bombadierten sie erstmals bewusst Städte. Was wäre die Alternative gewesen? Ich wriss es nicht... Ihr?;2021-06-30T11:32:13.000Z;0;-
25-1;life.is.better.with.my.boys;"@fenster.nach.israel wenn ich richtig informiert bin, wurden Städte vermieden, weil es dort viele ""unschuldige"" Zivilisten gibt. Man hat sich anfangs auf Häfen, Industrie, etc. konzentriert - Versorgung und Produktion (von vorrangig Kriegsgütern) schwächen. Deutschland war nur immer sehr schnell beim Wiederaufbau, dann ist man dazu übergegangen die Arbeiterviertel und Städte als Ziel zu nehmen. (Die Menschen schwächen, die für den Wiederaufbau verantwortlich sind.) Und eben als Vergeltungsschlag für den ""Blitz""";2021-06-30T14:09:09.000Z;0;25
26;astridmum;Na das passt ja.. Gestern die britischen Gesänge.. 10 deutsche bomber.. 🙄;2021-06-30T11:20:47.000Z;0;-
27;blockhausb;Es ist erschreckend, was damals passierte. Unverständlich, dass dieses Thema in der Schule, zumindest zu meiner Zeit vor 30 Jahren, nicht ausführlich behandelt wurde. Der Account hier sollte von allen 9./10. KLÄSSLERN angeschaut werden. Als Pflicht, zur Aufklärung, danit so etwas nie mehr passiert. Vielen Dank für den Account;2021-06-30T11:09:02.000Z;15 likes;-
27-1;kess.g.87;@blockhausb Absolut richtig. Bei uns war es erst ganz zum Schuljahres-Ende Thema. Durch Prüfungen, Lehrerkonferenzen usw sind in diesen Wochen auch einige Stunden ausgefallen. Und auf einmal war keine Zeit mehr. Das meiste was ich über das Thema gelernt habe, habe ich erst nach meiner Schulzeit gelesen oder von Angehörigen erzählt bekommen;2021-06-30T16:14:31.000Z;0;27
28;heikegumz;"Die etwas unbestimmte Aussage, dass ""andere Frauen, Männer, Kinder Angst haben zu verschwinden"", heißt: Angst vor Deportation in Lager und Ermordung. Mehr Infos zu den (fehlenden) Möglichkeiten zur Flucht finden sich z.B. in einem Übersichtsartikel des Anne Frank Hauses, annefrank.org : ""Die (fehlenden) Möglichkeiten zu flüchten. Jüdische Emigration 1933-1942.""";2021-06-30T11:07:10.000Z;31 likes;-
28-1;ichbinsophiescholl;#teamsoffer Liebe @heikegumz, das Ziel dieses Kanals ist es nach wie vor, aus Sophies subjektiver Perspektive zu erzählen. Wir verstehen absolut, dass es wichtig ist, gewisse Zusatzinformationen darzubieten, und die Situation aus heutiger Sicht zu kontextualisieren. Dies machen wir mithilfe unserer Redaktionskommentare unterhalb der Postings, um die Fiktion so, zumindest im Feed, nicht brechen zu müssen. Wir erzählen Sophies Sicht auf- und ihr Urteil über die damaligen Ereignisse, welches nunmal noch nicht so fundiert war, wie es heute möglich ist. Wir freuen uns stets, wenn User:innen weitere Hintergrundinformationen für die Community bereitstellen. Liebe Grüße! 🌷;2021-06-30T11:14:53.000Z;285 likes;28
