Link: ;https://www.instagram.com/p/CW5qHceMbKU/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;kevin_thiemann;❤️🖤❤️;2022-02-22T05:42:29.000Z;0;-
2;spronktheo;😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢❤️❤️;2021-12-20T23:44:54.000Z;0;-
3;al3x.dr_;SUIIIIIIIII;2021-12-07T16:13:29.000Z;0;-
4;fil_2510;Suiiiiiiiii;2021-12-07T16:13:27.000Z;0;-
5;abdul_yx;Wow 🔥🔥🔥;2021-12-06T08:38:04.000Z;0;-
6;dominiquep69;Bei mir hatte mal ein Vermieter den 2 Schlüssel und ging immer mal wieder rein. Ich merkte es daran als er sagte ich müsste mir überlegen wegen meinem Zwergkaninchen. Entweder geht es oder ich.;2021-12-02T14:58:59.000Z;1 like;-
7;anditheke;Ungefragt nicht aber unangemeldet vor der Tür.;2021-12-02T12:39:43.000Z;0;-
8;seebaer_cacher;Oh ja, das war er. Nicht nur einmal 😢;2021-12-01T20:44:19.000Z;0;-
9;w_chris;Hab meine Wohnung technisch abgesichert. Bis jetzt war niemand unbefugt zu besuch 😉;2021-12-01T17:36:15.000Z;2 likes;-
10;_jasmin35_;Gant ehrlich hoffe ich, dass nicht nur wie Erwachsene euch folgen, sondern auch Jugendliche. Damit die was lernen, aus der Geschichte;2021-12-01T15:20:05.000Z;3 likes;-
11;ichbinsophiescholl;"#TeamSoffer Über die reale Vermieterin von Sophie und Hans in der Franz-Joseph-Straße, Frau Schmidt, ist wenig bekannt. Laut einem Verhörprotokoll vom 20. Februar 1943 bezeichnete Sophie Scholl sie als ""gut nationalsozialistisch eingestellt"". (Anmerkung der Redaktion: Eine vorherige Version dieses Info-Kommentars wurde um zusätzlichen Kontext ergänzt.)";2021-12-01T10:42:43.000Z;34 likes;-
11-1;heikegumz;"@ichbinsophiescholl In dem Verhörprotokoll wird aus dem Zusammenhang ganz eindeutig klar, dass Sophie Scholl die Frau schützen will. Dies ist auch im besonderen Maße notwendig, weil Sophie Scholl vorher im Verhör angegeben hat, dass sie regelmäßig die Schreibmaschine von Frau Schmidt verwendet hat, um die Adressen auf die Briefe zu tippen, mit denen die Flugblätter versendet wurden.

Mir erscheint es weiterhin – auch mit diesem geänderten Kommentar, der wegen weniger Likes jetzt ganz unten im Thread angezeigt wird – schwierig und verunglimpfend, die real existierende Frau Schmidt, die wahrscheinlich Nachfahren hat, und die über die Adresse eindeutig persönlich zuzuordnen ist, in der Story weiterhin als NS-Spitzel darzustellen – wofür es keinerlei Anhaltspunkte gibt.";2021-12-01T11:00:40.000Z;17 likes;11
11-2;heikegumz;"@ichbinsophiescholl Und weil die Kommentare aus der Community ja gemeinsam mit dem ersten Kommentar vom Team auch gelöscht wurden, hier nochmal der Auszug aus den Verhörprotokollen vom 18.2., der den Zusammenhang der Aussage Sophie Scholls eindeutig macht - sie hat sie mit ihren Aussagen zuerst belastet, weswegen die anschließende Aussage als Versuch der Entlastung einzuordnen ist:
Fortsetzung der Befragung:

Die Adressen [zum Versand der Flugblätter] wurden nur und zwar ausschließlich von meinem Bruder und mir geschrieben. Ich benützte meistens die Schreibmaschine der Frau Schmidt […]

Zum Schluss möchte ich noch erwähnen, dass unserer Mietgeberin, Frau Schmidt, gut nationalsozialistisch eingestellt ist und von unserem Tun und Treiben keine Ahnung hat. Soweit notwendig, bitte ich, der Frau Schmidt und deren Tochter das Vorgefallene möglichst schonend beizubringen, zumal die Tochter Schmidt sich in gesegneten Umständen befindet und demnächst ihrer Niederkunft entgegensieht. Ich möchte daher jede Aufregung bei diesen Leuten vermeiden.""";2021-12-01T11:37:18.000Z;19 likes;11
11-3;fraunora.h;Danke @heikegumz für die wiederholte Einordnung der Quelle und der Kontexte. Und weil auch mein Kommentar von #TeamSoffer mit gelöscht wurde, möchte ich meine Frage wiederholen: Wurde hier aus dramaturgischen Gründen und ohne weitere Belege eine Frau zum Nazispitzel geschrieben? Eine Frau, deren Nachfahr:innen möglicherweise heute noch leben (Tochter ist schwanger)? Diese Frau ist heute Oma oder Uroma von jemandem. Die hat real existiert und ihre Familienangehörigen existieren heute noch real. Sophie Scholl wollte sie möglicherweise schützen. Und hier wird sie stattdessen als Nazispitzel hingestellt?;2021-12-01T12:23:52.000Z;17 likes;11
11-4;ichbinsophiescholl;"@fraunora.h @heikegumz #TeamSoffer Danke für die Einwände zur Aussagekraft von Verhöraussagen und -protokollen. In unserer Erzählung verzichten wir hier auf den Namen der realen Vermieterin und sprechen lediglich von ""der Witwe"". Hiermit grenzen wir das Storytelling von der realen Frau Schmidt ab.";2021-12-01T17:14:03.000Z;2 likes;11
11-5;kinderhabenblog;@ichbinsophiescholl Puh, spätestens an diesem Punkt merkt man dann doch, dass Storytelling wohl nicht die geeignetste Form zur Wiedergabe realer historischer Ereignisse ist. Ich denke nicht, dass es in solchen Fällen wie hier überhaupt gelingen kann, das Storytelling ausreichend abzugrenzen.;2021-12-02T15:21:45.000Z;3 likes;11
11-6;sarahvieletiere;@ichbinsophiescholl Aber warum überhaupt fürs Storytelling von der Realität abweichen, warum Fakten für eine bessere Dramaturgie verbiegen?;2021-12-02T18:37:00.000Z;4 likes;11
11-7;krissysaysmeow_;@ichbinsophiescholl wir hätten hier wirklich gern eine Antwort. Denn das erscheint so wirklich nicht okay.;2021-12-08T02:31:57.000Z;4 likes;11
