Link: ;https://www.instagram.com/p/CT1N0V1Mhu7/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;bea_tricks_17;Ich habe es gerade bestellt u.freue mich darauf, es zu lesen.;2021-09-19T08:39:30.000Z;0;-
2;pe_ru_ess;Das Buch ist so toll 😍;2021-09-17T11:40:18.000Z;2 likes;-
2-1;ichbinsophiescholl;@pe_ru_ess Was gefällt dir daran besonders gut?;2021-09-17T11:55:58.000Z;1 like;2
3;pe_ru_ess;Das Buch ist so toll 😍;2021-09-17T04:58:03.000Z;0;-
3-1;ichbinsophiescholl;@pe_ru_ess Was gefällt dir am Buch besonders?;2021-09-17T07:37:52.000Z;0;3
4;liv_bartels;Dieses Buch ist der Beginn meiner Liebe zu Stefan Zweig.;2021-09-16T17:39:11.000Z;0;-
5;kl.madlen.n.79;Gleich mal ❤️ und gespeichert.;2021-09-16T09:29:21.000Z;0;-
5-1;ichbinsophiescholl;@kl.madlen.n.79 #TeamSoffer Das freut uns!;2021-09-16T10:02:26.000Z;1 like;5
6;mstolzenwald;Das habe ich auch gelesen. Stefan Zweig war ein genialer Schriftsteller.;2021-09-16T05:09:05.000Z;0;-
6-1;ichbinsophiescholl;@mstolzenwald #TeamSoffer Hat dir das Buch gefallen?;2021-09-16T09:55:17.000Z;1 like;6
7;cristina.comparini.basbaum;"Você leu, @allez.ale ? Qual seria o nome em português? Entendi ""estrela"" , ""da Humanidade""...";2021-09-16T04:20:17.000Z;0;-
7-1;allez.ale;"@cristina.comparini.basbaum Sternstunde é tipo ""Big Bang"", é a hora onde tudo começa. Então uma tradução seria ""princípio da humanidade""";2021-09-16T10:39:08.000Z;0;7
8;__little_lenchen__;Ich mag ja die Schachnovelle am liebsten. :);2021-09-15T20:57:31.000Z;1 like;-
8-1;ichbinsophiescholl;@__little_lenchen__ #TeamSoffer Auch nicht schlecht!;2021-09-16T10:04:06.000Z;1 like;8
9;ale.cath;Ein großartiges Buch und er hat noch so viele weitere lesenswerte geschrieben ❤🙂;2021-09-15T20:48:32.000Z;0;-
9-1;ichbinsophiescholl;@ale.cath Was magst du an dem Buch besonders?;2021-09-16T09:46:44.000Z;1 like;9
9-2;ale.cath;"@ichbinsophiescholl Zweig macht Geschichte so unglaublich lebendig. 🙂 Historischen Figuren haucht er mit seinen Worten so viel Leben, Überzeugung und Gefühl ein, dass man einfach wieder umblättern muss -obwohl es schon 2 Uhr morgens ist. 😅 Auch seine Biographien über Maria Stuart oder der Band ""Kampf mit dem Dämon"" über Hölderlin, Kleist und Nietzsche sind sehr empfehlenswert 👌";2021-09-16T12:44:58.000Z;1 like;9
10;zasterundmoneten;Ja 😍;2021-09-15T20:20:01.000Z;0;-
11;_fallacia;Ich habe das Buch gerade vor ein paar Tagen von meiner Oma bekommen 😂;2021-09-15T18:19:09.000Z;0;-
