Link: ;https://www.instagram.com/p/CaXa5kQMvro/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;herzenshueter;Immer wieder lese ich bin „wurde hingerichtet“ und „wurde ermordet“ was ist denn der Unterschied? Wie wurden zum Tode verurteilte Menschen damals ermordet bzw. hingerichtet?;2022-02-27T16:42:43.000Z;0;-
2;kathafuer;@christian.zagar Damit setzt du voraus, dass alle Konsumenten (so wie du) ein gewisses Vorwissen haben. Die Kommentare haben aber deutlich gezeigt, dass das nicht so ist und viele die gezeigten Infos 1:1 als Wahrheit übernommen haben. Aber sogar wenn du Recht haben solltest - wieso wird es falsch dargestellt, wenn jeder weiß, dass es nicht so war? Ich sehe keinen Sinn darin, erfundene Infos über diese Zeit zu lernen.;2022-02-27T09:56:54.000Z;0;-
3;deahobbit;Immer komisch….man fühlt sich eigenartig traurigen Posts ein ❤️zu geben;2022-02-26T14:12:33.000Z;0;-
4;pandamox3;#legends;2022-02-26T11:19:02.000Z;0;-
5;hartlkoenig;80 Jahre später gefriert einem immer noch das Blut in den Adern;2022-02-26T10:51:13.000Z;1 like;-
6;sbduterloo;😢 😍;2022-02-25T21:29:56.000Z;0;-
7;lupuscolonia;🙌👏👏👏;2022-02-25T20:57:07.000Z;0;-
8;marber911;Dieser Account und die Darstellung der Geschichte über den Zeitraum ist eines der besten die Instagram hervorgebracht hat. 👍;2022-02-25T19:33:09.000Z;1 like;-
9;montyvomkellersee;😢;2022-02-25T18:53:05.000Z;0;-
10;neukoellntravel;🖤;2022-02-25T17:32:52.000Z;0;-
11;julchen21.7;Das ist einfach nur heftig wenn man das hier so zusammengefasst liest und so unendlich traurig. Aber schön, dass sich die Eltern wenigstens halbwegs berappeln konnten;2022-02-25T13:37:02.000Z;0;-
12;manchmal.lu.stig;Wie muss man sich das eig vorstellen… sie wurden ja durch das Fallbeil hingerichtet. Wurden sie so dann in einen Sarg gelegt… wie muss man sich die Zeit unmittelbar danach vorstellen ?:( was musste die Familie mitansehen? Wie “christlich” lief eine Beerdigung dann ab etc;2022-02-25T12:52:25.000Z;0;-
13;eweha63;😢;2022-02-25T12:27:10.000Z;0;-
14;ulrikemckernan4;😢;2022-02-25T12:00:08.000Z;0;-
15;mleupi;😢;2022-02-25T11:40:29.000Z;0;-
16;hejkatiisissi;😢😢😢;2022-02-25T10:58:29.000Z;0;-
17;tobiassenninger;"""Schön"" zu sehen ist, wann immer man an den Gräbern vorbeikommen, stehen da Menschen die schweigend da stehen, beten oder sich anderweitig Gedanken machen. Schön, dass das was passiert ist nicht in Vergessenheit gerät.";2022-02-25T10:51:29.000Z;0;-
18;dorothea.mariaa;💔;2022-02-25T09:11:36.000Z;0;-
19;christian.zagar;@ichbinsophiescholl Ein wirklich gelungenes und wichtiges Projekt. Trotz des Wissens um die Weiße Rose durch Schule und allgemeine Bildung, habe ich noch viele Informationen hinzu gewonnen und durch das moderne Format konnte man sich oft gut in die Situation der Protagonisten hinein versetzen. Da musste man schon oft auch mal schlucken. Respekt für dieses exorbitant gute Projekt! Lasst euch nicht beirren von der Kritik durch @therealjanboehmermann im #zdfmagazin. Diesmal lag er mit seinen Aussagen und seiner Kritik vollkommen daneben.;2022-02-25T08:45:34.000Z;2 likes;-
20;uschi16544;ixh werde Euch nie vergessen;2022-02-25T06:09:36.000Z;0;-
21;ansgarwfl;Alles sehr traurig aber was passiert mit deiner Schwester sie wurde in den letzten Tagen selten erwähnt. Und gibt es heute noch Nachfahren von der Familie Scholl?;2022-02-25T05:57:16.000Z;0;-
22;k.kortmann;😢😢😢;2022-02-25T05:11:31.000Z;0;-
23;barisca_mvb;😢;2022-02-25T03:37:07.000Z;0;-
24;jfgk217;"Eigentlich wollte ich nicht auf ""gefällt mir"" klicken, weil es grauenhaft ist, was passiert ist. Ich klicke auf ""gefällt mir"", weil mich das ganze Projekt beeindruckt hat und ich allen, die sich beteiligt haben danken möchte 💐👏👌";2022-02-25T00:57:56.000Z;1 like;-
25;gregor_hartl_photography;"😢😭 was für ein Schicksal 😩😓! Und die Geschichte geht heute schon wieder weiter und Krieg bleibt noch immer eine menschliche Option😭 - Wie ist das möglich bei dem ""intelligentesten"" Wesen auf diesem Planeten?";2022-02-25T00:45:33.000Z;0;-
26;anika.krahn;😢;2022-02-25T00:27:35.000Z;0;-
27;bettine1960;"Aus einem Brief von Lina Scholl, der Mutter, an Robert Scholl, den Vater, am 21.11.1941, dem Tag ihrer Silberhochzeit: ""... Wir haben uns ja genügend kennen gelernt in unseren Vorzügen und Schwachheiten, so dass es keine Frage ist, ob wir weiterhin miteinander wandern in Freud und Leid, vielleicht auch, was vorauszusehen ist, durch schwere Tage (...) Und dann haben wir die Kinder, die zur Zeit je länger, je fester werden in ihrem Glauben an den wahren Gott (...) Denn das schönste Wort, das es für Eltern gibt, ist doch dies: Herr, hier sind wir und die Kinder, wir haben der keines verloren, die du uns gegeben hast.""";2022-02-24T23:14:19.000Z;0;-
28;christine.binggeli;👏;2022-02-24T22:56:31.000Z;0;-
29;_sturmstina_;🤍🕊;2022-02-24T22:51:53.000Z;0;-
30;therealartsyme;Fünf Kinder ? Es waren doch 6 Geschwister;2022-02-24T22:48:44.000Z;0;-
31;nyaguldberg;🤍🤍🤍;2022-02-24T22:23:50.000Z;0;-
32;helmutkeimel;❤️ Ich leide. Es tut weh.;2022-02-24T22:22:21.000Z;0;-
33;tina_m1409;Wieso tauchte Elizabeth eigentlich eher selten oder gar nicht (?) auf?-Im Vergleich zu Inge,meine ich.Ist es,weil sie als Krankenschwester wenig daheim war bzw nicht zeitgleich wie Sophie daheim war? Leider konnte ich nicht immer alles verfolgen, daher kann es mir auch entgangen sein.;2022-02-24T21:58:59.000Z;0;-
34;yaronpeter;🕊🕊;2022-02-24T21:30:56.000Z;0;-
35;anja_oblosb;Wenn ich das nächste Mal in München bin, werde ich die Gräber besuchen.;2022-02-24T21:28:52.000Z;1 like;-
36;laura._.kahn;Danke für die Reise auf die ihr oder du uns mitgenommen habt ich bin sehr beeindruckt und auch sehr berührt von der Geschichte... mein Beileid und betrauern nicht nur an die Familie Scholl sondern auch allen zu Opfern gefallenen des Holocaust und des Faschisten Deutschlands.;2022-02-24T21:19:32.000Z;1 like;-
37;dietlinddell;So traurig.;2022-02-24T21:14:29.000Z;0;-
38;n18i81c;Was für tapfere , besondere junge Menschen sie waren. Ich frage mich oft , wäre man selbst so mutig gewesen u finde keine eindeutige Antwort. Sie waren bereit für ihre Überzeugung zu sterben u alles zu geben. Für ein besseres Leben u ein besseres Deutschland ohne Krieg u Hass. Die Geschichte die ihr so genial u realistisch am Leben erhalten habt , lässt einen einfach sprachlos sein. Wir wissen das Leben was wir haben gar nicht zu schätzen. Dies wird einem heute doppelt u dreifach bewusst. Vielen Dank für eure ganz besondere Arbeit ❤️❤️❤️ ei hoch u ein applaus 👏 für euch.;2022-02-24T21:13:10.000Z;0;-
39;waselkemacht;Wieso befindet sich das Grab in München wenn die Eltern in Ulm gelebt haben?;2022-02-24T21:12:36.000Z;1 like;-
40;sanizu;@alinazu28 😢;2022-02-24T21:12:21.000Z;0;-
41;beltraminisheela;😢;2022-02-24T20:55:34.000Z;0;-
42;cortado1974;Wo liegen die Geschwister Scholl begraben?;2022-02-24T20:29:25.000Z;0;-
43;ganzkleine_86;Und was genau passierte mit Inge? 😶‍🌫️🤔;2022-02-24T20:29:20.000Z;0;-
44;taka.xoxo;"Hoffentlich liest das zumindest eine von den Personen, die aufgrund der Pandemie auf der Straße ""Diktatur"" brüllen...";2022-02-24T20:26:44.000Z;2 likes;-
45;blauer.pfirsich;Wieso wurde Traute nichts nachgewiesen?;2022-02-24T20:14:55.000Z;3 likes;-
46;frau_n_aus_dem_wunderland;Sehr gute Arbeit mit diesem Account 👏. Müsste es öfters geben. Weiter so❤️;2022-02-24T20:14:44.000Z;1 like;-
47;moreif16;Ein tolles Projekt das großen Respekt verdient !;2022-02-24T20:09:12.000Z;0;-
48;kimicatfish;Unfassbar 😞;2022-02-24T20:00:36.000Z;0;-
49;thomas_88250;❤️❤️❤️;2022-02-24T19:57:57.000Z;0;-
50;ankegopfert;Die Menschen haben leider nicht gelernt. Wie man heute leider wieder sieht. 😢🇺🇦;2022-02-24T19:47:37.000Z;2 likes;-
51;kers.tinhada;Ich bin so bewegt;2022-02-24T19:47:16.000Z;0;-
52;misses_biggs;😢;2022-02-24T19:44:54.000Z;0;-
53;plnkvanessa;Wo kann man denn das Live von heute nachschauen? 🙂;2022-02-24T19:39:41.000Z;0;-
54;klopfi15;Und wieder sind wir im Krieg 😮;2022-02-24T19:34:06.000Z;0;-
55;_ceci_the_cat_;Es ist wirklich so so furchtbar und erschrecked, was damals passiert ist. Vielen Dank dass ihr mit dem Projekt diese außergewöhnlichen Menschen für uns und die heutige Zeit wieder ins Gedächtnis gerufen habt. Ein tolles Projekt!;2022-02-24T19:31:48.000Z;1 like;-
56;apunkt_efpunkt;@ichbinsophiescholl wo kann ich die Livestreams von gestern und heute finden? ☺️;2022-02-24T19:25:55.000Z;0;-
57;kerstinstegerer_fotografie;"In der Kapelle in Ewattingen wurde auch das jüngste Geschwisterkind von Sophie getauft. Momentan wird diese wunderbare Kapelle gerade renoviert.
In meiner Schulzeit war die Erzählung der Weißen Rose so fern und nun erlebe ich diese tragische Geschichte dank Euch noch einmal ganz intensiv. Und die Familie ist auf einmal so nah - ich fahre täglich an dem Hof vorbei.";2022-02-24T19:23:30.000Z;2 likes;-
58;h.ferrao;Unfair and revolting;2022-02-24T19:22:52.000Z;0;-
59;mats_1907;❤❤;2022-02-24T19:21:35.000Z;0;-
60;_inazet;Wahnsinn...was die Familie dann noch durch machen muss..🖤 Immer noch sehr interessant auf diesem Kanal. Danke! Wissen die Kinder von den Geschwistern was alles passiert ist?;2022-02-24T19:17:24.000Z;2 likes;-
61;le.sly07;*gesonderte;2022-02-24T19:07:47.000Z;0;-
62;le.sly07;Robert Scholl kommt ins Zuchthaus in ein KZ. Ist das eine sesonderte Abteilung eines KZs? Muss fast so sein, wenn man auch Besuch „empfangen“ kann..;2022-02-24T19:07:21.000Z;0;-
63;astrid_schulte;Der Hof in Ewattingen ist übrigens der Bruderhof an der Wutachschlucht. Noch heute ein Ort, wo man willkommen ist.;2022-02-24T19:06:46.000Z;2 likes;-
64;sonjasetout;Folgt in diesem Instagramfeed noch ein Beitrag zu Alexander Schmorell? ❤️;2022-02-24T19:01:32.000Z;1 like;-
65;rania_ha13;😢😢😢;2022-02-24T18:57:52.000Z;0;-
66;_beerfluencer_;@ichbinsophiescholl gibt es Nachkommen?;2022-02-24T18:57:36.000Z;2 likes;-
67;ethfruktogront;❤️❤️❤️;2022-02-24T18:46:52.000Z;0;-
68;martin_schweppe;an diesem Tag diese Zeilen zu lesen fällt schwer - bitte geht alle mal in euch - kann das so weiter gehen mit der Menschheit ...;2022-02-24T18:43:29.000Z;1 like;-
69;kuestenseele;Und die Welt hat nichts dazugelernt 😢🇺🇦;2022-02-24T18:41:48.000Z;4 likes;-
70;arlen_marisela;Kann noch einer die gespeicherten lives nicht sehen?;2022-02-24T18:41:15.000Z;0;-
71;up.to.dani;Unglaublich, dass in Europa nun wieder Krieg ist. Sophie und Hans drehen sich an ihrem Todestag im Grab um. #weltschmerz;2022-02-24T18:37:44.000Z;1 like;-
72;a_buecherwurm;😢😢😢 Schrecklich. Einfach nur traurig. Einf Frage noch: Wurde die Familie Scholl einzeln in Haft gebracht oder gemeinsam eingesperrt?;2022-02-24T18:33:01.000Z;2 likes;-
73;karinscats61;"Auf 78 Seiten hat Inge Aichler-Scholl ihre Erinnerungen an die Zeit nach der Hinrichtung ihrer Geschwister und die Beerdigung niedergeschrieben,für die sie fast alle Augenzeugen aus dem Gefängnis befragt hat.Sie beschreibt auch wie die Mutter die Särge streichelte.Die Aufzeichnungen waren als Trost für die Familie gedacht und nur ein kleiner Kreis von Freunden und Mitglieder der Familie Scholl durften sie lesen.Kurz vor ihrem Tod 1998 erlaubte sie das Manuskript zu lesen,zu fotokopieren und darüber zu berichten.Sie wünschte sich,dass Teile in einem Buch erscheinen.Im Münchner Institut für Zeitgeschichte sind die Erinnerungen archiviert.Man darf sie aber offenbar nicht einsehen.
Quelle:Focus online Geschichte";2022-02-24T18:32:38.000Z;5 likes;-
74;simone_treburg;Und auf den Tag genau 79 Jahre später herrscht wieder Krieg in Europa. Danke Putin.;2022-02-24T18:32:02.000Z;5 likes;-
75;firehorsetaurus;🕯🙏🏻🕯🙏🏻🕯🙏🏻;2022-02-24T18:28:22.000Z;0;-
76;happytobejane;😭so traurig. Auch die Familie Scholl hatte verhaftet 😭;2022-02-24T18:25:57.000Z;0;-
77;claudiafellmer;💟 weltfrieden ☮️ jetzt 💟;2022-02-24T18:25:53.000Z;1 like;-
78;simone_treburg;💔💔💔💔💔💔💔💔💔💔💔💔💔;2022-02-24T18:25:17.000Z;0;-
79;4ra.22;"Wie unsagbar traurig das ist. Von einem Tag auf den anderen stehen sie am Grab ihrer beiden Kinder, die einen völlig sinnlosen Tod sterben mussten. Man kann nur erahnen, wie sehr die Eltern verbittern und welchen abgrundtiefen Hass sie auf diesen Nazi-Regime haben mussten. Unvorstellbar…
Die Mitglieder der Weißen Rose bleiben, auch dank euch, unvergessen als Vorbilder. Wenigstens ist ihr Wunsch, dass ihr Tod nicht umsonst war, bisher immer erfüllt geblieben. 💔";2022-02-24T18:24:52.000Z;5 likes;-
80;rot5555555;🤍;2022-02-24T18:20:54.000Z;0;-
81;corijas;Ein großartiges und berührendes Projekt..;2022-02-24T18:18:49.000Z;1 like;-
82;gemeinde_grossneuhausen;😢😢😢;2022-02-24T18:15:39.000Z;0;-
83;ilana_kah;Mich verwirrt es etwas das ihr nicht dieses Jahr mit der Ausstrahlung angefangen habt, dann würde es mit den Daten ja auch besser passen. Ist dann halt mal eben 80 Jahre später und nicht 79 Jahre her. Aber vielleicht strahlt ihr es ja noch mal aus, wäre super!;2022-02-24T18:08:54.000Z;0;-
84;la_alemana_cordobesa;Wie, er heiratet 2 Jahre später wieder? Das ging aber schnell...;2022-02-24T18:04:52.000Z;4 likes;-
85;betta_nicoletta;Wer war denn Elisabeth?;2022-02-24T18:03:47.000Z;1 like;-
86;gartenundpflazen;Ich finde es auch heute noch bewegend wie junges Leben einfach ausgelöscht wurde.;2022-02-24T18:03:29.000Z;1 like;-
87;nise2207;😢😢😢;2022-02-24T18:00:50.000Z;0;-
88;sighthound14_21;❤️❤️❤️;2022-02-24T17:59:36.000Z;0;-
89;auri.frnk;Wer hat Hans, Sophie und Christoph beerdigt?;2022-02-24T17:48:52.000Z;3 likes;-
90;teresamuc;🙏;2022-02-24T17:47:35.000Z;0;-
91;heimuro;Wurden die Mitglieder der weißen Rose mit einem Fallbeil hingerichtet?;2022-02-24T17:46:52.000Z;1 like;-
92;taminasaphira;🤍;2022-02-24T17:46:21.000Z;0;-
93;nina_georgsdottir;"Ich möchte an dieser Stelle nochmal sagen, dass ich den Austausch unter den Posts immer interessant und informativ finde. Allgemein das ganze hier ist/war fantastisch um die Geschehnisse ""mitzuerleben"". Und wie schnell es dann am Ende ging ist auch einfach erschreckend und traurig sowieso.";2022-02-24T17:44:03.000Z;17 likes;-
94;claudiadriesen;Existieren die Gräber noch?;2022-02-24T17:43:37.000Z;1 like;-
95;janinesteenbuck;😢🕯;2022-02-24T17:43:16.000Z;0;-
96;klaus_siee;😢;2022-02-24T17:42:40.000Z;0;-
97;sapphosfavourite;Die beiden wurden ja durch Guillotine hingerichtet...klingt jetzt etwas grosteque, aber weiß irgendjemand ob man nach Enthauptung mit oder ohne seinen Kopf begraben wird?;2022-02-24T17:40:17.000Z;7 likes;-
98;schwaigerdoris;❤️;2022-02-24T17:39:38.000Z;0;-
99;martinaminz;Wer war die zweite Frau von Robert Scholl? Nie habe ich etwas über sie heraus gefunden…;2022-02-24T17:36:49.000Z;5 likes;-
100;katinka_thisisme;Es fällt so schwer hier immer auf ❤️ zu drücken. Aber dieser Account ist so beeindruckend und wichtig. Danke dafür!;2022-02-24T17:34:55.000Z;11 likes;-
101;jewels_pleasure;🖤 Das ist so furchtbar traurig. Danke für das wertvolle Gedenken. 🖤;2022-02-24T17:33:38.000Z;2 likes;-
102;_wildblume._;"😢…
Ein Projekt das unter die Haut ging !! Ihr seid großartig 👏 🖤";2022-02-24T17:30:05.000Z;14 likes;-
103;fellmerclaudia;🥲😞😔😫😖☹️😩🥺😢😭😤😡😶‍🌫️;2022-02-24T17:29:37.000Z;0;-
104;la_ra.marie;🙏❤️;2022-02-24T17:27:50.000Z;1 like;-
105;sonja_hochkraft;😢;2022-02-24T17:25:51.000Z;0;-
106;renabinol;😭;2022-02-24T17:24:54.000Z;0;-
107;liss.unterwegs;wahre Helden ❤️;2022-02-24T17:21:46.000Z;0;-
108;leazimmerchen;Ich bin tief bewegt von der Geschichte, von den Informationen, von diesem Schicksal. Manchmal passte Instagram und die vergangene Zeit für mich nicht zusammen. Es war aber immer interessant und wahnsinnig toll ausgeführt. Ich möchte unbedingt mehr erfahren. Vielen Dank für dieses Projekt.;2022-02-24T17:21:40.000Z;0;-
109;team_wedemann_holz;😢😢😢;2022-02-24T17:19:13.000Z;1 like;-
110;bobmscaesar;😢;2022-02-24T17:17:03.000Z;0;-
111;nicii_photography;Und an diesem Tag fängt der nächste krieg an… Menschen lernen nie dazu.;2022-02-24T17:17:03.000Z;335 likes;-
112;elleonoreh;Herzzerreißend, so jung so mutig . So ein grauenvolles Urteil von einem Richter 😭;2022-02-24T17:16:22.000Z;2 likes;-
113;michelesuranyi;Ich Weiss nicht wie oft ich geweint habe bei diesem Projekt danke dafür!;2022-02-24T17:14:29.000Z;4 likes;-
114;christiane_daniel69;Nie wieder Krieg ! Freiheit ! Das hätten Sophie und Hans Scholl wohl auch heute wieder gesagt. 😢😢😢😢 🙏🇺🇦;2022-02-24T17:13:44.000Z;34 likes;-
115;die_aelblerin;Überleben nicht 3 Kinder? Elisabeth Scholl heiratet doch Fritz, zumindest steht das in einem anderen Post von euch, der auch heute gepostet wurde…;2022-02-24T17:10:19.000Z;2 likes;-
116;brigittesaliastupsi;Wie gesagt es gibt ein Film über traute. Als alte Frau in Amerika spricht sie mit einem Journalisten.;2022-02-24T17:09:55.000Z;3 likes;-
117;charlies_chaotische_welt;Wer war denn Lina?🤔nie von ihr gehört und ich verfolge die Geschwister Scholl Geschichte seit ich 14, 15 war;2022-02-24T17:09:09.000Z;9 likes;-
118;attusgermanicus;War das Urteil bzw. die Hinrichtung damals für die Bevölkerung der Stadt bzw. anderer Teilen Deutschlands bereits in jenen Tagen bekannt, oder ist die Weiße Rose erst später (nach dem Krieg?) echt bekannt geworden?;2022-02-24T17:08:30.000Z;1 like;-
119;carolinbornemann;😢Es treibt mir immer noch die Tränen in die Augen. Das darf nie wieder passieren.;2022-02-24T17:07:44.000Z;0;-
120;bbaer_irisbertelt;Was ist denn mit Inge passiert?;2022-02-24T17:07:22.000Z;2 likes;-
121;nadine.lndr;💔;2022-02-24T17:06:25.000Z;0;-
122;kevseraker;Kann man den Livestream irgendwo nochmal sehen?;2022-02-24T17:03:13.000Z;0;-
123;evibiefi;Was ist mit Fritz? Heiratet er nicht eine Schollschwester?;2022-02-24T17:01:01.000Z;12 likes;-
124;chiara_balu;@ichbinsophiescholl : Weiß man, was mit den Eltern passiert ist ? Bzw. Wie die mit der Situation umgegangen sind ? Ein ganz großes Kompliment an jeden einzelnen der dieses Projekt unterstützt und umgesetzt hat 🙏🏼🍀;2022-02-24T16:58:15.000Z;7 likes;-
125;chaolau;💔;2022-02-24T16:58:10.000Z;1 like;-
126;christina.m.humburg;Werden die beiden Livestreams gespeichert? War leider in der Arbeit, würde sie aber sehr gerne sehen ☺️;2022-02-24T16:57:17.000Z;4 likes;-
127;krohakuechenmeister;R.I.P.allen Helden des Wiederstandes, egal ob sie Scholl, Harnack, Schulze-Boysen , Elser, Bonhoeffer oder sonst wie heißen! Mögen sie nie vergessen werden! 😢😢;2022-02-24T16:56:28.000Z;15 likes;-
128;rinki_mania;😢😢😢;2022-02-24T16:55:19.000Z;1 like;-
129;johnnysmeis143;😢;2022-02-24T16:55:13.000Z;1 like;-
130;rudyandthekoenigs;Was war bei Zeitgenossen, in der Öffentlichkeit und im Ausland, bekannt, über den Kampf der Weißen Rose '42/'43 und das Schicksal der Scholls und anderen ab Februar '43?;2022-02-24T16:55:08.000Z;5 likes;-
131;wiebke.bones;Und auf einmal ist Geschichte ganz nah!;2022-02-24T16:54:58.000Z;67 likes;-
132;xtian_bavarian;Was passierte eigentlich mit ihrer Mutter? Von ihr wird hier leider nichts erwähnt. Liegt sie auch im Familiengrab?;2022-02-24T16:54:56.000Z;2 likes;-
133;_l.aracr_;Es ist so tragisch 😢 😭.;2022-02-24T16:53:33.000Z;1 like;-
134;frl.lilablassblau;Was für eine Leidenschaft, was für ein Angagement, was für eine Courage haben diese jungen Menschen gelebt👏👏👏👏👏👏👏👏👏👏 Wahnsinn!;2022-02-24T16:53:23.000Z;14 likes;-
135;bemocky;🖤;2022-02-24T16:53:05.000Z;0;-
136;julue102;Ein beeindruckendes und erschütterndes Werk wurde hier geschaffen. DANKE. So wichtig, die Erinnerungen daran dürfen nie verblassen.;2022-02-24T16:52:19.000Z;3 likes;-
137;ameliechile;Die Sippenhaft gibt es heute noch in Nordkorea!;2022-02-24T16:52:13.000Z;0;-
138;nadineknusperflocke;💔;2022-02-24T16:46:36.000Z;1 like;-
139;stefanesser8315;😢🙏😔;2022-02-24T16:45:32.000Z;1 like;-
140;sebfischer2;Interessante Bilder und danke für die Arbeit!;2022-02-24T16:44:21.000Z;9 likes;-
141;_anne_hess_;❤️;2022-02-24T16:44:14.000Z;2 likes;-
142;straffinger;Leider ist das Thema wieder so aktuell und nah....😢🇺🇦;2022-02-24T16:41:57.000Z;46 likes;-
143;ali1896hsv;Was ich interessant fände: was wurde aus dem Hausmeister, dem Richter und den anderen Tätern?;2022-02-24T16:40:56.000Z;8 likes;-
144;maxi__sun;Warum überleben nur 2 Kinder? Inge und Robert. Ich dachte Elisabeth heiratet Fritz?;2022-02-24T16:39:44.000Z;2 likes;-
145;sofia_16_bayern;Gibt es die greber noch?;2022-02-24T16:39:00.000Z;0;-
146;daria_dalorto;💔💔💔💔;2022-02-24T16:36:29.000Z;1 like;-
147;spirited_sana;Kann man die Livestreams von gestern und heute noch nachträglich schauen? Großartige Arbeit!! Ruht in Frieden Familie Scholl.;2022-02-24T16:35:34.000Z;90 likes;-
