Link: ;https://www.instagram.com/p/CQns7WFIpYA/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;weckerskoechel;"Ein Dankeschön, Gratulation und Hochachtung zu dieser großartigen Arbeit! Man ist so drin, dass man wenn Sophie mitteilt, dass sie an ihre Mutter schreibt fürchtet, das könnte abgehört und sie entdeckt werden. Man ist insofern ganz in Sophies damaliger Jetzt-Zeit und ahnt noch nichts von der entsprechenden Uni-Flugblatt-""Da sind sie!""-Szene aus Verhoevens Die Weiße Rose Film von 1982.";2021-07-03T09:48:30.000Z;3 likes;-
2;tunisstar44;Dürfen nur Menschen, die aus Deutschland stammen dieser Seite folgen?;2021-07-03T00:33:10.000Z;0;-
3;we.love.saarland;Durchaus Parallelen zur heutigen Zeit mit Corona: Naturverbundenheit, zurück zum Ursprung, Werteverbundenheit... Besinnung auf Natur, Familie, Freunde, Genuss, gemeinsame Zeit, zurück zur Sprache und zu den schönen Künsten, Ruf nach Freiheit und Toleranz 💙 wie heißt das klassische Stück gegen Ende der Story? @ichbinsophiescholl ❤️🤍;2021-07-01T05:55:06.000Z;0;-
4;scrap.cook.garden;Sind in „meine woche“ alle stories zusammengefasst?;2021-06-30T07:25:47.000Z;0;-
5;baeckerei.blankenhaus_armbrust;Was für ein tolles Projekt! Ich kann es nicht in Worte fassen, wie sehr mich Sophies Schilderung in ihren Bann zieht. Was für ein Geschenk, dass wir so an dem Leben dieser großartigen Frau teilnehmen können! Vielen vielen Dank ans gesamte Team von Krimi, Mitarbeiterin der Bäckerei Blankenhaus.;2021-06-29T03:40:57.000Z;0;-
6;simplethingsarebest;"Ich finde dieses Format hier ganz großartig. Wirklich!!! Danke für die Aufklärung und das Mitnehmen in diese Zeit. Der"" echten"" Sophie hier zu antworten oder so zu tun als ob, finde ich allerdings auch sehr schräg und unpassend.🙈 Es gab sie und es gab sie nur einmal. Das ist die Tragik der Geschichte. Und die darf nie vergessen werden und sich nicht wiederholen. Aber dieser Account hier ist nicht Sophie Scholl.";2021-06-28T17:45:18.000Z;1 like;-
7;ines_s_2;❤️‍🔥;2021-06-28T10:53:04.000Z;1 like;-
8;marc.rietmann;Mid gap ngl;2021-06-28T08:03:37.000Z;2 likes;-
9;assistenzhund_happy;👏👏👏;2021-06-27T22:21:40.000Z;1 like;-
10;nick_moddy;Ich finde es voll gut dass ihr die storys auch immer zusammengefasst hochladet in fall dass es jemand verpasst haben sollte.Auch wenn ich alle immer schaue. Meist einer meiner hiegler des Tages Macht weiter so . Und zu dir Sophie: du schaffst das auch;2021-06-27T17:43:28.000Z;5 likes;-
11;odetteanagonzalez;😍😍;2021-06-27T17:04:57.000Z;3 likes;-
12;deichblume;Es bricht einem das Herz, wenn man an das Ende denkt.😢;2021-06-27T16:48:57.000Z;11 likes;-
13;anjamuller565;Es ist normal das es auch mal Tiefpunkte gibt. Du schaffst das!! ❤️;2021-06-27T16:22:43.000Z;4 likes;-
14;hauptstadtlady50;Danke 🙏 für diesen Wochen Rückblick liebe Sophie. Erinnerungen können kraftgeben in schweren Augenblicken. Genieße jeden Moment denn ... 🙋‍♀️ 🌞 😍.;2021-06-27T12:18:42.000Z;6 likes;-
15;henriqueta1202;Ach, heute musste ich die ganze Zeit während des Videos und Deiner Bilder weinen. 😢;2021-06-27T12:07:05.000Z;6 likes;-
16;_yoga_tanz;Ich denke, den Mut bekommt man durch die Gemeinschaft mit Gleichgesinnten zurück. Der Austausch mit Freunden ist Balsam für die Seele. Vernetzung so viel wie möglich. Der Widerstand lebt.;2021-06-27T12:04:01.000Z;16 likes;-
16-1;stom_steine_sterben;@_yoga_tanz du weißt dass das nicht echt ist?;2021-06-28T14:00:43.000Z;0;16
16-2;_yoga_tanz;@stom_steine_sterben Es ist alles echt, wenn man mit dem Herzen sieht.;2021-06-28T15:26:49.000Z;4 likes;16
16-3;inderruhe_liegtdiekraft;"@stom_steine_sterben
… nicht echt ? Wer gibt das „ echt“ vor ? Es gibt Menschen die sich in Dinge hinein fühlen können- und dürfen ……alles was das Herz hergibt, ist erlaubt 🤍";2021-06-28T21:25:43.000Z;3 likes;16
16-4;stom_steine_sterben;@inderruhe_liegtdiekraft du kannst alsodas gleiche fühlen wie menschen die von nazis verfolgt wurden? glaubst du nicht dass das etwas relativierend und ekelhaft ist?;2021-06-29T12:54:01.000Z;1 like;16
16-5;inderruhe_liegtdiekraft;@stom_steine_sterben 🙈;2021-06-29T13:26:39.000Z;1 like;16
17;team_wedemann_holz;Kopf hoch🥰;2021-06-27T11:33:15.000Z;6 likes;-
18;susanne_k_aeferchen;🙌🙌;2021-06-27T11:13:29.000Z;3 likes;-
