Link: ;https://www.instagram.com/p/CP5TPZPqTXq/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;phiplejeune;❤️;2021-06-10T20:19:17.000Z;0;-
2;rosmarietacken;"In meinen Umfelder begreifen sie eure Arbeit nicht und das in Erinnerung rufen der damalige Zeit , den Mut und die Entschlossenheit … die meisten Menschen … damals wie heute , nichts , aber auch gar nichts verstanden und gelernt …
Ich hatte eine zeit lang Sophie Scholl mit einer Äußerung von ihr als Profilbild … einige empfanden das als provokant und fehl am Platze , ich als treffend und mit der Hoffnung die Leute mögen ins Denken kommen … nein … denken , nachdenken , die heutige Situation mal mit Abstand reflektieren können viele nicht , sonst würden sie erkennen ..
Macht weiter , ihr seid toll 🤗";2021-06-10T17:28:17.000Z;5 likes;-
2-1;ichbinsophiescholl;#teamsoffer Liebe @rosmarietacken, definitiv war Sophie Scholl eine sehr starke und inspirierende Frau. Wir versuchen auf diese Weise an sie und ihre Taten zu erinnern und freuen uns sehr, dass dir das Projekt gefällt. Hierbei ist es uns jedoch wichtig darauf hinzuweisen, dass Vergleiche der damaligen NS-Diktatur mit der heutigen Zeit und Situation unangebracht sind und wir die Instrumentalisierung Sophie Scholls im Sinne derartiger Narrative nicht tolerieren. Liebe Grüße!;2021-06-10T17:48:12.000Z;50 likes;2
3;geisler.monika;Eine ganz großartige Idee - Mut und Zivilcourage sind zeitlos. Sophie Scholl ist es auch.;2021-06-10T14:58:32.000Z;0;-
4;melanie.kroner.39;Ich muss ebenfalls sagen, dass ich dieses Projekt eine tolle Idee finde. Zu meiner Abschlussprüfung habe ich ein Referat über Sophie Scholl und die Weiße Rose gehalten.;2021-06-10T12:01:54.000Z;0;-
5;minimoa9;"Ich bin sehr begeistert von diesem Account.
Ein Stück Geschichte auf diese Weise in diese Zeit zu holen ist eine gute Idee 👍🏻";2021-06-10T11:45:49.000Z;0;-
6;heikerahls;Leider werden die meisten Kühe heute im Stall gehalten sie müssten wieder raus und die Kuhfladen sind so wichtig für die Insekten ❤️🕊;2021-06-10T10:39:23.000Z;0;-
7;torbi.1;Hey ich muss sagen diese Idee die Geschichte von Sophie Scholl so a weng in unsere Zeit zu holen, is echt genial und euch auch sau gut gelungen :D mich würde nur interessieren ob die stories die ihr Postet vorgedreht sind oder 1 zu 1 live sind? Und ob ihr Vorhabt das auch mit anderen Charakterem wie z.B Anne Frank zu machen?;2021-06-09T22:54:58.000Z;21 likes;-
7-1;ichbinsophiescholl;"@torben.schwenke #teamsoffer Lieber Torben, vielen Dank für dein liebes Feedback! Ja, (fast) alle Stories wurden bereits an verschiedenen Drehtagen von einem Team und unseren tollen Schauspieler:innen vorproduziert. Live wäre ein Projekt dieses Umfangs allein zeitlich wohl kaum möglich.
Bisher ist noch nichts konkret in Planung, aufgrund all der positiven Resonanz lässt es sich jedoch sicherlich nicht ausschließen, dass es in Zukunft weitere Projekte dieser Art geben wird. Liebe Grüße!";2021-06-10T08:46:01.000Z;73 likes;7
8;tanja.berg2005;Und wenn man diesen Kuhdung riecht,riechts nach Freiheit;2021-06-09T21:54:07.000Z;0;-
9;isy.easy;Es gibt da was was ich nicht verstehe: war den Menschen in Deutschland nicht bekannt, was in den kz und so abging? In den Stories hört man ja immer wieder, man munkelt was da passiert... wir wissen es nicht genau... vermuten dass... vllt bin ich grade zu schnell in der time line 😜🥸;2021-06-09T21:04:04.000Z;0;-
9-1;motte_5510;"Es war tatsächlich so, dass viele recht unwissend waren. Die Menschen ""verschwanden"" einfach. Viele dachten "" geflüchtet"". Ich denke, in den Städten wusste man mehr oder hat es geahnt. Auf den Dörfern im Nirgendwo sicher erst sehr spät, wenn überhaupt.....";2021-06-10T17:31:03.000Z;0;9
9-2;isy.easy;@motte_5510 naja aber die sind in München 🥸😅 ist mir echt so nicht bewusst gewesen;2021-06-10T17:39:44.000Z;0;9
9-3;katharina.helling;"Hallo, isy.easy das ist ein Thema, das mich auch sehr beschäftigt. Wohne in der Nähe der Würm in München, wo damals die sog ‚Todesmärsche‘ vom KZ Dachau entlanggingen (das war meines Wissens aber erst später)…
Unter dem Bild wo Sophie, Fritz und Alex drauf sind, wo sie gerade zu dem Ausflug aufbrachen, habe ich vorhin einen interessanten Kommentar gelesen, wo auf einen Brief von Fritz an Sophie von Ende Juni verwiesen wird, in dem er das Thema anspricht, weil sein Kommandeur (auf äußerst zynische Weise) davon erzählt habe… in dem Kommentar ist auch angegeben, wo man das nachlesen könnte.
Ich weiß nicht wenn man bedenkt, dass wohl ziemlich jede Familie Angehörige im Kriegseinsatz hatte und den Verfolgten ja wohl auch klar, was ihnen droht (also zumindest wird das immer so dargestellt, und nicht in Frage gestellt 🤷🏻‍♀️), kann ich mir fast nicht vorstellen, dass eine große Mehrheit wirklich nichts wusste…
In diesen Tagen wurde auch das Israelitische Krankenhaus in München geschlossen und die Belegschaft und Patienten nach Theresienstadt und weiter in Vernichtungslager gebracht.. das muss doch Fragen aufwerfen…wenn plötzlich das ganze Krankenhaus leersteht (und anschließend für NS-Zwecke, in dem Fall Lebensborn Einrichtung genutzt wird)..";2021-06-11T10:46:17.000Z;0;9
9-4;isy.easy;@zuagroastebayrischeschwaebin ich finde das auch einfach mega interessant und werd Enoch damit glaube noch intensiver beschäftigen danke dir für deine Antwort schaue mir nachher mal das Kommentar an :);2021-06-11T11:35:37.000Z;1 like;9
10;buecherjunge_dd;Wer den Account verfolgt hat, weiß, dass Sophie Scholl Biologie und Philosophie studiert hat oder studieren wollte. Da steckt Tierethik doch eher drin. Aber kannte man den Begriff damals eigentlich? Die Freunde waren auf einem Ausflug. So ziemlich alle Stadtkinder, wir auch, haben „Landluft festgestellt“. Selbst wenn das Fiktion ist, dann ist sie in diesem Kontext trotzdem authentisch. Die Landwirtschaft war in dieser „Blut und Boden“ Zeit auch anders strukturiert als heute. Ich glaube nicht, dass man Sophie Scholl Fragen im Zusammenhang mit heutigen Aspekten stellen kann. Daher schrieb #ichbinsophiescholl auch, dass dem Team keine diesbezüglichen Äußerungen bekannt sind.;2021-06-09T20:01:36.000Z;0;-
11;jeanbecci;Ich weiß, was du meinst @ichbinsophiescholl Geburten von Tieren sind sehr faszinierend und eine Erfahrung fürs Leben 😍😍 und die jungen Tiere auf ihrem Weg im Leben begleiten zu dürfen ist immer wieder ein spannendes Erlebnis 😍😍😍😍;2021-06-09T19:38:18.000Z;0;-
12;jessiefuchs1806;Mich würde interessieren wie das mit dem Flugzeugen in der einen Story gemacht wurde???;2021-06-09T17:06:01.000Z;0;-
13;emma_di_lemma;Ich komme vom Land. Wenn es nach Kuh riecht, merke ich immer, dass es nach Hause geht. ❤ Für mich ist das etwas Schönes.;2021-06-09T16:33:20.000Z;0;-
14;susanne_k_aeferchen;🙌🙌🙌;2021-06-09T15:47:07.000Z;0;-
15;sandrapfadi;Als Pfadfinder (damals im 3 Reich in Deutschland verboten und/oder verfolgt) heute weltweit 50 Millionen Mitglieder und gleichzeitig bin ich ein Kind der 1980er Jahre hab im Geschichtsunterricht nicht geschlafen, Familie und Verwandte befragt so weit möglich und viele Dokus geschaut schon mit 11 Jahren. Ich heute im Alter von ü35 find mich trotzdem auf Instagram und Co zurecht und finde die Idee und den Aufbau der ganzen Geschichte super gelungen- sehr echt- schwer da aus dem heutigen Blickwinkel dran zu bleiben und zu kommentieren da die Geschichte ja eigentlich fast 80 Jahre her ist. Viele meiner Pfadfinder Freunde, einige kenne ich auch tatsächlich nur über die heutigen sozialen Netzwerke, andere wie meine Pfadfinder aus meiner Gruppe-mittlerweile 16-18 und auf Instagram unterwegs haben den Kanal geliked - auch u.a wegen der Schule und Geschichte. Im heutzutage hatten die Kinder gerade 7 Monate online/Homeschooling wegen einer Pandemie namens Corona....vielleicht hat der Kanal auch beim Homeschooling gerade in Geschichte geholfen.;2021-06-09T15:33:38.000Z;0;-
16;brini1209;Ich bin auf dem Land aufgewachsen. War täglich als Kind unterwegs in den Wäldern, wuchs quasi auf einem Gestüt auf und ging jeden Sommer mit meinen Freunden zum See. Es war herrlich und ich bin sehr dankbar, dass ich so aufwachsen konnte.;2021-06-09T14:19:37.000Z;2 likes;-
17;philippesouetre;Gerhhard Richter;2021-06-09T14:07:20.000Z;0;-
18;_dream._.horse_;Ich bin zwar einer der stillen Follower dieses Accounts, habe aber sehr großen Respekt vor diesem Projekt. Dieser Account ist mitlerweile zu einem meiner Lieblings Accounts geworden und ich finde es so faszinierend und spannend zu sehen, wie deine Geschichte weiter geht (auch wenn man weiß das sie leider nicht gut enden wird). Ich selber habe in der Schule sehr weniger über die Weiße Rose und alles gelernt, weshalb ich so dankbar bin, das quasi miterleben zu dürfen😍;2021-06-09T14:00:46.000Z;4 likes;-
19;annicorsun;Ich liebe den Geruch von Kühen, die feuchte Wärme. Und auch bei der Geburt von Kälbern war ich dabei. Das ist LEBEN! Berührend;2021-06-09T13:08:31.000Z;0;-
20;linditarosaj;Ich bin in einem Bauernhof bis zum 8 Lebensjahr groß geworden 🙌. War eine schöne Zeit;2021-06-09T12:39:56.000Z;0;-
21;kunsttherapieemsland;Inwieweit unappetitlich?;2021-06-09T11:51:06.000Z;0;-
22;ghaith_gh47;🔥;2021-06-09T11:28:00.000Z;0;-
23;saili1971;"Meine drei Kinder sind alle +/- im Alter dieser ""Jana aus Kassel"".... und ich bin entsetzt und erschrocken wie wenig sie im Geschichtsunterricht über die NS-Zeit und den Widerstand, überhaupt alles was mit dieser Zeit zusammenhängt und auch in Gemeinschaftskunde über Demokratie lernen.... ich habe den Eindruck Mitte/Ende der 80er Jahre haben wir in der Schule so viel mehr darüber erfahren.... vielleicht lag es auch nur an engagierten Lehrern die diese Zeit zum Teil selbst noch erlebt hatten und auch daran dass das Ende des Zweiten Weltkrieges in den 80er Jahren noch gar nicht so lange her war. Es braucht viel mehr Aufklärung! Wie oft habe ich in letzter Zeit genau diesen Eindruck.... umso wichtiger das Thema jetzt zu Hause öfter anzusprechen und die Aufklärung hier im Kleinen zu betreiben... sehr erschreckend. Ich frage mich wer die Lehrpläne erstellt.... das müssen doch auch die Verantwortlichen mal sehen dass es einen Zusammenhang zwischen einer gesellschaftlichen Entwicklung und den Inhalten von Unterrichtsfächern gibt!";2021-06-09T11:16:09.000Z;17 likes;-
23-1;xjnnx_;Hab 2016 Abi gemacht und spontan hätte ich jetzt gesagt, dass ich die letzten 4 Jahre im Geschichtsunterricht nur den 2.Wk, Flucht und Vertreibung und die Nachkriegszeit durchgenommen habe 🤷🏻‍♀️;2021-06-09T13:04:35.000Z;2 likes;23
23-2;jeanbecci;Ganz ehrlich, bei diesem Namen bekomme ich Ausschlag...diese Jana, müsste ja jetzt auch schon 23 sein und hat 0 Ahnung vom Leben und der Geschichte, außerdem hat sie keine Ahnung, was es bedeutet zu moderieren, Ansprachen zu halten und damit eine gewisse Verantwortung zu tragen...die hat diesen Job damals nur bekommen, weil es sonst keiner machen wollte;2021-06-09T19:42:21.000Z;2 likes;23
23-3;anettehenry66;"Mein Sohn, Realschule 9. Klasse hat das Thema erst kürzlich sehr ausführlich durchgenommen. Parallel dazu in Deutsch die Lektüre ""Die Welle"" beim gleichen Lehrer. Vielleicht liegt das wirklich am Engagement der Lehrer.";2021-06-10T08:33:10.000Z;1 like;23
23-4;saili1971;@anettehenry66 ...sieht so aus....😳;2021-06-10T17:10:52.000Z;0;23
23-5;cora.and.friends;Bei uns war das auch mehrmals, sehr ausführlich im Unterricht und stand auch in den Lehrplänen :);2021-06-10T21:31:28.000Z;1 like;23
23-6;saili1971;@cora.and.friends ..... hängt dann möglicherweise tatsächlich auch vom Lehrer ab....;2021-06-11T06:57:27.000Z;0;23
24;peterkimtx;Die echte „Schlachterei“ geht los im Osten (und wird nie aufhören)* 🙀;2021-06-09T11:08:20.000Z;0;-
24-1;green_brown_eyes;@peterkimtx Läuft im Moment seit fast einem Jahr (in 13 Tagen ist der 80 Jahrestag des Überfalls auf die Sowjetunion);2021-06-09T16:56:43.000Z;0;24
24-2;peterkimtx;@green_brown_eyes CCCP war recht übel, oder?;2021-06-09T18:01:46.000Z;0;24
24-3;green_brown_eyes;@peterkimtx CCCP?;2021-06-09T18:52:10.000Z;0;24
24-4;peterkimtx;@green_brown_eyes Russich for Sowjet Union = CCCP;2021-06-09T19:00:32.000Z;0;24
24-5;green_brown_eyes;@peterkimtx Ja, man versteht warum es zu diesen Verbrechen am Ende des Krieges kam. Diese Männer haben selbst zu einem großen Teil Frauen und Kinder auf bestialische Art und Weise verloren;2021-06-09T19:07:28.000Z;1 like;24
