Link: ;https://www.instagram.com/p/CRggVjNMe-E/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;gerlinde.lamott;@ichbinsophiescholl Wie kommt Ihr an die Druckerschwärze ?;2021-07-22T05:22:53.000Z;0;-
2;gerlinde.lamott;@ichbinsophiescholl Gab es Reaktionen auf eure Briefe ? Habt Ihr irgend ein Echo erfahren ?;2021-07-22T05:22:38.000Z;0;-
3;gerlinde.lamott;Bekommen wir auch einmal ein Blatt zu lesen ?;2021-07-22T05:22:23.000Z;2 likes;-
3-1;ichbinsophiescholl;@gerlinde.lamott #TeamSoffer Die Flugblätter der Weißen Rose sind heutzutage gut im Netz einzusehen. Wir können dir sehr das Dossier des bpb zur Weißen Rose empfehlen, dort findest du auch den gesamten Inhalt aller Flugblätter! Liebe Grüße!;2021-07-22T07:13:24.000Z;9 likes;3
4;julan_bataa;Pass bloß auf und kauf nicht zu viel beim gleichen! Da darf nichts an euch hängen bleiben...;2021-07-21T12:09:27.000Z;2 likes;-
5;bross.ute;👏;2021-07-21T08:48:40.000Z;0;-
6;gerlinde.lamott;Bekommen wir auch einmal ein Blatt zu lesen ?;2021-07-21T05:48:02.000Z;0;-
7;subsi_diaritaet;Instastory reicht doch?!;2021-07-20T23:50:51.000Z;0;-
8;raul_mccallister007;❤️;2021-07-20T20:18:58.000Z;0;-
9;schmuck.druck.pappmaschee;Habt ihr da irgendwas mitbekommen?;2021-07-20T17:11:48.000Z;0;-
10;schmuck.druck.pappmaschee;Wie war das mit dem Attentat;2021-07-20T17:11:25.000Z;0;-
11;na.ti1890;@theresa.ramesberger;2021-07-20T16:52:46.000Z;0;-
12;jpw_fides;Stauffenberg hatte in seiner Aktentasche Zeitzünder und Sprengstoff, nur leider nicht genug.;2021-07-20T14:09:40.000Z;0;-
13;nunziaufficiale;Ich finde dich voll stark❤️;2021-07-20T13:42:59.000Z;1 like;-
14;nunziaufficiale;❤️❤️;2021-07-20T13:40:43.000Z;0;-
15;jassy1888;@ichbinsophiescholl ich hab gehört, ihr habt einen Freund der aus Saarbrücken kommt, aus meiner Heimatstadt❤️;2021-07-20T11:52:44.000Z;9 likes;-
15-1;jassy1888;@jassy1888 sein Name ist glaub ich, Willi Graf 😊;2021-07-20T11:53:03.000Z;0;15
15-2;ichbinsophiescholl;@jassy1888 #teamsoffer Richtig! Willi Graf lernte Hans Scholl und Alexander Schmorell in der Münchener Studentenkompanie kennen und setzte dort sein Studium fort. Jedoch entschließt er sich erst im Dezember 1942 zum aktiven Widerstand gegen die Hitler Diktatur. Liebe Grüße. :);2021-07-20T12:07:47.000Z;13 likes;15
15-3;jassy1888;@ichbinsophiescholl vielen lieben Dank. Die Tage werde ich an Willi Grafs Grab eine Rose niederlegen 🌹;2021-07-22T21:19:57.000Z;0;15
16;claudia_katharina_peters;Du könntest ja sagen, dass ihr Studentinnen ganz viel Feldpostbriefe schreibt, um für Soldaten an der Front zu unterstützen. Das wäre vielleicht eine glaubhafte Notlüge, wenn jemand blöd fragt, wofür du das ganze Papier brauchst.;2021-07-20T10:48:07.000Z;2 likes;-
17;huerm05;❤️❤️❤️;2021-07-20T07:30:36.000Z;0;-
18;rikus2153;Großes Lob!;2021-07-20T07:09:18.000Z;0;-
19;ute.gertz;🙌🙌🙌🙌;2021-07-20T05:08:47.000Z;0;-
