Link: ;https://www.instagram.com/p/CRWz2JZMx0i/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_benitabb;@paul.kkl;2021-07-17T11:16:19.000Z;0;-
2;akhlaghi0015;❤️Nice;2021-07-17T11:04:38.000Z;0;-
3;moo_myung;"Liebe Sophie, übel nimmt er dir es sicher nicht. Du kannst ja kaum was dafür. Aber nach so einer schlimmen Nachricht … wer weiß wie man da reagieren sollte? Groß Lust mich zu unterhalten hätte ich wohl auch nicht.
😢";2021-07-16T09:37:40.000Z;3 likes;-
3-1;ichbinsophiescholl;@moo_myung Das stimmt wohl. Ich verstehe ihn da schon!;2021-07-16T10:01:10.000Z;13 likes;3
4;tina_eckert_;Danke für dieses Projekt!man bekommt Geschichte,lebendig näher gebrachta;2021-07-16T08:50:09.000Z;0;-
5;sui_los_gatos;War dass eigentlich früher so üblich, dass die Medizinstudenten zum Sanitätsdienst in den Semesterferien eingezogen wurden? Wie gefährlich war das? Und warum wurden Hans und Alex eigentlich nicht regulär eingezogen?;2021-07-16T08:12:32.000Z;3 likes;-
5-1;ichbinsophiescholl;@sui_los_gatos #TeamSoffer Als Studierende mussten sie während des Semesters erst einmal nicht an die Front. Neben Hans und Alex wurden auch noch weitere Medizinstudenten als 2. Studentenkompanie einberufen, um ihren Militärsdienst an der Ostfront abzuleisten. Sie wurden jedoch nicht aktiv als Soldaten eingesetzt, sondern dienten der medizinischen Versorgung von Soldaten und leisteten damit ihre Vorraussetzung für das Studium geltende Feldfamulatur ab.;2021-07-16T10:43:44.000Z;12 likes;5
5-2;sui_los_gatos;@ichbinsophiescholl also war ihnen in Prinzip klar, dass der Moment irgendwann kommen würde, wenn es Voraussetzung für das Studium war;2021-07-16T12:13:52.000Z;1 like;5
5-3;adri.s.autorin;@ichbinsophiescholl du meinst als Studenten...? 😅;2021-07-16T16:21:10.000Z;0;5
6;ida.k_04;Warum wird eigentlich nicht thematisiert, dass Hans auch männliche Liebhaber hatte? Schließlich wurde er ja leider auch dafür verhaftet.;2021-07-16T06:03:38.000Z;7 likes;-
6-1;ichbinsophiescholl;@ida.k_04 #teamsoffer wurde es ziemlich am Anfang des Projektes schon einmal und wir geben diesen Kontext immer wieder als Redaktion in den Kommentaren.;2021-07-16T08:09:26.000Z;16 likes;6
7;mary2ana;ich glaube nicht dass die flugblätter wirklich das sind was wirklich zählte...;2021-07-16T01:14:46.000Z;0;-
8;jana.makes.things;man weiß, was passieren wird, aber ich habe mich so an Sophie und die anderen gewöhnt, dass ich jetzt schon Angst vor dem Tag habe, an dem es still wird auf diesem Kanal...;2021-07-15T21:44:12.000Z;17 likes;-
9;darth_vato58;Sophie 😍;2021-07-15T21:37:38.000Z;1 like;-
10;sebastianaugustin24;Gibt es hier die Flugblätter im Wortlaut zum nachlesen?;2021-07-15T20:30:30.000Z;5 likes;-
11;emeliedorr;wahrscheinlich überlegt er was et tun soll…;2021-07-15T20:29:57.000Z;1 like;-
12;_yoga_tanz;Sehr unterschiedliche Bewältigungsstrategien bei den Menschen. Manche können Fakten hervorragend verdrängen. Damals wie heute.;2021-07-15T20:05:40.000Z;1 like;-
13;benjamin.stefan.l;"Und wir fürchten den Brief über die Unizulassung unseres Sohnes. Wie belanglos das doch ist und wie gut es uns doch geht.
Das sollte sich jeder heute immer wieder vor Augen führen.
Danke dafür!!!";2021-07-15T19:59:04.000Z;11 likes;-
14;sara_fina_yo;Oh, ist das nicht sophie mit alex auf dem bild und nicht Hans? 🤭 Haben die Schauspieler eig auch Instagram?;2021-07-15T19:42:37.000Z;3 likes;-
14-1;ichbinsophiescholl;"@sofia_lukas_official #teamsoffer Hans hat das Foto geschossen.
Und ja, haben sie. Auf diesem Bild sind David Hugo Schmitz als Alexander Schmorell und Luna Wedler als Sophie Scholl zu sehen. :)";2021-07-15T19:53:08.000Z;19 likes;14
14-2;sara_fina_yo;@ichbinsophiescholl achsooo haha ups 😂 danke für die Antwort! Voll cool;2021-07-15T19:59:36.000Z;0;14
14-3;david_hugo;@sofia_lukas_official / SophieScholl wird gespielt von @lunawedler & AlexanderSchmorell von @david_hugo :);2021-07-15T20:33:39.000Z;11 likes;14
15;giusy79_;Hallo liebe Sophie, ich denke das Hans in einem Gedankenkarussell ist, und einfach nicht zur Ruhe kommt.  Such nicht die Schuld bei dir! 🙌❤️;2021-07-15T19:27:14.000Z;3 likes;-
16;yuri_b.lay;❤️❤️;2021-07-15T19:12:41.000Z;2 likes;-
17;sofia.ostrea;"Gerade bin ich an der Stelle, nach Versendung des 4. Flugblattes, im Buch ""Wir schweigen nicht"" ...ich habe das Buch vor Jahren von meinen Großeltern geschenkt bekommen.. und als ich vor kurzem dein Instagramprofil (euer tolles Instagram Projekt) entdeckt habe ,hab ich große Lust bekommen das Buch zu lesen, endlich ☺️😅";2021-07-15T19:04:11.000Z;6 likes;-
18;weingummijunkie;Liebe Sophie, Hans wird Angst haben was auf ihn zukommen wird an der Ostfront. Und diesen Konflikt und seine Arbeit im Widerstand gerade innerlich verarbeiten. Sei für für ihn da. Haltet zusammen, die Sonne wird wieder scheinen !;2021-07-15T18:40:52.000Z;7 likes;-
19;gwen_gloeckchen;Liebe Sophie. Bitte mach Dir keine Vorwürfe. Ihr seid alle wunderbar und auch wenn im Augenblick gar nichts mehr nach Plan zu laufen scheint, bitte hört nicht auf! Glaubt an euch, so wie ich an euch glaube... Ich bin in Gedanken bei euch!! ❤️❤️❤️❤️❤️;2021-07-15T18:39:53.000Z;3 likes;-
20;matthilauf;Liebe Sophie, wurde denn Alex auch eingezogen?;2021-07-15T18:27:57.000Z;17 likes;-
20-1;ichbinsophiescholl;@matthilauf Alex hat den selben Brief bekommen wie Hans und muss ebenfalls zum Sanitätsdienst an die Ostfront...;2021-07-15T18:30:09.000Z;38 likes;20
21;katrinpruchniewski;Vielleicht macht sich Hans auch sehr viel Gedanken über den Krieg.;2021-07-15T18:26:30.000Z;1 like;-
22;sunshinesun.666;Habt ihr die ersten drei Flugblätter denn schon verteilt und wenn ja wie? Oder sammelt ihr die gerade noch?;2021-07-15T18:26:13.000Z;3 likes;-
