Link: ;https://www.instagram.com/p/CZY-uLdsyWR/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;netterholger;Sophie, bete mal, vielleicht hilft das und rechne auch mal damit, dass Fritz nicht zurückkommt, wie er schon geschrieben hat 'Ich bleibe dein Fritz'. Meine Opa mütterlicher Seits hieß auch Fritz, er ist schon lange tot. Halte dich wacker Sophie!!;2022-02-01T22:43:40.000Z;0;-
2;jesbenzac8;😢;2022-02-01T13:52:56.000Z;0;-
3;luci.aamore;Ist das belegt, dass Sophie und die anderen Mitglieder der Weissen Rose Meth zur Leistungssteigerung in Verbindung mit der Flugblatt Aktion nahmen? Oder ist das Fiktion?;2022-02-01T12:08:22.000Z;4 likes;-
4;_aliiiiiiinnnnaaaa_c_;Wie lange hat Sophie Scholl noch zu Leben?;2022-02-01T11:56:17.000Z;1 like;-
5;daria_dalorto;😢😢😢;2022-02-01T09:28:09.000Z;0;-
6;wursttroll;Fritz macht mir auch angst;2022-02-01T08:40:27.000Z;0;-
7;windmuehleim;😢😍Guten Morgen liebe Sophie, so eine Situation kaum denkbar und glücklich dass ich nach dem Krieg geboren bin.....auch wenn es nur 8 Jahre danach sind. Fritz liebt dich vielleicht hilft dir das🔥❤️❤️;2022-02-01T08:18:15.000Z;0;-
8;indrabuschlinger;Weiß man eigentlich, wie sich die Beziehung von Fritz und Elisabeth entwickelt hat?;2022-02-01T07:39:35.000Z;0;-
9;fraensaeni_;😢;2022-02-01T07:11:42.000Z;0;-
10;voll.muttiviert;*offiziellen Story;2022-02-01T05:28:21.000Z;0;-
11;maxxime.millions;AUF GEHTS UDSSR 🚩🚩🚩🚩;2022-02-01T03:14:53.000Z;0;-
12;eva.579;😢;2022-02-01T01:20:33.000Z;0;-
13;irene.garbe3;Das was du machst beten;2022-01-31T22:57:55.000Z;0;-
14;changed.by.popular.demand;@ichbinsophiescholl #teamsoffer hier stand heute ein Kommentar in russischer Sprache, den ich leider nicht mehr finde, wisst ihr, was mit dem passiert ist?;2022-01-31T22:37:14.000Z;0;-
15;blumkatharina27;Opa ist auf dem Rückzug gefallen, 44 in Polen. Alle haben immer gesagt, dass er nur bei den Tieren war, aber das gibt es nicht. Er wird gemordet haben wie die anderen und doch ist die Liebe zu den Menschen nicht verhandelbar. Ich denke oft an Opa und frage mich, wie es ihm ging. Vielleicht war er Hans nicht unähnlich.;2022-01-31T22:10:02.000Z;1 like;-
16;lena.aurnhammer2020;Wer batt denn eigentlich gestern angerufen?;2022-01-31T21:41:13.000Z;0;-
17;sophie_kleekamp;Wie kommt es eigentlich, dass Elisabeth Scholl in den Story's gar nicht auftaucht? Danke für dieses tolle Projekt! Es reißt einen richtig mit..;2022-01-31T21:08:20.000Z;0;-
18;fraeulein_motzi;"Meine Urgroßeltern sind 1914 und 1924 geboren. Sie haben nie freiwillig von dieser Zeit gesprochen. Mein Uropa war ein Kettenhund in Stalingrad. Meine Uroma hat den Krieg zu Hause erlebt. Sie hat jegliches Gespräch darüber immer gekonnt beendet. Es muss schlimm gewesen sein. Als sie die letzten Jahre Dement war, haben wir erahnen können wie schlimm es war. Sie hat urplötzlich angefangen zu schreien ""sie kommen mich holen"" von ihren anderen wirren Erzählungen konnte man erahnen das sie sich gedanklich in der Kriegszeiten befand.";2022-01-31T21:08:00.000Z;3 likes;-
19;joeritterbecks;"Sophie, es ist wichtig, dass Du diesen Brief mit uns teilst. Ich glaube es ist noch viel schlimmer, als wir uns vorstellen können. Wie dieses menschenverachtende System uns belügt!!! 😡😡😡 Der Wehrmachtsbericht sprach heute immer noch von „strategischer Frontverkürzung“. Wie ich dieses Nazipack hasse, mittlerweile.
Bleib stark aber sei vorsichtig.
LG, Johannes";2022-01-31T20:49:26.000Z;1 like;-
20;anjamuller565;❤️❤️❤️;2022-01-31T19:32:07.000Z;0;-
21;krebse2015;"Liebe Sophie, liebes Team dieses Accounts,
Ich finde es großartig, dass und wie hier die Tage der Sophie Scholl nahegebracht werden! Im Geschichtsunterricht meiner Zeit (60-70er Jahre) wurde das gesamte Kapitel des 2. Weltkrieges schlicht übersprungen. Wie gut, dass das heute nicht mehr so gehandhabt wird. 🙏
Bitte weiter so und ich werde gerne weiter diesem Account folgen";2022-01-31T19:15:29.000Z;7 likes;-
22;elqeka;Diese Vorstellung, dass er jede Sekunde in Gefahr war und sie so eine grosse Angst um ihn hatte aber am Ende sie gestorben ist und er überlebt hat ist so krass einfach. Bei jeder Story sind da so gemischte Gefühle dabei, freue mich auf eine Story aber iwie wächst die Aufregung, da sie ja leider bald erwischt werden 😔😔. Auch wenn man weiß wie das endet, hofft man trotzdem dass es anders kommt, so krass einfach;2022-01-31T18:23:58.000Z;6 likes;-
23;tatyana.s73;Mein Opa war auch im Krieg, nur auf der russischen Seite. Er hat uns nie was darüber erzählt. Ich weiß nur, dass er beim Stalingrad und in deutscher Gefangenschaft war. Bis zu seinem Tod 1998 hat er die Deutsche gehasst. Ich glaube, egal auf welcher Seite man war, es war für alle schlimm.;2022-01-31T17:17:25.000Z;4 likes;-
24;katz_ger202;Hoffe und warte auf weitere Briefe. Das ist alles, was Sie tun können. Haben Hoffnung.;2022-01-31T17:11:44.000Z;0;-
25;gwen_gloeckchen;Liebe Sophie. Ich bin in Gedanken bei Dir und Fritz. Es ist furchtbar, wenn man nichts hat, außer einem Blatt Papier und die Hoffnung, das der Alptraum bald endet... Bitte sammel wieder Kraft, ich drücke Dich ganz fest und wünsche Dir alles Liebe! 💕🌸🍀;2022-01-31T16:44:46.000Z;5 likes;-
26;markus.loeffler1;😂😂😂;2022-01-31T16:14:43.000Z;0;-
27;herzpatron;So schlimm zu wissen, dass nur wenige Wochen danach Sophie Scholl selbst hingerichtet wurde.;2022-01-31T16:08:38.000Z;1 like;-
28;patrese76;"Beide Opas waren im Krieg. Norwegen und Russland. Beide haben nie darüber gesprochen. Verstanden habe ich deren Verhalten erst als ich das Buch ""Bis das Auge bricht"" gelesen habe. Seitdem ist mir klar, dass das Erlebte nicht wiederzugeben ist.";2022-01-31T15:58:24.000Z;2 likes;-
29;amliebstenmeer;Mein Opa war in russischer Kriegsgefangenschaft. Er hat nie darüber geredet, aber meine Oma sagte, dass er im Traum russisch gesprochen hat und er hat dann mit den Armen rumgefuchtelt, als ob er sich schützen wollte. Es muss schrecklich gewesen sein.;2022-01-31T15:45:12.000Z;1 like;-
30;donphilippone;Rückzug aus Stalingrad? Wusste nicht, dass deutschen Soldaten ein Ausbruch aus dem Kessel gelang.. @ichbinsophiescholl weisst du mehr?;2022-01-31T15:29:52.000Z;0;-
31;8bitmusic;Das ist eine unfassbare Zeit, die die nachkommenden Generationen nicht nachempfinden können. Ich denke, dass wir uns nicht einmal im Ansatz vorstellen können, was die Menschen damals erleben mussten. Zumindest wir hier Deutschland nicht.;2022-01-31T14:59:00.000Z;0;-
32;sarahblakk;"Mein Opa erzählte von diesen Märschen durch die eisige Kälte und noch vieles mehr.
Er war der großartigste Mann, den ich je kannte. Was kann ein Mensch ertragen und wie sich nicht aufgeben?!
Mein Herz weint jeden Tag um ihn. 💔";2022-01-31T14:52:19.000Z;10 likes;-
33;beltraminisheela;🤔;2022-01-31T14:49:45.000Z;0;-
