Link: ;https://www.instagram.com/p/CO7bXwbnI-F/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;leonie.ghlm;Krass das dies noch gar nicht lange her ist und wie gut man Menschen manipulieren kann;2021-07-14T08:38:19.000Z;23 likes;-
2;kaishassan2;Gibt es Informationen zur Bildquelle? Woher stammt das Foto?;2021-06-01T11:39:07.000Z;17 likes;-
2-1;ichbinsophiescholl;@kaishassan2 #teamsoffer Das Bild stammt aus dem Fotoarchiv der Süddeutschen Zeitung und wurde, der entsprechenden Angabe zufolge, am 22.05.1939 aufgenommen. Liebe Grüße!;2021-06-01T16:06:12.000Z;71 likes;2
2-2;kaishassan2;@ichbinsophiescholl Danke! Das scheint aber ja ein Propagandabild zu sein. Warum wird das hier nicht thematisiert?;2021-06-01T17:39:42.000Z;3 likes;2
2-3;herbstfvchs;@kaishassan2 Schau dir doch einfach mal den Account an^^ Es geht da um Sophie Scholl und ihr Leben 💁‍♀️;2021-08-06T13:57:40.000Z;18 likes;2
3;alepezzinoo;Ich finde es sehr mutig was Sophie Scholl in so einem Jungen alter gemacht hat. Meiner Meinung nach hat Sie das gut gemacht und ein paar Leuten die Augen geöffnet.;2021-05-31T21:39:24.000Z;11 likes;-
4;ninagre;"@ichbinsophiescholl Meine Oma ist 1925 geboren, also deine Generation und sie hat mir erzählt, wie stolz sie war, beim BDM zu sein. Dass das ganz toll war und sie sich da so wohl gefühlt hat. Als ich sie fragte ob sie nichts wusste von den Gräueltaten der Nazis, besonders von den KZs, hat sie angefangen zu weinen und gesagt, sie habe nichts gewusst und wie schrecklich sie das fand nachdem sie es erfahren hat. So richtig glauben konnte ich das nicht. Meine Großeltern lebten in Gütersloh in der Innenstadt, keine so große Stadt, und von dort wurden damals auch viele deportiert. Dass sie es nicht so richtig wussten was mit ihnen geschah glaube ich zwar, denn es wurde ja offiziell maximal von ""Arbeitslagern"" gesprochen... aber auf der anderen Seite wollten sie es vermutlich auch gar nicht so richtig wissen. Und wenn sie es gewusst hätten, was hätten sie getan? Sicher wären sie nicht so mutig gewesen wie du und deine Freunde. Meine Großeltern haben meinen Vater im Jahr 1948 nach dem Bruder meines Opas benannt: Adolf. Und mein Opa wurde auch nicht müde zu sagen, dass Hitler tolle Autobahnen gebaut hat. So richtig haben sie glaube ich nicht verstanden, was dieser Mensch für ein Verbrecher war...";2021-05-31T18:58:00.000Z;61 likes;-
4-1;luiseftschn;@ninagre „So richtig haben sie nicht verstanden, was dieser Mensch für ein Verbrecher war“ ist aber nett gesagt. Ich denke das kann man gar nicht „nicht verstehen“. Das blendet man absichtlich aus. Sie WOLLEN nicht.;2021-08-06T13:29:50.000Z;14 likes;4
4-2;oskargerhard;@ninagre Liebe Nina, du hast meine tiefste Anerkennung. Wie schwer dieses Thema ist verstehe ich vor allem weil als Pole eine andere Ansicht auf das habe, was man vor allem dem Osten angetan hat. Besuche in KZ-Museen schmerzen überaus, wenn man sich probiert vorzustellen, was dort eigentlich vorging. Dort wurden nämlich nicht einfach Leute ohne „richtigen“ Grund ermordet sondern viel mehr gequält und schlechter behandelt als man es mit Tieren überhaupt hätte machen können. Allein die Tatsache, dass das Ziel davon u.a. das Auslöschen der polnischen Kultur war, schmerzt. Ich finde es wirklich sehr vorbildlich, dass du dennoch die Aussagen deiner Großeltern hinterfragst und nicht schlichtweg hinnimmst. Ich danke dir.;2021-08-06T14:06:22.000Z;32 likes;4
4-3;nicht.meret;@ninagre Mein Opa war in der Hitlerjugend und auch wenn er Hitler und die Nazis angeblich nicht unterstützt hat und im Nachhinein das alles nicht gut fand, hat er die HJ immer vereidigt. Für ihn war das mehr wie ein Pfadfindervein und er hat das glaube ich, nicht wirklich mit den grausamen Taten der Nazis in Verbindung gebracht.;2021-08-07T12:28:24.000Z;4 likes;4
