Link: ;https://www.instagram.com/p/CVdRvWYMCD-/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_steffis_kleine_tierwelt_;Sowas Böses darf nie wieder passieren nie wieder;2021-11-12T16:56:38.000Z;0;-
2;lukas_ontour;"Im Krieg kann man sich nicht auf Konventionen, Regeln oder ein Gentlemens Agreement verlassen. Die werden nur solange eingehalten, bis ein Kriegsteilnehmer verzweifelt genug ist, daraus vielleicht ein kriegsentscheidender Vorteil entsteht oder das Regime einfach nur grausam ist.

Man hat immer nur am Tage auf offenem Feld gekämpft, bis David irgendwann merkte, dass man Goliath auch im Schlaf angreifen kann, im Schutze der Nacht.
Kirchen waren Tabu, bis Wikinger in Lindisfarne merkten, dass dort die meisten Schätze lagerten.

Krieg ist ein Ausnahmezustand. Regeln existieren am Rande, aber je näher die Front rückt, desto mehr übernehmen Überlebenswille, Adrenalin, Instinkte und Gesetze auf Papier rücken in sehr weite Ferne, wenn man umgeben ist von Blut, Matsch, Exkrementen und Beschuss.

Am besten stellt man sicher, dass man sich im Krieg an Regeln hält, wenn man gar nicht erst einen anfängt.";2021-10-27T15:36:27.000Z;0;-
3;hartlkoenig;Weiter bringen wird sie Euch nicht, aber unvermeidbar ist sie in solchen Situationen;2021-10-26T21:22:51.000Z;0;-
4;4ndr3_1997;Darf man Hakenkreuze posten?;2021-10-26T19:08:08.000Z;0;-
5;susann27182;Wut ist ein schlechter Ratgeber. Er lässt einen Risiken eingehen, die man vernünftig nicht eingehen würde.;2021-10-26T16:26:47.000Z;7 likes;-
6;benzerofficial0;Meinst du das ist in England und so anders? Dort wird dich genau das gleiche getan und bis heute bestritten;2021-10-26T12:40:33.000Z;0;-
7;ansgarwfl;Erstenmal die Optionen aufgreifen und wenn das nicht hilft fliehen und dem Ausland geheim Bericht erstatten;2021-10-26T10:44:14.000Z;0;-
8;karstensocher;Ist das eine Original-Ausgabe auf dem Bild oder ist die Nachgedruckt und rekonstruiert wurden die Zeitung?;2021-10-26T08:38:06.000Z;2 likes;-
9;renatesfotos;"Wenn man so Schreckliches erlebt, braucht man die Wut als Ventil;";2021-10-26T08:24:48.000Z;0;-
10;phoebzy;Es tut mir leid für alle Menschen, die damals gefangen waren in diesem Land und diese Zeitungen gesehen haben und dem Radio zugehört haben und es einfach offensichtlich komplett entgegen jeder Menschlichkeit ging. Wie schlimm muss es gewesen sein;2021-10-26T08:12:26.000Z;0;-
11;logbuch_nordwest;Ja, es wäre besser gewesen, ein Regelwerk für den Erhalt des Friedens zu erarbeiten. Die Idee kam ja bereits vor dem 1. Weltkrieg auf mit dem Bau des Friedenspalasts in Den Haag. Als Tochter eines Pazifisten kennst Du das doch bestimmt @peacepalace_vredespaleis;2021-10-26T07:43:01.000Z;0;-
12;smalltalk201;Wut ist ein schlechter Berater, aber ein guter Motor. Sie wird euch helfen, neue Pläne zu schmieden und umzusetzen. Mit Vorsicht.;2021-10-26T07:23:22.000Z;3 likes;-
13;icebluemelody;"Ein Zitat von Gandhi (und ein Buch seines Enkels): ""Wut ist ein Geschenk"" Man muss diese Form der Energie nur konstruktiv statt destruktiv nutzen";2021-10-26T07:10:59.000Z;2 likes;-
14;sabi.vgl;Wut gibt Energie, etwas zu verändern!;2021-10-26T05:59:54.000Z;1 like;-
