Link: ;https://www.instagram.com/p/CYTzPM8MaoX/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jonaszmunik;Foei;2022-02-21T13:41:21.000Z;1 like;-
2;klasse8aerloeser;Gangstar;2022-02-07T08:05:09.000Z;2 likes;-
3;kuehnsein.kindsein;Krass, das wusste ich noch nicht. Sowas hat mir im Geschichtsunterricht keiner erzählt, und dabei war der 2. Weltkrieg gefühlt ja ständig Thema. Danke für diesen tollen Account, der die so viele Einblicke in die Lebensumstände zu dieser Zeit gibt!;2022-01-09T10:37:59.000Z;0;-
4;purrfect.drug;Sorry, aber ich hasse Zigaretten und ihren widerlichen Gestank, der nicht nur gesundheitsschädlich ist, sondern auch eine Belästigung für alle Nichtraucher und Kinder. Denn selbst wenn man draußen raucht, zieht der eckelhaft Gestank in alle Richtungen. Dafür habe ich nicht viel Verständnis.;2022-01-08T07:35:47.000Z;0;-
5;geschichten_aus_dem_wildgarten;Also ich finde je mehr Hindernisse das Rauchen anzufangen desto besser aber das vom Geschlecht abhängig zu machen, ist natürlich völliger Quatsch!;2022-01-06T11:06:09.000Z;0;-
6;zippytripi;Same here I want to smoke my ganja, lol #blackforestsesh;2022-01-06T10:20:58.000Z;0;-
7;windmuehleim;Selbst entscheiden können ist von großer Wert. Selbst bin ich absolute Nichtraucherin seit 21 Jahren.;2022-01-06T08:21:20.000Z;2 likes;-
8;ulfrodiger;immer mehr geächtet wird. Und dann wird man wieder über Verbote diskutieren oder darüber den Unvernünftigen die Kosten für ihre Unvernunft in Rechnung zu stellen.;2022-01-06T07:56:50.000Z;0;-
9;ulfrodiger;Liebe Sophie, glaube mir es wird eine Zeit kommen in der die Freiheit unvernünftige Dinge zu tun, die der eigenen Gesundheit schaden, die aber Spaß machen oder einen Genuss bedeuten wieder möglich ist. Menschen werden rauchen soviel sie wollen und Alkohol trinken, Marihuana rauchen, über die neuen Autobahnen rasen uvm. Und dann wird eine Zeit kommen in der dies wegen der Behandlungskosten für die Allgemeinheit I.;2022-01-06T07:55:26.000Z;0;-
10;noble_aesthetic;No filters on cigarettes back then;2022-01-05T22:54:51.000Z;0;-
11;silkewagner82;Rauchen sollte auf der ganzen Welt verboten werden. Es stinkt und ist ungesund.;2022-01-05T20:38:17.000Z;0;-
12;mottelieschen;Im Grunde sollte natürlich kein vernünftiger Mensch rauchen. Aber Frauen so ungleich zu behandeln geht gar nicht. Die Zeiten waren so und jetzt sind sie besser aber von Gleichstellung sind wir auch jetzt noch entfernt.;2022-01-05T20:05:50.000Z;0;-
13;cathy_conner_2013;Irgendwie macht es mich traurig das das Projekt in knapp 2Monaten vorbei ist:/;2022-01-05T16:36:17.000Z;0;-
14;losgann_chan;Hat die WHO nicht im Juli 2021 ein alkoholverbot für Frauen im gebärfähigen Alter diskutiert?;2022-01-05T16:10:24.000Z;0;-
15;zauberflow;Nicht das du noch Krebs bekommst und dann ein Bett im Krankenhaus blockieren und das jemandem wegnimmst der nicht geraucht hat…;2022-01-05T11:41:20.000Z;0;-
16;be_behrendt;Letztendlich sollte es Deine Entscheidung sein, auch wenn ich generell davon abrate… habe einen wichtigen Menschen durch die Folgen des Rauchen verloren… das möchte keiner für seine Lieben 🍀;2022-01-05T10:34:11.000Z;3 likes;-
17;ronald_illustration;Gab es damals überhaupt schon Zigarettenfilter?;2022-01-05T10:13:25.000Z;0;-
18;hasepofase;Zum Kotzen 🤮;2022-01-05T10:03:06.000Z;0;-
