Link: ;https://www.instagram.com/p/CXoANfSs8pi/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lillightzkinfanpage_original;raucher;2021-12-20T08:09:02.000Z;1 like;-
2;paulon_fire;will auch ne kippe;2021-12-20T06:55:14.000Z;0;-
3;adrians_instastube;Hoffen wir das es nicht zu einer Verhaftung kommt. Falls doch.....Viel Glück. Mit der Gestapo ist nicht zu spaßen. Haste sie erstmal an der Backe, wirst du sie nicht so schnell wieder los. Sind sind wie ein Pickel der ewig hält. Ich hoffe du verstehst was ich meine.;2021-12-20T01:23:21.000Z;0;-
4;____kazuo____;"Wurde damalig wirklich so viel geraucht, es wurde doch auch rationiert oder?

Tolles Projekt!";2021-12-19T10:45:17.000Z;1 like;-
5;katjuschka82;Passt einfach auf das ihr keine interná des anderen wisst und macht einen Notfall plan wenn wirklich eine Festnahme kommt, was die anderen dann tun sollen. Also von wegen untertauchen wenn man euch mitteilt das einer der weissen rose festgenommen wurde und ihr damit rechnen müsst das sie euch holen. Alles was an Beweise euch gefährlich werden könnte gut verstecken oder direkt zerstören. Damit sie nichts in der Hand haben was auf andere Mitglieder schließen lässt.;2021-12-18T18:56:00.000Z;0;-
6;katrinpruchniewski;"Ich würde versuchen, nicht auffällig zu sein.
Am Besten ganz normal weiter studieren.
Und mit dem Strom schwimmen.
Aber eben nur Äußerlich.😁";2021-12-18T18:30:29.000Z;3 likes;-
7;marrylehn;"Falls ihr verhaftet werdet, müsst ihr falsche Fährten legen. Plausible Erklärung haben, notfalls diffuse Aussagen machen, die auf ""einen großen Fisch"" hindeuten. Den Verdacht von Euch ablenken.";2021-12-18T18:09:01.000Z;0;-
8;christine.binggeli;🙌;2021-12-18T18:06:41.000Z;0;-
9;hauenschildthomas;Sophie, kennt ihr jemanden, der schon mal von der Gestapo verhört wurde? 😱😢 Euer Vater?;2021-12-18T17:48:41.000Z;2 likes;-
10;matiiiiime;Sophie 👏❤️;2021-12-18T17:31:37.000Z;0;-
11;tschepetta;❤️;2021-12-18T15:55:52.000Z;0;-
