Link: ;https://www.instagram.com/p/CWi3Eg0qS2a/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mori.tz.04;Würde gerne die Schulpolitik ändern, weil Schüler die Stelzen unserer Zukunft sind und das Schulsystem schon vor 20 Jahren hätte erneuert werden müssen.;2021-11-22T11:31:15.000Z;1 like;-
2;_steffis_kleine_tierwelt_;Sowas ist auch nicht nötig und zerstört alles Leben Familien und so vieles;2021-11-22T09:58:54.000Z;0;-
3;sketchbina;"Sophia Magdalena „Sophie“ Scholl (* 9. Mai 1921 in Forchtenberg; † 22. Februar 1943 in München) war eine deutsche Widerstandskämpferin gegen den Nationalsozialismus. Sie wurde aufgrund ihres Engagements in der Widerstandsgruppe Weiße Rose gemeinsam mit ihrem Bruder Hans Scholl von nationalsozialistischen Richtern zum Tode verurteilt und am selben Tag hingerichtet.";2021-11-22T09:10:46.000Z;2 likes;-
4;martycatfly;@ichbinsophiescholl Ich verstehe nicht, wieso sich Sophie nach wie vor so sehr an Fritz klammert. Er steht doch eindeutig hinter dem Krieg. Und Sophie möchte den Frieden verteidigen. Ich könnte niemals mit einer Person zusammen sein, die so gegensätzliche Ansichten hat wie ich. Spätestens jetzt wäre es doch Zeit gewesen, diese Beziehung zu beenden.;2021-11-22T07:14:44.000Z;0;-
4-1;nichtsophiescholl;"@martycatfly Fritz Hartnagel haderte mit dem Krieg, seiner Rolle darin und dem Nationalsozialismus, das schreibt er Sophie öfters in seinen Briefen zum Beispiel am 1.8.1942:

""Noch ein Ereignis: Ich wurde heute zum Hauptmann befördert! du wirst Dir denken können, mit welch zweifelhaften Gefühlen ich diese Nachricht aufnahm. Nun bin ich wieder eine Stufe weiter in ein System gedrängt, dem ich am liebsten den Rücken kehren möchte. Ich komme mir vor wie eine Puppe, die nach außen etwas darstellt, was sie innerlich gar nicht ist. Könnte ich nur ein ganz einfacher Soldat sein, der sich geben kann wie er ist."" Fritz Hartnagel an Sophie Scholl am 9.12.42, aus: Sophie Scholl, Fritz Hartnagel: Damit wir uns nicht verlieren. Briefwechsel 1937 - 1943, S. 383";2021-11-22T08:43:08.000Z;2 likes;4
4-2;ichbinsophiescholl;@martycatfly #TeamSoffer Die Beziehung von Fritz und Sophie war von einigen Höhen und Tiefen gekennzeichnet, was unter anderem auf ihre unterschiedlichen Ansichten zurückzuführen ist. Sophie befand sich häufig im Zwiespalt , da sie nicht immer mit Fritz' Einstellungen und Werten konform ging. Sie äußerte auch häufig Kritik an seinem Beruf (z.B. Gottschalk, S. 174). Sie hatte jedoch ein sehr starkes Pflichtbewusstsein und wusste, dass eine Trennung dazu führen würde, dass es ihm noch schlechter an der Front gehen würde. Zeitweise waren sie sogar getrennt, haben jedoch wieder zusammen gefunden. Aus dem Briefwechsel zwischen Sophie und Fritz wird auch immer deutlicher, dass Fritz zunehmend mit seiner Rolle im Krieg als Soldat haderte.;2021-11-22T12:19:16.000Z;1 like;4
4-3;katharina.helling;@ichbinsophiescholl dann ist Sophie eurer Meinung nach vor allem wegen ihres Pflichtgefühls zu dieser Zeit mit Fritz Hartnagel (noch) zusammen? Das kann ich ihren Briefen nicht entnehmen. Mir scheint sie haben ihre Differenzen zu diesem Zeitpunkt weitestgehend überwunden und Fritz würde, wie er oft schreibt selbst am liebsten aus seiner Rolle als (jetzt) Hauptmann bei der Wehrmacht ausbrechen. Er hat da da ja einen sehr großen Wandel durchgemacht, wie aus den teils heftigen Diskussionen aus dem Briefwechsel zwischen den beiden deutlich zu entnehmen ist. Aber das liegt doch (im Herbst 1942) deutlich in der Vergangenheit. Und diese gemeinsame Überwindung der Differenzen hat sie doch so nah zusammengebracht, wie sie es zuvor noch nicht waren. Also so kommt es mir vor.;2021-11-22T13:53:50.000Z;1 like;4
5;metalheadrico;Ich würde mich in das Waffengesetz der USA einmischen wollen. Immer wenn es Amokläufer gibt ist das Beschweren groß aber es wird nichts geändert... oder wenn man liest das Kikder aus versehen ihre Eltern töten weil Waffen ungehindert im Haus liegen... das macht mich sauer! Ansonsten bei uns in die Coronapolitik.;2021-11-22T06:39:25.000Z;0;-
6;bohnkeeva;Für mehr soziale Gerechtigkeit.;2021-11-22T04:43:08.000Z;1 like;-
7;morekhodovaa;Рutin und Lukаsсhеnkо müssen wеg👿;2021-11-22T00:52:09.000Z;2 likes;-
8;gott2704;Impfen ja/nein...;2021-11-21T22:20:34.000Z;0;-
9;emma_ephraims;Ich finde die Beiträge um Sophies Zerrissenheit grandios. Sie im Widerstand, er Berufssoldat. Das muss sich wie zwei Herzen in ihrer Brust angefühlt haben.;2021-11-21T22:09:04.000Z;0;-
10;finanightmare;1. Asylpolitik - entweder alle Menschen bedingungslos aufnehmen und vernünftig integrieren oder auch endlich die Waffenexporte stoppen und damit aufhören uns mitverantwortlich für das Leid zu machen. 2. Umwelt/Klimapolitik und Tierschutz: vernünftige Energie Alternativen für alle Menschen und vor allem bezahlbar, ebenso wie Bus und Bahn, damit weniger Auto gefahren wird, Flüge hingegen sollten deutlich teurer werden und Kurzstreckenflüge verboten werden. Vegane znd regionale Ernährung sollte mehr gefördert werden und die Tiere ENDLICH mit dem nötigen Respekt behandelt werden - am liebsten gleiche Rechte wie Menschen. 3. Coronapolitik: Alle Maßnahmen für Kinder und Jugendliche aufheben, fette Entschädigungen zahlen an die Impfgeschädigten und an Hinterbliebene von Impftoten. Die vulnerablen Gruppen endlich sinnvoll und strukturiert schützen, anstatt immer mehr sinnlose Maßnahmen zu erlassen. Impfpflicht sollte definiert niemals zur Debatte stehen, denn 'My body - My choice!', vor allem bei der Anzahl an ungeimpften Pfleger:innen und so ist eine Impfpflicht für diese Gruppe einfach der endgültige Untergang unseres Gesundheitssystems.... oh.. es gäbe so viele Punkte...;2021-11-21T19:26:42.000Z;10 likes;-
10-1;_sarahbluesky_;@finanightmare 👏👏👏;2021-11-21T21:48:14.000Z;1 like;10
10-2;kathiks_welt;@finanightmare Ja Ja Ja!;2021-11-22T06:21:24.000Z;1 like;10
10-3;kathiks_welt;@finanightmare ❤️;2021-11-22T06:21:50.000Z;1 like;10
11;tin_sche;Ich würde mich gern bei den Themen Bildung, Corona, Umweltschutz, Tierschutz und bei den Strafen einmischen 👍;2021-11-21T19:22:44.000Z;8 likes;-
12;ncklz;Ich jedes Mal wenn ich Gefühle für jemanden bekomme... 😂;2021-11-21T19:16:52.000Z;1 like;-
13;katharina.helling;Stammt dieses Zitat eigentlich von Sophie selbst? In Anbetracht mancher Aussagen von Sophie (z. B. bzgl. der Spenden für den WHD) hätte ich eher gedacht, sie würde Kapitulation befehlen. Oder zumindest Waffenstillstandsangebot.;2021-11-21T18:40:58.000Z;3 likes;-
