Link: ;https://www.instagram.com/p/CUe8Sn6M_r_/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sira_lovely;Und hatte der Vater es gehört?;2021-10-26T14:35:24.000Z;1 like;-
1-1;ichbinsophiescholl;"@sira_lovely Er bejahte dies; ganz sicher bin ich mir nicht...";2021-10-28T12:40:04.000Z;2 likes;1
2;best_peaky;Cringe;2021-10-10T11:50:59.000Z;0;-
3;nofretina;Ich hab’s verpasst. Könntet ihr es nochmal posten?;2021-10-03T06:24:05.000Z;2 likes;-
3-1;ichbinsophiescholl;@nofretina #TeamSoffer Es gibt jeden Sonntag die Zusammenfassung der Woche als IGTV. So kannst du nichts verpassen. Das aktuelle Video wurde gerade hochgeladen!;2021-10-03T08:18:31.000Z;5 likes;3
4;ansgarwfl;Ja bezaubernder als im Radio 👏 gibt die Hoffnung auf den Sieg eures Schaffens nicht auf;2021-10-02T20:37:21.000Z;0;-
5;smtbea;Wunderbar! 🙌❤️;2021-10-02T15:57:43.000Z;0;-
6;gabrielelange2000;Supercoole Aktion!!! 🙌🙌🙌;2021-10-02T06:02:13.000Z;0;-
7;kimkalyk;Sehr Mutig und wirklich Wunderschön!! ❤️;2021-10-02T02:01:17.000Z;0;-
8;josiaskrettek;Ja 👍🦋;2021-10-01T22:43:13.000Z;0;-
9;ulmi2018;❤️;2021-10-01T22:08:24.000Z;0;-
10;andreakoenigsmann;Das war so mutig von Euch, Respekt!!;2021-10-01T21:24:39.000Z;0;-
11;maybluemchen66;Ich kenne dieses Glücksgefühl aus Ostberlin! Ich saß mit meiner Freundin auf den Schrägen am Fernsehturm in den 80iger Jahren und wir spielten Gitarre und sangen. Straßenmusik war eigentlich verboten ... wir wurden von einem Polizisten verjagt. Glücklicherweise gab es keine weiteren Konsequenzen.;2021-10-01T20:33:30.000Z;2 likes;-
12;bettyboo68742019;👏👏👏😢❤️;2021-10-01T20:07:08.000Z;0;-
13;clara_lucia_urban;Klar, es war von Freude erfüllt und hat bestimmt nicht nur eurem Vater ein Lächeln ins Gesicht gezaubert gezaubert.👏😂❤️;2021-10-01T19:23:17.000Z;0;-
14;juli_en82;👏👏👏👏👏👏👏;2021-10-01T19:09:17.000Z;0;-
15;knochenwaerts;❤️;2021-10-01T18:25:07.000Z;0;-
16;juleila_w;😍😍😍;2021-10-01T18:24:31.000Z;0;-
17;daggibartel;Das hat sich richtig gut angehört, habt ihr toll gemacht. Eine sehr mutiger Aktion❣👏;2021-10-01T18:10:56.000Z;0;-
18;diemitmiro;👏❤️👏;2021-10-01T18:04:31.000Z;0;-
19;jettchen17;Wundervoll 🥰;2021-10-01T17:54:02.000Z;0;-
20;danielrschmidt;😍;2021-10-01T17:24:29.000Z;0;-
21;staatlich_knollingen;Hallo Sophie, welches Datum ist heute?;2021-10-01T17:05:03.000Z;2 likes;-
21-1;green_brown_eyes;@staatlich_knollingen Eventuell der 1. Oktober 1942? 😑;2021-10-01T17:24:46.000Z;0;21
22;mcnature2021;Jas;2021-10-01T16:52:00.000Z;0;-
23;sylvmcqueen;Ich habe lange auf diese Szene gewartet. So toll!!!👏👏👏❤️❤️❤️;2021-10-01T16:48:37.000Z;0;-
24;luftpolsterfolie;In einer vorherigen Story meintest du, dass das nicht verboten ist. Warum kam dennoch der Sicherheitsmann?;2021-10-01T16:28:25.000Z;0;-
24-1;ichbinsophiescholl;@luftpolsterfolie Das Lied ist nicht verboten. Aber zu musizieren vor den Gefängnismauern, das wird nicht gern gesehen. Das könnte ja Unruhe stiften... Aber es ist ja nichts passiert.;2021-10-02T09:42:41.000Z;3 likes;24
25;enzi.keramik;War super mutig von euch beiden;2021-10-01T15:43:02.000Z;0;-
26;can_d79;Schade, dass es so schnell vorbei war. Wieso ist das überhaupt verboten?;2021-10-01T15:37:27.000Z;0;-
27;nomadenjulez;Eine super Idee, euer Vater ist sicher sehr stolz.;2021-10-01T15:24:28.000Z;0;-
28;resa_schumann;So ein wunderbares Lied mit so einer wichtigen Botschaft, die es auch heutzutage gilt weiterhin zu streuen🎶 - tatsächlich singt mein Mann dies unserem kleinen Sohn sehr häufig vor und es ist eines der Lieder bei denen er ganz ruhig ist und andächtig lauscht❤️.;2021-10-01T15:09:18.000Z;0;-
