Link: ;https://www.instagram.com/p/CRyNfkzMMfK/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sume555;"Irgendwann im Kontext von Fritz schriebst du, am unbeschwertesten seist du immer in deiner Familie. Die Frage geht mir noch immer im Kopf herum. Ich kenne das so nicht. Am unbeschwertesten war und ist es immer mit Freunden. Nun bist Du bei der Familie. Tanke auf.
Meine Lernerfahrung ist, dass es gut ist, so oft wie möglich aufzutanken. Man wird schnell merken, wie wichtig es war, wenn man große Kraft braucht. Tanke, tanke, tanke!!!!";2021-07-26T20:21:47.000Z;10 likes;-
2;brigittekis;Erzählst du deinen Eltern, dass dein Fahrrad gestohlen wurde? 😮;2021-07-26T19:18:42.000Z;1 like;-
3;juma79232;In 7 Monaten lebt Sophie Scholl schon nicht mehr....;2021-07-26T15:07:57.000Z;0;-
4;kaja0301;Liebe Sophie, ich bin beeindruckt, dass Du trotz der schweren Bürde, diesen lebensgefährlichen Widerstand auf Dich zu nehmen, den Sinn und die Augen für die Schönheiten des Lebens hast und auch die kleinen Momente wertschätzen und für Dich nutzen kannst. Aber vielleicht gelingt es Dir gerade darum. 😉;2021-07-26T14:03:51.000Z;0;-
5;nicieisler;Ich verstehe genau was du meinst... als ich nach 6 Monaten von Hawaii nach München zurück gekehrt bin hat es sich zunächst so angefühlt als wäre das alles nur ein sehr schöner Traum gewesen und nichts weiter... Erst die Veränderungen in mir selbst konnten mich dann letztendlich davon überzeugen, dass es doch real war...;2021-07-26T13:16:54.000Z;0;-
6;claudskar_around_the_world;In Weimar warst du auch schon 😍;2021-07-26T13:08:50.000Z;0;-
7;vielfaeltig_73_wiechr;Liebes Team um Sophie Scholl. Vielleicht kann die Idee des IG für andere historische Personen weitergeleitet werden. Danke jedenfalls! Tolles Format!!;2021-07-26T12:59:31.000Z;3 likes;-
8;cornelia_._h;Vielleicht eine doofe Frage: was bedeutet #teamSoffer ? Vielen Dank für diesen tollen Account, ich freue mich jeden Tag, Sophie zu folgen! Geschichte mal anders!!;2021-07-26T12:35:35.000Z;5 likes;-
9;heinrichvontiedemann;Pass auf, dass es nicht dein letzter Besuch wird. Grüße nach Ulm.;2021-07-26T11:38:45.000Z;0;-
10;peanuts_and_brokkoli;Wünsche Dir eine intensive Zeit❤️❤️❤️❤️;2021-07-26T11:19:41.000Z;3 likes;-
11;ulrikemunner;Lass dich verwöhnen.;2021-07-26T11:13:27.000Z;1 like;-
12;sanisside;Wie lange bist du noch in Ulm? Hast du schon mal den Ausblick ganz oben vom Münster genossen?;2021-07-26T11:12:47.000Z;1 like;-
13;hauptstadtlady50;Genieße die Zeit mit deiner Familie liebe Sophie 🙋‍♀️ 🌞 😍.;2021-07-26T11:11:00.000Z;3 likes;-
14;sylviapruy;❤️;2021-07-26T10:57:01.000Z;1 like;-
15;_seelenzauberin_;Vll sehen wir uns mal...ich wohne in ulm😊🤫😉;2021-07-26T10:33:35.000Z;0;-
16;wolke.1973;Nein, kein Traum...die weiße Rose gibt es wirklich 😍 Aber vlt kannst du auch die Zeit mit deiner Familie genießen, trotz Rüstungseinsatz ❤️;2021-07-26T10:25:55.000Z;15 likes;-
17;kathi_fnk;Kaffee hatte ich heute Morgen auch. War mal wieder sehr lecker 😋 Hoffe du bekommst heute auch noch deinen echten Kaffee. 😊;2021-07-26T10:16:21.000Z;3 likes;-
18;jana_im_glueck;Liebe Sophie, wie seid ihr eigentlich auf den Namen „Weiße Rose“ gekommen?;2021-07-26T10:04:00.000Z;6 likes;-
19;ava.santimea;Zuhause schmeckt der Kaffee doch am besten...;2021-07-26T09:51:49.000Z;13 likes;-
20;katrinpruchniewski;Schöne Tage in der Heimat.🌞;2021-07-26T09:47:44.000Z;3 likes;-
21;_yoga_tanz;Schön, wenn man in der Familie Geborgenheit findet;2021-07-26T09:34:55.000Z;6 likes;-
22;pijoeth;"""Gott sei Dank war es kein Traum! ""??? Besser, du hättest es nur geträumt, dann hättest du vermutlich überlebt. So nimmt das Schicksal nun seinen Lauf. Und ob man anschließend Gott dafür danken soll, sei einmal dahingestellt. Mein Großvater war auch Widerstandskämpfer und drei Jahre im KZ gewesen. Zu der Zeit hat er seinen Glauben verloren... 😢😢😢";2021-07-26T09:31:44.000Z;8 likes;-
23;tam1805;Sophie, was würdest du tun, wenn du nur noch ein paar Monate zu leben hättest?;2021-07-26T09:24:52.000Z;18 likes;-
24;elyasmbarekfansite;So eine tolles Projekt ❤️;2021-07-26T09:24:18.000Z;9 likes;-
25;sightseeing_munich;Genieß die Zeit in Ulm! Vielleicht gibt's zum Kaffee ja auch noch Honigbrot! 🍯😁;2021-07-26T09:13:06.000Z;23 likes;-
26;coco_14juli;❤️;2021-07-26T09:10:48.000Z;1 like;-
27;ozan_marcel;Was wäre denn die alternative zu echtem Kaffee gewesen im Jahre 1942?;2021-07-26T09:04:52.000Z;15 likes;-
28;johannes84racing;Der Abspann war aber nur für den ersten Teil quasi es geht ja wieder mit Sophie Scholl hier, müsste ja.🙂;2021-07-26T09:04:37.000Z;5 likes;-
29;luisa.wichelmann;Genieß die Zeit mit deiner Familie! @ichbinsophiescholl;2021-07-26T09:03:14.000Z;13 likes;-
30;ichbinsophiescholl;#TeamSoffer Die Verabschiedung von Hans und Alex am Ostbahnhof fand am 23. Juli 1942 statt. Zwei Tage später fuhr Sophie nach Ulm, um sich zum Rüstungseinsatz in einer Schraubenfabrik zu melden. Mehr dazu in Maren Gottschalk: Wie schwer ein Menschenleben wiegt. S. 239f.;2021-07-26T08:59:32.000Z;267 likes;-
