Link: ;https://www.instagram.com/p/CYjO1djMfFl/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;annaisabel_r;Ich habe heute Grünkohlchips gemacht. Sehr lecker! Ich würde Dir so wünschen, dass es immer so fröhlich bleibt, dass Du eine unbeschwerte Zeit hättest...;2022-01-11T19:39:01.000Z;0;-
2;stephan.r.vogel;War in Kriegszeiten eigentlich jeder schlank?;2022-01-11T10:33:26.000Z;0;-
3;weltweitfaber;Daran kann man auch nach dreißig Jahren in Ostwestfalen leicht erkennen, dass ich ein Zugereister bin: ich rühre das widerliche Zeug nicht an;2022-01-11T09:58:08.000Z;0;-
4;dejoli138;"Liebes Team... man möchte gerade das Handy anschreien: "" Nehmt euch ein paar Wochen zurück und macht um Himmels Willen nichts mehr in der Uni!"" Irgendwie frustrierend... und doch interessant. 😢";2022-01-11T09:18:58.000Z;3 likes;-
5;d4nn1.2;😂;2022-01-11T08:41:36.000Z;0;-
6;inga_c.huenersdorf;Mann kann ihn auch mit Öl einfach in der Pfanne frittieren-köstlich!;2022-01-11T06:58:10.000Z;1 like;-
7;giselaute;Grünkohl ist legga🔥🔥🔥mit Bregenwurst und Kartoffeln;2022-01-11T05:18:52.000Z;0;-
8;brandonscottcobb;Der Wievielte ist heute in der Geschichte?;2022-01-11T03:14:42.000Z;0;-
9;anjahenzler;Warum wollt ihr Gisela das Anbandeln mit Hans ausreden ?;2022-01-11T00:46:30.000Z;0;-
10;sebra3108;Die gute Oldenburger Palme 👍;2022-01-11T00:44:58.000Z;1 like;-
11;bohnkeeva;Aus dem Oldenburger und Bremer Raum das ist richtig, Da gibt's sogar Wettessen von , meine Familie mag das ich eigentlich auch , aber seit einigen Jahren bekomme ich davon Sodbrennen.;2022-01-10T23:35:42.000Z;0;-
12;chiangelus;Grünkohl lecker, liebe Grüße aus dem Norden ❤️;2022-01-10T22:17:42.000Z;1 like;-
13;andreakoenigsmann;Ich würde mich so für Euch freuen, wenn etwas von dieser Leichtigkeit bleiben würde 💗.;2022-01-10T21:59:11.000Z;1 like;-
14;jenicolson;👏;2022-01-10T19:50:18.000Z;0;-
15;julia__bb_;Grünkohl mit Kartoffeln und Pinkel (und Knipp 😁) gabs früher immer wenn wir den Teil der Familie besucht haben der bei Bremen wohnt 😍 Hier im Süden dagegen haben wir nirgends frischen Grünkohl bekommen, Pinkel nur im Feinkostladen gegen Vorbestellung für 12 Euro das Stück und Knipp gabs gar nicht 🙈;2022-01-10T19:50:17.000Z;0;-
16;tessa.dreher;Grünkohl mit Pinkel 🤢. Zweimal einer Frdunfin aus dem Norden zu liebe versucht, zweimal gescheitert. Und das obwohl ich Kohl in vielen Varianten liebe. seid froh ihr habt was auf dem Markt gefunden und evtl schmeckt er dir besser .... geniesst den Abend 🥦;2022-01-10T19:09:21.000Z;0;-
17;tgverden;"Es gibt nichts besseres als Grünkohl mit Pinkel. Vor allem, wenn man vorher durch die Kälte läuft. Da darf man auch nen Schnaps trinken. Der Begriff Pinkel kommt übrigens daher, dass das Fett beim abhängen der Wurst unten abtropft. Ein Schelm, der Arges dabei denkt!!
Bleib gesund liebe Sophie und pass auf Dich auf!";2022-01-10T19:01:04.000Z;0;-
18;riso5400;Schmeckt sicherlich auch mit Spätzle.;2022-01-10T18:28:08.000Z;0;-
19;simone.alcapone;Aufgewachsen bin ich mit Kohl mit Graupen und Bremer Pinkel, wir essen jetzt aber nur noch mit Zwiebeln und Oldenburger Pinkel, Kochwurst und etwas Kassler darf auch nicht fehlen. Ein sehr leckeres Gemüse und frostig genug war es jetzt auch schon, er ist jetzt sicher schon gut 👍;2022-01-10T18:12:04.000Z;0;-
20;besenfelder.heiko;Ist das Kohl? @Tschurgan;2022-01-10T17:48:49.000Z;0;-
21;barbara.elisabeth.7712;Ich liebe Grünkohl geht bei mir immer 😍😍😍;2022-01-10T17:43:32.000Z;1 like;-
22;freiradler;Schließ es fest in deinem Herzen ein, dann bleibt es für immer. Du spürst es nicht jeden Tag gleich stark aber immer dann wenn du es möchtest 💚🌹💚;2022-01-10T17:33:08.000Z;2 likes;-
23;team_wedemann_holz;Genießt eure schöne Zeit 😍;2022-01-10T17:17:39.000Z;0;-
24;team_wedemann_holz;Genießt eure schöne Zeit 😍;2022-01-10T17:12:25.000Z;7 likes;-
25;katrinpruchniewski;"Das Rezept kenne ich.
Ich komm ja aus dem Norden.
Lecker.😌";2022-01-10T16:40:33.000Z;1 like;-
26;waldrandkunst;Woher kommt Gisela genau?;2022-01-10T16:40:03.000Z;0;-
27;nadine_ranft;In wie weit ist Gisela eingeweiht, was die Weiße Rose betrifft?;2022-01-10T15:50:18.000Z;7 likes;-
28;klarinaehte;Bei uns isst man Grünkohl mit Bregenwurst! 😋;2022-01-10T15:21:46.000Z;0;-
29;germanboy180;Wir essen tatsächlich jedes Jahr traditionell zu Weihnachten Grünkohl.;2022-01-10T15:08:18.000Z;0;-
30;micks_eye;Ich liebe Grünkohl!;2022-01-10T14:46:25.000Z;0;-
31;gertrudef_;In Südschweden besonders in Halland haben wir immer gebratenen Grünkohl mit dem Weihnachtsschinken!;2022-01-10T14:18:35.000Z;0;-
32;bepunktjenny;Bäh, Grünkohl. Mir kräuseln sich die Fußnägel bei dem Gedanken daran 😂😅;2022-01-10T14:09:59.000Z;4 likes;-
33;the_running_mystery;Bei uns gibt es sogar Grünkohlwanderungen;2022-01-10T13:58:56.000Z;18 likes;-
34;just_be_cra2y;❤️funfakt: in der schweiz nennen wir das federkohl😂. mag ich sehr. ist auch toll im backoffen mit salz als eine art chips😍;2022-01-10T13:52:24.000Z;10 likes;-
35;tapperdona_;"Notiz an mich: ""Mal wieder Grünkohl Essen.""";2022-01-10T13:36:01.000Z;3 likes;-
36;mo_ma_lang;Da Sophie und ihre Familie ja in Ulm wohnen hab ich mich gefragt ob sie nicht eigentlich schwäbisch gesprochen haben. Spricht sie hier nur zum besseren Verständnis für alle nicht Schwaben Hochdeutsch oder gibt es darüber Informationen?;2022-01-10T13:33:46.000Z;9 likes;-
37;siporfin;So Happy I thought that was marijuana;2022-01-10T13:32:54.000Z;1 like;-
38;changed.by.popular.demand;"10. Januar 1943:

Die Rote Armee beginnt ihre Offensive zur Zerschlagung des Kessels von Stalingrad.

In einem Erlass des Reichserziehungsministeriums werden der Schulbesuch und die Ablegung von Prüfungen durch “jüdische Mischlinge ersten Grades” im Deutschen Reich beschränkt. Davon betroffen ist z.B. Hans Leipelt, der nach der Hinrichtung der Mitglieder der Weißen Rose den Widerstand fortsetzt.";2022-01-10T13:31:00.000Z;14 likes;-
39;vielfaeltig_73_wiechr;Hier in Oldenburg macht man im Winter „Kohlfahrten“. Eine (Bollerwagen-)tour (unter zu Hilfe nahme einiger geistiger Getränke 🍻🥂🥃🍷😉) mit anschließender Einkehr in einem Gasthaus. Dort gibt es Dan Grünkohl mit Kassler und Pinkel und Musik und Tanz. Organisiert wird das Ganze vom Kohlkönig und der Kohlkönigin, die werden beim Essen im Gasthaus für das nächste Jahr neu gewählt oder durch Spiele ausgeguckt!;2022-01-10T13:29:26.000Z;9 likes;-
40;herr_oscar;Wünsche dir noch viele schöne Momente und dank für deine Arbeit im Widerstand.;2022-01-10T13:20:35.000Z;0;-
41;heikegumz;"Tagebuch Willi Graf, Montag, 11. Januar 1943
Anneliese und ich beginnen mit den Vorlesungen. Die Wohnungsfrage scheint sich günstig zu klären, und mir fällt eine Last von der Seele. Hoffentlich bleibt es dabei, denn es hängt manches davon ab, ob wir zusammen wohnen bleiben.
Welche Zeit allein – um auch dies herauszustellen – können wir uns ersparen?

Am Abend sind wir wiederum Gäste im Atelier. Es ist der letzte Abend vor der Abreise des Gastgebers. Wir reden viel und mancher gute Gedanke wird geboren. Nun ist der Maler Geyer für einige Tage hier in München.

Aus dem red. Kommentar: Wahrscheinlich handelte es sich bei diesem Treffen im Atelier von Manfred Eickemeyer, um ein Treffen, bei dem neben Eickemeyer selbst auch Hans und Sophie Scholl, Christoph Probsts Schwiegervater Harald Dohrn, der Maler Wilhelm Geyer und einige Studentinnen anwesend waren. Manfred Eickemeyer war 1942 in Krakau im Generalgouvernement als Architekt beschäftigt und hatte nach seiner Rückkehr nach München Hans Scholl und Alexander Schmorell vom
dortigen Massenmorden an Juden berichtet.";2022-01-10T13:13:08.000Z;25 likes;-
42;katharina.helling;"„7.1.43.
Allmählich sickert einiges durch von der wirklichen Lage an der Ostfront. Dass eine Armee bei Stalingrad eingeschlossen ist beispielsweise. Hierher hat ein Reserveoffizier (Hauptmann) geschrieben, dass er führen müsse, weil alle höheren Offiziere gefallen seien. Er habe ein verwundetes Knie und müsse trotzdem ungeheure Verantwortung tragen. Ihre einzige Hoffnung seien die »Ju's« (Junkers Flugzeuge, die Lebensmittel abgeworfen haben über den eingeschlossenen Soldaten).
Mein Fleischer sagte mir gestern, Hitler habe ja auch mit Keitel schon wieder Krach. Meine Nachbarin, die dabei stand, meinte dazu »Ist doch was Arg's mit so nem eigensinnigen, zornigen Menschen! Und dabei - - was war er denn? Gefreiter! Ist doch kein General nöt! Gor olles derf mr sich doch nöt einbild'n, dass mr's kann!«
Quelle - „Anna Haag - Denken ist heute überhaupt nicht mehr in Mode. Tagebuch 1940 - 1945“

Anna Haag, wohnhaft in Stuttgart, ist Schriftstellerin, Journalistin und spätere Politikerin (SPD) und Abgeordnete im Baden-Württembergischen Landtag";2022-01-10T13:12:51.000Z;13 likes;-
43;giusy79_;Ich liebe deine Leichtigkeit und deine Unbeschwertheit. Es wäre so schön wenn du noch am Leben wärst ❤️;2022-01-10T13:11:47.000Z;7 likes;-
44;stephiee.friseurmeisterin;Ich wünsche es Dir…;2022-01-10T13:07:53.000Z;3 likes;-
45;nadine.gessi;Kaum vorstellbar, dass diese Unbeschwertheit bald vorbei sein wird. Ich liebe übrigens Grünkohl, gern einfach nur mit Kartoffeln. Vielleicht wäre das auch eine Möglichkeit oder gab es auch keine Kartoffeln?;2022-01-10T13:06:33.000Z;3 likes;-
46;pettasthlm;❤️;2022-01-10T13:05:23.000Z;0;-
47;marcokrup;"""Es gab Bodenfrost."" ""Grünkohl!"" *Norddeutsche in Ekstase* 😎😁😋";2022-01-10T13:05:00.000Z;23 likes;-
48;larissa_wil;Bei uns gab es gestern auch Grünkohl, sehr zu empfehlen! 🙌;2022-01-10T13:04:45.000Z;7 likes;-
49;tanja.kiesow;Grünkohl ist klasse, besonders mit Pinkel 😍 Traute weiß definitiv was gut ist!;2022-01-10T13:04:08.000Z;16 likes;-
