Link: ;https://www.instagram.com/p/CWflgo2M7aR/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;vegard_15;🐖🐖🐖💉💉💉;2022-01-07T14:06:22.000Z;0;-
2;fraukehahne;Auch großen Brüdern muss Frau Grenzen setzen!;2021-11-21T19:42:49.000Z;3 likes;-
2-1;ichbinsophiescholl;@fraukehahne Da hast du wohl Recht, allerdings kann ich Hans auch verstehen. Er war so lange an der Front und hat seit seiner Rückkehr viel zu bereden, das will ich ihm nicht verwehren. Vielleicht sollte ich einfach mal wieder raus in die Natur, spazieren gehen oder ein kleines Stück mit dem Rad fahren bevor es anfängt zu schneien.;2021-11-21T19:47:38.000Z;3 likes;2
3;saifhoney.ch;🔥❤️;2021-11-21T07:43:32.000Z;0;-
4;christine.binggeli;❤️;2021-11-20T23:32:31.000Z;0;-
5;irene.garbe3;Ja❤️;2021-11-20T22:14:17.000Z;0;-
6;_ansaniat_.1234;👁;2021-11-20T22:11:14.000Z;0;-
7;alexesawatzkiplasticienne;Oh, ja!!;2021-11-20T20:17:03.000Z;0;-
8;grus638;❤️;2021-11-20T19:38:51.000Z;0;-
9;cocodebruycker;Definitiv. Hab ich auf die harte Tour gelernt. Mit sowas wie Burnout… Happy Self-Care, Sophie!;2021-11-20T18:42:51.000Z;0;-
9-1;saifhoney.ch;@cocodebruycker ✨🔥👑💗;2021-11-21T07:44:07.000Z;0;9
10;karinamelone3484;Geht‘s Dir gut Sophie? Du bist so oft schlapp… vielleicht solltest Du mal zum Arzt oder mit Deiner Mama darüber reden.. oder hast du jetzt den zweiten Film von Alex angeschaut? Davon hast Du gar nichts mehr erzählt .. und den hat Alex ja bestimmt gezeigt.. wenn das schlimm war, solltest Du unbedingt mit jemandem darüber sprechen! Bitte!;2021-11-20T18:23:38.000Z;0;-
10-1;riso5400;@karinamelone3484 😂 nur nicht zum Arzt in solchen Zeiten.;2021-11-21T09:41:45.000Z;0;10
11;ines_s_2;Ja, ich kann das gut verstehen. ❤️;2021-11-20T15:31:29.000Z;0;-
12;lukas.rct;Jeder Schüler, immer 😂;2021-11-20T15:03:58.000Z;0;-
13;pferde.flausen.fotos;Was sagt denn eure Vermieterin dazu? Die klang ja nicht so entspannt? 😀;2021-11-20T14:50:52.000Z;0;-
14;kostara;Ja besonders im Herbst und Winter - dann tanke ich wieder auf - für den aktiven Frühling und Sommer;2021-11-20T13:31:50.000Z;0;-
15;morekhodovaa;ja, Sophie, ich stimme dir völlig zu! die Zeit für sich selbst ist superwichtig.;2021-11-20T13:31:39.000Z;0;-
16;gwen_gloeckchen;Klar. Ich mags auch lieber ruhiger... 😉 Ich feier auch gerne, aber sinnig... ❤️;2021-11-20T13:12:42.000Z;0;-
17;la_alemana_cordobesa;Oh nein. Das könnte ich gar nicht ab. Zu viele Leute, oder überhaupt Leute, verursachen bei mir viel Stress.;2021-11-20T12:30:50.000Z;0;-
18;anja_oblosb;Ja, liebe Sophie, mit dem Bedürfnis bist du nicht allein. Auch ich brauche viel Zeit für mich, auch um Erlebnisse zu verarbeiten und neue Kraft zu schöpfen.;2021-11-20T11:44:05.000Z;0;-
19;_project_hannah_;Wo war eigentlich Traute im Sommer?;2021-11-20T11:16:13.000Z;0;-
19-1;heikegumz;"@_project_hannah_ Bei Familie Scholl in Ulm. Sie unterstützte im Spätsommer 42 Inge Scholl während der Haft von Robert Scholl bei der Arbeit in dessen Steuerbüro.
Bassler, S. (2006). Die Weiße Rose. Zeitzeugen erinnern sich. S. 43)";2021-11-20T11:28:56.000Z;5 likes;19
20;tapperdona_;Natürlich brauch man Zeit für sich! Wie soll man den die ganzen eindrücke die im Leben stattfinden reflektieren lassen ?;2021-11-20T11:13:51.000Z;1 like;-
20-1;ichbinsophiescholl;@tapperdona_ Das stimmt wohl. Schon auf meiner Reise fiel mir auf, dass ich Zeit für mich brauche, um Erlebtes zu reflektieren.;2021-11-20T11:24:31.000Z;11 likes;20
21;imaginationwithwords;Ich hätte gedacht dein Bruder passt etwas besser auf dich auf. Jungs haben doch nichts im Zimmer der kleinen Schwester zu suchen. 😉 Aber ja ab und an brauche ich auch mal meine Ruhe. ❤️;2021-11-20T10:48:52.000Z;4 likes;-
21-1;ichbinsophiescholl;@imaginationwithwords Also aufpassen auf mich muss er nicht! Rücksicht nehmen schon, aber das tut er ja eigentlich immer. Er hat viel vor und möchte ein guter Freund und Gastgeber sein - das kann ich verstehen.;2021-11-20T10:57:12.000Z;14 likes;21
21-2;imaginationwithwords;@ichbinsophiescholl an erster Stelle sollte trotzdem dein Wohlbefinden sein.;2021-11-20T11:10:03.000Z;0;21
22;stadtwanderer_koeln;"Ich würde mir ein bisschen mehr zeitliche Logik wünschen: Sophie und Hans haben seit zwei Tagen eine Wohnung, und nun beklagt sie sich schon, dass manche Gäste ""gleich ein paar Nächte"" bleiben. Wann soll denn das passiert sein?!";2021-11-20T10:47:48.000Z;5 likes;-
22-1;ichbinsophiescholl;@stadtwanderer_koeln Natürlich sind wir gerade erst eingezogen, aber bislang war durchgehend Besuch hier. Geht das so weiter? Bei Hans' Plänen könnte ich mir das vorstellen...;2021-11-20T11:23:36.000Z;7 likes;22
23;sarah_lavie;Verstehe ich total! Ich bin ein Mensch, der Gesellschaft nur sparsam dosiert erträgt, da mich das immer viel Energie kostet. Nach ein paar Stunden fühle ich mich immer sehr erschöpft und nicht mehr aufnahmefähig und die meisten Leute nerven mich dann nur noch. Kraft tanke ich in der Ruhe und Stille, wenn ich wieder zu mir kommen kann und mich wieder selbst wahrnehme. Unter anderen Menschen kann ich das leider nicht (mit ganz wenigen Ausnahmen).;2021-11-20T10:37:16.000Z;12 likes;-
23-1;ichbinsophiescholl;@sarah_lavie Ich würde schon sagen, dass ich viel Zeit in Gesellschaft vertrage und auch genießen kann. Aber irgendwann ist es dann genug. Dieser Punkt kommt wohl bei jedem Menschen wann anders...;2021-11-20T10:42:35.000Z;3 likes;23
23-2;elisaschuster0704;Genauso ist es bei mir auch !!! Bin sehr schnell von Menschen erschöpft. Brauche sehr viel Zeit für mich.;2021-11-20T10:46:18.000Z;0;23
24;thegr8benni;Ja auf jeden Fall. Die Entscheidung fällt aber schwer, da man gerade in Zeiten wie diesen auch jede Gelegenheit zum Feiern noch nutzen will.;2021-11-20T10:30:17.000Z;0;-
25;anjamuller565;Natürlich!! ❤️ Da tankt man wieder auf !! Ich lese dann gerne im Schaukelstuhl ( sehr zu empfehlen...);2021-11-20T10:28:39.000Z;3 likes;-
25-1;ichbinsophiescholl;@anjamuller565 Einen Schaukelstuhl haben wir hier in unserer neuen Wohnung leider nicht. Aber ich kann mir gut vorstellen, dass ich mich jetzt in einen setzen würde, stünde hier einer.;2021-11-20T10:35:34.000Z;1 like;25
26;ronjagrosskopf;Heute hab ich ein ganz großes Bedürfnis nach Ruhe, Entspannung und Schlaf. Bin selbst immer wieder in der Übung nach mir und meinen Bedürfnissen zu sehen und diesen nachzugehen, soweit dies gerade möglich ist. Es ist vollkommen in Ordnung sich Zeit für sich zu nehmen, gerade wenn alles um einen herum sehr unruhig ist.;2021-11-20T10:26:28.000Z;1 like;-
27;kajazm;Mit dem zweiten sehe ich besser 👀;2021-11-20T10:21:49.000Z;0;-
28;ramona_mit_h;Ich muss gestehen, mich irritiert die Hand etwas- mit der Linken Hand sich so ins Gesicht zu fassen ist eher ungewöhnlich- bist du einfach außergewöhnlich Sophie oder warst du nicht alleine? 🙃;2021-11-20T10:16:12.000Z;1 like;-
28-1;emina_nisic;@ramona_mit_h oder es liegt daran das sie mit der rechten Hand das Handy hält 🙃🤙🏻;2021-11-20T11:32:56.000Z;1 like;28
28-2;katharina.helling;@ramona_mit_h meinst Du die Art wie sie das macht oder, weil es die linke Hand ist?;2021-11-20T12:56:23.000Z;0;28
29;giusy79_;Es ist total wichtig auch mal an sich zu denken, und sich mal eine Auszeit zu nehmen 🙌❤️;2021-11-20T10:13:38.000Z;1 like;-
29-1;ichbinsophiescholl;@giusy79_ Recht hast du. Obwohl ich doch so viel vor habe, aber alles hat seine Zeit...;2021-11-20T10:20:06.000Z;2 likes;29
30;katrinpruchniewski;Dann ruhe dich noch aus. Klar, brauche ich auch Zeit für mich. Ich halte das für normal.;2021-11-20T10:13:33.000Z;1 like;-
30-1;ichbinsophiescholl;@katrinpruchniewski Wahrscheinlich ist es das. Obwohl ich mich so sehr auf die Geselligkeit hier in München gefreut habe, merke ich, dass auch Zeit alleine wichtig ist. Da gilt es wohl, die Balance zu finden...;2021-11-20T10:19:00.000Z;1 like;30
31;grothersen;Ich möchte mal DANKE sagen, liebe Sophie! Toll, wie du so viele an deinem Leben teilnehmen lässt!!! Großartiges Format!!! 😍🥰👍;2021-11-20T10:09:18.000Z;5 likes;-
31-1;ichbinsophiescholl;@grothersen #TeamSoffer Hallo! Vielen Dank für deine lobenden Worte! Schön, dass du Gefallen an unserem Projekt gefunden hast und ein Teil davon bist!;2021-11-20T10:16:19.000Z;1 like;31
32;heikegumz;"Traute Lafrenz nimmt (aktuell in der Story) das 3. Flugblatt der Weißen Rose mit in ihren Hamburger Freundeskreis:
Um den politischen Umsturz einzuleiten, ruft die Weiße Rose hierin zur Sabotage auf. Widerstand gegen einen verbrecherischen Gewaltstaat sei „sittliche Pflicht“. ""Denn mit jedem Tag, da Ihr noch zögert, da Ihr dieser Ausgeburt der Hölle nicht widersteht, wächst Eure Schuld gleich einer parabolischen Kurve höher und immer höher."" […]
""Wir wollen versuchen, ihnen zu zeigen, daß ein jeder in der Lage ist, etwas beizutragen zum Sturz dieses Systems. Nicht durch individualistische Gegnerschaft, […] sondern nur durch die Zusammenarbeit vieler überzeugter, tatkräftiger Menschen […] Sinn und Ziel sei, ""den Nationalsozialismus zu Fall zu bringen, und in diesem Kampf ist vor keinem Weg, vor keiner Tat zurückzuschrecken […]. An allen Stellen muß der Nationalsozialismus angegriffen werden, an denen er nur angreifbar ist. Ein Ende muß diesem Unstaat möglichst bald bereitet werden - ein Sieg des faschistischen Deutschland in diesem Kriege hätte unabsehbare, fürchterliche Folgen. Nicht der militärische Sieg über den Bolschewismus darf die erste Sorge für jeden Deutschen sein, sondern die Niederlage der Nationalsozialisten. Dies muß unbedingt an erster Stelle stehen.""
Jeder Einzelne müsse versuchen, gegen den gegenwärtigen Staat in seinem jeweiligen Lebensumfeld anzukämpfen. Hierzu wird zur Sabotage in allen Bereichen aufgerufen, die NSDAP, Regierung und Staat stützen, oder zur Fortsetzung des Krieges beitragen: ...";2021-11-20T10:02:29.000Z;20 likes;-
32-1;heikegumz;"@heikegumz
…Sabotage „in rüstungs- und kriegswichtigen Betrieben, (…) in allen Versammlungen, Kundgebungen, Festlichkeiten, Organisationen, die durch die nationalsozialistische Partei ins Leben gerufen werden, Verhinderung des reibungslosen Ablaufs der Kriegsmaschine […], Sabotage auf allen wissenschaftlichen und geistigen Gebieten, die für eine Fortführung des gegenwärtigen Krieges tätig sind […] Sabotage in allen Veranstaltungen kultureller Art, die das ""Ansehen"" der Faschisten im Volke heben könnten […] Sabotage in allem Schrifttum, allen Zeitungen, die […] für die Verbreitung der braunen Lüge kämpfen. Opfert nicht einen Pfennig bei Straßensammlungen (auch wenn sie unter dem Deckmantel wohltätiger Zwecke durchgeführt werden). […]
Sucht alle Bekannten auch aus den unteren Volksschichten von der Sinnlosigkeit einer Fortführung, von der Aussichtslosigkeit dieses Krieges, von der geistigen und wirtschaftlichen Versklavung durch den Nationalsozialismus, von der Zerstörung aller sittlichen und religiösen Werte zu überzeugen und zum passiven Widerstand zu veranlassen! […]
Bitte vervielfältigen und weitergeben!""";2021-11-20T10:03:07.000Z;7 likes;32
32-2;heikegumz;@heikegumz Vollständige Text z. B. https://www.weisse-rose-stiftung.de/widerstandsgruppe-weisse-rose/flugblaetter/;2021-11-20T10:03:26.000Z;6 likes;32
32-3;katharina.helling;@heikegumz schade, dass die Chance sowas zu erwähnen wieder einmal verstrichen lassen wurde. Irgendwann nähert sich das Ende das Projekts..;2021-11-20T12:39:26.000Z;5 likes;32
32-4;riso5400;@zuagroastebayrischeschwaebin ja ,zum Beispiel könnten die Schauspieler für das was sie kämpfen mal untereinander diskutieren. Ich kann mir vorstellen das war bestimmt auf solchen privaten Feiern der Fall.;2021-11-21T09:38:08.000Z;3 likes;32
33;ly1610;Unbedingt, sonst wird man ja verrückt 😮😂;2021-11-20T10:02:17.000Z;6 likes;-
33-1;ichbinsophiescholl;@ly1610 Und wie verbringst du deine Zeit nur für dich? Auch im Bett?;2021-11-20T10:09:28.000Z;3 likes;33
33-2;ly1610;@ichbinsophiescholl auch 🤫, aber am liebsten in der Natur, das erdet mich.;2021-11-20T10:12:58.000Z;0;33
33-3;ichbinsophiescholl;@ly1610 Da haben wir etwas gemeinsam! Heute ist es zwar das Bett, sonst aber ziehe ich mich auch gern in der Natur zurück.;2021-11-20T10:17:12.000Z;7 likes;33
33-4;ly1610;@ichbinsophiescholl wenn man sich einmal aufgerafft hat, gehts 😉. Hauptsache Ruhe 🙌;2021-11-20T10:20:05.000Z;1 like;33
34;lindemann.mia;Das ist so interessant, dass du uns überall mitnimmst und uns alles erzählst was passiert und ehrlich bist;2021-11-20T10:01:26.000Z;7 likes;-
34-1;ichbinsophiescholl;@lindemann.mia Jeder Tag ist anders. Mal ist viel los, mal muss ich einfach nur im Bett liegen und Zeit für mich haben. Das gehört mit dazu!;2021-11-20T10:08:34.000Z;4 likes;34
35;lindemann.mia;Hallo Sophie;2021-11-20T10:00:55.000Z;0;-
36;ichbinsophiescholl;#TeamSoffer Hans und Sophie hatten ihrer neuen Wohnung sehr viel Besuch. Dass Sophie das manchmal etwas zu viel wurde, kann man erahnen. So schrieb sie einmal an Werner, die Wohnung in der Franz-Joseph-Straße sei ständig voller Gäste. Nachzulesen in Gottschalk, Maren: Wie schwer ein Menschenleben wiegt, S. 267.;2021-11-20T10:00:52.000Z;105 likes;-
36-1;bettine1960;@ichbinsophiescholl Ich dachte, Sophie und Hans sind erst gestern da eingezogen? Da passt es nicht, dass Sophie am nächsten Tag schon klagt, dass Besuch oft mehrere Tage bleibt. Müde vom Umzug, das wäre stimmiger gewesen.;2021-11-20T14:32:48.000Z;4 likes;36
36-2;katharina.helling;"@bettine1960 Selbst das ist meiner Meinung nach aktuell nicht ganz nachvollziehbar. Sie hatte ja „nur"" einen Koffer, das Zimmer ist möbliert.. nach der Erzählung hier könnte man vermuten, es wurde wieder zu viel gefeiert (was in der Häufigkeit damals wahrscheinlich auch nicht üblich war, weil auch wenn sie über gute Kontakte Wein besorgen konnten war Alkohol grds bezugsschein-/zuteilungspflichtig .. und auf anderem Wege sicher auch nicht endlos verfügbar und teuer..)";2021-11-20T15:13:14.000Z;3 likes;36
36-3;phoebzy;@zuagroastebayrischeschwaebin naja man muss ja keinen Alkohol trinken um zu feiern. Schallplatte aufgelegt und los geht's 🎉;2021-11-22T13:31:50.000Z;0;36
36-4;katharina.helling;@phoebzy haha, ja absolut! Es war der Versuch eine Erklärung für Sophies Ermüdung/Schlappheit zu finden. Weil eben nach einem Tag in der Wohnung, in die auch nicht mit Schlepperei eingezogen werden musste, kein so richtiger Grund vorliegt. Und mit Wein feiern sie hier ja öfter (jedes Mal wenn sie feiern und das in der letzten Woche zweimal);2021-11-22T13:41:12.000Z;1 like;36
37;laura_.abrg;😮🙌;2021-11-20T10:00:48.000Z;1 like;-
