Link: ;https://www.instagram.com/p/CZUsAQtFB6k/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;_celina_2806;Waren Alex und Traute ein Pärchen?;2022-02-02T19:48:32.000Z;0;-
2;rosem_arie1955;Wer die heutige Situation mit der NS-ZEIT vergleicht, verhöhnt die Opfer von damals. Die konnten an ihrer Situation nichts ändern.;2022-02-01T06:35:03.000Z;2 likes;-
3;piratenpartei_bielefeld;#NieMehrAntisemitismus;2022-02-01T05:48:08.000Z;2 likes;-
4;insured.muenchen;!;2022-01-31T18:36:10.000Z;0;-
5;thefishthatlivedinatree;Der Post macht mich traurig. Weil man heute weiss, in diesen Beispielen, wo es hingeführt hat und dass will ich nicht. Ich will dass es anders endet. Jedes einzelne Mal. Daran merkt man, wie sehr das Projekt bewegt und wie wichtig es ist und dass die Menschen und Schicksale von damals noch präsent sind und ihre Mission immer noch da ist. Und das ist es was wiederum Hoffnung macht. An alle im Team, vor und Hinter der Kamera: Liebe, Liebe, Liebe ❤️;2022-01-31T08:24:03.000Z;4 likes;-
6;marion.pettersson.1;❤️;2022-01-30T16:25:30.000Z;0;-
7;evegjc;Ich wohne in München, studiere zwar nicht aber immer wenn ich die Chance habe in der Stadt zu sein zieht es mich in Richtung Geschwister-Scholl-Platz. Es gibt einem irgendwie ein bisschen das Gefühl von damals. Es elektrisiert irgendwie und man wird total in die Geschichte mit reingezogen. Ich finde dieser Platz hat was magisches an sich und ich bin sehr gerne dort, vor allem im Sommer am Brunnen.;2022-01-30T14:36:05.000Z;0;-
8;feeligran;„Der Rest ist Geschichte“…. 😢😢 Macht mich jetzt schon traurig.;2022-01-30T11:57:24.000Z;0;-
9;zayasavenkova;Wow, Orenburg ist doch auch meine Heimatstadt!;2022-01-30T11:02:12.000Z;0;-
10;susikauslue;So ein hübscher Mann! 😍;2022-01-30T10:21:09.000Z;0;-
11;christianpintz;Toll wie die Hakenkreuze immer wieder gezeigt werden, da kommt bei vielen wieder Nostalgie und der rechte Arm hoch💀;2022-01-30T08:52:12.000Z;0;-
12;__mladen.wizi_;👏👏👏👏;2022-01-30T07:34:42.000Z;1 like;-
13;philosoph95;Er war ein wahrer Orthodoxer Christ. Nochdazu Enkel eines Priesters.;2022-01-30T05:00:27.000Z;2 likes;-
