Link: ;https://www.instagram.com/p/CTSSVmrMWKX/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;michael.senior.mm;Gibt es Anhaltspunkte dafür, dass Sophie Scholl gegen die damalige Frauenrolle war? Oder ist die Bemerkung wegen des Selbstbügelns in der heutigen Zeit begründet?;2021-09-03T07:01:34.000Z;10 likes;-
1-1;ichbinsophiescholl;@michael.senior.mm #TeamSoffer Im Vergleich zu ihrer Schwester Inge lebte Sophie Scholl moderner, emanzipierter und im Maßstab der damaligen Zeit feministischer.;2021-09-03T13:34:39.000Z;23 likes;1
1-2;katharina.helling;@ichbinsophiescholl weiß man, ob Inge das so auch wollte, oder war das (vor allem) Folge davon, dass Inge die älteste Tochter war und dadurch auch eine andere Erwartungshaltung ihr gegenüber bestand? Magdalene Scholl war wohl auch gesundheitlich angeschlagen und benötigte zum Beispiel dringend Unterstützung im Haushalt.;2021-09-03T17:57:30.000Z;1 like;1
1-3;heikegumz;"@zuagroastebayrischeschwaebin Und m.E. ist auch die Frage, was man als Gradmesser für ""Emanzipation"" nimmt: Inge hatte viel Verantwortung in der Familie und trug zu deren Lebensunterhalt bei, indem sie im Steuerbüro des Vaters mit arbeitete. Sophies Studium wurde von eben dieser Familie finanziert und sie erhielt von Fritz Hartnagel großzügige finanzielle Unterstützung, d.h. trug nichts zum eigenen Lebensunterhalt bei - ist eine ziemlich privilegierte Position für Sophie, aus der es einfach erscheint, sich ""emanzipiert"" zu geben. Aber besonders unabhängig finde ich das auch nicht.";2021-09-04T07:24:00.000Z;2 likes;1
1-4;katharina.helling;@heikegumz stimmt, ein Konflikt in diesen Tagen war ja auch, dass Sophie Klavierstunden nehmen wollte und Inge befürchtete, dass wieder alles an ihr hängen bleibt.. (also selbst, wenn sie nicht allein mit den Eltern ist) - das kann ich ehrlich gesagt nachvollziehen - da wäre ich auch sauer. Und Sophies Wunsch entspringt schon eher einer privilegierten Situation..;2021-09-04T07:59:19.000Z;1 like;1
2;dimi4__;Die Stickerei drauf, sieht aus wie auf den traditionellen ukrainischen Kleidern. Sieht sehr gut aus 👍🏻;2021-09-03T04:43:03.000Z;1 like;-
3;beatrice_englaender;Viel Spaß beim nähen! 😍😍😍😍;2021-09-02T20:48:57.000Z;0;-
4;dianapaetzold76;Wunderschön. Es klingt so zuversichtlich in dieser dunklen Zeit. Viel Freude beim Nähen.;2021-09-02T18:41:15.000Z;2 likes;-
4-1;ichbinsophiescholl;@dianapaetzold76 Inge bügelt, ich nähe...;2021-09-02T19:46:56.000Z;3 likes;4
5;riso5400;Ich hoffe es kommt mal wieder etwas historisch begründetes oder soll die Geschichte so tralala alles easy rüber kommen.;2021-09-02T17:24:02.000Z;2 likes;-
