Link: ;https://www.instagram.com/p/COSgCgjHW5T/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;mrs_banannie;@janni.lu dann schau hier mal rein;2022-02-26T12:18:41.000Z;0;-
2;maguiolmosgonzalez;@olmos.mari;2022-02-24T02:26:36.000Z;0;-
3;maguiolmosgonzalez;@valencasetti;2022-02-24T02:24:09.000Z;0;-
4;maguiolmosgonzalez;@valencasetti;2022-02-24T02:22:53.000Z;0;-
5;t_ara_93;@mihuana_;2022-02-21T20:39:08.000Z;1 like;-
5-1;mihuana_;@t_ara_93 danke 🤗;2022-02-22T06:03:32.000Z;0;5
6;bennet.bwd;@itina.mth supporterin Nummer 1;2022-02-03T09:51:35.000Z;0;-
7;idalillybrock;@shanepatrick_vdv;2021-10-15T17:25:07.000Z;1 like;-
8;eeeennaa;@marthelchen @tschicko;2021-08-13T05:29:55.000Z;0;-
9;eeeennaa;@marthelchen @tschicko;2021-08-13T05:28:51.000Z;0;-
10;weltbebummler;@mortlach70 @netti119;2021-07-30T06:10:14.000Z;0;-
11;diesechristine;@n_y1993_ diesen Account meinte ich;2021-07-09T12:27:13.000Z;1 like;-
12;eva1383;@feryad_b @rihmami @yvonne_lena_life;2021-06-01T18:38:54.000Z;0;-
13;pantani.cc;Die Welt braucht mehr davon @ichbinsophiescholl;2021-06-01T10:40:41.000Z;5 likes;-
14;the_bull_05;Stimmt nicht, lüge;2021-05-28T12:55:51.000Z;2 likes;-
15;klausbgl;Danke Geschwister Scholl 🌹;2021-05-20T08:21:05.000Z;0;-
16;2fngq;@lhsk_tbsk empfehle es dir;2021-05-18T18:42:50.000Z;0;-
17;familie.tilki;Wow tolle Idee. Bin gespannt 👏;2021-05-18T18:27:56.000Z;0;-
18;chriszahne;Wundervolles, herzergreifendes Projekt. Danke dafür ♥️;2021-05-18T11:11:06.000Z;3 likes;-
19;trung.habao;@nadi.nekaraliene;2021-05-17T14:28:53.000Z;0;-
20;julesburpee;@florencebeekay;2021-05-17T11:51:43.000Z;0;-
21;geschichten.im.kopf;@impolieneasta @jolitakun;2021-05-17T07:39:45.000Z;0;-
22;i.ingedinge;Eben habe ich mir @eva.stories angeschaut.... es wird spannend, was dieser Account noch bringt. Tolles Projekt. @eva.stories ist auch sehr sehr lohnenswert zu besuchen.;2021-05-16T12:30:32.000Z;0;-
23;timo.montana;#janaauskassel🤮 hier bekommst du es erklärt...;2021-05-16T09:31:21.000Z;0;-
