Link: ;https://www.instagram.com/p/CYqTCFnMfeo/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;hawalabanking24;Lösch euch;2022-02-23T10:42:04.000Z;0;-
2;toniwehrmann;Hallo und ein dickes Dankeschön an alle die die an dem Projekt mitarbeiten und echt du als Schauspielerin solltest einen Oskar für die Rolle vonSohpie Scholl erhalten den du spielst und schlüpfst in eine der mutigsten Frauen Charaktere rein die es in dieser Zeit gegeben hat.Es lebe die weiße Rose für alle Ewigkeit.Du und das Team die größte Hochachtung hoffe es gibt Menschen die wenn sie es sehen draus lernen.!!!!!!!;2022-02-13T01:43:38.000Z;0;-
3;spaul_2403;Ich habe Angst vor dem was unweigerlich kommen wird.. Irgendwie will ich Dich immer retten :(;2022-01-15T15:37:39.000Z;0;-
4;sabrina_von_sternenstoffe;#staystrong;2022-01-14T17:10:08.000Z;0;-
5;quiet_life__;🔥;2022-01-14T14:00:49.000Z;0;-
6;katner13;Kennst du eigentlich Claudia Ruggerini? Sie macht(e) etwas ähnliches in Italien gegen Mussolini.;2022-01-14T11:31:17.000Z;0;-
7;alb5na;Solch mutige Bürger braucht ein Staat!!! #LangLebeDieWeisseRose;2022-01-14T08:00:05.000Z;0;-
8;sweijxak;Danke für Alles, was Ihr für getan habt. ❤️ Ein Hoch auf alle Mutbürger.🕊;2022-01-14T07:33:46.000Z;1 like;-
9;ynnocy;Eine wirklich gut gemachte, interessante, berührende Reportage. Diese jungen Menschen haben soviel Mut, ich hätte den nicht gehabt.😢 Leider. Man möchte euch Glück wünschen,aber man weiß ja wie es weitergeht😢;2022-01-14T07:33:23.000Z;1 like;-
10;reginadorwarth;Ich bewundere Euren Mut. Ich frage mich oft, was ich gemacht hätte?;2022-01-14T04:51:26.000Z;0;-
11;noble_aesthetic;You just exposed yourself! Self incrimination! What if the gestapo sees your account! Can't believe you have to hide and can't have freedom of speech in 2022! Ridiculous. Stay safe!;2022-01-14T00:24:43.000Z;0;-
12;netterholger;Gutes Gelingen Sophie, du wirst damit in die Geschichte eingehen;2022-01-14T00:03:05.000Z;1 like;-
13;changed.by.popular.demand;Find‘s sehr schade, dass hier Kommentare ohne Einordnung stehen bleiben, die Hans und Sophie als nicht besonders schlaue Dilettanten beschimpfen.;2022-01-13T19:47:04.000Z;1 like;-
14;ready.steady.golf;Frage mich jetzt wie wäre das alles HEUTE abgelaufen? Twitter, YouTube, Facebook,….? Wäre so ein Regime heute noch möglich?;2022-01-13T16:36:59.000Z;2 likes;-
15;tina_eggert;So viel Mut! Ich bin nach wie vor mega beeindruckt 😢;2022-01-13T15:52:13.000Z;0;-
16;will_doch_nur_schlafen;😢;2022-01-13T15:19:12.000Z;0;-
17;wakki01;Ich finde es sehr gut, dass ihr an dieser Stelle an den unglaublichen Mut Einzelner gegen das Naziregime erinnert. Die Mehrheit damals waren wohl doch eher Mitläufer oder Täter, auch wenn man das aus heutiger Sicht sicherlich schwer beurteilen kann. Viele wollten sicherlich einfach nur überleben.;2022-01-13T15:03:39.000Z;1 like;-
18;elenitaenmexico;Was genau stand denn drauf auf diesen Flugblättern? Gab es inhaltliche Unterschiede zwischen den Versionen?;2022-01-13T13:58:30.000Z;6 likes;-
19;anke2_8;In Anbetracht dessen, was leider in der Zukunft passiert, möchte ich euch am liebsten raten damit aufzuhören. Aber ihr seid so mutig trotzdem die Schlinge immer enger wird! So junge Menschen, so kluge Klarheit und so ein furchtbares Ende... mir ist ganz elend.;2022-01-13T13:41:28.000Z;3 likes;-
20;teachers4future9;@ichbinsophiescholl hinter seine Erkenntnisse kann man nicht zurück treten. Ich habe solchen Respekt vor eurem Mut 👏👏👏;2022-01-13T13:40:43.000Z;0;-
21;teachers4future9;@ichbinsophiescholl was passiert, wenn die euch erwischen?;2022-01-13T13:39:09.000Z;0;-
22;blackdevilflash;Seid bitte vorsichtig!;2022-01-13T13:29:42.000Z;0;-
