Link: ;https://www.instagram.com/p/CRChS82qNxu/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;soel.123456789;Ich höre dann meistens Musik;2021-11-06T11:35:53.000Z;0;-
2;team_moehrchen;Ich besorge mir Ablenkung. Ich habe mein Handy immer am Bett liegen. Entweder ich krame dort den Recorder auf für mein Tagebuch zum späteren übertragen, weil ich Meerschweinchen im Zimmer habe und die nicht solche Probleme haben 😏. Sonst gucke ich einfach noch ein bisschen YouTube auf meinem Handy. Meistens schlaf ich dabei sogar ein.;2021-08-06T21:19:38.000Z;0;-
3;tanjatak;"Ich hülle mich in Gedanken in eine Farbe, die mir vom Gefühl her Ruhe bringt und mir gefällt. Gerne in Blau oder Orange. So, als würden überall um mich her seidige leichte Tücher sein. Wenn ich Probleme habe sage ich mir ""heute Nacht kann ich daran nichts mehr machen, ich denke/handle morgen weiter daran"". Hilft mir immer beim Einschlafen, das Loslassen von Sorgen und schweren Gedanken.";2021-07-11T07:48:08.000Z;3 likes;-
4;nicole_naturforscherin;Instagram lesen😊;2021-07-10T14:59:53.000Z;1 like;-
5;_fighterin_fuerdieewigkeit_;Ich lese etwas oder schaue Bilder an oder den Tag Revue passieren, aber nur die positiven Sachen (schreibe sie dazu auf);2021-07-10T08:12:50.000Z;1 like;-
6;speedy_travelbag;"Ich habe mal den weisen Satz gehört: ""Um 2 Uhr nachts löst man kein Problem. Gar keins."" Wenn mich alles zu erdrücken scheint, hilft mir der Satz, mich zu entspannen und das weitere Denken und Handeln auf den nächsten Tag zu verschieben. ❤️🐑";2021-07-09T21:22:28.000Z;0;-
7;redjaninebeck;Laut Musik hören, übertönt im Idealfall die Gedanken 💭😊;2021-07-09T20:54:51.000Z;0;-
8;comingout_mit_lone;❤️;2021-07-09T18:29:26.000Z;0;-
9;ecocats1990;Mich mit meinen Katzen beschäftigen. Die genießen immer ihr Leben, jeden Tag gleich, grübeln nie lange rum und diese Lebensfreude steckt an! 🙌 😺;2021-07-09T16:19:13.000Z;0;-
10;patrizia_pat_pfeiffer;Schlafschafe schlaft…..;2021-07-09T12:40:11.000Z;0;-
11;ulrikemunner;Ich male auch,wenn ich nicht schlafen kann.Dabei komme ich zur Ruhe.;2021-07-09T12:04:33.000Z;0;-
12;markusirgang;Ich lese dann noch ein bisschen. Lesen macht wunderbar müde.;2021-07-09T10:10:44.000Z;0;-
13;dr.volkertiemann;Du bist eine gute Zeichnerin.;2021-07-09T09:09:56.000Z;0;-
14;hockerschmidt;Ich räume auf und häkeln Topflappen. 🥴;2021-07-09T08:11:12.000Z;0;-
15;juliannelegerer;Schreib dann selbst Tagebuch. Schon seit ich neun war (bin vor kurzem 44 geworden). Dadurch kann ich mir von der Seele schreiben, was mir weh tut. Und meine Gedanken ordnen.;2021-07-09T07:25:40.000Z;0;-
16;chiarampohl;Laaaahacrimoosa;2021-07-09T06:23:54.000Z;0;-
17;raul_mccallister007;❤️;2021-07-09T02:53:19.000Z;0;-
18;mycreativelife_littlemelody;Ab wann fangt ihr an wieder aus dem Bett aufzustehen um zu malen etc.?;2021-07-08T22:42:25.000Z;0;-
19;bin.ich.wer;Klingt doof, aber ich spiele im Bett am Handy Sodoku. Dabei kann ich super abschalten und schlafe auch fix ein... trotzdem es am Handy ist 😁;2021-07-08T20:29:52.000Z;1 like;-
20;stina297;Atmen. Länger ausatmen als einatmen. Und natürlich Schafe zählen. Und das Vater Unser.;2021-07-08T19:17:09.000Z;1 like;-
21;moo_062;Medical detectives oder autopsie hören.. Keine Ahnung warum, aber die erzähler haben einer wahnsinnig beruhigende Stimme 😅;2021-07-08T18:32:29.000Z;0;-
22;anjamuller565;Lesen..;2021-07-08T17:50:39.000Z;0;-
23;michaelthomaslanz;Mis Härz geit kapput!🌷🌸🌻;2021-07-08T17:43:44.000Z;0;-
24;gabrielelange2000;Liebe Sophie, heutzutage gibt es so eine Art kleines Radio das man/frau in der Hand halten kann und da höre ich sehr gern Einsch(l)afgeschichten... Du würdest das bestimmt auch nutzen....Liebe Grüße & schlafe gut...❤️;2021-07-08T17:19:52.000Z;0;-
25;kokele_007;Kopfkino!;2021-07-08T16:34:37.000Z;0;-
26;suni6909;Lesen ....;2021-07-08T16:31:16.000Z;0;-
27;smartsue3;"Stricken hilft auch beim nicht schlafen können ;-)";2021-07-08T16:04:41.000Z;0;-
28;wolltraudl;"Stricken oder Lesen.
Wenn ich im Bett lese, fallen mir bald die Augen zu. 🤭";2021-07-08T15:28:59.000Z;0;-
29;nennmannpetra;Ich lese oder schreibe Postkarten 📚✒;2021-07-08T13:57:04.000Z;0;-
30;a_buecherwurm;Du kannst echt schön zeichen @ichbinsophiescholl 😍👏;2021-07-08T13:41:49.000Z;1 like;-
30-1;ichbinsophiescholl;@a_buecherwurm vielen Dank 🌼;2021-07-08T13:45:08.000Z;4 likes;30
31;a_buecherwurm;Lesen oder Musik😍;2021-07-08T13:41:26.000Z;0;-
32;hauptstadtlady50;Ich meditiere und lese Liebesromane. Wünsche dir einen wunderbaren und gesunden Donnerstag Nachmittag 🙋‍♀️ 🌞 😍.;2021-07-08T12:13:55.000Z;1 like;-
33;ghettoveganer;Einfach die Augen zu machen und sich vorstellen, dass man ein Gemälde malt oder irgendwas anderes beruhigendes.;2021-07-08T10:55:25.000Z;1 like;-
34;natascha.ponczeck;Auch wenn es sich altbacken anhört: Tatsächlich beten. Es hilft mir, meine Gedanken zu ordnen und ich spreche mit jemandem, dem/der ich vertraue und mich nicht richtet. Und oftmals, so finde ich, wurden meine Sorgen und meine Fürbitten erhört. Bei Dingen, die ich nicht beeinflussen kann. Dieses Gefühl der Geborgenheit ist mir sehr wertvoll.;2021-07-08T10:54:41.000Z;6 likes;-
35;krksmsi;Sophie Scholl hat nie solche infantilen Kritzeleien gemacht ! Warum stellt ihr sie so falsch dar !??!??!?!?!?!?;2021-07-08T09:18:05.000Z;0;-
35-1;karl.friesland;@_rosemarie_33 Woher wissen Sie das so genau?;2021-07-08T13:01:34.000Z;2 likes;35
35-2;nicole_naturforscherin;@karl.friesland das würde mich auch mal interessieren… nur weil etwas nicht überliefert ist, muss es doch nicht nicht so passiert sein, oder?;2021-07-10T14:56:44.000Z;2 likes;35
36;mariemeinname;Hach, Mozarts Requiem 😍;2021-07-08T08:39:39.000Z;1 like;-
37;bishop.001;Lesen!;2021-07-08T08:39:28.000Z;4 likes;-
38;becky_fuchs;@i.frmn_;2021-07-08T08:37:40.000Z;1 like;-
39;funkensteinsmonster;Ein Buch lesen;2021-07-08T08:37:05.000Z;2 likes;-
40;korpershoek54;Etwas essen!;2021-07-08T08:27:57.000Z;2 likes;-
41;vonstaig;Ich öffne das Fenster und schaue in den Himmel nach den Sternen.;2021-07-08T08:10:25.000Z;13 likes;-
41-1;ichbinsophiescholl;@vonstaig Das hört sich auch sehr schön an. Was machst du an Nächten ohne Sterne?;2021-07-08T13:46:12.000Z;15 likes;41
41-2;vonstaig;@ichbinsophiescholl Dann lausche ich, in die Nacht;2021-07-09T10:34:35.000Z;3 likes;41
42;emsworld_____;Ich denke gerne über Tiere nach, wenn ich nicht schlafen kann 🐕🐩;2021-07-08T08:03:47.000Z;2 likes;-
43;kizuki_van_goth;Ernstgemeinte Frage: Wie sah es damals mit Drogenkonsum aus? Unabhängig von Alkohol;2021-07-08T07:10:25.000Z;1 like;-
44;kizuki_van_goth;Ernstgemeinte Frage: Wie sah es damals mit Drogenkonsum aus? Unabhängig von Alkohol;2021-07-08T07:09:49.000Z;2 likes;-
45;89christmastrees;Meditation, um den Körper und Geist zu beruhigen...;2021-07-08T06:42:45.000Z;2 likes;-
46;jeliasherz;Ich rauche Lavendel ✌️;2021-07-08T06:40:23.000Z;1 like;-
47;jeliasherz;Ich rauche Lavendel ✌️;2021-07-08T06:37:48.000Z;1 like;-
48;elke.wortsichten;Ich bete. Alles was mich beschäftigt oder belastet in Gottes Hände zu legen gibt mir Ruhe und oft auch die nötige Klarheit, wie und wo Gott mit und durch mich handeln will. Aber auch das Zutrauen, dass er all das tun kann, was sich unseren Möglichkeiten entzieht.;2021-07-08T06:15:43.000Z;1 like;-
49;where_you_are_is_home;Aahh ich liebe diesen Account;2021-07-08T06:05:23.000Z;2 likes;-
50;die_derudis;Wenn ich mal gar nicht schlafen kann, setze ich mich an meine Nähmaschine - ja, auch mitten in der Nacht 🙈 - und nähe. Dabei kann ich meine Gedanken loslassen und freue mich gleichzeitig über das Schöne, was entsteht ... viele meiner schönsten Dinge sind so in schlaflosen Nächten entstanden 😊;2021-07-08T06:02:12.000Z;1 like;-
51;die_derudis;Wenn ich mal gar nicht schlafen kann, setze ich mich an meine Nähmaschine - ja, auch mitten in der Nacht 🙈 - und nähe. Dabei kann ich meine Gedanken loslassen und freue mich gleichzeitig über das Schöne, was entsteht ... viele meiner schönsten Dinge sind so in schlaflosen Nächten entstanden 😊;2021-07-08T05:57:44.000Z;1 like;-
52;vonstaig;Ich öffne das Fenster und schaue in den Himmel nach den Sternen.;2021-07-08T05:36:54.000Z;1 like;-
53;elke.wortsichten;Ich bete. Alles was mich beschäftigt oder belastet in Gottes Hände zu legen gibt mir Ruhe und oft auch die nötige Klarheit, wie und wo Gott mit und durch mich handeln will. Aber auch das Zutrauen, dass er all das tun kann, was sich unseren Möglichkeiten entzieht.;2021-07-08T05:30:04.000Z;2 likes;-
54;jeslzam;Meditieren❤️;2021-07-08T05:09:37.000Z;2 likes;-
55;madame_ket;Lesen oder Musik hören… 😀;2021-07-08T05:05:53.000Z;1 like;-
56;madame_ket;Lesen oder Musik hören… 😀;2021-07-08T05:05:35.000Z;1 like;-
57;robert_laskowski_23;Mit Schafe zählen bist Du schneller 😉😘;2021-07-08T05:04:32.000Z;1 like;-
58;miikeesschhh;Wtf haha;2021-07-08T05:02:23.000Z;1 like;-
