Link: ;https://www.instagram.com/p/COSguK2HCXd/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;stussylady;Hat Fritz überhaupt erfahren das @ichbinsophiescholl du und Hans gefangen und dann ermordet wurdet? Ihr könnt so stolz auf dieses Projekt sein und ich habe bis zum Ende mitgefiebert. Auch tagsüber muss ich an euch denken und es ist so real👏;2022-02-20T19:01:01.000Z;4 likes;-
1-1;ichbinsophiescholl;"@stussylady #TeamSoffer Fritz erfuhr von der Verhaftung erst, nachdem Sophie und Hans hingerichtet worden sind. Die Nachricht von Lina Scholl erreichte ihn am 27.02. im Lazarett, von wo aus er sofort ein Gnadengesuch per Telegramm verschickte. Er bekam wundersamerweise die Erlaubnis, nach München zu fahren, wo er nur noch mit der Familie Scholl zusammen trauern konnte.

Vielen Dank für dein Lob! Es ist klasse zu hören, wie sehr dich das Projekt begeistert und begleitet hat.";2022-02-21T09:27:54.000Z;11 likes;1
1-2;stussylady;@ichbinsophiescholl obwohl es nun schon fast 80 Jahre her ist.....bin ich mega beeindruckt von danke Ihnen für die schnelle Antwort 😍;2022-02-21T12:28:12.000Z;1 like;1
2;helen.wheels_;Liebe ist immer kompliziert. Hat er jemals seine Idee, die es “fürs Vaterland” verwandelt?;2021-05-25T18:27:43.000Z;1 like;-
3;457.kalle;Für das Vaterland;2021-05-25T13:17:23.000Z;1 like;-
4;tiengen1967;"Lese gerade die Biographie von Maren Gottschalk über Sophie Scholl ""Wie schwer ein Menschenleben wiegt"". Ich bin begeistert. Genau so wie ich von dieser Seite hier begeistert bin. DANKE WEISSE ROSE♥️";2021-05-20T16:16:06.000Z;3 likes;-
5;stella1_2_;Lol;2021-05-19T11:08:46.000Z;0;-
6;raymond.sampson1;Some of her pamphlet were found and ended up in England Thousands were printed and dropped over German cities By the RAF She was Behead many streets in Germany are Named after her;2021-05-18T19:33:53.000Z;1 like;-
7;raymond.sampson1;Some of her PamphLets were found;2021-05-18T19:26:37.000Z;0;-
8;familie.tilki;Gänsehaut echt wie echt 👍🏻 klasse;2021-05-18T18:32:18.000Z;1 like;-
9;juli.ane2707;Hat Fritz dann wirklich die Schwester Elisabeth geheiratet?;2021-05-15T15:55:32.000Z;2 likes;-
9-1;lemke_luise;@juli.ane2707 ja, hat er...;2021-10-19T15:12:52.000Z;1 like;9
10;gerdzimmek;Tja, Sophie... So viele haben schon im letzten Krieg so viel fürs Vaterland getan. Ob es süß war, auch fürs Vaterland zu sterben? Ich glaube nicht. Aber ich will Dir auch keine Angst machen. Liebe ist zu schön...;2021-05-14T16:29:54.000Z;0;-
11;nicolewackernagel;Wunderbare Idee! Ich freue mich Sophie Scholl besser kennenzulernen!!👏😊;2021-05-13T16:19:11.000Z;0;-
12;kopinetssvetlana;😢🔥❤️;2021-05-12T15:24:01.000Z;0;-
13;clairelhuckfeldt;Sophie Scholl may be Hal Glessner Jr of Pierre SD who traveled abroad on a mission to get my mothers abducted daughter and he dressed as a girl to get into my mothers daughter's school. My mother's daughter became known as Anni Frid Lyngstad aka Lyngstadt later forming ABBA with people who wanted to learn from and sing with Anni Frid who was taught to sing from our mother Cathie McCormick. Hal Glessner Jr is physically related to the Late Captain of Captain and Tennille and to Gavine Rosdale ex husb to Gwenn Stefani.;2021-05-10T21:27:02.000Z;0;-
14;lynia.de;"""In der Iller"" meint Ihr den Fluss im Allgäu? ❤️";2021-05-10T20:47:29.000Z;0;-
14-1;freierabend.mit.banane;@lynia.de Nicht nur im Allgäu, auch u.a. im Landkreis Neu-Ulm fließt zum Beispiel die Iller. Und ja, genau der Fluss ist gemeint 😊;2021-08-24T12:00:04.000Z;1 like;14
15;idraguniene;😂;2021-05-10T20:29:38.000Z;0;-
16;jorgpeterborn;#I like Sophie Scholl an awful lot #;2021-05-10T16:51:13.000Z;0;-
17;kathrindanzmayr;❤️🙌;2021-05-10T15:11:43.000Z;0;-
18;marg233;An unbelievable journey, so young loyal dedication great History;2021-05-10T13:59:03.000Z;0;-
19;elisabuschermohle;@fritzk95;2021-05-10T08:07:21.000Z;0;-
20;mathis.mx;😮;2021-05-10T05:13:21.000Z;0;-
21;binestern1;manchmal wünsche ich mir, du wärest stiller gewesen, sophie. doch dann schaltet sich mein verstand ein. sei laut! sei wild! sei du! ich hätte dir geholfen sag ich. ich hätte mitgemacht, denk ich. i am a rebel bei heart. und selbst ich, weiss nicht ob ich mich getraut hätte. könnte ich dich in den arm nehmen, würde ich mich bedanken und bedanken und bedanken. danke! und ich würd dich nie wieder loslassen.;2021-05-10T00:45:50.000Z;4 likes;-
22;karen.hansenhh;❤️;2021-05-09T19:12:27.000Z;0;-
23;fritz_gaertner;Ich fühle mich angesprochen;2021-05-09T14:36:06.000Z;2 likes;-
