Link: ;https://www.instagram.com/p/CVAGGedspMi/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sprizzig;Da habe ich etwas verpasst: Was ist mit dem Vervielfältiger passiert? Wurde er gefunden?;2021-10-15T10:14:59.000Z;0;-
2;sprizzig;Oh, diese Fakten kannte ich tatsächlich gar nicht. Ich dachte, für die Transporte wären nur die schrecklichen Waggons genutzt worden. Und von den Versteigerungen hatte ich auch noch nie gehört. Wie informativ Eure Beiträge sind.;2021-10-15T10:12:46.000Z;0;-
3;basti_boersch;Hallo, in welche Zeitabschnitt (Jahr/Monat) befinden wir uns eigentlich gerade genau, oder ist die Entwicklung identisch mit der aktuellen?;2021-10-15T08:04:36.000Z;0;-
3-1;mreebck;@basti_boersch zeitgleich, nur das Jahr stimmt logischerweise nicht;2021-10-15T09:58:23.000Z;1 like;3
4;jochen_scheunemann;Von wegen die damalige Bevölkerung wusste von nichts, weggucken war der bequemste Weg. Dein Weg, liebe Sophie war der einzig richtige. 👏;2021-10-15T07:22:52.000Z;3 likes;-
5;elisabeth_mucc;Wir haben gerade 2.Weltkrieg und Nationalsozialismus als Thema in Geschichte und besprechen gerade deinen Blog hier auf Instagram. Dieser Blog hilft uns und unserer Lehrerin sehr einen besseren Einblick in das Leben damals zu bekommen. Vielen Dank;2021-10-15T04:05:29.000Z;11 likes;-
5-1;ichbinsophiescholl;@elisabeth_mucc #TeamSoffer Liebe Elisabeth, es freut uns sehr, dass ihr unseren Kanal im Unterricht besprecht. Schaut ihr euch den Kanal gemeinsam in groß an, oder jeweils auf dem eigenen Gerät?;2021-10-15T09:56:54.000Z;7 likes;5
5-2;elisabeth_mucc;@ichbinsophiescholl also die lehrerin hat einen account erstellt und zeigt euren kanal mit dem Beamer;2021-10-15T12:49:42.000Z;3 likes;5
6;7251_caroline;Liebe Sophie, stämm dich dagegen! Mit allem was du hast!!! Ich werde es jetzt auch versuchen. 💪;2021-10-14T22:51:10.000Z;0;-
6-1;ichbinsophiescholl;@7251_caroline Ich gebe so viel ich kann für meine Ideale einer freieren und friedlicheren Welt!;2021-10-15T09:58:02.000Z;1 like;6
7;gwen_gloeckchen;"Liebe Sophie. Du tust so viel Gutes, du setzt sogar dein Leben auf Spiel, um zu zeigen ,,Leute, macht die Augen auf, hier stimmt was nicht!"" und trotzdem fragst du ob das reicht?! Es ist ein Wunder, daß du überhaupt diese Reise antrittst und Leute suchst, die der weißen Rose helfen können! Du bist wunderbar, mutig und ich bewundere euch sehr für das, was ihr tut. Weiter so, ich denke an dich und deine tapferen Freunde! Mit lieben Grüßen auch an deine Familie, Gwen Glöckchen 🌹";2021-10-14T15:10:01.000Z;8 likes;-
7-1;ichbinsophiescholl;@gwen_gloeckchen Das sind so liebe Worte von dir! Vielen, vielen Dank, das gibt mir Kraft!;2021-10-15T09:59:14.000Z;4 likes;7
8;dergeiger1967;"Die Versteigerung von Eigentum von deportierten Juden ist ein hochinteressanter Aspekt. Diese Versteigerungen hatten ein gigantisches Ausmaß und wurden von der Bevölkerung gerne besucht. In diesem Zusammenhang empfehle ich das Buch von Götz Aly ""Hitlers Volkstaat"" neben dem ""Der SS-Staat"" von Eugen Kogon (Vorsicht, Inhalt nur schwer zu ertragen).";2021-10-14T14:10:11.000Z;5 likes;-
9;katharina.helling;"🗓 14.10.1942
▪️ Niederlande/Auschwitz
Aus Westerbork werden 1.711 jüdische Menschen nach Auschwitz eingeliefert. Nach der „Selektion“ werden 351 Männer und 69 Frauen als Häftlinge registriert; die anderen 1.291 Menschen werden in den Gaskammern ermordet. (Czech, S. 320)
▪️ Kroatien
Der deutsche Gesandte in Zagreb, Kasche, an das Auswärtige Amt.
Der kroatische Finanzminister Kosak habe sich am 9. Oktober bereit erklärt, dem Deutschen Reich für jeden “ausgesiedelten” Juden 30 RM zu zahlen. “Vorbereitungsarbeiten für die Aussiedlung der Juden aus den von den Italienern besetzten Zonen” und “vertrauliche Erfassung sämtlicher Juden” würden durchgeführt. (ADAP, Serie E, Bd. IV, Nr. 49)
▪️ Ungarn
Telegramm des Unterstaatssekretärs im Auswärtigen Amt,  Luther, an die deutsche Botschaft in Budapest:
Er bitte, “nun der ungarischen Regierung mitzuteilen, daß eine Ausnahmebehandlung ungarischer Juden im Reich nicht mehr länger möglich ist” (...). Ungarn möge den geplanten Maßnahmen zustimmen oder seine Staatsangehörigen zurückholen.
""Schwieriger, aber auch dringlicher erweist sich das Problem der Judenbehandlung in Ungarn selbst. Bitte daher ungarischer Regierung Gründe auseinanderzusetzen, die uns bewegen, nach dem Willen des Führers eine baldige und vollständige Lösung der Judenfrage in Europa anzustreben, und die ungarische Regierung zu bitten, auch ihrerseits die dazu erforderlichen Maßnahmen voranzutreiben. Die bisherigen Ansätze in dieser Richtung würden von uns begrüßt, seien allerdings noch weit davon entfernt, mit der Entwicklung in Deutschland und anderen erneuerungswilligen Staaten Europas Schritt zu halten. Alle Voraussetzungen aber sprächen dafür, die Frage noch während des Krieges zu einem endgültigen Abschluß zu bringen. Es handle sich dabei nicht um ein deutsches, sondern um ein gesamteuropäisches Interesse…
⤵️";2021-10-14T10:22:24.000Z;11 likes;-
9-1;katharina.helling;"…Die großen Anstrengungen, die Deutschland auf diesem Gebiet mache und vor der Welt verantworte, seien illusorisch, wenn in einzelnen Gebieten Europas die Juden weiterhin Möglichkeiten der intellektuellen und wirtschaftlichen Einflußnahme in Verbindung mit dem uns bekämpfenden Weltjudentum besäßen."" (ADAP, Serie E, Bd. IV, Nr. 51)
//
http://www.holocaust-chronologie.de/chronologie/1942/oktober.html";2021-10-14T10:22:39.000Z;3 likes;9
10;dryjack451;Was und ich dachte ihr wusstet von nicht, wenn Du jetzt von den Deportationen berichtest muss es ja jedem bewusst gewesen sein, das die Juden ( grade wenn man weiß sie kommen nicht wieder) ein schweres Schicksal zu erleiden haben! Wieso hat dies keiner hinterfragt?;2021-10-14T10:04:37.000Z;1 like;-
10-1;heikegumz;"@dryjack451 Ja, die Deportationen fanden in aller Öffentlichkeit statt – es ist davon auszugehen, dass nahezu 100% der Deutschen davon wusste. Ebenso von den vorangegangenen Entrechtungen und Enteig-nungen der jüdischen Bevölkerung, d.h. Geschäfte, Unternehmen, aber auch deren Hausrat, der billig (und gern) von der ""arischen"" Bevölkerung ersteigert werden konnte. Die ""arische"" Bevölkerung profitierte also massiv von den Verbrechen an ihren jüdischen Mitbürger*innen – z. B. ja auch durch verbesserte eigene Karrierechancen, wenn Jüdinnen und Juden aus Berufen ""entfernt"" wurden.
""Über manifeste Informationen hinsichtlich der Massenvernichtungen, die ab 1941 stattfanden, verfügten mit einiger Wahrscheinlichkeit zwischen einem Drittel und der Hälfte der Zeitgenossen, während ein nicht quantifizierbarer weiterer Anteil der Bevölkerung über Wissen in Form des offenen Geheimnisses verfügte.""

Quelle https://www.bpb.de/geschichte/nationalsozialismus/dossier-nationalsozialismus/39631/die-deutschen-und-ihr-drittes-reich?p=all";2021-10-14T16:32:55.000Z;4 likes;10
10-2;jexssxii;"@dryjack451 Wir waren in Buchenwald und dort hat man uns erzählt, dass KZ Häftlinge in der Stadt am Bahnhof angekommen sind und dann den Berg hochgetrieben wurden. Die Menschen, die dort wohnten, sollen das Spektakel begeistert verfolgt haben. Ich denke dieses typische ""wir wussten von nichts"" ist bei den meisten gelogen gewesen. Warum die Menschen das toleriert haben oder sogar unterstützten, lag wahrscheinlich teilweise an der Angst, selbst verfolgt zu werden. Hitler hat den Menschen mit seinen Worten Mut gemacht, ihnen das Gefühl gegeben, endlich etwas aus Deutschland machen zu können. Immerhin war Deutschland lange zersplittert, bekam die Kriegsschuld am 1. Weltkrieg zugeschrieben und wurde von Krisen in den Ruin getrieben. Vielleicht hat man damals bei der starken Autorität Hoffnung geschöpft. Nja und was mit denen passierte, die sich gegen Hitler und das Regime wendeten, war ja allen bekannt. Wenn man die Meinung der Nationalsozialisten nicht teilte, konnte man zwischen Risiko und Sicherheit wählen. Hätte es mehr Menschen wie Sophie gegeben, hätten die Menschen damals vielleicht mehr tun können.";2021-10-14T16:33:13.000Z;4 likes;10
10-3;heikegumz;"@heikegumz (Den Artikel finde ich auch einen guten Einstieg, wenn dich Erklärungsversuche interessieren zur breiten Zustimmung oder Ignoranz der ""arischen"" Bevölkerung an den Verbrechen an der jüdischen Bevölkerung – wenn ich Deine Frage danach, warum das niemand hinterfragt hat, richtig verstanden habe)";2021-10-14T16:34:01.000Z;3 likes;10
11;w_chris;Was bei den Postings hilfreich wäre, ein Datum. So kann man dann die Timeline besser in perspektive setzen würde ich sagen.;2021-10-14T09:46:10.000Z;3 likes;-
11-1;ichbinsophiescholl;@w_chris #TeamSoffer Für die inhaltliche Annäherung an @ichbinsophiescholl wurden zunächst die historischen Ereignisse sowie die Historie von Sophies Leben im Zeitraum der zehnmonatigen Ausspielungszeit von ihrer Ankunft in München am 04.05.1942 bis zu ihrer Hinrichtung am 22.02.1943 recherchiert und in Zusammenarbeit mit den Historikerinnen Dr. Barbara Ellermeier und Dr. Maren Gottschalk historisch geprüft. Unser Kanal @ichbinsophiescholl ist Fiktion, orientiert sich allerdings an wahren Begebenheiten. Bei historischen Lücken und Unklarheiten haben wir uns erlaubt, diese kreativ und in Abstimmung mit den Expert:innen zu schließen, um eine zusammenhängende Erzählweise ermöglichen zu können.;2021-10-14T10:03:29.000Z;27 likes;11
11-2;janeinnika;du kannst, wenn ich es richtig verstanden habe, quasi einfach das jeweils heutige Datum nach 1942 bzw ab dem neuen Jahr 1943 setzen :);2021-10-14T10:28:16.000Z;6 likes;11
11-3;w_chris;danke, verstanden;2021-10-14T11:01:15.000Z;0;11
11-4;italiadree;@ichbinsophiescholl es ist ein absolut tolles Projekt, das ich gerne verfolge. Allerdings bleibt immer das Herz schwer dabei, weil ich weiß, wie es enden wird. Aber den Menschen heute die Person Sophie Scholl und ihre Mitstreitenden auf diese Weise näher zu bringen, ist genial. Danke dafür!;2021-10-14T11:32:48.000Z;18 likes;11
12;r9_de_jong;"Ich gehe nicht davon aus, dass in den 40ern gegendert wurde.
Deswegen schreibt einfach Juden";2021-10-14T09:42:25.000Z;1 like;-
12-1;saroshhhhhh;@leander_greatinsta ? Meinste nicht eine Jüdin hätte gesagt sie sei Jüdin statt ich bin Jude? Glaub du gehst vom falschen aus!;2021-10-14T09:46:15.000Z;3 likes;12
13;geschichtslehrer.sms;Im Geschichtsunterricht beschäftigen wir uns gerade mit deinem Widerstand und ich habe zwei Fragen: Hattest du bei den Aktionen Angst?;2021-10-14T09:25:52.000Z;3 likes;-
13-1;geschichtslehrer.sms;Und wie oft warst du unterwegs, um Flugblätter zu verteilen?;2021-10-14T09:29:10.000Z;2 likes;13
14;thomassalomo;Durfte man damals nicht mehr einfach so reisen?😮;2021-10-14T08:52:11.000Z;7 likes;-
14-1;ichbinsophiescholl;@thomassalomo #TeamSoffer Ab 1937 wurde die Deutsche Reichsbahn vollständig dem Reichsverkehrsministerium untergeordnet und diente fortan als Kriegsmaschinerie der Nationalsozialisten, weshalb der touristische Reiseverkehr verboten bzw. minimiert wurde, indem gewisse Zulassungskarten für Fahrten benötigt wurden.;2021-10-14T09:03:13.000Z;55 likes;14
14-2;thomassalomo;@ichbinsophiescholl krass. Danke für die Antwort.;2021-10-14T09:17:10.000Z;0;14
15;ira.bathory;Trauriger Fakt.. über Reichsbahn.de gelangt man auf die Seite der deutschen Bahn;2021-10-14T08:48:06.000Z;9 likes;-
15-1;green_brown_eyes;@ira.bathory Tatsache 😮, bin geschockt;2021-10-14T08:51:38.000Z;1 like;15
15-2;chvonhake;@ira.bathory 😮das funktioniert ja wirklich;2021-10-14T09:58:20.000Z;1 like;15
15-3;leolunaaa;@ira.bathory naja die damalige Staatsbahn DB hat sich ja auch aus der Reichsbahn damals gegründet mit Gründung der BRD und wenn ich es richtig im Kopf habe nach dem Ende der DDR zusammengeschlossen mit der dortigen Bahn zusammengeschlossen zur deutschen Bahn;2021-10-14T10:12:36.000Z;2 likes;15
15-4;dija.mija;Oha! 😮 Da kommt zwar eine Fehlermeldung, man wird dann aber durch einen link zur Hauptseite der DB weitergeleitet. Krass!;2021-10-14T10:19:54.000Z;0;15
15-5;gwen_gloeckchen;@ira.bathory Uuuuh... Das ist ja echt gruselig... 😰;2021-10-14T15:02:24.000Z;1 like;15
15-6;heikegumz;"@ira.bathory Die ""Deutsche Bahn"" wurde nach der dt. Wiedervereinigung aus der ""Deutschen Bundesbahn"" (BRD) und der ""Reichsbahn"" (in der DDR wurde der Name nach dem Krieg beibehalten) gegründet. Insofern finde ich es auch ein bisschen nachvollziehbar, dass sich die heutige DB den Namen einer ihrer beiden Vorgänger-Institutionen als ""Domain"" sichert. Immer noch besser, als wenn sich ""NS-Nostalgiker*innen"" die Website sichern.
Kritisch ist aber auch m.E. zu sehen, dass beide ""Nachfolge-Organisationen"" und auch die heutige DB keine gute Aufarbeitung ihrer Verstrickung in die Verbrechen der NS-Zeit geleistet hat.";2021-10-14T17:14:13.000Z;9 likes;15
15-7;ben.reuter.3;"@ira.bathory wie schon gesagt hat die DDR den Namen ""Deutsche Reichsbahn"" behalten, während im Westen halt die ""Deutsche Bundesbahn"" draus hervorging. Die Beibehaltung des Namens hatte politische Gründe, weil die DDR ja nicht durch die BRD anerkannt wurde. So ging es ja auch darum, dass ja die DDR-Reichsbahn den ganzen Transitverkehr mit West-Berlin (das ja wie eine Insel im Staatsgebiet der DDR lag) betrieb, bzw auch dort die S-Bahn. Die DDR war ja auf Einkünfte aus ausländische Devisen angewiesen. Nach der Wiedervereinigung 1990 blieb die DDR-Reichsbahn zunächst noch bestehen und ging dann 1994 gemeinsam mit der Bundesbahn in der neu gegründeten Deutschen Bahn AG auf.";2021-10-14T18:25:04.000Z;2 likes;15
15-8;7251_caroline;@heikegumz definitiv! Mein Opa war architekt zu der Zeit bei der Bahn.?! 🙄🧐🤔;2021-10-14T22:44:00.000Z;1 like;15
15-9;natalie.hanke.14;@ira.bathory Ja und? Die hieß halt früher so. 🤷🏻‍♀️;2021-10-15T00:24:02.000Z;1 like;15
15-10;zongzonx;@ira.bathory @green_brown_eyes @chvonhake @leolunaaa @dija.mija @gwen_gloeckchen @heikegumz Mittelfristig ist seitens der Deutschen Bahn AG geplant, auf der Seite des Konzernauftrittes, welche zurzeit unter der Verlinkung reichsbahn.de erreicht werden kann, eine Informationsquelle mit Erläuterungen zur Geschichte der staatlichen Eisenbahn in Deutschland zwischen 1933 und 1949 (bis zur endgültigen Errichtung der Deutschen Bundesbahn in der Bundesrepublik Deutschland) sowie zur zentralen Rolle des Schienenverkehrs im Nationalsozialismus und im zweiten Weltkrieg zu erschaffen. Hierbei muss beachtet werden, dass die Deutsche Reichsbahn an sich bereits seit 1920 existierte. Da eine solche Internetseite jedoch noch nicht eingerichtet worden ist, erscheint nach der Eingabe von reichsbahn.de eine Fehlermeldung.;2021-10-15T04:02:35.000Z;9 likes;15
15-11;gwen_gloeckchen;@zongzonx okay, vielen Dank für Deine Info! Jetzt weiß ich Bescheid! Alles Gute!;2021-10-15T09:01:37.000Z;1 like;15
15-12;ira.bathory;@zongzonx Danke für die Aufklärung 🤗;2021-10-15T09:03:12.000Z;1 like;15
15-13;heikegumz;@zongzonx Vielen Dank für die interessante Ergänzung!;2021-10-15T09:47:23.000Z;1 like;15
15-14;katharina.helling;@zongzonx das ist interessant! Weißt Du was die DB hier ungefähr mit „mittelfristig“ meint? Ist ja ein sehr dehnbarer Begriff..;2021-10-15T11:12:41.000Z;1 like;15
15-15;zongzonx;@gwen_gloeckchen @ira.bathory @heikegumz @zuagroastebayrischeschwaebin Sehr gerne! Einen genauen Zeitpunkt für die Fertigstellung einer solchen Internetseite hat die Deutsche Bahn AG noch nicht verlautbaren lassen, die Seite befindet sich seit einigen Jahren im aktuellen Zustand.;2021-10-15T12:25:10.000Z;3 likes;15
15-16;katharina.helling;@zongzonx Vielen Dank!;2021-10-15T12:39:19.000Z;2 likes;15
15-17;zongzonx;@zuagroastebayrischeschwaebin Nichts zu Danken!;2021-10-15T12:43:36.000Z;1 like;15
15-18;flo407;"@zongzonx Ich meine mich aber zu erinnern, dass es eine ebensolche Seite auch ""früher"" einmal gab - auf der die Geschichte von 1835 an kurz zusammengefasst wurde..";2021-10-16T19:51:38.000Z;0;15
