Link: ;https://www.instagram.com/p/CTEu3o7sfUz/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;llitalov;Räuchertofu? 😂;2021-08-29T04:39:30.000Z;2 likes;-
2;ich_hasse_perfektion;Ich habe letztens Eintopf gekocht. Als Mann :o und dann auch noch an einem Donnerstag. Wenn das der Führer wüsste 😮;2021-08-28T20:44:03.000Z;0;-
3;beautifulcommitment;Unbedingt Speck durch Tofu ersetzten! Nur so können wir die Welt retten!;2021-08-28T20:13:24.000Z;1 like;-
4;liqueyeetsmass;Speck im Linseneintopf lässt sich super mit Räuchertofu ersetzen, aber dass man den in den 1940ern bekommt, bezweifle ich.;2021-08-28T15:51:02.000Z;1 like;-
4-1;liqueyeetsmass;@liqueyeetsmass Oder in den 1930ern.;2021-08-28T15:51:42.000Z;0;4
5;zauberflow;Schade das der gute von @wheaty_de erst noch erfunden werden müssen…;2021-08-28T14:54:51.000Z;0;-
6;diwiak;Räuchertofu, aber ich glaub, der ist 1942 auch nicht so leicht zu besorgen 😉;2021-08-28T10:19:13.000Z;0;-
7;anni.agnieszka;"Wenn du etwas Schwarte besorgen kannst, damit den Topf vor dem erhitzen einstreichen. Die Schwarte lässt sich mehrfach benutzen.
Zwiebel anschneiden und auf der Offen-Platte schwarz anrösten, diese dann mit in den Eintopf, gibt ein tolles Aroma ab 👋";2021-08-28T10:00:53.000Z;1 like;-
8;rax_henley;Bei mir gibt's morgen vegane Königsberger Klopse 😍;2021-08-28T08:25:46.000Z;1 like;-
9;macrepp25;Ich hoffe, dass sie irgendwann das altmodische „s“ abschaffen, das dem „f“ so sehr gleicht. Mein Auge stolpert beim lesen an solchen Stellen. Aber das bleibt uns bestimmt auch noch 1000 Jahre erhalten 😢;2021-08-28T07:49:24.000Z;1 like;-
9-1;katharina.helling;"@macrepp25 ich habe gestern gelesen, dass im Nationalsozialismus diese Schrift sogar grds. verboten wurde. Da die Weltherrschaft angestrebt wurde, wollte man eine Schrift einführen, die in weiten Teilen der Welt lesbar war.

Offiziell begründet wurde dieser Beschluss, indem die Herkunft der »gotischen Schrift« (Fraktur) auf sogenannte »Schwabacher Judenlettern« zurückgeführt wurde. Die Schwabacher Schrift ist eine der zahlreichen Frakturschriften, die bereits seit dem 15. Jahrhundert Verwendung findet. Dass sie von Jüdinnen und Juden entwickelt worden sein sollte, ist ebenso falsch, wie alle anderen scheinbaren Begründungen, die Martin Bormann als Rechtfertigung des Verbots zur Verwendung der Frakturschriften anführt. Jüdinnen und Juden war es aufgrund der strengen Zunftgesetze nicht einmal erlaubt, in einer Druckerei zu arbeiten, geschweige denn eine solche zu erwerben.

https://www.uni-heidelberg.de/unimut/themen/fraktur-verbot.html";2021-08-28T10:29:22.000Z;0;9
10;rumsfallera;Wir waren auf dem Land, aber meine Uroma hat immer die Zwiebeln in Schweineschmalz ausgelassen und ne braune Mehlscheitze gemacht. Dann hat sie es fast anbrennen lassen.;2021-08-28T07:20:16.000Z;1 like;-
