Link: ;https://www.instagram.com/p/COSgyqYH_ZT/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;glenn_quagmire.0;@__joe__swanson__ der linke sieht so aus wie du;2021-07-06T20:33:22.000Z;1 like;-
1-1;glenn_quagmire.0;@__joe__swanson__ xaxaxa;2021-07-06T20:36:31.000Z;1 like;1
2;strassennuenue;Tolles Bild ❤️;2021-06-12T11:53:20.000Z;2 likes;-
3;lxndrnkls;Il faut avoir l’esprit dur et le cœur tendre;2021-05-14T09:19:21.000Z;1 like;-
4;tuanka100;Das ist krank! Sophie würde das nicht wollen;2021-05-14T05:59:31.000Z;0;-
5;tuanka100;Das ist krank! Sophie würde das nicht wollen;2021-05-14T05:59:18.000Z;0;-
5-1;tizia_rr100;@tuanka100 doch klar würde sie wollen das man ihre Geschichte nicht vergisst;2021-08-13T19:19:10.000Z;6 likes;5
5-2;lea.belendier;@tuanka100 doch sie würde wollen das ihre Geschichte verbreitet wird und die Leute aufgeklärt werden was passiert ist;2021-09-17T06:55:00.000Z;5 likes;5
6;prati_the_businesswoman;Wird Hans etwa von Max Hubacher verkörpert?;2021-05-13T17:08:48.000Z;1 like;-
6-1;vampiremoritz;@official_prati_ballgirl.17 Ja er ist es! Musste zuerst auch paar Bilder anschauen😂;2021-09-02T19:33:30.000Z;2 likes;6
7;janeofmusic;Zwei supertolle Schweizer Schauspieler die einen superwichtigen Teil der Deutschen Geschichte bzw. Weltgeschichte erzählen - finde ich ganz toll! 😊👍🏻;2021-05-13T08:57:04.000Z;3 likes;-
8;fr3slp;Da ist ja Der Hauptmann 😂 und der ist dein Bruder so so;2021-05-11T15:36:37.000Z;1 like;-
9;svenglyxpilz;@gsg.aachen Schon gesehen? Soffer ist auch bei Insta;2021-05-10T06:24:27.000Z;0;-
10;svenglyxpilz;@gsg.aachen Schon gesehen? Soffer ist auch bei Insta;2021-05-10T06:24:11.000Z;0;-
11;binestern1;der hans der kanns. er ist das hirn, der überleger, der anstifter. sophie, du bist das herz und die seele. und du wirst stark sein, stärker als hans, weil du immer weiter und weiter und weiter.... fühlst und den schmerz nicht wegschiebst, sondern ihn annimmst.;2021-05-10T00:53:39.000Z;0;-
12;dennis.ke99;Es ist einfach der Hauptmann 😄;2021-05-09T21:26:00.000Z;0;-
