Link: ;https://www.instagram.com/p/CReCzWRouMn/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;jana_il_86;Helden seid ihr wahre Helden 😢;2022-01-13T13:51:03.000Z;0;-
2;benutzername_mode_bln;Starke Ideen!;2021-07-25T09:52:44.000Z;0;-
3;silent_goi;Noch 7 Monate...;2021-07-19T17:46:50.000Z;0;-
4;_deluxedecor;👏;2021-07-19T10:16:15.000Z;1 like;-
5;ines_s_2;❤️‍🔥;2021-07-19T10:14:03.000Z;1 like;-
6;team_wedemann_holz;Ich fühle mich so zurück versetzt. Ihr macht das ganz toll!;2021-07-19T06:24:14.000Z;1 like;-
7;team_wedemann_holz;Ich fühle mich so zurück versetzt. Ihr macht das ganz toll!;2021-07-19T06:19:43.000Z;2 likes;-
8;__lioba__7;Unsere Seelen (75 J.) tragen immer noch die Trauer und das Entsetzen über die zwei Weltkriege mit sich. Du liebe Sophie hilfst uns, die Trauer gemeinsam zu tragen. Danke🙌;2021-07-18T19:52:09.000Z;3 likes;-
9;18mariia19;1dv;2021-07-18T18:17:52.000Z;1 like;-
10;hauptstadtlady50;Danke 🙏 für den Wochen Rückblick liebe Sophie. Wünsche euch viel Kraft 🙋‍♀️🌛🍸.;2021-07-18T17:01:51.000Z;3 likes;-
11;ichbinjuedin_ichbindeutsche;Noch einmal die vergangene Woche durchleben, ich hoffe und bange mit euch.;2021-07-18T16:35:57.000Z;11 likes;-
12;gwen_gloeckchen;In Gedanken bei euch, ihr tapferen, lieben Menschen... Und ich glaube an euch und eure Sache. Fühl dich liebevoll gedrückt! Gwen Glöckchen 🍀;2021-07-18T16:32:08.000Z;27 likes;-
12-1;ichbinsophiescholl;@gwen_gloeckchen Vielen lieben Dank für deine Worte!;2021-07-18T17:42:29.000Z;10 likes;12
12-2;gwen_gloeckchen;@ichbinsophiescholl Gerne... Passt schön auf euch auf...❤️❤️❤️;2021-07-18T17:53:38.000Z;3 likes;12
13;annettemayer3303;Super tolles Projekt. Obwohl das Ende bekannt ist, kann ich kaum den nächsten Tag erwarten.;2021-07-18T14:34:24.000Z;20 likes;-
14;sibl_and_the_wheel;ist semserferien ein tippfehler oder echt von Sophie? find ich spitze!;2021-07-18T14:27:14.000Z;9 likes;-
15;katrinpruchniewski;Das muss schrecklich sein, wenn man einfach aus seinem Leben gerissen wird.;2021-07-18T14:20:39.000Z;15 likes;-
16;horst_sander;👍;2021-07-18T13:13:51.000Z;2 likes;-
