Link: ;https://www.instagram.com/p/CZtsB3sMOMS/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;steffen421;Unterstützt von Marlboro?;2022-03-04T15:19:14.000Z;0;-
2;triva92;🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮;2022-02-18T23:06:45.000Z;0;-
3;buenoliebe;Als die Mehrheit folgte, setzten sie so viel daran, etwas zu bewirken und riskierten ihr Leben. 😢;2022-02-17T17:11:25.000Z;1 like;-
4;heimathafen_nic;🥰🙏❤️;2022-02-14T13:20:42.000Z;1 like;-
5;lisas_highlights;12 Tage noch... was würde Sophie tun, wenn sie wüsste was ihr Schicksal ist? Dass sie nur noch 12 Tage zu leben hat? Würde sie noch viel weiter gehen, wenn doch der Tod unausweichlich ist?;2022-02-10T21:56:21.000Z;1 like;-
6;5a3eth;Ja! Es ist schon beschämend wir sehr wir uns sagt und warm in der Comfortzone breit machen und genervt sind, wenn uns das Elend in der Welt dort herauslocken will…;2022-02-09T21:12:41.000Z;0;-
7;ahmolisko74;Hallo;2022-02-09T15:39:28.000Z;0;-
8;diejane.7;Sagen wir es so wie es ist : die meisten Menschen sind nur Mitläufer und reden viel , tun aber nichts 😏;2022-02-09T15:26:00.000Z;0;-
9;neverlmdagain;Ein ganz tolles Projekt 👏...finde es im Moment sehr bedrückend zu wissen, daß es bald vorbei ist 😔;2022-02-09T13:37:54.000Z;3 likes;-
10;dr.volkertiemann;Ein Extra-Herz❤️;2022-02-09T12:52:35.000Z;0;-
11;happypictures396;Hat Sophie ihre Eltern noch einmal vor der Verhaftung wiedergesehen?;2022-02-09T12:06:33.000Z;0;-
12;rinki_mania;ja aber die Mehrheit ist leider schon so abgestumpft, dass die Systemzerfahrenheit als normal betrachtet wird. 😢 Es braucht dringend einen Umbruch in allen Bereichen. Bleib dran 😚 du bist nicht allein.;2022-02-09T09:20:45.000Z;1 like;-
13;babsi_babis;Ich schicke dir Kraft Sophie.;2022-02-09T07:27:36.000Z;0;-
14;finca.casimira;Ja, ich kämpfe für eine bessere Zukunft.;2022-02-09T03:29:22.000Z;1 like;-
15;maxbe3000;@ichbinsophiescholl Wie lange läuft das Projekt eigentlich? Endet es mit der Verhaftung? Dem Urteil? Der Hinrichtung? Der Beisetzung? Oder ist das nicht öffentlich bislang? Danke!;2022-02-09T00:13:52.000Z;0;-
16;netterholger;Dass es dir schwer fällt, von deiner Familie wegzufahren, verstehe ich,........Heimweh hatte ich auch genug in meinem Leben 🥺. Eure oder deine Motivation für die weiße Rose finde ich toll,........macht das so lange ihr könnt,............gegen diesen scheiß Nationalsozialismus!! Wir können heute nur so gut wie möglich aufpassen, dass sich sowas nie mehr wiederholt,.........aber trotzdem unseren Standpunkt zu vertreten!! Die EU hat bis heute kein Einwanderungsgesetz,....oder Deutschland, das kritisiere ich!! Sophie, du oder ihr werdet mit der weißen Rose in die Geschichte eingehen!! ..........Ach übrigens,..........ab und zu rauche ich auch mal 😊;2022-02-08T22:48:29.000Z;1 like;-
17;jogroe;Ihr macht genau das Richtige und viele vor allem junge Menschen sollten es Euch nachtun. Sieht man hier auch mal ein Flugblatt?;2022-02-08T21:57:51.000Z;1 like;-
