Link: ;https://www.instagram.com/p/CSwErICjY1K/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;alpenblick33;❤️👏😍;2021-08-22T18:12:02.000Z;0;-
2;behalla67;Furchtbar, solche Menschen. Habe sie kein eigenes Leben?🔥;2021-08-22T11:09:28.000Z;0;-
3;doblhro;❤️;2021-08-22T05:13:40.000Z;0;-
4;nellybochem;Das sollte nicht bei mir pastsieren😮😮;2021-08-21T07:51:18.000Z;0;-
5;nellybochem;Das sollte nicht bei mir pastsieren😮😮;2021-08-21T07:41:21.000Z;0;-
6;michaela_hanauer;Wäre es nicht so gefährlich, dann wäre er echt seine eigene Karikatur!;2021-08-20T19:53:54.000Z;0;-
7;philicious_philici;Dacht erst, dass sei Gerd Dudenhöfer 😂;2021-08-20T06:22:45.000Z;0;-
8;achimkohls;@allwetterastrid in welchen Grundrechten sind wir denn eingeschränkt?;2021-08-20T05:24:42.000Z;0;-
9;6y__anhalt;Nach unten treten und nach oben buckeln...miese Denunzianten im Shitstem...Obacht vor den Mitläufern Sophie.#TeamSoffer;2021-08-19T21:22:15.000Z;1 like;-
10;itsdacidgo8lin;Leutenberg nervt richtig!;2021-08-19T20:14:59.000Z;8 likes;-
10-1;ichbinsophiescholl;@itsdacidgo8lin Ich wünschte, er würde nicht in unserem Block wohnen. Andererseits wünsche ich mir ihn niemanden an den Hals…;2021-08-20T09:45:37.000Z;9 likes;10
11;wene_beinhart;Der schaut nur nach Ungeimpften. 😜;2021-08-19T16:03:02.000Z;2 likes;-
12;wene_beinhart;smjert spioni;2021-08-19T16:01:38.000Z;0;-
13;becky_fuchs;@sulikurban unsere meisterliche Leistung 😂;2021-08-19T15:53:23.000Z;2 likes;-
14;ichbinkaethe;Ich frag mich gerade, ob dieses Video mit lustig untermalter Musik ein Scherz sein soll? Wir sehen hier einen Blockwart, der Mitmenschen einschüchtert, indem er ihnen nachspioniert und sie melden würde, wenn ihm etwas verdächtigt erscheint. Nichts an dieser Unterdrückung und Mittäterschaft ist ein Scherz. Aber der Blockwart schaut noch so lustig durch die Stäbe.. was ist der Sinn des Posts?Die komödiantische Aufbereitung durch Musikuntermalung und Videosprache untergräbt doch die Ernsthaftigkeit der Situation? In der Kommentarspalte wird das jetzt mit den übergriffigen Nachbarn verglichen, die quasi klingeln, weil um 9 noch nicht das Rollo hochgezogen wurde. @ichbinsophiescholl;2021-08-19T15:50:50.000Z;2 likes;-
15;jessiefuchs1806;Blockwarts gibt es selbst heute noch... die die alles beobachten...;2021-08-19T15:43:08.000Z;1 like;-
16;gwen_gloeckchen;Der Lauscher an der Wand, hört bloß die eigene Schand'! 😂😂 Wie der böse Diener Anatol von Baron Lefuet bei TIM THALER! 😂😂😂;2021-08-19T15:40:52.000Z;1 like;-
17;karinscats61;"Leider gibt es solche Leutenbergs immer noch in Mengen.Heute benutzen sie Handys,machen Videos und denken auch noch sie hätten das Recht auf ihrer Seite.Natürlich nicht!!
Gerade zu Coronazeiten sind sie in den Vordergrund getreten.Was solche Dinge betrifft,hat sich nicht wirklich was geändert.Leider!!";2021-08-19T14:42:44.000Z;4 likes;-
