Link: ;https://www.instagram.com/p/CO3NpGSHm4S/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;nicolevoss94;Ich hätte ihr so sehr ein langes und glückliches Leben mit ihrem Fritz gewünscht :-( ❤️;2021-07-13T21:11:22.000Z;6 likes;-
2;my.kind.of.pics;Waaaaaaahh?!?! Feind hört mit! Vorsicht! Aber schön, dass es schön war 😊😎😘;2021-06-08T21:33:34.000Z;2 likes;-
3;broe0tchen;😳😳😳;2021-05-21T23:40:37.000Z;0;-
4;mxthbitez;👏;2021-05-18T10:26:22.000Z;0;-
5;mxthbitez;Euer rumgemache in der Story ist ebenfalls ekelhaft, byeeee;2021-05-18T10:26:20.000Z;0;-
6;f_12_sehic;Ich finde es wirklich toll wieviel Arbeit und Liebe zum Detail in jeden Beitrag steckt. Sehr gute Idee und Umsetzung. 🙌👏;2021-05-17T20:22:40.000Z;0;-
7;madebylyssa;Die heutige Instastory zu Fritz passt überhaupt nicht ins Konzept. Wer würde sowas Privates teilen? Es bricht irgendwie die Illusion. Bin mir noch nicht sicher, ob das gut ist oder nicht.;2021-05-17T18:37:01.000Z;0;-
8;soko.lada;Ist immer leicht, anderen das Nichtverständnis zu unterstellen. Anscheinend möchtest du nicht verstehen, dass beide Sache unterschiedlich sind. Menschen schränken sich tagtäglich ein, schon allein, damit wir zusammen in einer Gesellschaft leben können. Das hat nun auch nix mit Glaube zu tun.;2021-05-17T01:58:25.000Z;0;-
9;calillyphy;"Liebe Sophie, erzähl mal mehr von deinem Glauben. An was glaubst du? Wer ist Gott für dich? Wie passt dein Glaube zu den Meinungen um dich herum? Hilft er dir manchmal, anders zu denken und zu sein?
Liebe Grüße von Lilly";2021-05-16T13:03:35.000Z;0;-
10;die_eva_vom_adam;❤️;2021-05-15T20:14:02.000Z;0;-
11;netterholger;Aber Sophie, das ist doch eigentlich was ganz natürliches,............eigentlich!!;2021-05-15T19:46:44.000Z;0;-
12;fruehlingadvertising_muenchen;Die ewig nicht auf den Punkt kommenden 🤓;2021-05-15T17:34:02.000Z;0;-
13;intuitiv2000;wo die Liebe hinfällt..geht oft quer durch alle Weltanschauung;2021-05-15T16:07:35.000Z;0;-
14;ein.yazan;Jeder Mensch hat die Pflicht für sein Freiheit zu kämpfen 🇵🇸✊🏾❤️;2021-05-15T16:06:16.000Z;2 likes;-
15;sofyalpine;Bei Sophies storys krieg ich Gänsehaut! 😮;2021-05-15T15:46:40.000Z;1 like;-
16;knit_bike_go;Wow,tolle Story zu folgen. Oft schon versucht mir diese schweren Zeiten vorzustellen! Keep going!👏🏼;2021-05-15T15:46:36.000Z;0;-
