Link: ;https://www.instagram.com/p/COcrpobqzgm/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;itsjustjaybee;Song Name?;2021-08-02T16:53:16.000Z;5 likes;-
2;niniliv_;@suntime666;2021-07-01T20:24:16.000Z;2 likes;-
3;gromov.domino;dem Tod in die Augen schauen(...;2021-06-24T13:43:27.000Z;2 likes;-
4;_dilemmaddy_ice7the1._;Zugfahren. Tschuu-Tschuuu. (Ifmw);2021-05-29T11:13:01.000Z;0;-
5;vi_que_thor_;pas ouf;2021-05-26T13:25:07.000Z;0;-
6;itcanrraine;@roxwandert;2021-05-24T18:35:39.000Z;0;-
7;negin.timo;Achtet niemand auf ihre Krawatte 😂😂😂;2021-05-21T18:48:06.000Z;0;-
8;_ameliemariee_;Mensch Ulm ist doch n tolle Stadt hier Mensch;2021-05-17T19:20:58.000Z;1 like;-
9;_m_v_p_90;@madamkeskiena;2021-05-15T20:55:03.000Z;1 like;-
10;hello_eda1;❤️❤️❤️❤️❤️;2021-05-13T23:42:26.000Z;0;-
11;helmidiflaoui;G'ourgeous;2021-05-13T04:17:14.000Z;0;-
12;tigerlily2.3;🙌❤️🔥👏😢;2021-05-12T20:59:01.000Z;0;-
13;shanduzio_palmer;Ich liebe das! Und Sophie ist 100% rock'n'roll (in the best attitude meaning of that) 🙌🔥;2021-05-12T09:26:32.000Z;0;-
14;francesc0.dr;Finde ich gut;2021-05-12T08:51:09.000Z;0;-
15;ma.rianne4382;👏;2021-05-11T16:41:18.000Z;0;-
16;schoolsven;😍 🚂🚃🚃🚃 ❤️;2021-05-10T12:52:25.000Z;0;-
17;tanjastraumberg;Liebe Sophie, Dein Blick geht immer tief in mich hinein. Danke für die Einblicke in Dein Leben.;2021-05-10T07:48:06.000Z;0;-
18;christiane_serobanyane;Ich fiebere mit. Neue Stadt, neue Eindrücken, neue Abenteuer, aber mit dem Rückhalt der Familie. Ich bin gespannt....;2021-05-10T07:44:02.000Z;0;-
19;binestern1;liebe sophie! pass auf dich auf, aber bitte sei du! ohne dich gäbe es weniger frauen power und die hat/hatte unser land zu allen zeiten bitter nötig. gut reise nach münchen. btw deren fussballclub ist kacke, einfach ignorieren.;2021-05-10T00:59:55.000Z;2 likes;-
20;grandatelier_;Diese Musik;2021-05-10T00:42:52.000Z;2 likes;-
21;missclaudiasan;@giusyesanna qualcosa da seguire;2021-05-09T22:24:34.000Z;0;-
22;sarah.la.amalia;Tolles Projekt. ❤️;2021-05-09T18:10:38.000Z;0;-
23;fidelitas321;❤️❤️❤️;2021-05-09T17:32:02.000Z;1 like;-
24;rosemarieahmeti18;Eine großartiger Account der Sophie Scholl.;2021-05-09T16:47:52.000Z;0;-
25;kaidasoriginal;Einfach cringe😂😂😂😂;2021-05-09T08:13:51.000Z;0;-
26;prinz_david16;Ich komm mit.währ schön München mal zu sehen 😍❤️;2021-05-09T07:43:13.000Z;2 likes;-
27;rita_indigo_blue;ich bin 1989 nach München zum Studieren und für mich war es immer Sophies Stadt 🥲;2021-05-09T07:28:33.000Z;1 like;-
28;missykora;@kurtle1308 Jana aus Kassel ist doch ein Kind, das instrumentalisiert wurde. Richtet euren Hate nicht gegen Kinder. Deren Eltern sind das Problem. Und die ganze Schwurbler-Bubble.;2021-05-09T06:52:12.000Z;0;-
28-1;kurtle1308;@missykora sorry, jana ist 22, Sophie Scholl wurde gerade mal 21, ich denke eine 22 jährige sollte sich ihres handelns bewusst sein, vor allem wenn sie sich mit einer 21 jährigen vergleicht die hingerichtet wurde weil sie Flugblätter verteilte und nich mit einem Megaphon auf einer Bühne vor Publikum gesprochen hat.;2021-05-09T07:39:32.000Z;0;28
28-2;missykora;@kurtle1308 Sorry, habe sie mit diesem Kind verwechselt, das sich mit Anne Frank verglichen hatte. Man kommt bei den bekloppten Querschwurblern einfach durcheinander.;2021-05-13T18:28:08.000Z;1 like;28
29;michel.wengenroth;Wie es sich für eine(n) Studierende(n) gehört, erstmal eine Packung Drogen eingeworfen, wie in der Sequenz dem@Gesichtsausdruck zu entnehmen ist.;2021-05-08T22:16:46.000Z;0;-
30;masihmsvi;❤️❤️❤️❤️❤️❤️❤️;2021-05-08T20:41:54.000Z;0;-
31;yomaart;Hättest Du damals gedacht, dass Du einmal die berühmteste Studentin der ganzen Welt werden würdest? ❤️ Und das nur mit so etwas kleinem wie der FREIEN Meinung ❤️;2021-05-08T18:49:14.000Z;1 like;-
32;wolf.2304;Es ist so unglaublich gut was Ihr da macht;2021-05-08T18:00:32.000Z;3 likes;-
33;egres65;"München .. da gibt's im nördlichen Vorort D... ein ""Ferienlager"" 😭😭";2021-05-08T14:37:19.000Z;0;-
34;egres65;Erstes Geschmack von Freiheit...;2021-05-08T14:34:07.000Z;0;-
35;kerstin_willi_;Ich finde die Idee grandios 👏👏👏;2021-05-08T14:10:02.000Z;0;-
36;12wo63;Liebe Sophie gut Reise und guten Start München - aber unser Ulm ist zum Leben auch nicht zu verachten.;2021-05-08T12:42:10.000Z;0;-
37;ulmentdecken;Doch Ulm wird dich nie vergessen ❤️;2021-05-08T09:27:44.000Z;4 likes;-
38;albertklotzbuecher;🙌;2021-05-08T09:21:42.000Z;0;-
39;cassiamichelle;@dedaaladim Olha que genial!!!!❤️;2021-05-08T09:10:02.000Z;1 like;-
40;anettehaas.offiziell;🙌🙌🙌;2021-05-08T06:50:28.000Z;0;-
41;pedro.meier;🤩;2021-05-08T00:02:30.000Z;0;-
42;focuszarts;Sophie! Wie Du wollte ich sein! Deinen Haarschnitt fand ich toll, und dann, deinen Mut!!!!!! Du warst mein Idol in Teenagertagen, und heute bist Du Lehrmeisterin! Toll dass Du #trotzalledem so ganz und gar lebendig bist! Du lebst in uns, du lebst durch uns! ❤️❤️❤️❤️❤️;2021-05-07T22:36:52.000Z;3 likes;-
43;_roland_mg;👏👏;2021-05-07T20:49:18.000Z;0;-
44;miriam_eva_hofmann_art;Ein wirklich tolles Projekt. Aber auch erschreckend realistisch.;2021-05-07T19:21:05.000Z;1 like;-
45;jasminpiratenherz;Tolles Projekt! 👏👏👏;2021-05-07T19:15:21.000Z;0;-
46;valentina.cavola;@four__r @anasousek schaut euch bitte dieses tolle Projekt an! So schön gemacht!!!! 😍;2021-05-07T18:51:23.000Z;0;-
47;juppyjei;👏;2021-05-07T17:48:40.000Z;1 like;-
48;vineyard.snail;Ich finde es ein SO wichtiges Projekt 👍🏼 und versuche meine 13 jährige (Gymnasium) dazu zu begeistern... sie erzählt mir ernsthaft sie haben dazu noch nie etwas im Unterricht gehört. Auch für die jüngere Generation gehört diese grausame Zeit und die Mutigen gegen den Wahnsinn unbedingt auch im Unterricht besprochen. Altersentsprechend natürlich. Ich freue mich nun diese mutigen jungen Menschen auf I nsta begleiten zu dürfen ❤️;2021-05-07T17:18:06.000Z;1 like;-
49;marenschueler;Es ist etwas unheimlich und sehr berührend in die Zeit einzutauchen. Auch mit dem Hintergrund, das der Schluss bekannt ist. Viel Erfolg und das viele erreicht werden.;2021-05-07T14:42:43.000Z;0;-
50;justshen;Großartige Idee!;2021-05-07T14:19:30.000Z;0;-
51;pompeomiyy;Echt spannend! Ulm ist auch schön.;2021-05-07T14:02:44.000Z;0;-
52;_tarei_;👏👏👏👏;2021-05-07T12:33:17.000Z;1 like;-
53;georgdus;Viel Spaß in München, Sophie! Ich halte hier an der Donau die Stellung und denk an Dich 😍. Pass gut auf Dich auf in der großen Stadt 😉;2021-05-07T12:17:31.000Z;1 like;-
54;trizy_t;Bitte Feature mit Jana aus Kassel 😄;2021-05-07T10:21:12.000Z;0;-
55;mehrfreitage;Bin gespannt auf die Insta Serie!🙌;2021-05-07T08:56:58.000Z;0;-
56;domiimanuel;#philosophiesophie;2021-05-07T08:46:06.000Z;1 like;-
57;mara_bo_90;Dieses Projekt sollte es mit Anne Frank auch geben... oder gab es das bereits? Einfach toll ihre Geschichte auch mal so zu erleben. Buch und Verfilmung bereits vor langer Zeit gelesen/ gesehen. Aber ihre Geschichte so umzusetzen und so den Menschen näher zu bringen, einfach Klasse Idee! 👏;2021-05-07T08:33:39.000Z;2 likes;-
58;michalski_manuel;Ein tolles Projekt und eine (bisher) tolle Umsetzung mit Liebe zum Detail. Vielen Dank dafür! Und wieder ein Paradebeispiel dafür, weshalb die öffentlich-rechtlichen Rundfunkanstalten richtig und wichtig sind. 👏👏❤️;2021-05-07T08:14:15.000Z;2 likes;-
59;umichler;Tolle Idee und toll gemacht , super Schauspieler! So ist Instagram gut zu nutzen #ichbinsophiescholl sehr empfehlenswert!!!;2021-05-07T07:39:58.000Z;1 like;-
60;rossi_vom_nok;Wie großartig ist diese Idee👏 was für ein Projekt 👏 Sophie, ich werde dich begleiten ❤️;2021-05-07T07:37:00.000Z;0;-
61;christophhank;Es berührt mich. ❤️;2021-05-07T07:33:58.000Z;0;-
62;uli_miner;"Ich finde die Idee auch super. Da dadurch die jüngere Generation es auch nochmal ""hautnah"" mitbekommt, wie das alles ablief";2021-05-07T07:19:14.000Z;0;-
63;ste_pe.fb;Grandiose Idee!! 👍;2021-05-07T05:48:05.000Z;0;-
64;marcus.gartner;Wunderbares Format!! Mit Abstand das Sinnvollste, was ich je auf Instagramm gesehen habe. Liebe Sophie, danke, dass Du hier Deine Geschichte teilst. Pass gut auf Dich und Hans auf.;2021-05-07T05:05:04.000Z;1 like;-
65;irafuckinghoehne;Starke Aktion!🔥👏;2021-05-07T03:53:34.000Z;0;-
66;biggi.gldstrn;Das ist ein wirklich grandioses Projekt! Danke!;2021-05-06T20:35:56.000Z;1 like;-
67;konsti_k_1969;Wow, bin total begeistert von der Umsetzung. Die Mitglieder der weißen Rose waren Helden, die für Ihre mutigen Taten mit dem Leben bezahlt haben. Es ist auch nach so langer Zeit einfach nur traurig. Aber die Dämonen leben ja leider immer noch. Siehe „Fliegenschiss in der Deutschen Geschichte“. Einfach nur widerlich 🤮;2021-05-06T19:39:47.000Z;1 like;-
68;freiburgurban;Schade, dass es das nur auf Instagram gibt, wäre doch kein Problem parallel auch YouTube und ... zu bespielen. Würde noch einmal mehr Publikum erschließen...;2021-05-06T18:31:10.000Z;2 likes;-
69;schauspieler_stephanbach;Grandioser Idee Geschichte gegenwärtig werden zu lassen und Menschen von heute damit zu bewegen.👏👏👏👏👏👏;2021-05-06T18:06:12.000Z;3 likes;-
70;dandi2012;Liebe Sophie, guten Start in München und viel Erfolg, um Deinem Ziel näher zu kommen 👍🙋;2021-05-06T17:53:37.000Z;1 like;-
71;kirstin9975;❤️;2021-05-06T17:52:17.000Z;0;-
72;mvonrosenzweig;👏;2021-05-06T17:04:25.000Z;0;-
73;krauterkerstin;@rocza74 coole Sache;2021-05-06T16:35:09.000Z;0;-
74;huerm05;❤️;2021-05-06T15:39:58.000Z;0;-
75;barbaranie24;❤️;2021-05-06T15:38:56.000Z;0;-
76;kevinkessler123;@ch.loves.t;2021-05-06T15:03:20.000Z;0;-
77;lutz_rudi;sehr kreativ ! äußerst kreativ !;2021-05-06T14:49:52.000Z;0;-
78;streckerin;SUPER - würde es gerne weiterleiten...;2021-05-06T13:46:26.000Z;0;-
79;peter.thijssen.370;❤️🥲;2021-05-06T13:21:40.000Z;0;-
80;alexwhite1974;👏Tolle Idee! Auch wenn das Ende tragisch ist…;2021-05-06T13:14:35.000Z;0;-
81;annie_henning_bayern;Super Projekt;2021-05-06T12:28:14.000Z;0;-
82;birte_1973;Ein wahnsinnig gutes und wertvolles Projekt - Danke !!!;2021-05-06T11:49:33.000Z;0;-
83;bodyfitmamas;Super Projekt, ich werde Dich auf Deiner Reise begleiten!;2021-05-06T11:45:27.000Z;0;-
84;mannistderdick;Schreib‘ uns über deinen Favourite Bierkeller!;2021-05-06T11:20:02.000Z;0;-
85;_dorian_z;cringinaut;2021-05-06T10:55:41.000Z;1 like;-
86;_juwolf_;Ulm ist doch auch schön :);2021-05-06T10:54:31.000Z;0;-
87;madseurs;Ich hoff keiner von euch spoilert, was da noch passiert 😫;2021-05-06T10:54:06.000Z;0;-
88;aennerose;❤️;2021-05-06T10:51:42.000Z;0;-
89;bigiwaga;Wow! Einfach nur Wow für dieses Gänsehaut Projekt! ❤️;2021-05-06T10:45:51.000Z;0;-
90;bibibro68;Geschichte erleben, hautnah, find ich gut.Tolle Idee! Erinnerung an die Geschwister Scholl,;2021-05-06T10:38:53.000Z;0;-
91;fibu_462;😍;2021-05-06T10:12:23.000Z;0;-
92;mellybackt;"Ich bin gerade so sehr gegangen... Es ist faszinierend, wie authentisch es ist. So wird wahre Geschichte weitergegeben und viele junge Menschen können die damalige Zeit noch besser verstehen.
Mega Projekt und ich bin trotzdem gespannt, obwohl ich weiß, wie das Ende ist... Nimm uns mit, auf deinen Weg @ichbinsophiescholl 👏👏👏";2021-05-06T10:10:41.000Z;1 like;-
93;benzereva;@benzerida und @benzerjulius;2021-05-06T10:03:50.000Z;0;-
94;w_chris;cooles Projekt 🙌;2021-05-06T09:46:57.000Z;0;-
95;zullarin;Ich freue mich sehr!!;2021-05-06T09:25:29.000Z;0;-
96;ayham.a11;aber Ulm ist doch sehr schön 👍;2021-05-06T09:04:17.000Z;0;-
97;tremola2;Viel Erfolg im Studium und jede Menge Spass in München Sophia.;2021-05-06T08:48:47.000Z;0;-
98;hlnclgn;@miriam.litschel endlich nicht mehr in Ulm feststecken 😉;2021-05-06T08:06:44.000Z;1 like;-
99;lavitaebella_lanie;Unfassbares Projekt! Es fühlt sich so real an und die Sequenzen mit den Originalaufnahmen verursachen mir Gänsehaut. Als wäre Sophie wieder auferstanden um ihre Geschichte noch einmal zu erzählen. ❤️ berührend und stark... das wird in Erinnerung bleiben. Danke dafür.;2021-05-06T07:55:20.000Z;1 like;-
100;jule_gri;Cool wären UT gewesen... Inklusion und so;2021-05-06T07:42:55.000Z;1 like;-
101;blumen.reich;Besser kann man Geschichte nicht vermitteln. Das sollte mein alter Geschichtslehrer sehen!!!! 👏;2021-05-06T07:11:33.000Z;0;-
102;astudillojr;Name of the song?;2021-05-06T07:00:53.000Z;1 like;-
103;albert.klamt;Ganz tolle Aktion! Gratuliere!;2021-05-06T06:40:40.000Z;0;-
104;trudoku;Mega starkes Projekt 👏👏;2021-05-06T06:35:18.000Z;2 likes;-
105;trudoku;Mega starkes Projekt 👏👏;2021-05-06T06:35:05.000Z;10 likes;-
106;bianka3wald;Vielleicht kannst du den Text erst in Deutsch und danach in Englisch schreiben. So machen es viele junge Menschen heute.;2021-05-06T04:47:43.000Z;1 like;-
107;setareh_shajiei;Please write in English;2021-05-05T22:31:09.000Z;0;-
108;jolenzart;Grandiose Idee und Umsetzung ❤️👏;2021-05-05T22:03:43.000Z;0;-
109;erlenzeisig;Chapeau für dieses Projekt! 🏆 #instakannwas;2021-05-05T21:31:48.000Z;1 like;-
110;vschn;Danke für die Empfehlung @gerdjooss 😍;2021-05-05T21:20:23.000Z;0;-
111;__pinar__k__;So eine tolle Idee👏👏;2021-05-05T21:17:54.000Z;1 like;-
112;olkllobklbjn____cvbnk;🔥;2021-05-05T20:01:38.000Z;0;-
113;anne_horn_13;🙌;2021-05-05T19:39:02.000Z;0;-
114;schulte.rene;Großartig gemacht! Wahnsinn. idee!;2021-05-05T19:26:31.000Z;0;-
115;tinalisa.bt;Ich bin gespannt was kommt😍😮habe aber auch Angst was damals passierte😢;2021-05-05T19:19:41.000Z;0;-
116;joline_dan_;Die Idee ist super unglaublich gut. Das ch komme direkt rein in die Geschichte! Mehr davon 😍;2021-05-05T18:19:05.000Z;0;-
117;maritaschmid5;👏👏👏;2021-05-05T18:10:47.000Z;0;-
118;alongcomesmarrry;👏👏 Starke Idee!!;2021-05-05T18:08:13.000Z;0;-
119;fsrpicsartisfun;Alles Gute!!!!! (Was für ein tolles Projekt!👏);2021-05-05T17:34:32.000Z;0;-
120;mulis_55;Gab es genau das gleiche nicht bereits vor ein paar Jahren?;2021-05-05T17:22:01.000Z;0;-
120-1;mulis_55;@mulis_55 ist natürlich trotzdem toll die Idee. Ich habe nur gerade ein Deja-Vu.;2021-05-05T17:22:42.000Z;0;120
