Link: ;https://www.instagram.com/p/CX_m_fiMCy5/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;ansgarwfl;Jo mit der ganzen Familie hoffentlich kommt zu deiner Gruppe noch einige dazu die gegen den Nationalsozialismus ankämpfen;2022-01-12T05:54:41.000Z;0;-
2;alex.re;@ninaceeline würdest du nicht kommen, obwohl man in einer Zeit ist wo man nicht weis, ob man sich überhaupt nochmal wieder sieht, wären wir die längste Zeit Freunde gewesen 😂;2021-12-28T13:08:18.000Z;0;-
3;gwen_gloeckchen;Hehe, liebe Sophie! Das klang ja nach einem schönen Abend! Toll, dass du Gisela treffen konntest! Ich werde meine Freunde erst auf der Arbeit im Januar wieder treffen. Wir haben uns 4 Wochen lang nicht gesehen und viel zu erzählen! Liebe Grüße an deine Familie und Gisela!;2021-12-28T12:54:30.000Z;3 likes;-
4;netterholger;Ich bin an Weihnachten immer mit meinen Eltern zusammen, dann mit meiner Freundin.......die Hälfte meiner Verwandten ist ja tod, Großeltern habe ich auch keine mehr...............und mit den meisten Verwandten, die ich habe, habe ich eigentlich nichts mehr zu tun,..........will ich teilweise auch nicht mehr, ich habe auch meinen Grund dafür! 'Gisela' heißt auch eine Freundin von meiner Mutter! Es ist ja jetzt das 2. Weihnachten mit der Pandemie,..........also sind jetzt generell Zusammenkünfte schwieriger............... Ich habe dir beim letzten Mal schon geschrieben 'du bist ein hübsches Mädchen Sophie.;2021-12-28T12:34:27.000Z;0;-
5;xpi.ax;Das ist soo brutal spannend … krauchenwies ist keine 30 Minuten von mir weg;2021-12-28T06:52:54.000Z;0;-
6;seebaer_cacher;Corona macht einer Familienfeier einen Strich durch die Rechnung 😢😢;2021-12-28T06:34:17.000Z;0;-
7;ninak_szenografie;Genauso wird's gemacht - erst Familietage und dann Freundestage 😍;2021-12-28T00:33:54.000Z;0;-
8;sina.do.mar;"Was wurde aus Gisela und weiß man, wie sie zur Weißen Rose stand?
P.S.: Danke für eure tolle Arbeit 🧡";2021-12-28T00:33:43.000Z;1 like;-
9;printsbydominique;Gisela hat eine richtig verschärfte häkeljacke an;2021-12-27T23:07:32.000Z;0;-
10;christine.binggeli;❤️;2021-12-27T23:01:18.000Z;0;-
11;christinebernardwrites;Immer!;2021-12-27T22:41:28.000Z;0;-
12;angry.jigglypuff_;Die guten Krüge vom Hofbräuhaus 😂🔥;2021-12-27T22:38:59.000Z;1 like;-
13;kati_schwalbe;Ja, in der Zeit kurz vor Weihnachten treffe ich mich seit Jahren meistens mit zwei Schulfreundinnen. Und meine großen Töchter treffen ihr alten Klassenkameraden immer auf dem Weihnachtsmarkt!;2021-12-27T22:13:44.000Z;1 like;-
14;lina_greeen;Wie hat man damals alle gebeten, dass sich alle treffen? Eine WhatsApp Gruppe gabs ja nicht... Kam mir gerade in den Sinn und konnte auf die schnelle keine Antwort finden. Möglicherweise allen einen Brief schreiben.;2021-12-27T22:08:26.000Z;3 likes;-
15;thehadestation;Wer war Lisa, die beste Freundin von @ichbinsophiescholl?;2021-12-27T21:15:43.000Z;1 like;-
16;frau.goe.geht.uber.regenwolken;Oh ja, und ich freu mich drauf 🧡;2021-12-27T21:05:03.000Z;0;-
17;annie_henning_bayern;Ist sie nicht Hans nächste Freundin?;2021-12-27T20:54:13.000Z;1 like;-
18;diesesinstamaedchen_;Der Pulli ist sooo schön 😍;2021-12-27T20:06:51.000Z;2 likes;-
19;changed.by.popular.demand;"„Als ab 1939 viele Güter kriegsbedingt knapp wurden, mussten die Brauereien ihre Rezepturen ändern. Viele der meist männlichen Arbeiter wurden nach und nach zur Wehrmacht eingezogen, die Mitarbeiterzahlen sanken. Um weiter ausreichend produzieren zu können, mussten andere Produktionshelfer her. Das waren vor allem deutsche Frauen, aber auch Zwangsarbeiterinnen und Zwangsarbeiter, deren Arbeitskraft sich schonungslos nutzen ließ.

Der italienische Militärinternierte Cesarino Taccioli erinnert sich: „In den letzten Kriegsmonaten waren wir länger bei der Brauerei Engelhardt in Alt-Stralau beschäftigt. Wir haben dort Flaschen gewaschen und dem Werkstischler geholfen, die bei den Bombenangriffen zerstörten Fenster mit Holzlatten zu vernageln. Nach einem Angriff mussten wir Trümmer wegräumen. Ich war furchtbar erschöpft und bin auf eine Schaufel gestützt eingeschlafen. Ein Ingenieur ‚erwischte‘ mich und trat mir in den Hintern, so dass ich auf die Trümmer flog.““

https://www.ns-zwangsarbeit.de/recherche/spuren/bier/";2021-12-27T19:29:37.000Z;5 likes;-
20;edelhose_;So ne Gisela brauch ich auch 😀😀😀;2021-12-27T19:06:43.000Z;1 like;-
21;irene.garbe3;Versuche es;2021-12-27T18:38:00.000Z;1 like;-
