Link: ;https://www.instagram.com/p/CYZPor4sSVt/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;sandylein1983;"eigentlich ein guter plan, um nicht aufzufallen👏 aber leider hat es ja nicht geklappt;-(";2022-02-18T21:02:39.000Z;0;-
2;stephan.frederik.becker;Ich mach mit!!;2022-01-09T10:29:38.000Z;0;-
3;moremojo2019;Ich sehe eure Seite das erste mal und verstehe die Intension nicht… vergleicht ihr euch mit Sophie Scholl mit der Sicherheit im Nacken dass ihr völlig safe seid?😳;2022-01-09T09:26:03.000Z;0;-
4;aunterra;Ich hab Angst um euch …;2022-01-08T08:55:38.000Z;1 like;-
5;daniel.rausch.rlp;Gute Idee, die Adressen zu tippen. Und aus verschiedenen Städten abschicken macht auch Sinn. 👏;2022-01-08T06:55:12.000Z;0;-
6;cosmicbluesc;Eigentlich lustig, dass der Adolf auf den Briefmarken war. Da konnte jede/-r Deutsche den Föööhrrer von hinten lecken😂😂;2022-01-07T22:26:43.000Z;0;-
7;anke_nini;Das stelle ich mir wirklich schwierig vor: euer Risiko minimieren und gleichzeitig möglichst viele Menschen zu erreichen. Wer ist da Gleichgesinnter und wer Verräter? Kennt Ihr Menschen um Graf Stauffenberg oder Georg Elser? Wird in Zeitungen von „Widerstand“ berichtet? Seid wachsam. 👏;2022-01-07T11:08:14.000Z;0;-
8;olivia_flatzlsteiner;"@ichbinsophiescholl ist das nicht sehr gefährlich bzw auch in einer Art ungerecht, irgendwelche Leute aus dem Telefonbuch zu suchen und denen ein Flugblatt zu kommen lassen? Da könnten ja dann die Adressierten Personen auch Probleme bekommen mit denen sie gar nichts zu tun hatten?? Oder wie hat man sich das gedacht?
Danke für eure Antwort :)";2022-01-07T10:43:06.000Z;0;-
9;aurelia_061105;Steht dann dort nicht eure Adresse als Absender drauf?;2022-01-07T06:37:46.000Z;0;-
10;michaela_hanauer;Die Idee ist gut, aber bleibt vorsichtig und werft die Briefe möglichst einzeln ein. Die sind leider wachsam und misstrauisch!;2022-01-06T21:02:02.000Z;0;-
11;waldundwiesenmann;Richtig gefährlich, was ihr da macht. Aber absolute Hochachtung - ich denke, ihr bringt alles auf den Punkt. Ich schäme mich für mein Land und für mich, dass ich nicht euren Mut habe...;2022-01-06T19:55:56.000Z;3 likes;-
12;elakuehn72;Seid bitte vorsichtig! Das klingt doch alles sehr riskant ... ich hoffe euer Mut wird belohnt und Flugblätter erreichen die richtigen Leute 🍀;2022-01-06T19:28:10.000Z;0;-
13;katharina.helling;"Die neue Story irritiert mich. Sophie wollte den Krieg nicht unterstützen und in gewisser Weise sabotierte sie, in dem sie keine Spenden an das Winterhilfswerk gibt. Im Sommer überlegte sie wie im RAD die Munition manipulieren kann (unklar, ob sie es machte). Hier gab‘s dazu glaub sogar ne „Umfrage“ was man alles machen könnte. In einem Flugblatt der Weißen Rose wird zu passivem Widerstand und Sabotage aufgerufen… und heute ist Sophie dagegen, weil das Terror wäre??
Und zu dem Post neulich o Sophie nach dem Papierklau so mutig war, dass sie Hitler erschießen wollte passt es auch nicht … (das war durch einen anderen Kontext „in echt“ zwar eh anders, aber habt ihr‘s halt so erzählt…)
Das ist doch ein kompletter Widerspruch?";2022-01-06T18:52:33.000Z;5 likes;-
14;tiine.jkl;Deiner bzw eurer Geschichte so folgen zu können macht Geschichte lebendiger. DANKE dafür. Allerdings sehe ich deswegen auch den Februar ungern entgegen - könnte man die Zeit für euch zurück drehen und ändern.;2022-01-06T18:19:50.000Z;11 likes;-
15;andreahotopp;Ihr seid so mutig 👏🏻👏🏻👏🏻. Passt bitte extrem gut aufeinander auf. Wenn irgendetwas nicht stimmt und wenn es nur ein Gefühl ist, brecht die Aktion bitte sofort ab.;2022-01-06T18:17:09.000Z;0;-
16;istnichtwahr2020;Riskant;2022-01-06T17:48:33.000Z;0;-
17;jutta_stern_;@ichbinsophiescholl Liebe Sophie, wie viele verschiedene flugblätter habt ihr verschickt?;2022-01-06T17:47:00.000Z;1 like;-
18;dietmar666;Schöne geschichte😍;2022-01-06T17:43:01.000Z;0;-
19;katidrescher;Wird dieser Account über den 22. Feb 22 hinausgehen, also dann noch ein Jahr?;2022-01-06T17:22:05.000Z;3 likes;-
20;irene.garbe3;Seit vorsichtig;2022-01-06T17:19:41.000Z;0;-
21;feeligran;Ihr seid so mutig. 😍 Und es ist so spannend, die Geschichte zu verfolgen. Ich muss sagen, ich lese oft, nach euren Posts, was nach. So Vieles, dass ich nicht wusste. ❤️;2022-01-06T17:15:57.000Z;42 likes;-
22;meinejungseundich;"Ich frage mich gerade wie es so schnell von ""wir wollen uns nicht noch mehr in Gefahr bringen"" zu der Aktion im Lichthof kam.";2022-01-06T17:12:39.000Z;2 likes;-
23;nin.rckmn;das mit den Kurieren finde ich etwas riskant;2022-01-06T17:08:40.000Z;1 like;-
24;christian.g.hirsch;Sehr guter Plan. Zeigt uns doch mal Euer Flugblatt. Wir würden auch gerne wissen, was Ihr schreibt..!;2022-01-06T17:06:02.000Z;4 likes;-
25;ava.santimea;mutig!;2022-01-06T17:00:02.000Z;0;-
26;gwen_gloeckchen;Verteilt euch gut und lasst euch ja nicht erwischen!! Viel Glück! 🍀🍀🍀🍀;2022-01-06T16:53:20.000Z;10 likes;-
27;liehtug;Das ist eine super Idee! Aber kauft die Briefmarken am besten auch in den anderen Städten. Und nicht im Umkreis von München genau gleich weit weg fahren. Wenn man alle Punkte auf einer Karte markiert sieht man sonst wieder sehr schnell, wo ihr seid;2022-01-06T16:49:41.000Z;8 likes;-
28;jenn_yh;Gefährlich! Passt auf euch auf.;2022-01-06T16:43:51.000Z;1 like;-
29;_dream._.horse_;Passt gut auf euch auf. Wir wissen leider alle das die Gestapo leider viel zu viel mitbekommt!;2022-01-06T16:43:06.000Z;0;-
30;changed.by.popular.demand;"6. Januar 1943
1.Um den U-Boot-Bau voranzutreiben, ordnet Adolf Hitler den Baustopp für Großkampfschiffe an. Großadmiral Erich Raeder tritt daraufhin als Oberbefehlshaber der Marine zurück und wird durch Großadmiral Karl Dönitz ersetzt.

Reichsführer SS Heinrich Himmler erlässt eine “Durchführungsbestimmung für Exekutionen” in Konzentrationslagern.

Auf einer Kundgebung der Nationalsozialistischen Deutschen Arbeiterpartei in Breslau betont Reichsjustizminister Otto Georg Thierack die ideologische Bindung der deutschen Rechtsprechung.";2022-01-06T16:39:16.000Z;10 likes;-
