Link: ;https://www.instagram.com/p/CPOLN4gqi3k/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;slytherinmuslima;Irre ich mich, oder hat Fritz die Gruppe später nicht unterstützt?;2021-05-29T22:33:39.000Z;8 likes;-
1-1;mido.s_05;@slytherinmuslima ja ich glaube, aber eben erst später;2021-09-26T21:25:45.000Z;1 like;1
2;chief_karsten;Ein tolles Projekt. Diese Stories sollten sich mal die #querdenker anschauen, die sich öffentlich mit Sophie Scholl vergleichen. Und dann mal ihren Verstand einschalten (das, was noch davon da ist...).;2021-05-28T06:16:28.000Z;10 likes;-
3;plasa_gemeinschaft;"""Belügen musst du mich nicht, aber ich will es auch nicht wissen""...das muss Liebe sein :D";2021-05-26T17:18:07.000Z;10 likes;-
4;plasa_gemeinschaft;"Bei der Scene mit Fritz dachte ich mir bloß - ""warum zur hölle filmt man sowas und stellt es dann noch bei Insta rein"" :D

aber evtl. bin ich auch einfach nur zu alt :P";2021-05-26T17:14:36.000Z;1 like;-
5;josieeliv;absolute liebslingsseite 😍;2021-05-26T04:58:42.000Z;0;-
6;sarah.und.andre;"Wow - das ist so super gemacht! 👏
Es ist krass zu sehen, wie viel Mut Sophie Scholl zusammengenommen hat um etwas zu bewegen! Respekt für die Schauspielkunst, die Idee und natürlich am allermeisten an Sophie Scholl selbst. Davon lebt unsere Freiheit! ❤️";2021-05-25T06:51:34.000Z;1 like;-
7;sarah.und.andre;"Wow - das ist so super gemacht! 👏
Es ist krass zu sehen, wie viel Mut Sophie Scholl zusammengenommen hat um etwas zu bewegen! Respekt für die Schauspielkunst, die Idee und natürlich am allermeisten an Sophie Scholl selbst. Davon lebt unsere Freiheit! ❤️";2021-05-25T06:51:18.000Z;0;-
8;paulamagdalena3004;Das ist ein so schönes und tolles Projekt 🤩👍🏼 so viel lerne ich noch, obwohl das in der Schule früher natürlich auch dran kam und so. Ganz toll!! 💕 ❤️😍;2021-05-25T03:48:26.000Z;1 like;-
9;clau_de_lau;Ja, Krieg macht hart und taub. Wundere mich, wie Sophie als Offizier gewesen wäre.;2021-05-24T16:26:42.000Z;0;-
10;der_philanthrop_1961;Sophie wann besuchst du das Schloss in Forchtenberg im schönen Hohenlohe wieder? Deine Jugendfreunde warten auf dich!💞🎂🍰;2021-05-24T13:11:11.000Z;0;-
11;tivios007;Was für ein tolles Projekt 👏Sophie meine Liebe du bist eine so tolle und taffe junge Frau😍;2021-05-24T12:10:21.000Z;1 like;-
12;zekeriya.hidayet;Das ist die dümmste seite auf insta alter;2021-05-24T11:09:44.000Z;0;-
13;chrissieb78;Danke für dieses Geschichts-Projekt!;2021-05-24T10:43:08.000Z;0;-
14;atlantic_captain;👏;2021-05-24T10:25:07.000Z;1 like;-
15;itisaliaaaa;Ist Sophie Scholl schon der weissenrose beigetreten?;2021-05-24T09:56:33.000Z;18 likes;-
15-1;ichbinsophiescholl;@itisaliaaaa #teamsoffer noch möchte ihr Bruder Hans Sophie aus der Sache raushalten, aber das klappt nicht mehr lange.;2021-05-24T11:44:06.000Z;43 likes;15
16;beaimfluss;Ich bin auch tief beeindruckt von eurer Arbeit und der fantastischen @lunawedler. Gerade in unserer besonderen Zeit, die wieder viel polarisiert, ein wichtiger Beitrag. Danke.;2021-05-24T09:46:14.000Z;2 likes;-
17;tomsl10;unglaublich was ihr da geschaffen habt, so real, so echt, so berührend ... ganz großes Kino 😍😍😍😍😍;2021-05-24T09:40:29.000Z;1 like;-
18;vronikiefer;Und für ichbinsophiescholl: es ist unfassbar, wie Ihr hier scheinbar mühelos Schauspiel neu definiert. Es ist gar nicht anders möglich als zu unterschätzen, was es an neuem in diesem Handwerk, in der Technik und im Hereingeben erfordert. Keine Kamera rückt dir so fühlbar und so lange so sehr auf die Haut, und nirgendwo, nicht im Theater, Fernsehen oder Film, gibt es so viele Metaebenen und zusätzliches Handling. Ich zieht alle meine Hüte und behaupte, Ihr habt eine kleine Revolution geschaffen.;2021-05-24T09:01:02.000Z;5 likes;-
19;vronikiefer;Zuerst einmal an Sophie: ich sitze hier mit Tränen in den Augen. Ich würde Dich so gerne beschützen, Dich wegbringen aus diesem vergifteten Land, Dich abhalten von der Katastrophe, auf die Du unweigerlich zusteuerst. Und doch weiß ich, dass Du das Richtige tust und die richtigen Entscheidungen triffst, in allem.;2021-05-24T09:00:12.000Z;10 likes;-
20;hauptstadtlady50;Grandios 👏 danke 🙏. 🙋‍🌞😍.;2021-05-24T08:56:03.000Z;0;-
21;d4ve_1204;Wtf was das für ein acc ?? Äußerst dubios...;2021-05-24T08:48:16.000Z;0;-
22;tuta1956;"Ich bin etwas älter, nach dem Krieg geboren.
Finde es aber auch toll, wie ihr hier diese tolle Frau darstellt. Bin begeistert!
Weiter so!";2021-05-24T08:33:34.000Z;0;-
23;juttahue;Sie kommt mir so nah, diese Frau, diese furchtbare Zeit. Ich frage mich immer wieder, hätte ich das auch gekonnt, gemacht? Hätte ich diesen Mut aufgebracht? Danke für dieses wunderbare Projekt 🙏;2021-05-24T08:26:53.000Z;1 like;-
24;der_philanthrop_1961;Sophie wann besuchst du das Schloss in Forchtenberg im schönen Hohenlohe wieder? Deine Jugendfreunde warten auf dich!💞🎂🍰;2021-05-24T07:39:36.000Z;0;-
25;deutsche_wandfarbe;Ich hatte anfangs Zweifel, allerdings muss ich sagen, dass mich die Posts über Zeit mehr und mehr interessiert haben. Gute Arbeit!;2021-05-24T06:08:18.000Z;35 likes;-
25-1;ichbinsophiescholl;@deutsche_wandfarbe #teamsoffer um so mehr freuen wir uns, dass du dabei geblieben bist! :);2021-05-24T09:32:34.000Z;7 likes;25
26;codingkurzgeschichten;Euer Projekt ist etwas wirklich Besonderes. Ich bin gespannt, wie es im nächsten Februar ablaufen wird…;2021-05-24T05:01:28.000Z;0;-
27;bernko62;Ich bin total begeistert, weil es einem bewusst macht, wie die Sophie zum einen ihren Alltag meistert, wie zerissen ihre Gedanken waren. Es ist total gut die Historie verknüpft mit der Neuzeit und so vermischen sich die Fragen, wie würde wohl Sophie 2021 alles tun. Was hätten wir 1942 getan? Macht weiter so! Das Hinterfragen der Geschichte um die Zukunft besser zu machen.;2021-05-24T01:13:35.000Z;10 likes;-
27-1;bernko62;@amanleian ja klar wird auch bei Filmen etwas weg gelassen, aber wie im jetzt wird doch gerade das Tageswichtige mitgeteilt und so setzt sich das Puzzle zusammen. Einfach gfnial;2021-05-25T13:22:45.000Z;0;27
28;klaus.roeder.75;Es treibt mich regelrecht um, was wohl Sophie Scholl dazu gesagt hätte, wenn sie euer tolles Projekt sehen würde ! Wäre sie begeistert, oder wollte sie diesen ganzen Hype um ihre Person gar nicht. Wir werden es nie erfahren. Du;2021-05-24T01:12:32.000Z;0;-
29;serdar.moves;Ein wirklich tolles Projekt 👏👏;2021-05-23T22:15:58.000Z;2 likes;-
30;tiertina;Von Herzen Dank für dieses kostbare Projekt, das dieser Heldin so gerecht wird;2021-05-23T22:13:27.000Z;3 likes;-
31;greenbutler.eu;👏;2021-05-23T22:05:43.000Z;1 like;-
32;pamhiltl;Das ist mega 💪👍;2021-05-23T20:48:17.000Z;2 likes;-
33;jennys_bunte_welt;Tolle Frau 👏;2021-05-23T20:35:18.000Z;1 like;-
34;kairosenfeld;Geschichte mit diesem Medium, auf diese Art erzählt, ist so brilliant und lässt es so lebendig und echt werden. Das würde ein Spielfilm nicht erreichen. Ganz große Hochachtung für dieses Projekt!;2021-05-23T20:15:02.000Z;81 likes;-
34-1;ichbinsophiescholl;@kairosenfeld #teamsoffer vielen Dank und schön, dass du dabei bist! :);2021-05-24T09:30:16.000Z;5 likes;34
