Link: ;https://www.instagram.com/p/CYlfB4SM0Ux/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;netterholger;Wenn die Angst nicht zu stark ist, kann man sie verbergen. Sophie, mache weiter, du machst das ganze nicht umsonst. Ein mutiges Mädchen bist du.;2022-01-14T00:06:54.000Z;0;-
2;buecherjunge_dd;Es wird langsam ernst. Trotzdem möchte ich bemerken, dass Sophie Scholl vermutlich nicht von Studierenden, sondern von Studenten gesprochen hätte. Nehme ich an.;2022-01-13T22:43:51.000Z;0;-
3;mal.ve;Lisl ist soviel ich weiß bei meiner Großmutter, der Schwester von Fritz untergekommen solange die Eltern im Gefängnis waren. Sie hat dann später Fritz geheiratet und ich denke ihr verdankt man auch dass die Schuld der Deutschen in dem Schicksal der beiden „Widerstands-Helden“ etwas gemindert werden konnte. Schließlich können wir dann mit Hand und Sophie ja sagen „es gab doch auch richtige Deutsche, die was gemacht haben. Naja ob das im Verhältnis steht ist dann immer noch die Frage, die man mal stellen könnte am Ende eurer Serie.;2022-01-13T06:30:33.000Z;1 like;-
4;schmunzelfee;"Liebes Produktionsteam,
ich weiß nicht ob ihr wisst, wie wichtig eure Arbeit ist. Gerade die jüngsten Ereignisse in der Politik und der Coronawelle haben gezeigt, dass wir gar nicht so weit weg davon sind, dass sich ein erneuter schleichender Wandel in der Gesellschaft über Jahre vollzieht. Und darum ist es von solch immenser Bedeutung, dass wir nicht aufhören über dieses Thema zu reden. Es wird immer gemeckert, dass wir nicht die Schuld unserer Großeltern und Urgroßeltern tragen und das stimmt, denn wir werden unsere eigene Schuld tragen, wenn die Dinge sich weiter so entwickeln wie sie sich entwickeln. Euer Projekt ist eine Erinnerung daran, dass wir niemals vergessen dürfen was damals passiert ist, dass wir aufstehen MÜSSEN, gegen alle Extremisten und Gegner der Demokratie in diesem Land. Dass wir unsere Stimme erheben müssen, wenn ein Unrecht geschieht weil jemand aufgrund seiner Kultur und seiner Herkunft diskriminiert oder benachteiligt wird. Wer wenn nicht wir sollte es besser wissen? Wer wenn nicht wir sollte sich erheben gegen Diskriminierung und Rassismus. Und wer wenn nicht wir sollte davon erzählen. Wir MÜSSEN weiter davon erzählen, weil es wieder passieren kann, weil sich immer mehr Leute nach rechts orientieren. So als hätten wir seit damals alles vergessen, als wäre das alles nie passiert. Dieses Projekt trägt dazu bei, uns vor Augen zu halten, was uns der Kampf gegen die Nazis einst gekostet hat, was er andere gekostet hat. Die nächsten Jahre werden zeigen, ob wir uns daran erinnern. Ob wir beweisen können, dass wir unsere Lektion gelernt haben. Ihr leistet hiermit einen grandiosen Beitrag und ich danke euch für euren Einsatz.";2022-01-13T00:17:24.000Z;17 likes;-
5;schmunzelfee;"Liebe Sophie,
was ihr getan habt ist wichtig und richtig. Ich weiß nicht ob ich den Mut dazu gehabt hätte, aber euer Opfer wird wichtig sein für Deutschland, die Geschichte und für alle nächsten Generationen. Jeder wird eure Namen kennen und wissen, dass ihr auch im Angesicht der Gefahr niemals aufgehört habt, das Richtige zu tun. Dass ihr euch den Nazis entgegengestellt habt mit der Macht der Worte. Weil ihr an eine andere Welt geglaubt habt. Wir alle verdanken unser Leben wie wir es kennen, unsere Freiheit und unsere Gerechtigkeit eurem Kampf und dem Kampf der vielen anderen, die sich gegen das Naziregime gestellt haben. Euer Kampf und eure Überzeugungen werden nicht vergessen werden. Sie sind der Grundstein unserer Freiheit, unserer Möglichkeiten und unserer Überzeugungen. Und dafür danke ich euch von ganzem Herzen.";2022-01-12T23:55:50.000Z;0;-
6;christianpintz;Hast Du von Georg Elsser gehört?;2022-01-12T19:28:25.000Z;0;-
7;alex_c_s_66;Pass auf dich auf, Sophie! Wir glauben an dich! Viele Menschen haben an dich geglaubt und wir tun es heute und viele Menschen werden es in Zukunft!!!;2022-01-12T18:42:17.000Z;0;-
8;s.fox1910;"Es ist wiklich toll, wie ihr das seit einem Jahr gestalten. Jetzt ist.einem aber wirklich mulmig zu Mute. Ich mochte schreien: ""Zieht den Kopf ein!""";2022-01-12T18:18:37.000Z;0;-
9;_monkey_grey;"Ich bin Sophie ""Profi Seufzer"" Scholz";2022-01-12T16:35:11.000Z;0;-
10;buma7272;❤️🔥;2022-01-12T15:14:20.000Z;0;-
11;bohnkeeva;Sehr schlecht kann man Angst verbergen, gerade wenn man mit Panikatacken zu kämpfen hat, aber das gehört hier nicht her , passt bitte auf euch auf.;2022-01-12T02:04:59.000Z;1 like;-
