Link: ;https://www.instagram.com/p/CUt9_tqsiV-/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;lxnx_xngx;Hi Sophie ich hoffe dir geht es mittlerweile besser , du musst einfach stark sein das was du tust inspiriert so viele Menschen und ich weiß du kennst mich nicht aber ich bin so stolz auf dich , mein Name ist Melina Sophie Sabine und naja ich wurde nach dir benannt also vllt motiviert es dich ja zu wissen das ganz viele Menschen an dich und die anderen glauben ❤️;2021-10-14T17:37:27.000Z;0;-
2;noreen_lue;Was passierte eigentlich mit Inge??;2021-10-09T22:25:03.000Z;0;-
3;rilect92;Es gibt kaum was schrecklicheres als Einsamkeit... Ich mach mir meist in diesen Augenblicken erstmal bewusst, was für Freunde doch hinter mir stehen, auch wenn man sich mal nicht schreibt... Sind deine wahren Freunde doch da draußen und stützen dich wenn es drauf ankommt... Man braucht nicht viele, aber wenn du einen hast der mitten in der Nacht eine offene Tür für dich hat, wenn du am absoluten psychischen Ende bist, dann hast du gewonnen. Und du hast gewiss auch diese Menschen in deinem Leben, besinn dich auf Diese, dann weißt du, du bist nicht allein und schöpf daraus deine Kraft. Du bist deine stärkerer Mensch als wir alle. Gibt nicht auf!;2021-10-08T20:53:30.000Z;0;-
4;riso5400;"Liebe Sophie, tröstlich zu wissen dass jede/r "" Held/in"" auch mutlos sein kann . Wie dein Motto uns auch sagt""weiches Herz "". Deine Balance zu"" deinem harten Geist"" schafft es. Du hast uns gezeigt nicht zu zerbrechen, sondern mutig zu sein ❤️ und zu sich selbst zu stehen. Sei nicht zu hart zu dir selbst.";2021-10-08T07:35:28.000Z;1 like;-
5;lasse.privvat;Ich finde dies nicht gut und möchte dass dieses Vermächtnis nicht fortgeführt wird👏;2021-10-08T06:41:53.000Z;0;-
5-1;julianewolf_music;@lasse.privvat warum nicht?!;2021-10-08T11:33:26.000Z;0;5
6;jessicaludorf;Mit meiner besten Freundin reden/schreiben, die wie eine Schwester für mich ist @gizeemvarol ❤️ Ohne sie, wäre ich schon längst seelisch zerstört 😢;2021-10-07T21:39:02.000Z;1 like;-
6-1;gizeemvarol;@jessicaludorf ❤️❤️🤗;2021-10-09T16:19:46.000Z;1 like;6
7;skippy_kim;Ich schreibe schon seit 7 Jahren Tagebuch.;2021-10-07T21:37:45.000Z;0;-
7-1;ichbinsophiescholl;@skippy_kim Ich schreibe auch gerne in mein Tagebuch, um meine Gedanken festzuhalten.;2021-10-08T06:06:24.000Z;3 likes;7
8;ansgarwfl;Dann lese ich etwas oder mache Sport einfach positiv denken;2021-10-07T20:17:21.000Z;0;-
9;lesdumonde;Ich hoffe ich konnte dir mit den ganzen Herzen ein wenig Kraft zusenden 🙏🏼❤ folge dir eigentlich schon seit deiner ersten Woche der igtvs folgen, hab alles mitgekriegt sei tapfer du schaffst das, glaube an dich !! 🙏🏼❤;2021-10-07T18:34:48.000Z;0;-
10;gwen_gloeckchen;Ich suche eine Ablenkung 🎨🖼🖌oder einen guten Freund zum Reden. 🙇‍♀️🙋🏼‍♂️🙋🏾‍♀️ Wenn das auch nicht mehr hilft, such ich draußen bei schönen Wetter einen magischen Ort und entspanne mich in der Natur. 🍄🌾🧝🏻‍♂️🌻🍁🍂 Grüße an dich und deine Familie.;2021-10-07T17:47:54.000Z;0;-
11;starlightluna11;Ich werde aktiv und mache irgendwas, nur um zumindest alles getan zu haben, was ich tun konnte. Ich mag es gar nicht, einfach passiv dazusitzen und nichts zu machen, Dinge einfach auf mich zukommen zu lassen. Darin bin ich echt schlecht, das akzeptiere ich nicht. Mach etwas, das dich inspiriert, dir neuen Mut und neue Kraft gibt, deinen Willen und dein Feuer für Veränderung neu entfacht. Du hast ein solch gutes und treues Herz, weder Hans noch Alex würden wollen, dass du aufgibst. Und einsam wirst du nie sein, denn du hast die Liebe von den beiden und in Gedanken sind sie immer bei dir.;2021-10-07T17:22:42.000Z;0;-
11-1;ichbinsophiescholl;@starlightluna11 Vielen Dank für die lieben Worte. Ich finde es auch wirklich frustrierend, wenn man das Gefühl hat, nichts tun zu können. Ob Hans mich wohl so sehr vermisst, wie ich ihn vermisse?;2021-10-08T08:09:01.000Z;3 likes;11
12;juergenplath;Raus gehen, UV Licht sammeln, einen langen Spaziergang alleine machen, vielleicht auch mal beten, klappt aber wenn der Kopf voll ist nicht immer.;2021-10-07T16:56:12.000Z;0;-
