Link: ;https://www.instagram.com/p/COf1sXcnyyI/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;wort.schatz;Es ist, was es ist, sagt die Liebe.🤷‍♀️;2022-02-01T22:27:23.000Z;0;-
2;julian.keckeis;❤️;2021-05-18T06:56:08.000Z;0;-
3;sonjabusekow;❤️❤️❤️;2021-05-14T16:38:08.000Z;0;-
4;ray.de.ph;Nie wieder Faschismus;2021-05-12T06:44:58.000Z;0;-
5;kraft7513;Super Idee, ich hab mich so darüber gefreut als ich eure Videos auf Youtube gesehen habe und hab sofort euch in instagram gesucht;2021-05-09T21:38:10.000Z;0;-
6;kraft7513;❤️;2021-05-09T21:36:15.000Z;0;-
7;roccoloveshot69.official;Hi, hast du onlyfans?;2021-05-09T14:42:57.000Z;1 like;-
8;prinz_david16;Tolle Geschichten! Genieß es solang es geht 😍😍😍 Team Hans und Sophie.;2021-05-09T07:32:08.000Z;0;-
9;wernerrosemeyer;👏👏👏Dieses Format wird weltweit Aufsehen erregen. Es wird bestimmt soooo viele Preise regnen. Herzlichen Glückwunsch und viel Erfolg die nächste Zeit.;2021-05-08T11:49:24.000Z;1 like;-
10;careblair1206;Wer spielt eigentlich fritz;2021-05-08T03:14:20.000Z;0;-
11;caren13.12;Hä und was ist mit Corona ???;2021-05-07T21:12:22.000Z;0;-
11-1;green_brown_eyes;@caren13.12 Ja, guck auf YouTube. Sie trugen in den Drehpausen auch FFP2-Masken;2021-05-08T20:51:12.000Z;0;11
11-2;green_brown_eyes;@green_brown_eyes Darüber wussten die Leute wahrscheinlich noch nicht mal vom Bier.;2021-05-08T20:52:07.000Z;0;11
11-3;caren13.12;@green_brown_eyes hahahahahahaahhaahahahahahahahahahahaha;2021-05-08T21:32:59.000Z;0;11
11-4;green_brown_eyes;@caren13.12 Wegen dem Bier?;2021-05-08T21:38:19.000Z;0;11
11-5;caren13.12;@green_brown_eyes ja ein lustiger Witz;2021-05-08T21:46:30.000Z;0;11
11-6;green_brown_eyes;@caren13.12 Ja nicht wahr?;2021-05-08T21:54:42.000Z;0;11
12;fabi_lierkunst;Geniales Projekt, dass man verfolgen muss. 👏👏;2021-05-07T18:12:21.000Z;1 like;-
13;karl_amsterdam;Ist das eine echte Postkarte von damals?;2021-05-07T11:59:43.000Z;1 like;-
13-1;ichbinsophiescholl;@karl_amsterdam #teamsoffer diese Zeichnung wurde von der Künstlerin @edith_carron gezeichnet- inspiriert von den echten Zeichnungen von Sophie Scholl.;2021-05-08T18:05:39.000Z;7 likes;13
13-2;karl_amsterdam;@ichbinsophiescholl danke;2021-05-09T07:58:17.000Z;0;13
14;gerald_nsshr;@ichbinsophiescholl Hast du dieses Bild eigentlich tatsächlich gemalt oder ist das fiktiv?;2021-05-07T09:41:16.000Z;0;-
14-1;ichbinsophiescholl;@gerald_nsshr #teamsoffer diese Zeichnung wurde von der Künstlerin @edith_carron gezeichnet- inspiriert von den echten Zeichnungen von Sophie Scholl.;2021-05-08T13:42:10.000Z;4 likes;14
14-2;gerald_nsshr;@ichbinsophiescholl Danke;2021-05-08T16:44:05.000Z;0;14
15;meli_r_b;Liebe ist nicht immer verständlich 🤷🏽‍♀️ Aber das Glück einen Menschen an der Seite zu haben mit dem man die Liebe fühlen kann, ist etwas wunderbares! ❤️;2021-05-07T08:39:17.000Z;1 like;-
16;gregormaier71;@jakobwiek: witziger Kommentar;2021-05-07T08:02:28.000Z;1 like;-
17;jakobwick1;Ist falsch, damals haben sie vor der Ehe händchengehalten nicht wild rumgemacht wie im niveaulosen ZDF Universum. Ehre, Anstand, Frauenwürde.;2021-05-07T05:02:49.000Z;0;-
17-1;migubaka;@jakobwiek wer hat gefragt;2021-05-07T06:26:55.000Z;2 likes;17
17-2;jakobwick1;@migubaka ich mich;2021-05-07T12:21:44.000Z;0;17
17-3;jakobwick1;@jakobwiek historische Akkuratheit;2021-05-07T12:22:25.000Z;0;17
18;sarolfli;Wahnsinnsprojekt, mir geht das total nahe! Ich hab schon vor Jahren ein Buch über Sophie Scholl gelesen, das mit tief beeindruck hat, aber das hier ist nochmal eine andere Dimension 👏;2021-05-06T21:14:43.000Z;1 like;-
19;giraffenohr;das ist doch egal. Ist eben sein Beruf. Wenn Ihr Euch liebt ist da kein Widerspruch. Er ist ja nicht bei der SA oder SS. Mach dir deshalb keine Gedanken;2021-05-06T21:00:29.000Z;0;-
20;blutgraefin_marra;@gsh_pi schaut Mal, vielleicht auch für euch als Geschwister Scholl Haus interessant❤️;2021-05-06T20:18:10.000Z;1 like;-
21;elbanditorinho;Fritz?;2021-05-06T17:20:12.000Z;0;-
22;missvanderkronert;Liebes Team @ichbinsophiescholl, ich würde mich sehr freuen, wenn ihr die Storys als Highlight abspeichern würdet, weil ich nichts verpassen möchte, aber nicht jeden Tag pünktlich reinschauen kann. Ist das im Konzept vorgesehen oder speichert ihr nur ausgewählte Highlights ab? Danke für dieses Projekt und liebe Grüße, Sylvi;2021-05-06T15:12:40.000Z;6 likes;-
22-1;ichbinsophiescholl;@missvanderkronert #teamsoffer wir haben die ersten Stories im Highlight gespeichert. Immer sonntags wird es aber auch ein IGTV mit allen Storys der Woche geben.;2021-05-06T20:48:10.000Z;41 likes;22
23;remorkam;Ich bin gleichermaßen beeindruckt wie begeistert und hoffe, dass dieses Format viele, viele Jugendliche erreicht, berührt und informiert. Mein größter Respekt für die Macher*innen;2021-05-06T13:32:31.000Z;1 like;-
24;lesmithsss;🙌❤️;2021-05-06T12:14:16.000Z;0;-
25;rachet.ro;Sheeeeesha;2021-05-06T11:51:14.000Z;1 like;-
26;heike.1969;Wäre toll wir könnten jetzt und hier die Geschichte umschreiben 🙏🖤;2021-05-06T11:17:23.000Z;1 like;-
27;fleckerlteppich;@samira_garber @ayline_ga... Bitte folgen sehr interessant❤️;2021-05-06T11:07:25.000Z;1 like;-
28;idesign.box;Welches Datum schreibst du heute?;2021-05-06T10:59:10.000Z;0;-
29;waitiesandy;Wann seht ihr Euch denn wieder? Bekommt er Urlaub?;2021-05-06T10:58:22.000Z;1 like;-
29-1;ichbinsophiescholl;@waitiesandy ich weiß es nicht... hoffe bald!;2021-05-06T21:34:52.000Z;10 likes;29
30;wrld.of.jxjo;Cringe;2021-05-06T10:55:04.000Z;2 likes;-
31;aennerose;❤️❤️❤️;2021-05-06T10:49:24.000Z;0;-
32;dpicsw1967;Liebe Sophie, ich wünsche Dir liebende Erfüllung mit Fritz. Wenn die Bibel Recht hat dann glaubt die Liebe alles, sie hofft alles, sie duldet alles ... muss irgendwie eine göttliche Macht sein;2021-05-06T10:46:37.000Z;1 like;-
33;koray_guenaydin;"Hallo Sophie Hallo Weiße Rose..Ehrfürchtig und mit unendlichem Respekt ..
Auf Tagesschau läuft die Story ja auch ..sind es zwei unterschiedliche Storys?
Danke ✌🏻";2021-05-06T10:41:48.000Z;1 like;-
33-1;ichbinsophiescholl;@koray_guenaydin #teamsoffer Die Tagesschau greift schon ein bisschen vor - die ganze Geschichte gibt es nur hier.;2021-05-08T15:41:00.000Z;1 like;33
33-2;koray_guenaydin;@ichbinsophiescholl Danke Sophie;2021-05-08T15:44:42.000Z;0;33
34;natalie_moerman;Hi I have a question Are there also English subtitles in the videos you will show about Sophie Scholl? I mean English subtitles that way even those who do not speak German will be able to understand thanks if you can give an answer @ichbinsophiescholl;2021-05-06T10:30:02.000Z;0;-
35;skyzzy381;Ich finds endgegen aller echt unnötig. Das ganze ist jetzt fast 100 Jahre her und dieses Thema ist nur noch lästig. Man sollte vlt mal aufklären das wir in einigen Ländern kurz davor sind das ganze zu wiederholen.;2021-05-06T10:04:46.000Z;0;-
36;speters1707;Ich nuss einfach nochmal sagen, dass ich zutiefst beeindruckt bin, von diesem Projekt. 👍 Sehr realistisch. Einfach toll. 👏;2021-05-06T10:01:35.000Z;0;-
37;_isa.anders02_;Liebe Sophie, Liebe ist manchmal anstrengend und unerklärlich, aber man sucht sich leider nicht aus, in wen man sich verliebt. Sei doch froh und dankbar, dass du deinen Fritz gefunden hast und er dir im Skiurlaub so ein Lächeln geschenkt hat 🥰 Gib nicht auf und bleib stark!;2021-05-06T09:23:29.000Z;15 likes;-
37-1;ichbinsophiescholl;@_isabel.art02_ Liebe Isabel, danke für deine Worte! Es ist einfach manchmal ein Auf und Ab mit der Liebe. Heute noch denke ich, dass alles so wunderbar ist. Und morgen zweifle ich schon wieder. Aber meistens vermisse ich meinen Fritz ganz einfach.;2021-05-08T15:56:23.000Z;33 likes;37
38;istnochtheda;@fem.visser;2021-05-06T08:41:58.000Z;0;-
39;saruechen;@janapokuta;2021-05-06T08:32:34.000Z;1 like;-
40;stefaniosworld;Liebe Sophie, stammt die Skizze mit dem Liebespaar aus Deiner Feder?;2021-05-06T08:30:19.000Z;0;-
40-1;ichbinsophiescholl;@stefaniosworld #teamsoffer Auch wenn Sophie gerne gezeichnet hat, ist diese Illustration hier von der Künstlerin @edith_carron;2021-05-08T15:47:19.000Z;3 likes;40
41;16hasti06;Ich hab Wallah Angst vor dir du kelb;2021-05-06T08:28:33.000Z;2 likes;-
42;michafon;Dieser Account ist einer der besten auf der Plattform und so ein wichtiges Projekt! ❤️👍;2021-05-06T08:25:42.000Z;2 likes;-
42-1;ichbinsophiescholl;@michafon #teamsoffer danke!;2021-05-08T13:45:42.000Z;1 like;42
43;rambmartin;❤️;2021-05-06T08:18:34.000Z;0;-
44;fiestaesther;Warum gebt ihr @eva.stories keine Credits für die Idee?;2021-05-06T08:06:04.000Z;1 like;-
45;__caroruss__;💔;2021-05-06T07:45:33.000Z;0;-
46;martin_michels;❤️;2021-05-06T07:30:10.000Z;0;-
47;jonjen121212;Was für ein tolles Projekt‼️ Es ist so WICHTIG;2021-05-06T07:24:19.000Z;1 like;-
48;heikebedner;Die „weiße Rose“ hat mich schon immer sehr bewegt und nun wird durch dieses phantastische Projekt alles so lebendig. Es ist faszinierend, aber auch unfassbar traurig zugleich. 😢;2021-05-06T07:09:31.000Z;0;-
49;neleistmeinname;warum muss es direkt wieder um die Beziehung einer Frau zu einem Mann gehen?;2021-05-06T07:00:57.000Z;1 like;-
50;elj_plurability;"@ichbinsophiescholl ❤️
Beeindruckend.";2021-05-06T06:41:19.000Z;1 like;-
51;stilles_bunt;So ein großartiges Projekt!;2021-05-06T06:34:44.000Z;1 like;-
52;failure_is_an_option_here;Dieses Projekt macht wirklich Gänsehaut. Es ist zu teilen beängstigend aber sich faszinierend und so so wichtig. Ich bin einfach platt. Danke das wir so an ihren letzten Monaten teilhaben dürfen!;2021-05-06T06:16:58.000Z;0;-
53;empathische.pferdefotografie;Wow, plötzlich so real und nah. Was für ein tolles Projekt! 👏🏻❤️;2021-05-06T06:16:29.000Z;1 like;-
54;klausschwab1936;Dieses Zitat passt auch perfekt in diese Zeit Der größte Schaden entsteht durch die schweigende Mehrheit, die nur überleben will, sich fügt und alles mitmacht.”;2021-05-06T06:08:28.000Z;0;-
55;eleoxore;So toll wie rasend schnell diese Seite wächst. Gestern Abend noch 257k heute s hin weit über 300k. So geht Bildung, die hängen bleibt;2021-05-06T05:47:29.000Z;1 like;-
56;kerstinskierlo;👏;2021-05-06T05:43:59.000Z;0;-
57;lifeofsarah_3.5;@hanni.206 @lenia.208 😮 unbedingt folgen;2021-05-06T05:24:03.000Z;0;-
